date,open,high,low,close,volume
2020-01-02,16220.646,16734.422,16220.646,16587.629,682080
2020-01-03,16587.629,17101.405,16514.232,16954.612,327750
2020-01-06,16661.025,17028.008,16661.025,16881.215,115860
2020-01-07,16881.215,17101.405,16881.215,17101.405,254360
2020-01-08,16881.215,17541.785,16000.456,16000.456,573720
2020-01-09,16073.853,16807.819,16073.853,16807.819,303420
2020-01-10,16807.819,17468.388,16661.025,17468.388,883190
2020-01-13,17615.181,17651.879,17431.69,17431.69,425870
2020-01-14,17431.69,18128.957,17394.992,18055.561,829290
2020-01-15,18055.561,19009.716,18055.561,19009.716,907260
2020-01-16,18899.621,19229.906,18349.147,19083.112,1165480
2020-01-17,18642.733,19303.303,18642.733,19083.112,755260
2020-01-20,19083.112,19303.303,19083.112,19083.112,1440280
2020-01-21,18642.733,19229.906,18642.733,19009.716,210370
2020-01-22,19009.716,19009.716,18422.543,18716.13,144210
2020-01-30,18128.957,18606.035,18055.561,18349.147,154920
2020-01-31,18349.147,18349.147,17651.879,17982.164,131830
2020-02-03,17982.164,17982.164,16807.819,17798.672,348810
2020-02-04,17505.086,17982.164,16991.31,17761.974,306250
2020-02-05,17761.974,17835.37,17321.595,17725.276,144220
2020-02-06,17321.595,17761.974,17321.595,17578.483,130220
2020-02-07,17615.181,17835.37,17321.595,17468.388,856610
2020-02-10,17321.595,17615.181,17321.595,17468.388,143310
2020-02-11,17468.388,17688.577,17321.595,17505.086,288180
2020-02-12,17725.276,17761.974,17431.69,17468.388,314410
2020-02-13,17578.483,17578.483,16954.612,17468.388,235180
2020-02-14,17321.595,17541.785,17174.801,17468.388,136340
2020-02-17,17468.388,17468.388,17174.801,17174.801,247090
2020-02-18,17028.008,17248.198,16917.914,17248.198,116600
2020-02-19,17174.801,17211.499,16844.517,17101.405,584790
2020-02-20,17028.008,17248.198,16917.914,17248.198,258590
2020-02-21,17248.198,17248.198,16917.914,17101.405,123030
2020-02-24,16954.612,16954.612,16147.25,16881.215,521730
2020-02-25,16220.646,16734.422,16220.646,16330.741,371610
2020-02-26,16404.137,16404.137,16257.344,16367.439,228640
2020-02-27,16147.25,16477.534,16147.25,16477.534,577840
2020-02-28,16294.043,16294.043,15376.585,15780.266,889150
