date,open,high,low,close,volume
2020-01-02,7544.4783362832,7654.6161381534,7544.4783362832,7599.5472372183,866500
2020-01-03,7599.5472372183,7792.2896874303,7599.5472372183,7654.6161381534,2242240
2020-01-06,7682.151020934,7682.151020934,7516.9434535026,7544.4783362832,470820
2020-01-07,7489.408570722,7654.6161381534,7489.408570722,7516.9434535026,424110
2020-01-08,7461.8745525675,7461.8745525675,7131.4594177047,7131.4594177047,2280630
2020-01-09,7214.0632014204,7351.7358860712,7214.0632014204,7241.5972195749,553820
2020-01-10,7269.1321023555,7351.7358860712,7214.0632014204,7241.5972195749,553300
2020-01-13,7241.5972195749,7324.2010032906,7131.4594177047,7131.4594177047,946160
2020-01-14,7158.9934358592,7214.0632014204,7021.3207512084,7158.9934358592,715360
2020-01-15,7158.9934358592,7186.5283186398,7103.9245349241,7158.9934358592,270530
2020-01-16,7158.9934358592,7186.5283186398,7103.9245349241,7131.4594177047,553400
2020-01-17,7158.9934358592,7158.9934358592,6938.7169674927,6938.7169674927,1151600
2020-01-20,6938.7169674927,6993.7867330539,6938.7169674927,6993.7867330539,294050
2020-01-21,6993.7867330539,7214.0632014204,6993.7867330539,7214.0632014204,497590
2020-01-22,7214.0632014204,7296.6669851361,7158.9934358592,7158.9934358592,876300
2020-01-30,7158.9934358592,7158.9934358592,6801.0442828419,6911.1829493382,1044820
2020-01-31,6856.113183777,6938.7169674927,6663.3715981911,6663.3715981911,2053420
2020-02-03,6332.9564633283,6525.6980489142,6222.817796832,6222.817796832,2361500
2020-02-04,6360.4904814828,6360.4904814828,6140.2140131163,6250.3526796126,1463880
2020-02-05,6250.3526796126,6305.4215805477,6222.817796832,6277.8866977671,1028260
2020-02-06,6277.8866977671,6332.9564633283,6222.817796832,6332.9564633283,1495560
2020-02-07,6388.0253642634,6580.7678144754,6360.4904814828,6388.0253642634,1070250
2020-02-10,6388.0253642634,6525.6980489142,6277.8866977671,6470.6291479791,989130
2020-02-11,6415.560247044,6580.7678144754,6415.560247044,6525.6980489142,1438680
2020-02-12,6553.2329316948,6966.2518502733,6553.2329316948,6966.2518502733,2679770
2020-02-13,6966.2518502733,7131.4594177047,6966.2518502733,7131.4594177047,1908600
2020-02-14,7131.4594177047,7214.0632014204,7048.855633989,7158.9934358592,983250
2020-02-17,7103.9245349241,7379.2707688518,7103.9245349241,7214.0632014204,1394660
2020-02-18,7241.5972195749,7324.2010032906,7186.5283186398,7324.2010032906,1300470
2020-02-19,7434.3396697869,7654.6161381534,7434.3396697869,7461.8745525675,1452330
2020-02-20,7572.0123544377,7599.5472372183,7434.3396697869,7434.3396697869,925570
2020-02-21,7269.1321023555,7434.3396697869,7241.5972195749,7269.1321023555,908390
2020-02-24,6911.1829493382,7048.855633989,6801.0442828419,6938.7169674927,1755640
2020-02-25,6938.7169674927,7076.3905167696,6801.0442828419,7048.855633989,943960
2020-02-26,7021.3207512084,7103.9245349241,6911.1829493382,6966.2518502733,557830
2020-02-27,7048.855633989,7048.855633989,6966.2518502733,6993.7867330539,665060
2020-02-28,6938.7169674927,6993.7867330539,6801.0442828419,6911.1829493382,1095910
2020-03-02,6911.1829493382,7021.3207512084,6828.5791656225,6828.5791656225,490500
2020-03-03,6938.7169674927,7158.9934358592,6911.1829493382,7158.9934358592,806940
2020-03-04,7214.0632014204,7489.408570722,7186.5283186398,7489.408570722,2211650
2020-03-05,7489.408570722,7599.5472372183,7214.0632014204,7296.6669851361,1144260
2020-03-06,7241.5972195749,7434.3396697869,7103.9245349241,7434.3396697869,919740
2020-03-09,7021.3207512084,7103.9245349241,6938.7169674927,6938.7169674927,2153190
2020-03-10,6883.6480665576,7048.855633989,6690.9056163456,6938.7169674927,1396790
2020-03-11,6938.7169674927,7048.855633989,6470.6291479791,6938.7169674927,1361650
2020-03-12,6525.6980489142,6911.1829493382,6470.6291479791,6470.6291479791,2626960
2020-03-13,6030.07534662,6470.6291479791,6030.07534662,6415.560247044,2049070
2020-03-16,6332.9564633283,6443.0942651985,6140.2140131163,6332.9564633283,971660
2020-03-17,6057.6102294006,6332.9564633283,5975.0064456849,6332.9564633283,2376460
2020-03-18,6443.0942651985,6580.7678144754,6360.4904814828,6443.0942651985,1203540
2020-03-19,6250.3526796126,6443.0942651985,6167.7488958969,6388.0253642634,1123970
2020-03-20,6305.4215805477,6360.4904814828,6167.7488958969,6332.9564633283,1511820
2020-03-23,6112.6791303357,6305.4215805477,5892.4026619692,5892.4026619692,2354750
2020-03-24,5837.3337610341,5919.9375447498,5534.4526443258,5919.9375447498,1548700
2020-03-25,6167.7488958969,6195.2829140514,5947.4715629043,6057.6102294006,906180
2020-03-26,6167.7488958969,6167.7488958969,5892.4026619692,6057.6102294006,1294140
2020-03-27,6057.6102294006,6085.1451121812,5919.9375447498,6057.6102294006,1606100
2020-03-30,5947.4715629043,5947.4715629043,5644.5913108221,5754.7299773184,2410670
2020-03-31,5699.6602117572,5947.4715629043,5407.7935669368,5727.1950945378,2440790
2020-04-01,5699.6602117572,5892.4026619692,5484.8905470216,5892.4026619692,2103820
2020-04-03,5782.2639954729,6030.07534662,5727.1950945378,5947.4715629043,1998980
2020-04-06,5975.0064456849,6140.2140131163,5947.4715629043,6085.1451121812,2045960
2020-04-07,6085.1451121812,6085.1451121812,5892.4026619692,6002.5413284655,1466540
2020-04-08,5975.0064456849,5975.0064456849,5782.2639954729,5782.2639954729,1870160
2020-04-09,5892.4026619692,6167.7488958969,5864.8677791886,6167.7488958969,2464860
2020-04-10,6112.6791303357,6250.3526796126,5947.4715629043,6167.7488958969,1529370
2020-04-13,6085.1451121812,6167.7488958969,6002.5413284655,6030.07534662,1323760
2020-04-14,5975.0064456849,6277.8866977671,5947.4715629043,6222.817796832,2465220
2020-04-15,6222.817796832,6305.4215805477,6140.2140131163,6250.3526796126,1664740
2020-04-16,6140.2140131163,6443.0942651985,6140.2140131163,6360.4904814828,1739850
2020-04-17,6443.0942651985,6470.6291479791,6332.9564633283,6360.4904814828,1868890
2020-04-20,6443.0942651985,6443.0942651985,6277.8866977671,6388.0253642634,1514450
2020-04-21,6277.8866977671,6305.4215805477,5975.0064456849,6277.8866977671,2704130
2020-04-22,6057.6102294006,6277.8866977671,6002.5413284655,6277.8866977671,1130910
2020-04-23,6332.9564633283,6332.9564633283,6167.7488958969,6167.7488958969,552770
2020-04-24,6167.7488958969,6443.0942651985,6057.6102294006,6332.9564633283,3072790
2020-04-27,6388.0253642634,6415.560247044,6222.817796832,6277.8866977671,997740
2020-04-28,6277.8866977671,6305.4215805477,6195.2829140514,6277.8866977671,497130
2020-04-29,6250.3526796126,6277.8866977671,6167.7488958969,6222.817796832,960250
2020-05-04,6167.7488958969,6167.7488958969,6002.5413284655,6140.2140131163,965810
2020-05-05,6057.6102294006,6222.817796832,6057.6102294006,6222.817796832,339970
2020-05-06,6222.817796832,6277.8866977671,6167.7488958969,6250.3526796126,667010
2020-05-07,6250.3526796126,6277.8866977671,6167.7488958969,6277.8866977671,754260
2020-05-08,6277.8866977671,6498.1640307597,6277.8866977671,6388.0253642634,2580160
2020-05-11,6415.560247044,6553.2329316948,6250.3526796126,6553.2329316948,1675860
2020-05-12,6553.2329316948,6801.0442828419,6443.0942651985,6718.4404991262,945260
2020-05-13,6663.3715981911,6745.9753819068,6525.6980489142,6608.3018326299,1141710
2020-05-14,6553.2329316948,6690.9056163456,6525.6980489142,6580.7678144754,972630
2020-05-15,6553.2329316948,6608.3018326299,6388.0253642634,6580.7678144754,1312550
2020-05-18,6580.7678144754,6580.7678144754,6470.6291479791,6553.2329316948,903500
2020-05-19,6553.2329316948,6718.4404991262,6525.6980489142,6553.2329316948,1219190
2020-05-20,6553.2329316948,6856.113183777,6525.6980489142,6801.0442828419,2556190
2020-05-21,6801.0442828419,6883.6480665576,6718.4404991262,6718.4404991262,760480
2020-05-22,6663.3715981911,6773.5094000613,6608.3018326299,6718.4404991262,734910
2020-05-25,6663.3715981911,6828.5791656225,6553.2329316948,6663.3715981911,1204050
2020-05-26,6745.9753819068,6801.0442828419,6663.3715981911,6718.4404991262,1006110
2020-05-27,6773.5094000613,6801.0442828419,6608.3018326299,6608.3018326299,1059910
