date,open,high,low,close,volume
2020-01-02,9230.508747,9230.508747,9149.8927866,9230.508747,177330
2020-01-03,9230.508747,9270.8167272,9008.8151022,9230.508747,394490
2020-01-06,9149.8927866,9230.508747,9049.1230824,9230.508747,187800
2020-01-07,9149.8927866,9230.508747,9008.8151022,9149.8927866,279090
2020-01-08,9069.2773188,9089.4310626,8908.045398,8908.045398,174610
2020-01-09,8908.045398,8988.6613584,8827.4299302,8908.045398,255400
2020-01-10,8908.045398,8908.045398,8706.5059896,8867.7374178,311700
2020-01-13,8827.4299302,8827.4299302,8625.8900292,8625.8900292,318460
2020-01-14,8625.8900292,8867.7374178,8585.5825416,8867.7374178,143190
2020-01-15,8867.7374178,9109.5848064,8827.4299302,9008.8151022,218600
2020-01-16,9008.8151022,9049.1230824,8787.12195,8787.12195,181460
2020-01-17,8807.2756938,8948.3533782,8807.2756938,8887.8916542,226070
2020-01-20,8908.045398,9069.2773188,8887.8916542,9049.1230824,229330
2020-01-21,9049.1230824,9049.1230824,8908.045398,8908.045398,181100
2020-01-22,8887.8916542,8988.6613584,8867.7374178,8988.6613584,136750
2020-01-30,8746.8139698,8787.12195,8363.8888968,8363.8888968,367640
2020-01-31,8142.195252,8263.1191926,7779.4244154,7779.4244154,227110
2020-02-03,7235.2679142,7235.2679142,7235.2679142,7235.2679142,101040
2020-02-04,6731.4189006,7053.8822496,6731.4189006,6912.8045652,837110
2020-02-05,6912.8045652,7094.1902298,6912.8045652,7094.1902298,373290
2020-02-06,7094.1902298,7577.885007,7094.1902298,7577.885007,241070
2020-02-07,7658.5004748,8001.1180602,7598.0387508,7940.6558436,438090
2020-02-10,7658.5004748,7678.6547112,7456.9610664,7497.2690466,135170
2020-02-11,7557.7307706,7598.0387508,7477.1153028,7477.1153028,189400
2020-02-12,7497.2690466,7618.1929872,7295.7296382,7618.1929872,276650
2020-02-13,7698.808455,7900.3478634,7618.1929872,7779.4244154,302360
2020-02-14,7779.4244154,7779.4244154,7577.885007,7577.885007,109880
2020-02-17,7577.885007,7577.885007,7356.1913622,7376.3455986,172050
2020-02-18,7376.3455986,7497.2690466,7376.3455986,7416.6530862,138380
2020-02-19,7416.6530862,7497.2690466,7336.0376184,7356.1913622,248580
2020-02-20,7416.6530862,7577.885007,7416.6530862,7577.885007,324330
2020-02-21,7557.7307706,7577.885007,7396.4993424,7396.4993424,124170
2020-02-24,7053.8822496,7215.1136778,6973.2662892,7134.49821,391110
2020-02-25,6892.6508214,7154.6519538,6892.6508214,7154.6519538,205430
2020-02-26,6953.1125454,7134.49821,6953.1125454,7053.8822496,124800
2020-02-27,7053.8822496,7134.49821,7013.5742694,7094.1902298,48450
2020-02-28,6932.958309,7094.1902298,6932.958309,7053.8822496,97360
2020-03-02,7013.5742694,7053.8822496,6872.496585,6892.6508214,78320
2020-03-03,6892.6508214,7356.1913622,6892.6508214,7336.0376184,234070
2020-03-04,7255.421658,7255.421658,7134.49821,7154.6519538,46830
2020-03-05,7215.1136778,7235.2679142,7134.49821,7154.6519538,94280
2020-03-06,7154.6519538,7336.0376184,7134.49821,7235.2679142,220620
2020-03-09,6892.6508214,6993.4205256,6731.4189006,6731.4189006,315350
2020-03-10,6449.2635318,6892.6508214,6449.2635318,6731.4189006,36350
2020-03-11,6892.6508214,6932.958309,6529.8794922,6610.4954526,146820
2020-03-12,6449.2635318,6711.2651568,6247.7241234,6509.7257484,415970
2020-03-13,6066.3389514,6529.8794922,6066.3389514,6489.571512,136980
2020-03-16,6489.571512,6610.4954526,6408.9560442,6449.2635318,170440
2020-03-17,6449.2635318,6489.571512,6167.1086556,6489.571512,108160
2020-03-18,6429.109788,6550.0337286,6429.109788,6449.2635318,38780
2020-03-19,6348.4938276,6449.2635318,6247.7241234,6348.4938276,48980
2020-03-20,6368.648064,6570.1874724,6288.0321036,6328.3400838,80380
2020-03-23,6328.3400838,6328.3400838,5905.1070306,5905.1070306,302430
2020-03-24,5643.1058982,5884.9532868,5643.1058982,5884.9532868,77870
2020-03-25,5884.9532868,6167.1086556,5824.4915628,5905.1070306,144530
2020-03-26,5844.6453066,6066.3389514,5844.6453066,5965.5687546,153460
