date,open,high,low,close,volume
2020-01-02,27828.839565,27828.839565,27735.13947,27735.13947,1900
2020-01-03,27454.04017,27454.04017,27454.04017,27454.04017,1600
2020-01-06,27172.94087,27172.94087,26891.84157,27172.94087,3200
2020-01-07,27172.94087,27172.94087,26423.34208,26423.34208,4100
2020-01-08,26423.34208,26423.34208,26235.942875,26235.942875,8100
2020-01-09,26048.542685,26235.942875,26048.542685,26048.542685,15600
2020-01-10,26142.24278,26142.24278,25767.443385,26048.542685,9200
2020-01-13,26048.542685,27079.240775,26048.542685,26891.84157,12200
2020-01-14,26517.042175,27172.94087,26517.042175,27172.94087,1900
2020-01-15,26235.942875,27079.240775,26235.942875,26985.54068,5300
2020-01-16,27079.240775,27079.240775,27079.240775,27079.240775,300
2020-01-17,26985.54068,27360.340075,26423.34208,27266.63998,8200
2020-01-20,26423.34208,27454.04017,26423.34208,27454.04017,9000
2020-01-22,27172.94087,27360.340075,27172.94087,27360.340075,200
2020-01-30,25486.344085,27266.63998,25486.344085,27079.240775,25800
2020-01-31,27266.63998,27266.63998,25954.843575,26235.942875,4800
2020-02-03,25392.64399,25392.64399,22206.851595,22675.3501,16800
2020-02-04,24830.44539,25017.84558,23050.149495,23424.94889,19700
2020-02-05,23799.748285,26048.542685,22394.2508,25298.94488,3800
2020-02-06,24549.34609,24830.44539,24455.64698,24830.44539,14200
2020-02-07,25205.244785,25205.244785,25205.244785,25205.244785,300
2020-02-10,23893.447395,24736.74628,23893.447395,24549.34609,14200
2020-02-11,23424.94889,24549.34609,23424.94889,23893.447395,12800
2020-02-12,24830.44539,25205.244785,24361.946885,24455.64698,33300
2020-02-13,26048.542685,26048.542685,24361.946885,25111.54469,11900
2020-02-14,24549.34609,25205.244785,23893.447395,24361.946885,16500
2020-02-17,25298.94488,25298.94488,24361.946885,24361.946885,4300
2020-02-18,24361.946885,24549.34609,24080.847585,24080.847585,7100
2020-02-19,24736.74628,25392.64399,24361.946885,25392.64399,24400
2020-02-20,24361.946885,25298.94488,24361.946885,24924.145485,23300
2020-02-21,24736.74628,24830.44539,24643.046185,24830.44539,2800
2020-02-24,24361.946885,24643.046185,23424.94889,23424.94889,65600
2020-02-25,23424.94889,23424.94889,22487.950895,22862.75029,8000
2020-02-26,23050.149495,24174.546695,22862.75029,22862.75029,8200
2020-02-28,22769.050195,23424.94889,22675.3501,23424.94889,53900
2020-03-02,23987.14749,23987.14749,23987.14749,23987.14749,100
2020-03-03,23706.04819,24268.24679,23424.94889,23424.94889,2600
2020-03-04,23424.94889,23612.348095,23050.149495,23050.149495,3500
2020-03-05,23518.648985,23518.648985,23331.248795,23424.94889,1100
2020-03-06,23518.648985,23518.648985,22769.050195,23424.94889,2300
2020-03-09,22581.65099,22675.3501,19770.657005,21832.0522,15200
2020-03-10,20145.4564,23799.748285,20145.4564,23331.248795,5600
2020-03-11,22487.950895,22487.950895,21082.45341,21082.45341,4300
2020-03-12,19676.95691,19958.05621,19302.157515,19958.05621,12900
2020-03-13,19583.256815,19583.256815,18365.15952,18646.25882,27800
