date,open,high,low,close,volume
2020-01-02,25965.1062304712,26642.4572826384,25908.6603775664,26473.119723924,872620
2020-01-03,26727.1256533408,26811.7948413528,26360.2272008048,26360.2272008048,603940
2020-01-06,26360.2272008048,26360.2272008048,25852.2145246616,25852.2145246616,794490
2020-01-07,25852.2145246616,26360.2272008048,25513.5394072328,26360.2272008048,526890
2020-01-08,25965.1062304712,27037.578252972,25852.2145246616,26586.0114297336,1230830
2020-01-09,26952.90906496,28166.4961283776,26868.2406942576,28025.3810874608,1573190
2020-01-10,28025.3810874608,29351.8590393784,27997.1585696632,28956.7380690448,1506410
2020-01-13,28166.4961283776,29069.6297748544,27940.7118994488,28279.3878341872,544740
2020-01-14,28279.3878341872,29069.6297748544,28166.4961283776,28279.3878341872,752200
2020-01-15,28166.4961283776,28956.7380690448,28166.4961283776,28787.4005103304,695290
2020-01-16,28787.4005103304,30537.2227676888,28787.4005103304,30480.776914784,1004080
2020-01-17,30537.2227676888,30819.4520322128,29972.7642386408,30198.54765026,643490
2020-01-20,30198.54765026,30593.6686205936,30029.2100915456,30085.6559444504,761650
2020-01-21,30085.6559444504,30763.006179308,30085.6559444504,30480.776914784,609600
2020-01-22,30480.776914784,31496.80308438,30367.8852089744,31327.4655256656,781390
2020-01-30,30763.006179308,30988.7895909272,29351.8590393784,29746.9808270216,1388710
2020-01-31,29521.1974154024,30254.9935031648,29069.6297748544,29069.6297748544,1154570
2020-02-03,28110.0502754728,31045.2362611416,27037.578252972,30198.54765026,1562560
2020-02-04,30706.5603264032,30875.8978851176,30254.9935031648,30706.5603264032,1406270
2020-02-05,30988.7895909272,31158.1279669512,30198.54765026,30198.54765026,718710
2020-02-06,30142.1017973552,30537.2227676888,29916.318385736,30029.2100915456,1469930
2020-02-07,29746.9808270216,30085.6559444504,29126.0756277592,29182.521480664,1446840
2020-02-10,28730.9546574256,28900.29221614,27714.9284878296,27714.9284878296,1111680
2020-02-11,27714.9284878296,29013.1839219496,27714.9284878296,28674.5088045208,917080
2020-02-12,29069.6297748544,29238.9673335688,28618.062951616,28674.5088045208,704550
