date,open,high,low,close,volume
2020-01-02,26984.7431093392,27163.8450806233,26805.6402221106,26954.892475477,68030
2020-01-03,26954.892475477,27462.3486714115,26865.341489835,26865.341489835,49400
2020-01-06,26865.341489835,26865.341489835,26566.8378990467,26626.5382508266,59040
2020-01-07,26686.2386026064,27163.8450806233,26447.4362795425,26686.2386026064,81160
2020-01-08,26805.6402221106,26805.6402221106,26268.3333923139,26268.3333923139,68100
2020-01-09,26745.9398703308,26865.341489835,26447.4362795425,26865.341489835,37360
2020-01-10,27163.8450806233,27342.9470519073,26865.341489835,27342.9470519073,30740
2020-01-13,27342.9470519073,27342.9470519073,26865.341489835,26865.341489835,13130
2020-01-14,26865.341489835,27223.5454324031,26865.341489835,27163.8450806233,22900
2020-01-15,27342.9470519073,27342.9470519073,26984.7431093392,27163.8450806233,17480
2020-01-16,27163.8450806233,27342.9470519073,27044.443461119,27044.443461119,15560
2020-01-17,27223.5454324031,27342.9470519073,26925.0418416148,27283.2467001275,23030
2020-01-20,27402.6483196317,27402.6483196317,26805.6402221106,27104.1447288434,28940
2020-01-21,27342.9470519073,27342.9470519073,26745.9398703308,27104.1447288434,7760
2020-01-22,26865.341489835,27402.6483196317,26865.341489835,27104.1447288434,16700
2020-01-30,26387.7350118181,26984.7431093392,26268.3333923139,26566.8378990467,27740
2020-01-31,25969.8298015256,26268.3333923139,25372.8226199491,25372.8226199491,81180
2020-02-03,24477.3109316398,25372.8226199491,23641.5005110548,25193.7197327205,125430
2020-02-04,24537.0112834196,25671.3262107374,24537.0112834196,25372.8226199491,52020
2020-02-05,25372.8226199491,25492.2242394533,25074.3181132163,25074.3181132163,46350
2020-02-06,25074.3181132163,25313.1213522247,24954.9174096566,25074.3181132163,100330
2020-02-07,25074.3181132163,25372.8226199491,24775.814522428,24775.814522428,196920
2020-02-10,24775.814522428,25044.4683952987,24238.5076926313,24268.3583264935,185770
2020-02-11,24178.8073408515,24357.9093121355,24178.8073408515,24238.5076926313,112800
2020-02-12,24477.3109316398,24835.5157901524,24298.2089603557,24656.4129029238,233780
2020-02-13,24656.4129029238,24775.814522428,24537.0112834196,24537.0112834196,93040
2020-02-14,24537.0112834196,24895.2161419322,24268.3583264935,24417.6105798599,153290
2020-02-17,24417.6105798599,25044.4683952987,24357.9093121355,24775.814522428,178370
