date,open,high,low,close,volume
2020-01-02,5317.7889988128,5558.8624152501,5317.7889988128,5558.8624152501,20940
2020-01-03,5601.4045883948,5601.4045883948,5317.7889988128,5317.7889988128,28830
2020-01-06,5282.337050115,5459.5967936038,5282.337050115,5317.7889988128,30180
2020-01-07,5530.5006909993,5530.5006909993,5317.7889988128,5317.7889988128,50180
2020-01-08,5211.4331527195,5381.6026717613,5211.4331527195,5317.7889988128,10790
2020-01-09,5388.6928962083,5388.6928962083,5246.8851014172,5310.6987743658,14510
2020-01-10,5388.6928962083,5388.6928962083,5268.156601221,5374.5124473143,34450
2020-01-13,5672.3084857904,5672.3084857904,5317.7889988128,5374.5124473143,22160
2020-01-14,5658.1272104336,5658.1272104336,5353.2409475105,5374.5124473143,24550
2020-01-15,5388.6928962083,5388.6928962083,5374.5124473143,5374.5124473143,13260
2020-01-16,5374.5124473143,5374.5124473143,5324.8792232598,5346.1507230635,32830
2020-01-17,5346.1507230635,5672.3084857904,5346.1507230635,5530.5006909993,12750
2020-01-21,5388.6928962083,5672.3084857904,5388.6928962083,5388.6928962083,4530
2020-01-22,5672.3084857904,5835.3869539224,5530.5006909993,5835.3869539224,125900
2020-01-30,5835.3869539224,6239.5388384917,5615.5850372888,6239.5388384917,67040
2020-01-31,6664.9622228648,6672.0524473118,6594.0583254693,6664.9622228648,86900
2020-02-03,7090.385607238,7090.385607238,6664.9622228648,6728.7758958134,218220
2020-02-04,6728.7758958134,6877.6739150514,6664.9622228648,6764.2278445111,85900
2020-02-05,6948.5778124469,6948.5778124469,6672.0524473118,6735.8661202604,86440
2020-02-06,6806.7700176559,6806.7700176559,6594.0583254693,6764.2278445111,117120
2020-02-07,6799.6797932089,6806.7700176559,6664.9622228648,6799.6797932089,107260
2020-02-10,6799.6797932089,7083.2945563282,6735.8661202604,6806.7700176559,190770
2020-02-11,6806.7700176559,6877.6739150514,6735.8661202604,6806.7700176559,93320
2020-02-12,6806.7700176559,6806.7700176559,6735.8661202604,6771.3180689581,10320
2020-02-13,6771.3180689581,6771.3180689581,6381.3466332828,6381.3466332828,20830
2020-02-14,6664.9622228648,6664.9622228648,6388.4368577297,6487.702479376,28840
2020-02-17,6381.3466332828,6523.1544280738,6381.3466332828,6452.2505306783,45890
2020-02-18,6594.0583254693,6594.0583254693,6381.3466332828,6381.3466332828,20500
2020-02-19,6735.8661202604,6828.0406909968,6381.3466332828,6735.8661202604,25340
2020-02-20,6941.4875879999,6941.4875879999,6664.9622228648,6806.7700176559,43210
2020-02-21,6664.9622228648,6735.8661202604,6594.0583254693,6629.5102741671,29550
2020-02-24,6629.5102741671,6629.5102741671,6381.3466332828,6381.3466332828,16000
2020-02-25,6381.3466332828,6452.2505306783,6381.3466332828,6452.2505306783,12470
2020-02-26,6452.2505306783,6707.5043960096,6452.2505306783,6487.702479376,4620
2020-02-27,6487.702479376,6721.6856713664,6487.702479376,6693.3239471156,30150
2020-02-28,7019.4817098424,7019.4817098424,6523.1544280738,6594.0583254693,12770
2020-03-02,6948.5778124469,6948.5778124469,6594.0583254693,6594.0583254693,6950
2020-03-03,6594.0583254693,6594.0583254693,6381.3466332828,6459.3407551253,7420
2020-03-04,6381.3466332828,6523.1544280738,6239.5388384917,6452.2505306783,17160
2020-03-05,6452.2505306783,6452.2505306783,6310.4427358872,6381.3466332828,13960
2020-03-06,6310.4427358872,6381.3466332828,6239.5388384917,6381.3466332828,3860
2020-03-09,5934.6525755687,6033.918197215,5934.6525755687,5934.6525755687,36660
2020-03-10,5934.6525755687,6345.894684585,5707.7604344881,5721.9408833821,31750
2020-03-11,6119.0025435045,6119.0025435045,5714.8506589351,6026.8271463052,23750
2020-03-12,6374.2564088358,6374.2564088358,5714.8506589351,6374.2564088358,2370
2020-03-13,6168.6349410962,6168.6349410962,5608.4948128418,6026.8271463052,4410
2020-03-16,5672.3084857904,5885.0201779769,5672.3084857904,5743.2123831859,5940
2020-03-17,5877.9291270671,5877.9291270671,5877.9291270671,5877.9291270671,1020
2020-03-18,6097.7310437007,6289.1720625463,6097.7310437007,6097.7310437007,18200
2020-03-19,6303.3525114402,6303.3525114402,5885.0201779769,6026.8271463052,1070
2020-03-20,5885.0201779769,6239.5388384917,5885.0201779769,6026.8271463052,20640
2020-03-23,5672.3084857904,5672.3084857904,5608.4948128418,5615.5850372888,2430
2020-03-24,6005.5564729642,6005.5564729642,5885.0201779769,5885.0201779769,4020
2020-03-25,6026.8271463052,6026.8271463052,5530.5006909993,5991.3751976074,3280
2020-03-26,5587.2233130381,6310.4427358872,5587.2233130381,6019.7369218582,4090
2020-03-27,6026.8271463052,6026.8271463052,5636.8565370926,5636.8565370926,1020
2020-03-30,6019.7369218582,6019.7369218582,6019.7369218582,6019.7369218582,10
2020-03-31,5885.0201779769,5885.0201779769,5601.4045883948,5672.3084857904,10140
2020-04-01,5275.246825668,5948.8330244626,5275.246825668,5934.6525755687,2120
