date,open,high,low,close,volume
2020-01-02,17855.151909,17971.8522165,17816.2521306,17855.151909,114410
2020-01-03,17894.0516874,17894.0516874,17582.8515156,17738.4516015,100340
2020-01-06,17816.2521306,17855.151909,17660.6510724,17660.6510724,113870
2020-01-07,17816.2521306,17816.2521306,17505.0509865,17505.0509865,182440
2020-01-08,17699.5518231,17699.5518231,17388.350679,17543.9507649,95080
2020-01-09,17543.9507649,17660.6510724,17116.0502856,17427.2504574,62710
2020-01-10,17505.0509865,17699.5518231,17427.2504574,17621.751294,71350
2020-01-13,17621.751294,17621.751294,17349.4509006,17427.2504574,28480
2020-01-14,17505.0509865,17505.0509865,17193.8498424,17427.2504574,75660
2020-01-15,17505.0509865,17505.0509865,17349.4509006,17388.350679,38820
2020-01-16,17310.5501499,17310.5501499,17193.8498424,17271.6503715,38710
2020-01-17,17271.6503715,17310.5501499,17116.0502856,17232.7505931,70080
2020-01-20,17038.2497565,17349.4509006,16338.0479115,17116.0502856,89570
2020-01-21,17193.8498424,17349.4509006,16960.4492274,17349.4509006,23310
2020-01-22,17427.2504574,17855.151909,17271.6503715,17271.6503715,127540
2020-01-30,17271.6503715,17894.0516874,16960.4492274,17116.0502856,109900
2020-01-31,17116.0502856,17116.0502856,15987.946989,15987.946989,88180
2020-02-03,15987.946989,16338.0479115,14898.7434708,15521.1447867,305310
2020-02-04,15560.0455374,15560.0455374,14859.8436924,14937.6432492,319570
2020-02-05,14937.6432492,15171.0438642,14898.7434708,14937.6432492,295200
2020-02-06,14937.6432492,15560.0455374,14937.6432492,15054.3435567,729180
2020-02-07,15404.4444792,15521.1447867,15054.3435567,15209.9446149,541870
2020-02-10,15209.9446149,15910.1464599,15054.3435567,15871.2466815,125220
2020-02-11,15715.6456233,16454.748219,15715.6456233,16338.0479115,242380
2020-02-12,16649.2480833,16882.6496706,16493.6479974,16804.8491415,298230
2020-02-13,16804.8491415,16804.8491415,16338.0479115,16493.6479974,159890
2020-02-14,16338.0479115,16571.4485265,16065.7465458,16415.8474683,98900
2020-02-17,16299.1471608,16688.148834,15949.0462383,16649.2480833,187730
2020-02-18,16765.9483908,17038.2497565,16649.2480833,16882.6496706,250130
2020-02-19,17077.1495349,17077.1495349,16882.6496706,17038.2497565,122580
2020-02-20,16960.4492274,17077.1495349,16571.4485265,16765.9483908,248130
2020-02-21,16765.9483908,16921.549449,16338.0479115,16415.8474683,191700
2020-02-24,16182.4468533,16415.8474683,15637.8450942,15637.8450942,362630
2020-02-25,15637.8450942,16104.6472965,15637.8450942,16065.7465458,75480
2020-02-26,15754.546374,16104.6472965,15715.6456233,15871.2466815,261260
2020-02-27,15871.2466815,16260.2473824,15793.4461524,16104.6472965,141730
2020-02-28,16104.6472965,16415.8474683,15949.0462383,16221.347604,165430
2020-03-02,16338.0479115,16921.549449,16338.0479115,16493.6479974,151350
2020-03-03,16882.6496706,16960.4492274,16104.6472965,16338.0479115,91630
2020-03-04,16338.0479115,16610.3483049,16260.2473824,16338.0479115,37200
2020-03-05,16260.2473824,16338.0479115,15949.0462383,15949.0462383,255710
2020-03-06,15949.0462383,16182.4468533,15949.0462383,16221.347604,31380
2020-03-09,15910.1464599,15910.1464599,15015.4437783,15015.4437783,369510
2020-03-10,14859.8436924,15326.6449224,14820.9429417,15326.6449224,129970
2020-03-11,15404.4444792,15832.3459308,15132.1440858,15482.2450083,159470
2020-03-12,14937.6432492,15793.4461524,14937.6432492,14937.6432492,373020
2020-03-13,14782.0431633,15326.6449224,14237.4414042,14937.6432492,266490
2020-03-16,15093.2443074,15093.2443074,14548.6425483,14626.4430774,99310
2020-03-17,14743.1433849,14820.9429417,14393.0414901,14820.9429417,229020
2020-03-18,14782.0431633,14937.6432492,14393.0414901,14859.8436924,251610
2020-03-19,14782.0431633,14859.8436924,14548.6425483,14859.8436924,102430
2020-03-20,14782.0431633,14820.9429417,14509.7417976,14820.9429417,127160
2020-03-23,14820.9429417,14820.9429417,13809.5399526,13809.5399526,404970
2020-03-24,13381.6394733,14004.0407892,13381.6394733,13926.2402601,100110
2020-03-25,13848.4407033,14159.6408751,13809.5399526,13809.5399526,127590
2020-03-26,13809.5399526,14004.0407892,13576.1393376,13615.0400883,188040
2020-03-27,13615.0400883,13926.2402601,13537.2395592,13615.0400883,80590
2020-03-30,13226.0384151,13576.1393376,12720.3374067,12798.1369635,102080
2020-03-31,12720.3374067,13070.4383292,12448.036041,12448.036041,167850
2020-04-01,12448.036041,12875.9374926,12448.036041,12720.3374067,75300
2020-04-03,12837.0377142,13576.1393376,12798.1369635,13187.1386367,317710
2020-04-06,13498.3397808,13692.8396451,13187.1386367,13653.9398667,366610
2020-04-07,13965.1410108,13965.1410108,13381.6394733,13615.0400883,327190
2020-04-08,13537.2395592,13615.0400883,13303.8389442,13615.0400883,153190
2020-04-09,13537.2395592,14237.4414042,13537.2395592,14004.0407892,240500
2020-04-10,13965.1410108,14004.0407892,13692.8396451,13848.4407033,186080
2020-04-13,13692.8396451,14042.9405676,13692.8396451,14004.0407892,246930
2020-04-14,14004.0407892,14004.0407892,13848.4407033,13965.1410108,176090
2020-04-15,14120.7410967,14393.0414901,13965.1410108,14276.3411826,329290
2020-04-16,14315.2419333,14859.8436924,14276.3411826,14782.0431633,171760
2020-04-17,14937.6432492,15171.0438642,14782.0431633,14820.9429417,515700
2020-04-20,14859.8436924,15132.1440858,14782.0431633,15015.4437783,140840
2020-04-21,14782.0431633,14859.8436924,14237.4414042,14315.2419333,242660
2020-04-22,14159.6408751,14704.2426342,14159.6408751,14470.8420192,93170
2020-04-23,15093.2443074,15209.9446149,14704.2426342,14898.7434708,336290
2020-04-24,15093.2443074,15910.1464599,14859.8436924,15910.1464599,549700
2020-04-27,16338.0479115,16688.148834,16182.4468533,16221.347604,348320
2020-04-28,16143.5470749,16143.5470749,15793.4461524,15832.3459308,248600
2020-04-29,15793.4461524,16260.2473824,15715.6456233,15871.2466815,265180
2020-05-04,16960.4492274,16960.4492274,15949.0462383,16104.6472965,232560
2020-05-05,15987.946989,16104.6472965,15793.4461524,15949.0462383,76770
2020-05-06,15949.0462383,16415.8474683,15910.1464599,16065.7465458,130980
2020-05-07,16299.1471608,16299.1471608,15987.946989,16104.6472965,137830
2020-05-08,16182.4468533,16610.3483049,16104.6472965,16143.5470749,428270
2020-05-11,16143.5470749,16415.8474683,16143.5470749,16299.1471608,295000
2020-05-12,16299.1471608,16765.9483908,16299.1471608,16727.0486124,208830
2020-05-13,16804.8491415,16921.549449,16610.3483049,16727.0486124,332540
2020-05-14,16688.148834,16843.7489199,16649.2480833,16843.7489199,267590
2020-05-15,16882.6496706,17077.1495349,16532.5477758,16532.5477758,226160
2020-05-18,16532.5477758,16571.4485265,16454.748219,16493.6479974,114420
2020-05-19,16610.3483049,16882.6496706,16610.3483049,16610.3483049,132790
2020-05-20,16727.0486124,16843.7489199,16727.0486124,16765.9483908,183470
2020-05-21,16804.8491415,16882.6496706,16727.0486124,16843.7489199,216650
2020-05-22,16882.6496706,16999.3499781,16804.8491415,16921.549449,154390
2020-05-25,17116.0502856,17699.5518231,16960.4492274,17699.5518231,278820
2020-05-26,17816.2521306,17816.2521306,17505.0509865,17699.5518231,113150
2020-05-27,17816.2521306,17816.2521306,17116.0502856,17116.0502856,280940
2020-05-28,17116.0502856,17427.2504574,17077.1495349,17116.0502856,129550
2020-05-29,17116.0502856,17193.8498424,17038.2497565,17193.8498424,121200
2020-06-01,17427.2504574,17505.0509865,17116.0502856,17427.2504574,238920
2020-06-02,17427.2504574,17543.9507649,16727.0486124,16882.6496706,202730
2020-06-03,16960.4492274,17388.350679,16960.4492274,17077.1495349,125270
2020-06-04,16882.6496706,17116.0502856,16882.6496706,17116.0502856,135870
2020-06-05,17116.0502856,17738.4516015,17116.0502856,17660.6510724,210090
2020-06-08,17816.2521306,18244.1535822,17699.5518231,18244.1535822,288460
2020-06-09,18244.1535822,18399.7536681,18049.6527456,18205.2528315,190240
2020-06-10,17971.8522165,18983.2552056,17971.8522165,18749.8545906,301140
