date,open,high,low,close,volume
2020-01-02,16377.5917305,16605.6915024,16331.9719563,16377.5917305,27230
2020-01-03,16605.6915024,16605.6915024,16331.9719563,16331.9719563,13000
2020-01-06,16377.5917305,17107.5117213,16286.3512812,16423.2115047,11490
2020-01-07,16651.3121775,16651.3121775,16331.9719563,16423.2115047,8250
2020-01-08,16423.2115047,16423.2115047,15967.01106,16331.9719563,8140
2020-01-09,16195.1117328,16423.2115047,15967.01106,15967.01106,41880
2020-01-10,16240.731507,16240.731507,15967.01106,15967.01106,8760
2020-01-13,15967.01106,15967.01106,15738.9112881,15898.5813987,10070
2020-01-14,15738.9112881,15967.01106,15328.3306176,15784.5310623,30450
2020-01-15,15282.7108434,15921.3912858,15282.7108434,15875.7715116,7700
2020-01-16,15830.1508365,15875.7715116,15556.4312904,15784.5310623,17820
2020-01-17,15784.5310623,15784.5310623,15556.4312904,15738.9112881,18780
2020-01-20,15738.9112881,15738.9112881,15373.9512927,15738.9112881,31990
2020-01-21,15510.8106153,15738.9112881,15328.3306176,15328.3306176,29790
2020-01-22,15328.3306176,15693.2915139,15328.3306176,15693.2915139,18030
2020-01-30,15693.2915139,15693.2915139,15054.6110715,15237.0910692,28690
2020-01-31,15237.0910692,15237.0910692,14598.4106268,14598.4106268,20330
2020-02-03,13594.7692881,14142.2101821,13594.7692881,13640.3899632,27210
2020-02-04,14142.2101821,14142.2101821,13708.8196245,14073.7796199,4350
2020-02-05,13549.1495139,13914.1095093,13549.1495139,13708.8196245,38860
2020-02-06,13708.8196245,14598.4106268,13708.8196245,14142.2101821,50040
2020-02-07,14598.4106268,14598.4106268,14142.2101821,14233.4497305,17340
2020-02-10,14142.2101821,14233.4497305,13822.8699609,14005.3499586,18570
2020-02-11,14005.3499586,14005.3499586,13686.0097374,13959.7301844,42100
2020-02-12,13959.7301844,13959.7301844,13503.5297397,13868.4897351,75170
2020-02-13,13229.8092927,13822.8699609,13229.8092927,13686.0097374,82490
2020-02-14,13686.0097374,14507.1701775,13594.7692881,14507.1701775,140120
2020-02-17,14507.1701775,14575.6007397,14142.2101821,14370.309954,27360
2020-02-18,14415.9306291,14507.1701775,14370.309954,14461.5504033,14000
2020-02-19,14461.5504033,15419.5710669,14461.5504033,14644.030401,39460
2020-02-20,15282.7108434,15282.7108434,14780.8906245,15054.6110715,19920
2020-02-21,14826.5103987,15237.0910692,14598.4106268,15054.6110715,14440
2020-02-24,14005.3499586,14689.6501752,14005.3499586,14005.3499586,42840
2020-02-25,14005.3499586,14279.0704056,13686.0097374,14005.3499586,19990
2020-02-26,13914.1095093,13914.1095093,13594.7692881,13686.0097374,47810
2020-02-27,14096.5904079,14096.5904079,13686.0097374,14005.3499586,11320
2020-02-28,13686.0097374,13891.2996222,13594.7692881,13868.4897351,23530
2020-03-02,13868.4897351,14050.9697328,13686.0097374,13868.4897351,19330
2020-03-03,14142.2101821,14347.5000669,13959.7301844,14187.8299563,24210
2020-03-04,13868.4897351,14279.0704056,13868.4897351,14142.2101821,7080
2020-03-05,14142.2101821,14187.8299563,13914.1095093,14096.5904079,16730
2020-03-06,14096.5904079,14142.2101821,13914.1095093,14050.9697328,10960
2020-03-09,13686.0097374,13686.0097374,13070.1391821,13070.1391821,73590
2020-03-10,12682.3692996,13686.0097374,12682.3692996,13366.6695162,18190
2020-03-11,13412.2892904,13412.2892904,12431.4587397,12431.4587397,82700
2020-03-12,12431.4587397,12431.4587397,11564.6785254,12431.4587397,59610
2020-03-13,10766.3279724,11313.7679655,10766.3279724,10857.5675208,129850
2020-03-16,10492.6075254,11405.0084148,10492.6075254,10834.7576337,65240
2020-03-17,10104.836742,10720.7072973,10104.836742,10629.4677489,32020
2020-03-18,11313.7679655,11313.7679655,10583.8470738,10583.8470738,71960
2020-03-19,10492.6075254,10629.4677489,10310.1275277,10583.8470738,24750
2020-03-20,10583.8470738,10948.8079701,10492.6075254,10538.2272996,8020
2020-03-23,10218.8870784,10401.3670761,9808.3073088,9808.3073088,37370
2020-03-24,9990.7873065,9990.7873065,9717.0668595,9808.3073088,38980
2020-03-25,10424.1769632,10446.9877512,10218.8870784,10446.9877512,58500
2020-03-26,10355.7473019,10948.8079701,9899.5468572,10583.8470738,37520
2020-03-27,10104.836742,10675.0875231,10104.836742,10583.8470738,52650
2020-03-30,9990.7873065,10492.6075254,9853.927083,10492.6075254,110560
2020-03-31,10492.6075254,10583.8470738,9762.6866337,10264.5068526,70880
2020-04-01,10036.4070807,10492.6075254,10036.4070807,10401.3670761,13560
2020-04-03,10401.3670761,10948.8079701,10401.3670761,10948.8079701,25960
2020-04-06,11587.4884125,11678.7279609,11405.0084148,11633.1081867,38870
2020-04-07,12317.4084033,12317.4084033,11405.0084148,12271.7886291,41190
2020-04-08,11861.2088595,11861.2088595,11450.628189,11747.1585231,28700
2020-04-09,11861.2088595,12089.3086314,11633.1081867,12089.3086314,77110
2020-04-10,11861.2088595,12226.1688549,11861.2088595,12089.3086314,21100
2020-04-13,12134.9284056,12226.1688549,11952.4484079,12089.3086314,29560
2020-04-14,12317.4084033,12317.4084033,11929.6385208,12271.7886291,53520
2020-04-15,12591.1288503,12750.7989609,12499.8893019,12636.7486245,34680
2020-04-16,12705.1791867,13115.7589563,12636.7486245,13115.7589563,47220
2020-04-17,13503.5297397,13822.8699609,13229.8092927,13457.9099655,49000
2020-04-20,13731.6295116,13891.2996222,13457.9099655,13549.1495139,57800
2020-04-21,13549.1495139,13594.7692881,12613.9387374,12613.9387374,66530
2020-04-22,12613.9387374,12773.608848,12317.4084033,12773.608848,66130
2020-04-23,13640.3899632,13640.3899632,12819.2295231,13092.9490692,26860
2020-04-24,13206.9994056,13321.049742,12819.2295231,13321.049742,14580
2020-04-27,13321.049742,13366.6695162,12727.9890738,13092.9490692,67900
2020-04-28,13184.1895185,13184.1895185,12750.7989609,13001.7095208,21790
2020-04-29,13092.9490692,13092.9490692,12773.608848,13070.1391821,21400
2020-05-04,13070.1391821,13070.1391821,12727.9890738,12910.4690715,15600
2020-05-05,12956.0888457,12956.0888457,12591.1288503,12956.0888457,5370
2020-05-06,12887.6591844,12910.4690715,12727.9890738,12887.6591844,56460
2020-05-07,13001.7095208,13275.4290669,13001.7095208,13184.1895185,20920
2020-05-08,13229.8092927,13229.8092927,13047.329295,13047.329295,40120
2020-05-11,13138.5697443,13138.5697443,12864.8492973,12978.8996337,32810
2020-05-12,12978.8996337,13229.8092927,12910.4690715,13229.8092927,30930
2020-05-13,13229.8092927,13594.7692881,13092.9490692,13412.2892904,77490
2020-05-14,13138.5697443,13366.6695162,12933.2789586,13184.1895185,48400
2020-05-15,13206.9994056,13229.8092927,12773.608848,13229.8092927,78510
2020-05-18,13229.8092927,13229.8092927,12864.8492973,13001.7095208,12390
2020-05-19,13001.7095208,13184.1895185,12887.6591844,13001.7095208,45490
2020-05-20,13001.7095208,13001.7095208,12591.1288503,12887.6591844,65660
2020-05-21,12682.3692996,13024.5194079,12682.3692996,12887.6591844,39450
2020-05-22,12956.0888457,12956.0888457,12727.9890738,12773.608848,50860
2020-05-25,12773.608848,12864.8492973,12705.1791867,12864.8492973,37040
2020-05-26,12910.4690715,12910.4690715,12773.608848,12910.4690715,32280
2020-05-27,12864.8492973,12864.8492973,12705.1791867,12705.1791867,85760
2020-05-28,12705.1791867,12727.9890738,12499.8893019,12727.9890738,41270
2020-05-29,12910.4690715,12910.4690715,12499.8893019,12705.1791867,33720
2020-06-01,12705.1791867,12727.9890738,12636.7486245,12705.1791867,58880
2020-06-02,12773.608848,12773.608848,12636.7486245,12659.5594125,33650
2020-06-03,12659.5594125,12727.9890738,12591.1288503,12727.9890738,12490
2020-06-04,12773.608848,12887.6591844,12750.7989609,12864.8492973,121340
2020-06-05,12978.8996337,12978.8996337,12819.2295231,12864.8492973,49660
2020-06-08,12864.8492973,13754.4393987,12773.608848,13754.4393987,202150
2020-06-09,14507.1701775,14507.1701775,14256.2605185,14279.0704056,160130
2020-06-10,14370.309954,14370.309954,13868.4897351,13868.4897351,113820
2020-06-11,14005.3499586,14005.3499586,12910.4690715,12910.4690715,129910
2020-06-12,12545.5090761,13457.9099655,12545.5090761,13229.8092927,265750
2020-06-15,13275.4290669,13275.4290669,12864.8492973,13001.7095208,126620
2020-06-16,13184.1895185,13229.8092927,12933.2789586,13047.329295,28820
2020-06-17,13526.3396268,13526.3396268,13001.7095208,13549.1495139,14190
2020-06-18,13412.2892904,13640.3899632,13138.5697443,13640.3899632,35390
2020-06-19,13640.3899632,14028.1598457,13640.3899632,14005.3499586,55980
2020-06-22,14005.3499586,14324.6901798,13731.6295116,14005.3499586,52130
2020-06-23,14005.3499586,14438.7405162,13663.1998503,14142.2101821,118340
2020-06-24,14142.2101821,14484.3602904,14005.3499586,14005.3499586,49950
2020-06-25,13412.2892904,13959.7301844,13412.2892904,13777.2501867,18610
2020-06-26,13777.2501867,14301.8802927,13777.2501867,14187.8299563,152780
2020-06-29,14187.8299563,14256.2605185,13686.0097374,14050.9697328,69070
2020-06-30,14142.2101821,14575.6007397,13914.1095093,14165.0200692,81140
2020-07-01,14575.6007397,14575.6007397,14142.2101821,14142.2101821,21360
2020-07-02,14142.2101821,14301.8802927,14028.1598457,14210.6398434,34780
2020-07-03,14256.2605185,14256.2605185,13777.2501867,13777.2501867,32570
2020-07-06,14119.400295,14119.400295,13800.0600738,13800.0600738,63340
2020-07-07,13914.1095093,13959.7301844,13777.2501867,13777.2501867,40740
2020-07-08,13777.2501867,13777.2501867,13229.8092927,13366.6695162,70180
2020-07-09,13457.9099655,13663.1998503,13389.4794033,13549.1495139,33020
2020-07-10,13686.0097374,13686.0097374,13366.6695162,13549.1495139,14360
2020-07-13,13549.1495139,13731.6295116,13366.6695162,13457.9099655,29730
2020-07-14,13457.9099655,13457.9099655,13252.6191798,13457.9099655,35290
2020-07-15,13457.9099655,13571.959401,13435.0991775,13526.3396268,21340
2020-07-16,13526.3396268,13571.959401,13435.0991775,13457.9099655,14610
2020-07-17,13549.1495139,13731.6295116,13457.9099655,13731.6295116,46130
2020-07-20,13914.1095093,14393.1198411,13914.1095093,14187.8299563,96810
2020-07-21,14370.309954,14370.309954,13822.8699609,13959.7301844,16150
2020-07-22,14187.8299563,14187.8299563,13686.0097374,13959.7301844,33900
2020-07-23,13959.7301844,13959.7301844,13594.7692881,13822.8699609,16160
2020-07-24,13822.8699609,13822.8699609,12864.8492973,13001.7095208,33060
2020-07-27,12773.608848,12773.608848,12112.1185185,12454.2686268,114660
2020-07-28,12545.5090761,13321.049742,12545.5090761,13229.8092927,43790
2020-07-29,13229.8092927,13229.8092927,12545.5090761,13001.7095208,23490
2020-07-30,13184.1895185,13229.8092927,13001.7095208,13229.8092927,27090
2020-07-31,13229.8092927,13229.8092927,13001.7095208,13047.329295,9950
2020-08-03,13047.329295,13457.9099655,13047.329295,13229.8092927,31850
2020-08-04,13229.8092927,13868.4897351,13229.8092927,13868.4897351,32660
2020-08-05,13891.2996222,14096.5904079,13868.4897351,13959.7301844,78880
2020-08-06,13959.7301844,14233.4497305,13914.1095093,13914.1095093,24310
2020-08-07,14050.9697328,14050.9697328,13800.0600738,13914.1095093,30450
2020-08-10,14142.2101821,14461.5504033,13914.1095093,14279.0704056,129860
2020-08-11,14370.309954,14370.309954,13914.1095093,14187.8299563,32440
2020-08-12,14142.2101821,14370.309954,14142.2101821,14187.8299563,38310
2020-08-13,14279.0704056,14279.0704056,13686.0097374,14096.5904079,35690
2020-08-14,14096.5904079,14096.5904079,13777.2501867,14005.3499586,34710
2020-08-17,14005.3499586,14005.3499586,13708.8196245,13868.4897351,27630
2020-08-18,13868.4897351,14005.3499586,13777.2501867,13822.8699609,21320
2020-08-19,13914.1095093,14324.6901798,13822.8699609,14233.4497305,63830
2020-08-20,14370.309954,15191.4703941,14279.0704056,14826.5103987,214350
