date,open,high,low,close,volume
2020-01-02,3742.3130409,3742.3130409,3602.2264677,3682.276038,8420
2020-01-03,3677.2732458,3702.2886054,3552.1957485,3672.2697543,16530
2020-01-06,3602.2264677,3662.2634706,3577.2111081,3577.2111081,11220
2020-01-07,3752.3193246,3752.3193246,3577.2111081,3577.2111081,37850
2020-01-08,3407.1056838,3637.248111,3407.1056838,3567.2048244,14260
2020-01-09,3602.2264677,3602.2264677,3552.1957485,3602.2264677,10500
2020-01-10,3517.1741052,3602.2264677,3457.1371023,3602.2264677,15490
2020-01-13,3542.1894648,3652.2571869,3482.1524619,3652.2571869,25490
2020-01-14,3652.2571869,3652.2571869,3542.1894648,3637.248111,5160
2020-01-15,3602.2264677,3617.2355436,3542.1894648,3617.2355436,5070
2020-01-16,3557.1985407,3617.2355436,3527.1803889,3617.2355436,10930
2020-01-17,3637.248111,3637.248111,3512.1706137,3552.1957485,21700
2020-01-20,3602.2264677,3602.2264677,3547.192257,3597.2236755,3960
2020-01-21,3597.2236755,3602.2264677,3597.2236755,3602.2264677,13300
2020-01-22,3552.1957485,3702.2886054,3552.1957485,3697.2851139,53530
2020-01-30,3627.2418273,3627.2418273,3602.2264677,3602.2264677,10060
2020-01-31,3502.1650293,3702.2886054,3502.1650293,3702.2886054,120040
2020-02-03,3502.1650293,3577.2111081,3447.1308186,3577.2111081,112910
2020-02-04,3502.1650293,3552.1957485,3367.0812483,3552.1957485,45670
2020-02-05,3502.1650293,3527.1803889,3502.1650293,3527.1803889,11070
2020-02-06,3502.1650293,3597.2236755,3452.1336108,3597.2236755,44540
2020-02-07,3597.2236755,3597.2236755,3472.1461782,3587.2173918,35820
2020-02-10,3472.1461782,3547.192257,3452.1336108,3537.1866726,10260
2020-02-11,3502.1650293,3527.1803889,3472.1461782,3527.1803889,23450
2020-02-12,3497.1615378,3527.1803889,3452.1336108,3527.1803889,13340
2020-02-13,3502.1650293,3527.1803889,3477.1489704,3527.1803889,11510
2020-02-14,3527.1803889,3527.1803889,3452.1336108,3522.1768974,6490
2020-02-17,3522.1768974,3522.1768974,3352.0721724,3502.1650293,111570
2020-02-18,3457.1371023,3502.1650293,3392.0966079,3482.1524619,59560
2020-02-19,3492.1587456,3502.1650293,3402.1028916,3502.1650293,162820
2020-02-20,3502.1650293,3502.1650293,3427.1182512,3497.1615378,64870
2020-02-21,3442.1273271,3487.1552541,3427.1182512,3487.1552541,34200
2020-02-24,3417.1119675,3452.1336108,3352.0721724,3377.087532,70080
2020-02-25,3282.0288858,3397.0994001,3282.0288858,3397.0994001,6010
2020-02-26,3352.0721724,3397.0994001,3302.0407539,3397.0994001,21990
2020-02-27,3427.1182512,3427.1182512,3322.0533213,3422.115459,19660
2020-02-28,3402.1028916,3402.1028916,3352.0721724,3402.1028916,27990
2020-03-02,3362.0777568,3402.1028916,3362.0777568,3402.1028916,37260
2020-03-03,3507.1678215,3507.1678215,3377.087532,3452.1336108,29320
2020-03-04,3472.1461782,3477.1489704,3407.1056838,3452.1336108,27630
2020-03-05,3452.1336108,3547.192257,3452.1336108,3502.1650293,104920
2020-03-06,3457.1371023,3492.1587456,3412.1091753,3492.1587456,62600
2020-03-09,3452.1336108,3452.1336108,3252.0100347,3352.0721724,147880
2020-03-10,3302.0407539,3432.1210434,3201.9793155,3432.1210434,61490
2020-03-11,3402.1028916,3402.1028916,3237.0009588,3352.0721724,202240
2020-03-12,3252.0100347,3252.0100347,3121.9297452,3242.003751,143060
2020-03-13,3051.8864586,3196.975824,3016.8648153,3196.975824,102010
2020-03-16,3051.8864586,3151.947897,3051.8864586,3151.947897,42130
2020-03-17,3006.8585316,3151.947897,2931.8124528,3151.947897,145800
2020-03-18,3151.947897,3372.0840405,3151.947897,3372.0840405,218480
2020-03-19,3201.9793155,3352.0721724,3136.9388211,3342.0658887,97660
2020-03-20,3352.0721724,3352.0721724,3111.9234615,3252.0100347,205160
2020-03-23,3076.9018182,3081.9046104,3016.8648153,3016.8648153,116890
2020-03-24,2856.7656747,3001.8557394,2806.7349555,2901.7936017,72070
2020-03-25,2901.7936017,2966.8340961,2851.7628825,2946.8215287,141660
2020-03-26,2946.8215287,2946.8215287,2811.7377477,2916.8026776,87010
2020-03-27,2751.7007448,2901.7936017,2751.7007448,2756.7042363,142480
2020-03-30,2751.7007448,2751.7007448,2566.5862446,2601.6078879,461400
2020-03-31,2481.5338821,2651.6393064,2471.5275984,2651.6393064,30370
2020-04-01,2551.5771687,2831.7503151,2551.5771687,2831.7503151,26770
2020-04-03,2751.7007448,2881.7810343,2746.6979526,2876.7782421,73880
2020-04-06,2936.815245,3021.8676075,2936.815245,3011.8613238,86030
2020-04-07,3146.9451048,3146.9451048,2851.7628825,2991.8494557,64160
2020-04-08,2991.8494557,2991.8494557,2831.7503151,2971.8368883,130180
2020-04-09,2976.8396805,3076.9018182,2971.8368883,3071.899026,69350
2020-04-10,3071.899026,3086.9081019,2901.7936017,3071.899026,90160
2020-04-13,3071.899026,3076.9018182,2951.8243209,3076.9018182,47780
2020-04-14,3071.899026,3071.899026,2951.8243209,3066.8955345,72690
2020-04-15,3051.8864586,3171.9604644,3051.8864586,3171.9604644,92460
2020-04-16,3126.9325374,3151.947897,3061.8927423,3146.9451048,191000
2020-04-17,3101.9171778,3126.9325374,3066.8955345,3126.9325374,417300
2020-04-20,3081.9046104,3126.9325374,3051.8864586,3101.9171778,232650
2020-04-21,3026.871099,3091.9108941,2901.7936017,2956.8278124,243680
2020-04-22,2926.8089613,2991.8494557,2876.7782421,2956.8278124,198710
2020-04-23,2926.8089613,2971.8368883,2886.7845258,2896.7908095,121190
2020-04-24,2896.7908095,2901.7936017,2861.7691662,2901.7936017,288060
2020-04-27,2951.8243209,2951.8243209,2826.7475229,2846.759391,84110
2020-04-28,2871.7747506,2871.7747506,2751.7007448,2846.759391,188640
2020-04-29,2846.759391,2851.7628825,2796.7286718,2841.7565988,119200
2020-05-04,2776.7161044,2776.7161044,2651.6393064,2726.6853852,187510
2020-05-05,2656.6420986,2726.6853852,2656.6420986,2716.6791015,102200
2020-05-06,2711.6763093,2786.7223881,2681.6574582,2786.7223881,159330
2020-05-07,2786.7223881,2791.7258796,2706.6728178,2786.7223881,99440
2020-05-08,2786.7223881,2851.7628825,2776.7161044,2826.7475229,149210
2020-05-11,2806.7349555,2886.7845258,2801.731464,2861.7691662,170190
2020-05-12,2861.7691662,3051.8864586,2851.7628825,3026.871099,244930
2020-05-13,3026.871099,3026.871099,2976.8396805,3001.8557394,119520
2020-05-14,2976.8396805,3066.8955345,2976.8396805,3051.8864586,120780
2020-05-15,3076.9018182,3076.9018182,2971.8368883,3041.8801749,147240
2020-05-18,2976.8396805,3041.8801749,2976.8396805,3041.8801749,108330
2020-05-19,3051.8864586,3051.8864586,3001.8557394,3051.8864586,117430
2020-05-20,3051.8864586,3076.9018182,3031.8738912,3076.9018182,180280
2020-05-21,3076.9018182,3141.9423126,3076.9018182,3131.9360289,131560
2020-05-22,3131.9360289,3146.9451048,3066.8955345,3136.9388211,126820
2020-05-25,3136.9388211,3136.9388211,3091.9108941,3131.9360289,129310
2020-05-26,3126.9325374,3252.0100347,3116.9262537,3226.9946751,221060
2020-05-27,3362.0777568,3362.0777568,3151.947897,3201.9793155,199710
2020-05-28,3201.9793155,3262.0163184,3176.9639559,3226.9946751,98550
2020-05-29,3242.003751,3247.0072425,3101.9171778,3242.003751,226800
2020-06-01,3242.003751,3462.1398945,3242.003751,3427.1182512,375730
2020-06-02,3477.1489704,3477.1489704,3352.0721724,3427.1182512,200630
2020-06-03,3427.1182512,3427.1182512,3312.0470376,3427.1182512,89410
2020-06-04,3452.1336108,3662.2634706,3452.1336108,3662.2634706,740470
2020-06-05,3667.2669621,3842.3751786,3652.2571869,3802.3500438,372570
2020-06-08,3907.4149737,4027.4896788,3877.3968219,3992.4680355,885580
2020-06-09,4002.4736199,4002.4736199,3757.3221168,3852.3814623,350760
2020-06-10,3812.3563275,3917.4212574,3727.303965,3877.3968219,367280
2020-06-11,3782.3381757,3907.4149737,3702.2886054,3702.2886054,419540
2020-06-12,3457.1371023,3602.2264677,3447.1308186,3597.2236755,276960
2020-06-15,3552.1957485,3602.2264677,3372.0840405,3402.1028916,280940
2020-06-16,3597.2236755,3597.2236755,3367.0812483,3557.1985407,153790
2020-06-17,3557.1985407,3572.2083159,3502.1650293,3527.1803889,150150
2020-06-18,3527.1803889,3567.2048244,3502.1650293,3552.1957485,122610
2020-06-19,3577.2111081,3582.2139003,3517.1741052,3577.2111081,74360
2020-06-22,3622.2390351,3752.3193246,3622.2390351,3697.2851139,240070
2020-06-23,3697.2851139,3892.4058978,3697.2851139,3777.3346842,299020
2020-06-24,3852.3814623,3912.4184652,3702.2886054,3797.3472516,407910
2020-06-25,3677.2732458,3847.3779708,3677.2732458,3847.3779708,157220
2020-06-26,3802.3500438,3827.3654034,3627.2418273,3827.3654034,149040
2020-06-29,3662.2634706,3752.3193246,3562.2020322,3652.2571869,187070
2020-06-30,3702.2886054,3702.2886054,3507.1678215,3652.2571869,100600
2020-07-01,3602.2264677,3702.2886054,3527.1803889,3702.2886054,79430
2020-07-02,3612.2327514,3692.2823217,3577.2111081,3692.2823217,77130
2020-07-03,3697.2851139,3697.2851139,3607.2299592,3687.2788302,25930
2020-07-06,3687.2788302,3697.2851139,3602.2264677,3692.2823217,46140
2020-07-07,3667.2669621,3702.2886054,3652.2571869,3692.2823217,73130
2020-07-08,3652.2571869,3702.2886054,3652.2571869,3692.2823217,127030
