date,open,high,low,close,volume
2020-01-02,6242.7039478222,6499.6057881804,6229.8595291094,6422.5355353197,1341610
2020-01-03,6473.9154545212,6525.2961218396,6422.5355353197,6473.9154545212,473160
2020-01-06,6473.9154545212,6486.7606213508,6319.7749487998,6345.4645343421,361470
2020-01-07,6396.8452016605,6473.9154545212,6294.0846151406,6422.5355353197,328270
2020-01-08,6422.5355353197,6422.5355353197,6088.5634421007,6088.5634421007,493950
2020-01-09,6088.5634421007,6229.8595291094,5934.4221882624,6037.1827747823,257070
2020-01-10,6037.1827747823,6088.5634421007,5908.7326027201,5921.5777695497,417550
2020-01-13,5921.5777695497,6037.1827747823,5831.6623498594,5870.1971022313,203810
2020-01-14,5857.3519354017,5960.1125219216,5857.3519354017,5870.1971022313,174710
2020-01-15,5947.267355092,5947.267355092,5767.4365157114,5767.4365157114,268220
2020-01-16,5767.4365157114,5767.4365157114,5600.4508431603,5651.8307623618,271320
2020-01-17,5651.8307623618,5857.3519354017,5626.1411768195,5780.281682541,158030
2020-01-20,5857.3519354017,5857.3519354017,5690.3662628506,5767.4365157114,80080
2020-01-21,5805.9720162002,5805.9720162002,5703.2114296802,5780.281682541,50780
2020-01-22,5767.4365157114,5883.0422690609,5728.9017633394,5883.0422690609,69040
2020-01-30,5523.3805902996,5690.3662628506,5471.9999229812,5510.53542347,478230
2020-01-31,5407.7748369501,5510.53542347,5125.1834110495,5189.4084970806,328930
2020-02-03,4919.6622380097,4971.0421572112,4829.7468183194,4881.1267375209,500080
2020-02-04,4804.0564846602,5048.1124100719,4804.0564846602,5048.1124100719,358860
2020-02-05,4983.8873240408,5138.0278297622,4983.8873240408,5086.6479105607,94190
2020-02-06,5138.0278297622,5266.4787499414,5138.0278297622,5253.6335831118,134690
2020-02-07,5330.7045840894,5369.2393364613,5227.9439975694,5253.6335831118,130260
2020-02-10,5253.6335831118,5253.6335831118,5060.9575769015,5060.9575769015,131580
2020-02-11,4996.7324908704,5215.0988307398,4996.7324908704,5163.7181634214,77340
2020-02-12,5240.7884162822,5317.8594172598,5163.7181634214,5279.323916771,95780
2020-02-13,5240.7884162822,5317.8594172598,5215.0988307398,5240.7884162822,60700
2020-02-14,5240.7884162822,5240.7884162822,5176.563330251,5189.4084970806,48820
2020-02-17,5266.4787499414,5369.2393364613,5253.6335831118,5369.2393364613,89360
2020-02-18,5484.8450898108,5626.1411768195,5394.9296701205,5626.1411768195,178040
2020-02-19,5626.1411768195,5626.1411768195,5497.6902566404,5549.0701758419,76700
2020-02-20,5549.0701758419,5549.0701758419,5446.309589322,5446.309589322,152580
2020-02-21,5420.6200037797,5446.309589322,5292.1690836006,5317.8594172598,199250
2020-02-24,5266.4787499414,5317.8594172598,5073.8027437311,5073.8027437311,173950
2020-02-25,4971.0421572112,5163.7181634214,4971.0421572112,5163.7181634214,59830
2020-02-26,5138.0278297622,5202.2536639102,5009.5776577,5060.9575769015,249660
2020-02-27,5035.2672432423,5138.0278297622,4971.0421572112,4983.8873240408,349000
2020-02-28,4778.366151001,4983.8873240408,4778.366151001,4829.7468183194,282410
2020-03-02,4829.7468183194,5009.5776577,4829.7468183194,4919.6622380097,251960
2020-03-03,5099.4930773903,5099.4930773903,5009.5776577,5022.4228245296,273630
2020-03-04,5022.4228245296,5215.0988307398,5009.5776577,5035.2672432423,260360
2020-03-05,5163.7181634214,5163.7181634214,4958.1969903816,4971.0421572112,326480
2020-03-06,5009.5776577,5048.1124100719,4958.1969903816,5048.1124100719,75450
2020-03-09,4881.1267375209,5009.5776577,4778.366151001,4881.1267375209,368040
2020-03-10,4804.0564846602,4983.8873240408,4778.366151001,4881.1267375209,187840
2020-03-11,4932.5074048393,4945.351823552,4752.6758173418,4804.0564846602,298020
2020-03-12,4624.2256452795,4752.6758173418,4470.0843914412,4675.605564481,505910
2020-03-13,4547.1546443019,4598.5353116203,4405.8593054101,4598.5353116203,146380
2020-03-16,4572.8449779611,4752.6758173418,4521.4650587596,4572.8449779611,128100
2020-03-17,4354.4786380917,4572.8449779611,4354.4786380917,4482.9295582708,147560
2020-03-18,4572.8449779611,4585.6901447907,4482.9295582708,4495.7747251004,344460
2020-03-19,4508.61989193,4804.0564846602,4482.9295582708,4778.366151001,318430
2020-03-20,4778.366151001,4791.2113178306,4444.394057782,4457.2392246116,963920
2020-03-23,4457.2392246116,4470.0843914412,4148.9574650518,4148.9574650518,460440
2020-03-24,4148.9574650518,4431.5496390693,4007.66212616,4431.5496390693,208810
2020-03-25,4714.1410649698,4714.1410649698,4547.1546443019,4675.605564481,264440
2020-03-26,4624.2256452795,4637.0700639922,4470.0843914412,4534.3102255892,262110
2020-03-27,4495.7747251004,4624.2256452795,4495.7747251004,4534.3102255892,202850
2020-03-30,4470.0843914412,4842.5912370321,4367.3238049213,4842.5912370321,638140
2020-03-31,4971.0421572112,5035.2672432423,4572.8449779611,4829.7468183194,275860
2020-04-01,4881.1267375209,4958.1969903816,4829.7468183194,4958.1969903816,217860
2020-04-03,4958.1969903816,4971.0421572112,4855.4364038617,4919.6622380097,1449960
2020-04-06,5218.1204748182,5218.1204748182,5036.0931642778,5187.7820909835,839240
2020-04-07,5263.6269283948,5536.6686423222,5218.1204748182,5521.4990763464,1017040
2020-04-08,5521.4990763464,5673.188751169,5384.9789674996,5642.8511154512,364220
