date,open,high,low,close,volume
2020-01-02,4525.683839482,4588.930712223,4525.683839482,4574.876249983,117850
2020-01-03,4574.876249983,4581.903481103,4504.6012497915,4504.6012497915,385220
2020-01-06,4483.518660101,4497.5740186715,4427.29901848,4427.29901848,552080
2020-01-07,4427.29901848,4427.29901848,4349.997683499,4349.997683499,249910
2020-01-08,4328.9150938085,4349.997683499,4202.420451996,4223.5030416865,352060
2020-01-09,4272.6954521875,4272.6954521875,4160.2561689455,4188.365989756,356170
2020-01-10,4188.365989756,4216.4758105665,4181.3378623055,4202.420451996,127150
2020-01-13,4202.420451996,4216.4758105665,4174.3106311855,4216.4758105665,57990
2020-01-14,4216.4758105665,4244.585631377,4202.420451996,4216.4758105665,61460
2020-01-15,4216.4758105665,4237.5575039265,4188.365989756,4195.393220876,106320
2020-01-16,4216.4758105665,4216.4758105665,4167.2834000655,4195.393220876,152400
2020-01-17,4188.365989756,4188.365989756,4160.2561689455,4160.2561689455,159370
2020-01-20,4181.3378623055,4216.4758105665,4146.200810375,4153.228041495,180560
2020-01-21,4146.200810375,4181.3378623055,4146.200810375,4181.3378623055,76810
2020-01-22,4209.447683116,4272.6954521875,4209.447683116,4272.6954521875,159020
2020-01-30,4251.612862497,4286.7499144275,4167.2834000655,4181.3378623055,391530
2020-01-31,4216.4758105665,4216.4758105665,4153.228041495,4153.228041495,147910
2020-02-03,4075.926706514,4075.926706514,3865.10260227,3963.487423272,376280
2020-02-04,3991.5972440825,4040.788758253,3949.4320647015,4040.788758253,285620
2020-02-05,4005.6517063225,4040.788758253,3935.3776024615,3998.6244752025,234850
2020-02-06,4019.707064893,4040.788758253,3998.6244752025,4005.6517063225,278520
2020-02-07,4005.6517063225,4082.953937634,4005.6517063225,4075.926706514,235700
2020-02-10,4075.926706514,4075.926706514,4012.6789374425,4075.926706514,227350
2020-02-11,4075.926706514,4216.4758105665,4075.926706514,4167.2834000655,292740
2020-02-12,4146.200810375,4272.6954521875,4146.200810375,4258.640093617,497880
2020-02-13,4244.585631377,4272.6954521875,4237.5575039265,4272.6954521875,227040
2020-02-14,4286.7499144275,4392.1619665495,4279.7226833075,4342.9695560485,625020
2020-02-17,4378.1075043095,4378.1075043095,4279.7226833075,4293.778041878,349190
2020-02-18,4286.7499144275,4342.9695560485,4244.585631377,4335.9423249285,401920
2020-02-19,4335.9423249285,4349.997683499,4293.778041878,4342.9695560485,281190
2020-02-20,4342.9695560485,4420.27178736,4321.8878626885,4406.21732512,670430
2020-02-21,4399.1891976695,4427.29901848,4357.024914619,4371.079376859,156680
2020-02-24,4328.9150938085,4328.9150938085,4258.640093617,4272.6954521875,650830
2020-02-25,4146.200810375,4279.7226833075,4146.200810375,4279.7226833075,198850
2020-02-26,4251.612862497,4300.805272998,4251.612862497,4279.7226833075,290390
2020-02-27,4300.805272998,4349.997683499,4279.7226833075,4300.805272998,128770
2020-02-28,4265.667324737,4300.805272998,4258.640093617,4272.6954521875,147700
2020-03-02,4272.6954521875,4272.6954521875,4216.4758105665,4223.5030416865,407890
2020-03-03,4237.5575039265,4258.640093617,4209.447683116,4237.5575039265,360690
2020-03-04,4230.5302728065,4441.3543770505,4223.5030416865,4399.1891976695,882950
2020-03-05,4441.3543770505,4462.436966741,4342.9695560485,4342.9695560485,206880
2020-03-06,4342.9695560485,4357.024914619,4293.778041878,4293.778041878,146580
