date,open,high,low,close,volume
2020-01-02,4434.9086566753,4451.9006800275,4366.9405632662,4400.9246099708,285280
2020-01-03,4383.9325866185,4451.9006800275,4332.9565165617,4349.948539914,379590
2020-01-06,4315.9644932095,4349.948539914,4315.9644932095,4315.9644932095,334320
2020-01-07,4298.9724698572,4315.9644932095,4264.9884231527,4264.9884231527,256060
2020-01-08,4247.9969241485,4298.9724698572,4197.0208540917,4247.9969241485,308760
2020-01-09,4264.9884231527,4417.916633323,4247.9969241485,4417.916633323,109420
2020-01-10,4315.9644932095,4400.9246099708,4315.9644932095,4332.9565165617,121630
2020-01-13,4417.916633323,4417.916633323,4349.948539914,4383.9325866185,233240
2020-01-14,4417.916633323,4417.916633323,4315.9644932095,4349.948539914,427120
2020-01-15,4417.916633323,4417.916633323,4298.9724698572,4332.9565165617,279990
2020-01-16,4332.9565165617,4349.948539914,4247.9969241485,4247.9969241485,305870
2020-01-17,4247.9969241485,4264.9884231527,4214.0128774439,4247.9969241485,142700
2020-01-20,4264.9884231527,4315.9644932095,4231.0049007962,4281.9804465049,239160
2020-01-21,4231.0049007962,4315.9644932095,4231.0049007962,4298.9724698572,268570
2020-01-22,4315.9644932095,4332.9565165617,4247.9969241485,4281.9804465049,282360
2020-01-30,4264.9884231527,4281.9804465049,4231.0049007962,4231.0049007962,387190
2020-01-31,4231.0049007962,4247.9969241485,3942.1410281558,3942.1410281558,1236470
2020-02-03,3874.1729347468,3908.1569814513,3670.2691788677,3789.2128179855,606680
2020-02-04,3857.1809113945,4010.1091215649,3772.2213189813,3925.1490048035,404240
2020-02-05,3925.1490048035,3959.1330515081,3823.19686469,3857.1809113945,365140
2020-02-06,3908.1569814513,3993.1170982126,3823.19686469,3976.1250748603,324530
2020-02-07,3976.1250748603,4027.1006205691,3925.1490048035,3993.1170982126,209720
2020-02-10,3993.1170982126,3993.1170982126,3908.1569814513,3959.1330515081,127620
2020-02-11,3908.1569814513,3993.1170982126,3908.1569814513,3976.1250748603,114060
2020-02-12,3976.1250748603,4095.0687139781,3976.1250748603,4095.0687139781,313360
2020-02-13,4095.0687139781,4112.0607373304,4027.1006205691,4078.0766906258,150190
2020-02-14,4078.0766906258,4112.0607373304,4027.1006205691,4044.0926439213,200990
2020-02-17,4044.0926439213,4095.0687139781,4044.0926439213,4044.0926439213,112390
2020-02-18,4078.0766906258,4129.0527606826,4044.0926439213,4078.0766906258,204090
2020-02-19,4095.0687139781,4146.0447840349,4078.0766906258,4146.0447840349,247490
2020-02-20,4146.0447840349,4349.948539914,4112.0607373304,4298.9724698572,570380
