date,open,high,low,close,volume
2024-07-01,29370.0,29370.0,23496.0,27999.4,1250400
2024-07-02,27999.4,28244.15,27950.45,28097.3,719800
2024-07-03,28097.3,28391.0,26922.5,27412.0,656000
2024-07-04,27314.1,27412.0,26139.3,26335.1,555600
2024-07-05,26286.15,26335.1,25307.15,25307.15,509400
2024-07-08,25258.2,26433.0,25258.2,26433.0,195100
2024-07-09,26530.9,26628.8,26384.05,26481.95,299200
2024-07-10,26481.95,26628.8,26237.2,26237.2,258000
2024-07-11,26237.2,26579.85,26237.2,26530.9,233700
2024-07-12,26530.9,26628.8,26335.1,26433.0,208400
2024-07-15,26433.0,26628.8,26139.3,26286.15,238300
2024-07-16,26286.15,26433.0,26188.25,26237.2,177700
2024-07-17,26237.2,26530.9,25698.75,25845.6,315500
2024-07-18,25845.6,25992.45,24670.8,25111.35,354900
2024-07-19,25111.35,25209.25,24621.85,24768.7,293400
2024-07-22,25013.45,25013.45,24181.3,24377.1,324100
2024-07-23,24377.1,24523.95,24181.3,24230.25,206700
2024-07-24,24230.25,24866.6,24083.4,24475.0,277000
2024-07-25,24475.0,24621.85,24230.25,24621.85,273300
2024-07-26,24621.85,25111.35,24621.85,25111.35,342500
2024-07-29,25111.35,25307.15,25111.35,25258.2,323400
2024-07-30,25258.2,25258.2,24915.55,25111.35,225500
2024-07-31,25111.35,25209.25,24915.55,25062.4,185300
2024-08-01,25062.4,25062.4,24377.1,24377.1,239800
2024-08-02,24377.1,24719.75,24279.2,24719.75,300700
2024-08-05,24719.75,24719.75,23300.2,23300.2,327000
2024-08-06,23300.2,24181.3,23300.2,24083.4,474900
2024-08-07,24083.4,24328.15,24034.45,24230.25,218900
2024-08-08,24230.25,24475.0,24181.3,24181.3,167000
2024-08-09,24181.3,24866.6,24132.35,24817.65,382500
2024-08-12,24817.65,25454.0,24817.65,25454.0,405800
2024-08-13,25454.0,25649.8,25307.15,25454.0,265400
2024-08-14,25454.0,25551.9,25258.2,25258.2,200600
2024-08-15,25258.2,25258.2,24768.7,24768.7,189100
2024-08-16,24768.7,25111.35,24328.15,25111.35,415400
2024-08-19,25111.35,25160.3,24572.9,24572.9,183000
