date,open,high,low,close,volume
2020-01-02,9789.378170612,9789.378170612,9586.8400131504,9654.3530056373,1174150
2020-01-03,9654.3530056373,9755.6220843682,9316.7880432026,9384.3010356896,2395940
2020-01-06,9316.7880432026,9451.8140281765,9181.7620582288,9249.2750507157,1016310
2020-01-07,9249.2750507157,9418.0571219335,9249.2750507157,9384.3010356896,754450
2020-01-08,9249.2750507157,9283.0311369596,8945.4669945241,8979.2230807679,1847430
2020-01-09,9148.0051519857,9249.2750507157,9114.2490657418,9148.0051519857,1716210
2020-01-10,9148.0051519857,9181.7620582288,9012.9791670118,9046.7360732549,752260
2020-01-13,9046.7360732549,9249.2750507157,9046.7360732549,9148.0051519857,562450
2020-01-14,9181.7620582288,9249.2750507157,8979.2230807679,9012.9791670118,1168130
2020-01-15,9046.7360732549,9114.2490657418,9012.9791670118,9046.7360732549,460760
2020-01-16,9046.7360732549,9148.0051519857,8945.4669945241,8979.2230807679,760470
2020-01-17,9046.7360732549,9046.7360732549,8709.1711108202,8776.6841033071,1474240
2020-01-20,8776.6841033071,8979.2230807679,8675.4150245763,8709.1711108202,885570
2020-01-21,8709.1711108202,8776.6841033071,8574.1451258463,8675.4150245763,1620230
2020-01-22,8675.4150245763,8844.1970957941,8675.4150245763,8810.4410095502,986700
2020-01-30,8641.6581183332,8641.6581183332,8337.8500621416,8371.6061483855,2769860
2020-01-31,8371.6061483855,8439.1191408724,7797.7461222461,7797.7461222461,2915700
2020-02-03,7426.4250735675,7628.9640510283,7257.6430023497,7325.1559948367,5598760
2020-02-04,7392.6689873236,7628.9640510283,7122.6170173759,7223.8860961067,4152840
2020-02-05,7257.6430023497,7561.4510585414,7257.6430023497,7358.9120810806,7187140
2020-02-06,7595.2071447853,7865.259114733,7493.9380660544,7865.259114733,2480480
2020-02-07,8101.5549984369,8405.3630546285,8000.2850997069,8405.3630546285,4562030
2020-02-10,8169.0679909238,8574.1451258463,8101.5549984369,8337.8500621416,3491610
2020-02-11,8337.8500621416,8607.9020320894,8270.3370696547,8540.3890396024,2036700
2020-02-12,8574.1451258463,8709.1711108202,8439.1191408724,8641.6581183332,2159340
2020-02-13,8641.6581183332,8641.6581183332,8405.3630546285,8574.1451258463,1300890
2020-02-14,8540.3890396024,8911.710088281,8506.6321333594,8810.4410095502,1638000
2020-02-17,8776.6841033071,8877.9540020371,8574.1451258463,8607.9020320894,1104430
2020-02-18,8607.9020320894,8742.9280170632,8337.8500621416,8574.1451258463,1225460
2020-02-19,8540.3890396024,8574.1451258463,8270.3370696547,8304.0931558985,1282440
2020-02-20,8439.1191408724,8472.8760471155,8270.3370696547,8371.6061483855,1312980
2020-02-21,8371.6061483855,8709.1711108202,8371.6061483855,8574.1451258463,1792460
2020-02-24,8034.04200595,8337.8500621416,8000.2850997069,8000.2850997069,2358620
2020-02-25,7628.9640510283,8236.5809834108,7628.9640510283,8169.0679909238,1584590
2020-02-26,7966.529013463,8236.5809834108,7966.529013463,8101.5549984369,1261660
2020-02-27,8034.04200595,8270.3370696547,7932.77210722,8236.5809834108,1525470
2020-02-28,8000.2850997069,8135.3110846808,7966.529013463,8000.2850997069,1148530
2020-03-02,8101.5549984369,8101.5549984369,7966.529013463,8000.2850997069,915620
2020-03-03,8169.0679909238,8439.1191408724,8067.7980921938,8439.1191408724,1962140
2020-03-04,8371.6061483855,8844.1970957941,8337.8500621416,8742.9280170632,3447470
2020-03-05,8911.710088281,8979.2230807679,8675.4150245763,8675.4150245763,1661480
2020-03-06,8574.1451258463,9249.2750507157,8506.6321333594,9249.2750507157,4826760
2020-03-09,8641.6581183332,8911.710088281,8607.9020320894,8607.9020320894,3750780
2020-03-10,8270.3370696547,8675.4150245763,8101.5549984369,8506.6321333594,2503550
2020-03-11,8574.1451258463,8641.6581183332,7932.77210722,7966.529013463,4024740
2020-03-12,7426.4250735675,7561.4510585414,7426.4250735675,7426.4250735675,3872830
2020-03-13,6920.078039915,7493.9380660544,6920.078039915,7426.4250735675,3448410
2020-03-16,7426.4250735675,7561.4510585414,6987.591032402,7190.1300098628,1652890
2020-03-17,6852.5650474281,7527.6941522983,6818.808141185,7493.9380660544,1503100
2020-03-18,7628.9640510283,7628.9640510283,7257.6430023497,7358.9120810806,1493770
2020-03-19,7223.8860961067,7223.8860961067,6953.8341261589,7190.1300098628,2166850
2020-03-20,7122.6170173759,7190.1300098628,6920.078039915,7055.1040248889,1200570
2020-03-23,6818.808141185,6818.808141185,6562.2590977343,6562.2590977343,3637850
2020-03-24,6481.2439987495,6569.0109709825,6244.9481150456,6352.9690670246,1534020
2020-03-25,6616.2699837234,6650.0260699673,6481.2439987495,6616.2699837234,1282610
2020-03-26,6548.7569912365,6548.7569912365,6312.4611075326,6346.2180137756,935090
2020-03-27,6346.2180137756,6413.7310062626,6035.6580843359,6042.4091375848,1963340
2020-03-30,5758.8550611392,5806.1140738801,5623.8290761653,5623.8290761653,429980
2020-03-31,5333.5231264715,5623.8290761653,5232.2540477407,5232.2540477407,3790910
2020-04-01,4867.6840523111,5394.2850657095,4867.6840523111,5245.7569742378,2405020
2020-04-03,5434.7930252015,5610.3269696674,5401.0361189585,5610.3269696674,1613750
2020-04-06,5974.8969650971,6001.901998092,5630.5801294142,6001.901998092,2477300
2020-04-07,6008.6530513409,6143.6790363148,5806.1140738801,5893.8810461131,2278480
2020-04-08,5671.0880889062,6211.1920288018,5549.5650304294,6143.6790363148,1438980
2020-04-09,6346.2180137756,6413.7310062626,6170.6840693098,6190.9380490558,2446980
2020-04-10,6109.9221300718,6285.4560745376,6096.4200235739,6103.1710768228,1531360
2020-04-13,6082.9170970768,6244.9481150456,6076.1660438279,6109.9221300718,1323360
2020-04-14,6109.9221300718,6197.6891023047,5860.12413987,6042.4091375848,1768620
2020-04-15,6089.6689703249,6379.9741000195,6076.1660438279,6346.2180137756,4435250
2020-04-16,6346.2180137756,6346.2180137756,6150.4300895638,6244.9481150456,4792030
2020-04-17,6346.2180137756,6677.0311029622,6265.2020947916,6677.0311029622,5622480
2020-04-20,6953.8341261589,7122.6170173759,6852.5650474281,7122.6170173759,5850230
2020-04-21,6886.321133672,7190.1300098628,6629.7720902213,6629.7720902213,6581580
2020-04-22,6312.4611075326,6717.5390624542,6251.6999882938,6575.7620242314,3015770
2020-04-23,6751.2959686973,6852.5650474281,6454.2381457554,6454.2381457554,3163420
2020-04-24,6454.2381457554,6548.7569912365,6346.2180137756,6454.2381457554,2073290
2020-04-27,6508.2490317445,6636.5231434702,6447.4870925065,6575.7620242314,3196960
2020-04-28,6629.7720902213,6852.5650474281,6575.7620242314,6724.2901157032,3231250
2020-04-29,6751.2959686973,6785.0520549412,6562.2590977343,6677.0311029622,1700850
2020-05-04,6515.0000849934,6515.0000849934,6312.4611075326,6312.4611075326,3433520
2020-05-05,6346.2180137756,6413.7310062626,6184.1869958068,6346.2180137756,2413260
2020-05-06,6346.2180137756,6467.7410722525,6319.2129807807,6413.7310062626,1936520
2020-05-07,6481.2439987495,6609.5181104753,6460.9900190035,6562.2590977343,2215250
2020-05-08,6602.7670572263,6886.321133672,6562.2590977343,6602.7670572263,3773140
2020-05-11,6744.5440954492,6920.078039915,6697.2850827082,6886.321133672,3206100
2020-05-12,6886.321133672,7122.6170173759,6737.7930422002,7021.3471186459,4155510
2020-05-13,6953.8341261589,7493.9380660544,6852.5650474281,7392.6689873236,6033090
2020-05-14,7325.1559948367,7595.2071447853,7190.1300098628,7426.4250735675,3325670
2020-05-15,7460.1819798106,7460.1819798106,7122.6170173759,7156.3731036197,3059930
2020-05-18,7156.3731036197,7257.6430023497,6953.8341261589,7156.3731036197,3536330
2020-05-19,7325.1559948367,7561.4510585414,7223.8860961067,7426.4250735675,5133620
2020-05-20,7358.9120810806,7493.9380660544,7257.6430023497,7358.9120810806,2829310
2020-05-21,7358.9120810806,7831.5030284891,7358.9120810806,7696.4770435153,5877420
2020-05-22,7763.9900360022,7797.7461222461,7426.4250735675,7493.9380660544,4647070
2020-05-25,7493.9380660544,7662.7201372722,7392.6689873236,7628.9640510283,2928850
2020-05-26,7628.9640510283,7831.5030284891,7595.2071447853,7763.9900360022,4142750
2020-05-27,7865.259114733,7865.259114733,7527.6941522983,7527.6941522983,4709960
2020-05-28,7561.4510585414,7797.7461222461,7460.1819798106,7628.9640510283,4669830
2020-05-29,7595.2071447853,7628.9640510283,7527.6941522983,7628.9640510283,2691620
2020-06-01,7730.2331297591,7797.7461222461,7628.9640510283,7662.7201372722,4008630
