date,open,high,low,close,volume
2021-07-15,24959.351,24959.351,16223.578,18095.529,5223200
2021-07-16,18095.529,18969.107,17409.147,18719.513,2685300
2021-07-19,18594.716,18844.31,17471.545,17471.545,1078800
2021-07-20,17471.545,18033.131,16660.367,17471.545,1366200
2021-07-21,17471.545,18345.123,17471.545,18282.724,1013700
2021-07-22,18282.724,19093.903,17845.936,18781.911,1110400
2021-07-23,18719.513,18906.708,17783.537,17783.537,680700
2021-07-26,17596.342,17845.936,17159.554,17159.554,478600
2021-07-27,17159.554,18095.529,16785.163,16785.163,619600
2021-07-28,16847.562,17159.554,15162.806,16223.578,926100
2021-07-29,16223.578,16785.163,15973.984,16098.781,819100
2021-07-30,16098.781,16785.163,16098.781,16660.367,846300
2021-08-02,16785.163,16785.163,16036.383,16161.18,1013900
2021-08-03,16098.781,16223.578,15287.602,15973.984,1242600
2021-08-04,16036.383,16597.968,15911.586,16597.968,968900
2021-08-05,16597.968,17034.757,16223.578,16972.358,669700
2021-08-06,16972.358,17721.139,16597.968,17409.147,1231300
2021-08-09,17471.545,18345.123,17159.554,18220.326,1111500
2021-08-10,18469.92,18469.92,17721.139,18220.326,515200
2021-08-11,18220.326,18220.326,17721.139,17721.139,746800
2021-08-12,17721.139,17970.732,17471.545,17721.139,321900
2021-08-13,17721.139,17783.537,17409.147,17596.342,489600
2021-08-16,17845.936,18469.92,17658.741,18157.928,631400
2021-08-17,18220.326,18345.123,17721.139,17721.139,472800
2021-08-18,17721.139,18220.326,17471.545,17471.545,245000
2021-08-19,17471.545,17596.342,17284.35,17471.545,416400
2021-08-20,17596.342,17721.139,16597.968,16847.562,955300
2021-08-23,16660.367,16909.96,15661.993,16036.383,665700
2021-08-24,16098.781,17159.554,16098.781,16722.765,421700
2021-08-25,16847.562,17034.757,16597.968,16972.358,356600
2021-08-26,17346.749,17908.334,17159.554,17783.537,1064500
2021-08-27,17783.537,17845.936,17159.554,17783.537,769600
2021-09-06,17783.537,18095.529,17190.753,17783.537,499400
2021-09-07,17845.936,17845.936,17346.749,17471.545,231300
2021-09-08,17471.545,17752.338,17346.749,17689.94,336000
2021-09-09,17658.741,17689.94,17471.545,17502.745,160000
2021-09-10,17471.545,17658.741,17471.545,17533.944,293000
2021-09-13,17533.944,18033.131,17440.346,18001.932,527700
2021-09-14,17970.732,17970.732,17721.139,17814.737,218100
2021-09-15,17721.139,17845.936,17596.342,17814.737,224600
2021-09-16,17814.737,17814.737,17471.545,17596.342,298200
2021-09-17,17596.342,18095.529,17471.545,18095.529,925800
2021-09-20,18095.529,18282.724,17845.936,17908.334,269700
2021-09-21,17502.745,17845.936,17471.545,17783.537,236200
2021-09-22,17596.342,17783.537,17565.143,17596.342,263100
2021-09-23,17596.342,18095.529,17596.342,17970.732,1073000
2021-09-24,17845.936,18064.33,17845.936,18033.131,148400
2021-09-27,18033.131,18532.318,17783.537,18095.529,818700
2021-09-28,18033.131,18033.131,17721.139,17939.533,263200
2021-09-29,17783.537,17877.135,17752.338,17752.338,154300
2021-09-30,17783.537,17970.732,17689.94,17845.936,289700
2021-10-01,17845.936,17970.732,17658.741,17658.741,262600
2021-10-04,17783.537,17783.537,17502.745,17721.139,151200
2021-10-05,17721.139,17877.135,17565.143,17877.135,245900
2021-10-06,17908.334,18126.728,17783.537,17970.732,232600
2021-10-07,18033.131,18095.529,17783.537,18033.131,324900
2021-10-08,18033.131,18095.529,17783.537,18033.131,354300
2021-10-11,18251.525,19281.098,18157.928,19281.098,1808100
2021-10-12,19717.887,20466.668,19343.497,20279.472,1325500
2021-10-13,20029.879,20841.058,19905.082,20248.273,343100
2021-10-14,19842.684,20123.476,19686.688,19686.688,1105400
2021-10-15,19842.684,19967.481,18906.708,19468.294,1207100
2021-10-18,19468.294,20029.879,19281.098,19343.497,545800
2021-10-19,19343.497,19655.489,19031.505,19655.489,579700
2021-10-20,19655.489,19655.489,18438.72,19218.7,450700
2021-10-21,19405.895,19405.895,18719.513,18906.708,328400
2021-10-22,18750.712,19187.501,18750.712,18906.708,628400
2021-10-25,18906.708,19156.302,18469.92,18469.92,536600
2021-10-26,18282.724,18282.724,17689.94,18095.529,799200
2021-10-27,18126.728,19156.302,18126.728,19093.903,427200
2021-10-28,19343.497,19343.497,18719.513,19093.903,616000
2021-10-29,19000.306,19000.306,18594.716,18969.107,872200
2021-11-01,19031.505,19218.7,18781.911,19093.903,1538400
2021-11-02,19093.903,19655.489,18813.111,19593.09,2067400
2021-11-03,19811.485,19811.485,18906.708,19218.7,1287700
2021-11-04,19187.501,19343.497,18875.509,19281.098,1179100
2021-11-05,19343.497,19343.497,18844.31,18937.907,697700
2021-11-08,18937.907,19343.497,18937.907,19312.298,843200
2021-11-09,19281.098,19281.098,19031.505,19093.903,1069200
2021-11-10,19125.102,19593.09,19125.102,19405.895,1227800
2021-11-11,19405.895,19530.692,18906.708,19031.505,1173500
2021-11-12,19093.903,19218.7,18750.712,19031.505,470100
2021-11-15,19031.505,19749.086,18969.107,19374.696,1291100
2021-11-16,19655.489,19655.489,19156.302,19156.302,593700
2021-11-17,19093.903,19468.294,19093.903,19405.895,734300
2021-11-18,19405.895,20279.472,19405.895,20061.078,1477400
2021-11-19,20404.269,20903.456,20061.078,20435.468,2633500
2021-11-22,20435.468,20591.464,19842.684,19905.082,698200
2021-11-23,19780.285,20092.277,19655.489,19842.684,667300
2021-11-24,19842.684,20685.062,19655.489,19967.481,1248300
2021-11-25,20529.066,20841.058,20029.879,20373.07,1585900
2021-11-26,20373.07,20466.668,19468.294,19468.294,1236300
2021-11-29,18969.107,19624.289,18906.708,19125.102,1456600
2021-11-30,19156.302,20435.468,19156.302,20435.468,901100
2021-12-01,21839.432,21839.432,20622.664,21215.448,2782400
2021-12-02,20716.261,21215.448,20716.261,21153.05,689300
2021-12-03,21121.851,21215.448,20529.066,20529.066,1112700
2021-12-06,20154.676,21028.253,19187.501,19967.481,1276900
2021-12-07,20092.277,20466.668,19842.684,20279.472,473100
2021-12-08,20341.871,21121.851,20029.879,21121.851,626300
2021-12-09,21121.851,22588.212,20903.456,22588.212,2136300
2021-12-10,22588.212,23305.794,22588.212,23056.2,1389500
2021-12-13,23087.399,24023.375,22993.802,24023.375,919300
2021-12-14,23212.196,24023.375,23087.399,23212.196,991600
2021-12-15,22775.407,23243.395,22775.407,22837.806,673200
2021-12-16,22837.806,23960.977,22837.806,23836.18,795900
2021-12-17,24304.168,24304.168,23648.985,23680.184,532700
2021-12-20,23867.379,23867.379,22837.806,22931.403,547900
2021-12-21,22931.403,23399.391,22307.42,22775.407,521000
2021-12-22,23149.798,23212.196,22744.208,23087.399,308700
2021-12-23,23711.383,23711.383,21964.229,22401.017,560800
2021-12-24,21964.229,22806.607,21964.229,22775.407,264300
2021-12-27,23056.2,23087.399,22463.416,22525.814,122100
2021-12-28,22681.81,23149.798,22588.212,23056.2,430200
2021-12-29,23087.399,23368.192,23025.001,23087.399,447800
2021-12-30,23087.399,23087.399,22213.822,22245.021,273900
2021-12-31,22151.424,23274.595,21184.249,23274.595,900700
2022-01-04,23087.399,23648.985,22151.424,23087.399,368900
2022-01-05,23087.399,23212.196,22525.814,22775.407,333900
2022-01-06,22775.407,23586.586,22463.416,23087.399,1053000
2022-01-07,23087.399,23087.399,22650.611,22650.611,337600
2022-01-10,22650.611,23087.399,22276.22,22525.814,477900
2022-01-11,22369.818,23087.399,21839.432,22837.806,604100
2022-01-12,21621.038,22775.407,21527.44,21621.038,741600
2022-01-13,21839.432,22120.225,21215.448,21215.448,663900
2022-01-14,20529.066,21964.229,20529.066,21964.229,209300
2022-01-17,22432.216,22432.216,20591.464,21558.639,352500
2022-01-18,21465.042,21465.042,20279.472,21215.448,246200
2022-01-19,20373.07,21839.432,20373.07,21215.448,252200
2022-01-20,21215.448,21465.042,20529.066,21215.448,400000
2022-01-21,21215.448,21215.448,20778.659,20841.058,100500
2022-01-24,21527.44,21527.44,19936.281,20217.074,230700
2022-01-25,19967.481,21496.241,19343.497,21496.241,316200
2022-01-26,20653.863,21433.842,20092.277,20185.875,204900
2022-01-27,20279.472,21215.448,19967.481,20529.066,321800
2022-01-28,20529.066,21059.452,20497.867,20591.464,164300
2022-02-07,20341.871,20841.058,20248.273,20653.863,519300
2022-02-08,20653.863,21714.635,20591.464,21714.635,1233600
2022-02-09,21527.44,21527.44,21215.448,21340.245,330600
2022-02-10,21683.436,21714.635,21215.448,21714.635,711100
2022-02-11,21277.846,21839.432,21277.846,21496.241,131400
2022-02-14,21496.241,21527.44,21215.448,21465.042,502700
2022-02-15,21589.838,21964.229,21433.842,21839.432,890600
2022-02-16,22026.627,22151.424,21714.635,21745.834,627100
2022-02-17,21745.834,22026.627,21589.838,21839.432,556400
2022-02-18,21340.245,21870.631,21340.245,21839.432,342300
2022-02-21,21964.229,22463.416,21839.432,22182.623,1417300
2022-02-22,21870.631,22151.424,21215.448,21964.229,852900
2022-02-23,21589.838,22588.212,21589.838,22432.216,1839900
2022-02-24,22432.216,23711.383,22120.225,23555.387,2581500
2022-02-25,23586.586,25177.745,23555.387,25177.745,3829700
2022-02-28,25146.546,25864.127,24647.359,24928.151,1198900
2022-03-01,24772.156,25208.944,24335.367,24803.355,991000
2022-03-02,24803.355,24803.355,24023.375,24522.562,1124000
2022-03-03,24584.96,24959.351,24397.765,24959.351,1441800
2022-03-04,25146.546,25427.339,24522.562,24522.562,1539000
2022-03-07,24397.765,24990.55,23524.188,24023.375,1318100
2022-03-08,23025.001,23804.981,23025.001,23180.997,1369900
2022-03-09,23180.997,23648.985,22463.416,23586.586,1258600
2022-03-10,23586.586,24959.351,23586.586,24928.151,1300300
2022-03-11,24428.964,24959.351,24366.566,24928.151,1774900
2022-03-14,24335.367,25052.948,24023.375,24772.156,714400
2022-03-15,24522.562,24772.156,24304.168,24397.765,1589800
2022-03-16,24335.367,24959.351,24085.773,24647.359,1280100
2022-03-17,24647.359,24834.554,24210.57,24647.359,1459100
2022-03-18,24740.956,24772.156,24148.172,24272.969,1581200
2022-03-21,24335.367,25708.131,23960.977,25458.538,2875900
2022-03-22,25271.343,25583.334,24959.351,25333.741,2131300
2022-03-23,25146.546,25240.143,24647.359,24647.359,1882900
2022-03-24,24584.96,25084.147,24210.57,24865.753,1608500
2022-03-25,24397.765,24803.355,24085.773,24584.96,593900
2022-03-28,24210.57,24335.367,23087.399,23118.599,842200
2022-03-29,23149.798,24116.973,23118.599,23180.997,1448100
2022-03-30,23087.399,23336.993,21839.432,22463.416,755800
2022-03-31,22307.42,22775.407,22307.42,22463.416,684800
2022-04-01,22463.416,23056.2,22307.42,22900.204,619200
2022-04-04,22837.806,23960.977,22837.806,22962.603,705100
2022-04-05,22713.009,23212.196,22588.212,22837.806,305400
2022-04-06,22525.814,23056.2,21808.233,22837.806,646900
2022-04-07,22837.806,22837.806,22151.424,22213.822,433200
2022-04-08,22213.822,22432.216,20965.855,20965.855,403000
2022-04-12,20685.062,21839.432,20685.062,21184.249,618900
2022-04-13,21153.05,21652.237,21028.253,21652.237,177500
2022-04-14,21777.033,22120.225,21309.046,21309.046,215800
2022-04-15,21121.851,21371.444,20997.054,21028.253,163800
2022-04-18,21028.253,21028.253,19936.281,20123.476,523400
2022-04-19,20217.074,20591.464,18719.513,19031.505,348600
2022-04-20,19031.505,19842.684,18719.513,18719.513,345600
2022-04-21,17533.944,19031.505,17471.545,19031.505,415400
2022-04-22,18719.513,19468.294,18657.115,19281.098,224900
2022-04-25,19093.903,19686.688,17939.533,17939.533,443500
2022-04-26,18625.915,18719.513,17159.554,18625.915,155000
2022-04-27,18157.928,18719.513,17970.732,18157.928,241600
2022-04-28,18157.928,19000.306,18157.928,18781.911,82600
2022-04-29,18781.911,19187.501,18532.318,19156.302,134900
2022-05-04,19093.903,19093.903,17845.936,17877.135,153300
2022-05-05,18345.123,18345.123,17471.545,17908.334,136700
2022-05-06,17471.545,18064.33,17284.35,17284.35,95100
2022-05-09,17284.35,17284.35,16098.781,16098.781,393100
