date,open,high,low,close,volume
2020-01-02,11039.305515,11558.8018665,11039.305515,11493.8649375,61940
2020-01-03,11428.9280085,11493.8649375,11201.6478375,11201.6478375,17370
2020-01-06,11104.242444,11461.396473,11104.242444,11363.9910795,56180
2020-01-07,11363.9910795,11461.396473,11104.242444,11331.522615,52990
2020-01-08,11136.7109085,11363.9910795,11136.7109085,11234.116302,148340
2020-01-09,11299.053231,11363.9910795,11169.179373,11331.522615,187500
2020-01-10,11363.9910795,11818.550502,11363.9910795,11688.676644,489560
2020-01-13,11688.676644,11753.613573,11234.116302,11688.676644,35660
2020-01-14,11234.116302,11688.676644,11201.6478375,11688.676644,30350
2020-01-15,11688.676644,11688.676644,11363.9910795,11688.676644,57900
2020-01-16,11331.522615,11688.676644,11299.053231,11396.459544,76990
2020-01-17,11363.9910795,11688.676644,11363.9910795,11558.8018665,751480
2020-01-20,11396.459544,11591.270331,11331.522615,11558.8018665,86230
2020-01-21,11558.8018665,11558.8018665,11169.179373,11363.9910795,34150
2020-01-22,11363.9910795,11363.9910795,11169.179373,11331.522615,47520
2020-01-30,11234.116302,11948.42436,11039.305515,11656.20726,275370
2020-01-31,11656.20726,11688.676644,11234.116302,11591.270331,63460
2020-02-03,11266.5847665,11558.8018665,10812.025344,11493.8649375,113880
2020-02-04,11299.053231,11526.333402,11104.242444,11396.459544,91610
2020-02-05,11169.179373,11396.459544,11136.7109085,11169.179373,136440
2020-02-06,11071.7739795,11493.8649375,11039.305515,11493.8649375,70610
2020-02-07,11493.8649375,11493.8649375,11201.6478375,11363.9910795,46160
2020-02-10,11363.9910795,11363.9910795,11136.7109085,11299.053231,77740
2020-02-11,11331.522615,11396.459544,11169.179373,11396.459544,245700
2020-02-12,11461.396473,11461.396473,11234.116302,11331.522615,105970
2020-02-13,11234.116302,11363.9910795,11234.116302,11299.053231,47470
2020-02-14,11234.116302,11363.9910795,11169.179373,11234.116302,55680
2020-02-17,11299.053231,11331.522615,11201.6478375,11266.5847665,34290
2020-02-18,11363.9910795,11396.459544,11234.116302,11299.053231,154820
2020-02-19,11234.116302,11299.053231,11201.6478375,11234.116302,25140
2020-02-20,11331.522615,11331.522615,11169.179373,11169.179373,63830
2020-02-21,11234.116302,11234.116302,10974.368586,11234.116302,395070
2020-02-24,11234.116302,11234.116302,10714.6199505,11169.179373,80590
2020-02-25,10714.6199505,11266.5847665,10714.6199505,11169.179373,27960
2020-02-26,11169.179373,11234.116302,11039.305515,11201.6478375,55470
2020-02-27,11039.305515,11234.116302,11039.305515,11234.116302,41090
2020-02-28,11071.7739795,11234.116302,10974.368586,11169.179373,140490
2020-03-02,11006.8370505,11558.8018665,11006.8370505,11493.8649375,364250
2020-03-03,11201.6478375,11526.333402,11201.6478375,11363.9910795,120610
2020-03-04,11461.396473,11461.396473,11169.179373,11363.9910795,135790
2020-03-05,11266.5847665,11493.8649375,10876.962273,11234.116302,835990
2020-03-06,11299.053231,11299.053231,10941.899202,11169.179373,405560
2020-03-09,10454.871315,11136.7109085,10454.871315,11039.305515,136890
2020-03-10,10519.808244,11039.305515,10519.808244,11006.8370505,126130
2020-03-11,11006.8370505,11006.8370505,10324.997457,10909.4307375,198680
2020-03-12,10454.871315,10876.962273,10162.654215,10844.4938085,244060
2020-03-13,10097.717286,10812.025344,10097.717286,10649.6830215,855780
2020-03-16,10649.6830215,10649.6830215,9967.843428,10389.934386,312960
2020-03-17,9805.500186,10519.808244,9805.500186,10454.871315,371710
2020-03-18,10454.871315,10617.214557,10324.997457,10617.214557,848880
2020-03-19,10389.934386,10617.214557,10130.1857505,10162.654215,135020
2020-03-20,10162.654215,10389.934386,9935.3749635,10389.934386,31860
