date,open,high,low,close,volume
2020-01-02,3419.9477573,3419.9477573,3295.5854988,3357.767091,47100
2020-01-03,3419.9477573,3482.1284236,3419.9477573,3482.1284236,40600
2020-01-06,3482.1284236,3482.1284236,3419.9477573,3482.1284236,48600
2020-01-07,3482.1284236,3855.2133473,3482.1284236,3793.032681,428600
2020-01-08,3730.8520147,3793.032681,3544.3090899,3730.8520147,132100
2020-01-09,3668.6713484,3855.2133473,3606.4897562,3793.032681,71200
2020-01-10,3793.032681,4041.7562721,3793.032681,3917.3940136,247100
2020-01-13,3793.032681,3855.2133473,3357.767091,3730.8520147,140900
2020-01-14,3606.4897562,3855.2133473,3544.3090899,3855.2133473,181600
2020-01-15,3855.2133473,3979.5756058,3855.2133473,3979.5756058,87200
2020-01-16,3917.3940136,4041.7562721,3793.032681,4041.7562721,218400
2020-01-17,3979.5756058,4103.9369384,3917.3940136,4103.9369384,93800
2020-01-20,4041.7562721,4228.298271,3979.5756058,4228.298271,89300
2020-01-21,4166.1176047,4414.8411958,3979.5756058,3979.5756058,259800
2020-01-22,4041.7562721,4228.298271,3917.3940136,4166.1176047,29800
2020-01-30,4041.7562721,4103.9369384,3979.5756058,4041.7562721,56900
2020-01-31,3979.5756058,4166.1176047,3979.5756058,4166.1176047,140600
2020-02-03,3979.5756058,3979.5756058,3482.1284236,3917.3940136,174100
2020-02-04,3730.8520147,4290.4798632,3730.8520147,4290.4798632,471600
2020-02-05,4290.4798632,4850.1077117,4228.298271,4414.8411958,707000
2020-02-06,4725.7454532,4850.1077117,4228.298271,4352.6605295,293600
2020-02-07,4290.4798632,4414.8411958,4228.298271,4290.4798632,118800
2020-02-10,4290.4798632,4912.288378,4290.4798632,4912.288378,494500
2020-02-11,4787.9261195,5036.6497106,4725.7454532,5036.6497106,488700
2020-02-12,4850.1077117,4974.4690443,4787.9261195,4912.288378,165100
2020-02-13,4850.1077117,5347.553968,4850.1077117,5285.3733017,552800
2020-02-14,5098.8303769,5285.3733017,4974.4690443,5285.3733017,317800
2020-02-17,5223.1926354,5285.3733017,4974.4690443,5285.3733017,264400
2020-02-18,5404.7394038,5668.3847993,5075.181965,5668.3847993,406700
2020-02-19,5404.7394038,5734.2959167,5404.7394038,5404.7394038,349500
2020-02-20,5470.6505212,5668.3847993,5404.7394038,5536.5616386,236400
2020-02-21,5470.6505212,5470.6505212,5141.0930824,5272.9162431,75300
2020-02-24,5272.9162431,5668.3847993,4811.5356436,5404.7394038,474000
2020-02-25,5338.8273605,5800.20796,5338.8273605,5734.2959167,425000
2020-02-26,5668.3847993,5668.3847993,5536.5616386,5602.4736819,408600
2020-02-27,5470.6505212,5470.6505212,5272.9162431,5272.9162431,99600
2020-02-28,5338.8273605,5338.8273605,5009.2699217,5075.181965,66200
2020-03-02,4943.3588043,5207.0051257,4877.4476869,4943.3588043,66800
2020-03-03,5009.2699217,5141.0930824,4877.4476869,4943.3588043,86900
2020-03-04,4877.4476869,5009.2699217,4811.5356436,5009.2699217,39100
2020-03-05,4943.3588043,5009.2699217,4943.3588043,5009.2699217,66800
2020-03-06,4943.3588043,5075.181965,4745.6245262,5009.2699217,72900
2020-03-09,4943.3588043,4943.3588043,4547.8902481,4679.7134088,163000
2020-03-10,4284.2439267,4811.5356436,4152.4216919,4679.7134088,203700
2020-03-11,4613.8013655,4811.5356436,4481.9791307,4679.7134088,92700
2020-03-12,4547.8902481,4613.8013655,4416.0670874,4613.8013655,92100
2020-03-13,4416.0670874,4679.7134088,4416.0670874,4679.7134088,83200
2020-03-16,4547.8902481,4877.4476869,4547.8902481,4811.5356436,98800
2020-03-17,4679.7134088,4811.5356436,4679.7134088,4811.5356436,58900
2020-03-18,4745.6245262,4877.4476869,4745.6245262,4877.4476869,57000
2020-03-19,4811.5356436,4811.5356436,4613.8013655,4745.6245262,98400
2020-03-20,4613.8013655,4943.3588043,4613.8013655,4943.3588043,91700
2020-03-23,4811.5356436,4811.5356436,4679.7134088,4745.6245262,37300
2020-03-24,4679.7134088,4745.6245262,4613.8013655,4613.8013655,5300
2020-03-25,4679.7134088,4679.7134088,4613.8013655,4679.7134088,39200
2020-03-26,4547.8902481,4613.8013655,4218.3328093,4613.8013655,22900
2020-03-27,4547.8902481,4547.8902481,4416.0670874,4416.0670874,29100
2020-03-30,4416.0670874,4481.9791307,4350.15597,4350.15597,11900
2020-03-31,4284.2439267,4745.6245262,3756.9531357,4416.0670874,55100
2020-04-01,4086.5096486,4350.15597,4086.5096486,4284.2439267,28900
2020-04-03,4152.4216919,4481.9791307,4152.4216919,4416.0670874,28400
2020-04-06,4218.3328093,4547.8902481,4218.3328093,4547.8902481,17200
2020-04-07,4416.0670874,4416.0670874,4350.15597,4350.15597,27800
2020-04-08,4284.2439267,4416.0670874,4284.2439267,4416.0670874,13100
2020-04-09,4350.15597,4481.9791307,4350.15597,4350.15597,42200
2020-04-10,4350.15597,4416.0670874,4350.15597,4416.0670874,21200
2020-04-13,4350.15597,4481.9791307,4350.15597,4416.0670874,14500
2020-04-14,4350.15597,4416.0670874,4284.2439267,4350.15597,15000
2020-04-15,4350.15597,4416.0670874,4284.2439267,4350.15597,14900
2020-04-16,4350.15597,4416.0670874,4284.2439267,4350.15597,48400
2020-04-17,4350.15597,4547.8902481,4350.15597,4416.0670874,63700
2020-04-20,4416.0670874,4943.3588043,4416.0670874,4745.6245262,116400
2020-04-21,4811.5356436,4811.5356436,4481.9791307,4481.9791307,53900
2020-04-22,4613.8013655,4679.7134088,4481.9791307,4613.8013655,39000
2020-04-23,4679.7134088,5009.2699217,4679.7134088,4811.5356436,95700
2020-04-24,4811.5356436,4811.5356436,4613.8013655,4811.5356436,24400
2020-04-27,4811.5356436,4811.5356436,4613.8013655,4745.6245262,29800
