date,open,high,low,close,volume
2020-01-02,21282.1827585199,21537.7153239884,21172.6689242134,21391.6965928265,896720
2020-01-03,21501.2104271331,21574.2202208436,20953.6412556002,21026.6510493107,2047880
2020-01-06,20844.1274212936,21026.6510493107,20734.613586987,20807.6233806975,1091660
2020-01-07,20917.1372150041,21209.1738210686,20807.6233806975,21209.1738210686,837240
2020-01-08,20990.1461524554,21063.1550899068,20734.613586987,20734.613586987,1814290
2020-01-09,20917.1372150041,21063.1550899068,20844.1274212936,21026.6510493107,967050
2020-01-10,20990.1461524554,21099.659986762,20844.1274212936,20990.1461524554,1018650
2020-01-13,20953.6412556002,21026.6510493107,20807.6233806975,20844.1274212936,786760
2020-01-14,20844.1274212936,20953.6412556002,20807.6233806975,20807.6233806975,721680
2020-01-15,20807.6233806975,20844.1274212936,20734.613586987,20807.6233806975,940870
2020-01-16,20807.6233806975,21245.6787179239,20807.6233806975,21172.6689242134,1942970
2020-01-17,21172.6689242134,21209.1738210686,20807.6233806975,21026.6510493107,1388810
2020-01-20,20990.1461524554,21172.6689242134,20880.6323181488,20953.6412556002,1227100
2020-01-21,21099.659986762,21172.6689242134,20260.0542091645,20260.0542091645,4351820
2020-01-22,20077.5314374066,20625.1006089396,19968.0176031,20625.1006089396,3165650
2020-01-30,20187.0452717132,20369.5680434711,19675.9801407763,19968.0176031,2638460
2020-01-31,19712.4850376316,20041.0265405513,18982.3930943407,18982.3930943407,4118150
2020-02-03,18106.2824198879,19164.9158660986,17887.2547512748,18799.8703225827,3503080
2020-02-04,19128.4118255025,19128.4118255025,18617.3466945657,18909.3841568893,1651440
2020-02-05,19091.9069286473,19274.4297004052,18982.3930943407,19018.8979911959,1522110
2020-02-06,19164.9158660986,19566.4671627289,18909.3841568893,19566.4671627289,1708550
2020-02-07,19347.4394941157,19529.9622658736,19274.4297004052,19456.9533284223,1218660
2020-02-10,19128.4118255025,19347.4394941157,19018.8979911959,19201.4207629539,705330
2020-02-11,19310.9345972605,19602.971203325,19237.9256598091,19529.9622658736,1030030
2020-02-12,19639.4761001802,19968.0176031,19602.971203325,19748.9899344868,1104870
2020-02-13,19748.9899344868,19895.0078093895,19602.971203325,19821.9988719382,1030570
2020-02-14,19748.9899344868,19895.0078093895,19712.4850376316,19895.0078093895,884240
2020-02-17,19931.5127062448,19931.5127062448,19712.4850376316,19785.4939750829,726390
2020-02-18,19858.5037687934,20442.5769809225,19821.9988719382,20442.5769809225,1760940
2020-02-19,20406.0729403264,20515.586774633,20260.0542091645,20333.0631466159,681250
2020-02-20,20479.0818777777,20588.5957120843,20260.0542091645,20369.5680434711,780810
2020-02-21,20406.0729403264,20406.0729403264,19968.0176031,19968.0176031,1458040
2020-02-24,19383.9435347118,19675.9801407763,19164.9158660986,19164.9158660986,2261990
2020-02-25,19018.8979911959,19712.4850376316,18982.3930943407,19675.9801407763,1407720
2020-02-26,19493.4573690184,20150.5403748579,19347.4394941157,20077.5314374066,3221270
2020-02-27,20077.5314374066,20625.1006089396,19931.5127062448,20442.5769809225,2927040
2020-02-28,20077.5314374066,20333.0631466159,19931.5127062448,20114.0354780027,2132200
2020-03-02,20114.0354780027,20515.586774633,20004.5216436961,20333.0631466159,1787060
2020-03-03,20515.586774633,20807.6233806975,20333.0631466159,20406.0729403264,1193800
2020-03-04,20260.0542091645,20260.0542091645,20041.0265405513,20260.0542091645,1660790
2020-03-05,20260.0542091645,20406.0729403264,19931.5127062448,19931.5127062448,1296450
2020-03-06,19785.4939750829,19821.9988719382,19529.9622658736,19712.4850376316,1305030
2020-03-09,18690.3564882762,18982.3930943407,18361.8149853564,18361.8149853564,4735140
2020-03-10,18617.3466945657,18982.3930943407,18361.8149853564,18872.8792600341,2030340
2020-03-11,18982.3930943407,19164.9158660986,18069.7783792919,18544.3377571143,2753310
2020-03-12,17741.2368763721,17996.7685855814,17266.6766422905,17558.713248355,3981670
2020-03-13,16536.5846989996,18252.3011510498,16500.0798021443,17576.9661249122,2919140
2020-03-16,17576.9661249122,18142.7873167432,17339.686436001,17376.1904765971,1898960
2020-03-17,17157.1628079839,17704.7319795168,16974.6400362259,17704.7319795168,2474650
2020-03-18,17887.2547512748,17923.75964813,17649.9750623635,17668.2270826616,1642800
2020-03-19,17376.1904765971,17558.713248355,17376.1904765971,17412.6953734523,1296590
2020-03-20,17595.2181452102,17613.4701655083,17284.9295188477,17412.6953734523,1291360
2020-03-23,16828.6213050641,17120.6587673878,16208.0431960798,16208.0431960798,2826690
2020-03-24,16427.070864693,16427.070864693,15879.50169316,16244.548092935,2191500
2020-03-25,16792.117264468,16938.1351393707,16481.8277818463,16792.117264468,2131790
2020-03-26,16609.5936364509,16737.3603473147,16135.0342586285,16135.0342586285,2358310
2020-03-27,16208.0431960798,16208.0431960798,15660.4740245468,15733.4838182573,2633750
2020-03-30,14784.3642063533,15003.3918749664,14638.3454751914,14747.859309498,2157690
2020-03-31,15149.4097498691,15477.9512527889,14638.3454751914,15003.3918749664,1663050
2020-04-01,14893.8780406599,15769.9878588534,14893.8780406599,15441.4463559337,1453030
2020-04-03,15696.9789214021,16299.3050100883,15587.4650870955,16281.0521335311,2072000
2020-04-06,16792.117264468,17339.686436001,16609.5936364509,17339.686436001,2718990
2020-04-07,17339.686436001,17412.6953734523,16974.6400362259,17266.6766422905,2463810
2020-04-08,16828.6213050641,17175.4156845411,16700.8554504595,17102.4058908306,1576670
2020-04-09,17157.1628079839,17376.1904765971,16974.6400362259,17102.4058908306,2142370
2020-04-10,17011.1449330812,17157.1628079839,16755.6123676128,16938.1351393707,1882020
2020-04-13,16938.1351393707,17157.1628079839,16828.6213050641,16974.6400362259,1255360
2020-04-14,17376.1904765971,18069.7783792919,17157.1628079839,18069.7783792919,4072050
2020-04-15,18434.8239228077,18544.3377571143,18197.5442338965,18288.806047905,2205200
2020-04-16,18142.7873167432,18544.3377571143,17996.7685855814,18361.8149853564,1508480
2020-04-17,18690.3564882762,18726.8605288722,18325.3100885011,18690.3564882762,2631630
2020-04-20,18945.8881974854,18982.3930943407,18507.8328602591,18726.8605288722,2239780
2020-04-21,18434.8239228077,18580.8426539696,17850.7507106787,17996.7685855814,3737050
2020-04-22,17814.2458138234,18690.3564882762,17777.7409169682,18653.8515914209,2445860
2020-04-23,19018.8979911959,19055.402031792,18617.3466945657,18617.3466945657,1363410
2020-04-24,18580.8426539696,18690.3564882762,18288.806047905,18617.3466945657,1411380
2020-04-27,18799.8703225827,18799.8703225827,18434.8239228077,18507.8328602591,1388150
2020-04-28,18507.8328602591,18544.3377571143,18325.3100885011,18507.8328602591,974310
2020-04-29,18544.3377571143,18763.3654257275,18434.8239228077,18544.3377571143,1349230
2020-05-04,18325.3100885011,18580.8426539696,18179.2922135984,18434.8239228077,895530
2020-05-05,18544.3377571143,18617.3466945657,18398.3198822116,18580.8426539696,677990
2020-05-06,18617.3466945657,19383.9435347118,18617.3466945657,19310.9345972605,3470150
2020-05-07,19347.4394941157,19529.9622658736,19128.4118255025,19529.9622658736,2030720
2020-05-08,19566.4671627289,20114.0354780027,19566.4671627289,19602.971203325,3585320
2020-05-11,19712.4850376316,19858.5037687934,19456.9533284223,19712.4850376316,2119430
2020-05-12,19712.4850376316,19858.5037687934,19566.4671627289,19858.5037687934,2828190
2020-05-13,20313.5969508261,21190.2890252498,20270.831086978,21104.7572975536,6853810
2020-05-14,20933.6955546796,20997.8439223222,20741.2513080111,20826.7821794481,2597400
2020-05-15,20655.7204365741,20912.3130508852,20420.5103260575,20527.423701289,2430890
2020-05-18,20313.5969508261,20677.1029403686,20270.831086978,20677.1029403686,2000950
2020-05-19,21040.6097861703,21254.4365366332,20784.0163156,21061.9922899647,2879030
2020-05-20,20955.0789147332,20955.0789147332,20762.6338118056,20912.3130508852,1245380
2020-05-21,20912.3130508852,21083.3747937592,20890.9305470907,21083.3747937592,2007060
2020-05-22,20955.0789147332,20955.0789147332,20719.8688042167,20719.8688042167,1731720
2020-05-25,20741.2513080111,20784.0163156,20441.892829852,20719.8688042167,2033000
2020-05-26,20741.2513080111,20869.5471870371,20677.1029403686,20869.5471870371,1615680
2020-05-27,20912.3130508852,21126.1406576073,20527.423701289,20527.423701289,2098580
2020-05-28,20612.954572726,20784.0163156,20527.423701289,20527.423701289,1194380
2020-05-29,20527.423701289,20570.1895651371,20313.5969508261,20506.0411974945,1346170
2020-06-01,20527.423701289,20677.1029403686,20527.423701289,20655.7204365741,1298150
2020-06-02,20655.7204365741,20741.2513080111,20527.423701289,20527.423701289,1456730
2020-06-03,20527.423701289,20933.6955546796,20484.6586937001,20805.3996756537,1893060
2020-06-04,20912.3130508852,20912.3130508852,20698.485444163,20698.485444163,1260060
2020-06-05,20698.485444163,20826.7821794481,20591.5720689316,20826.7821794481,1236200
2020-06-08,20955.0789147332,21382.7332719183,20955.0789147332,21104.7572975536,4113250
2020-06-09,21211.6715290443,21233.0540328387,20912.3130508852,20955.0789147332,1491540
2020-06-10,20955.0789147332,20955.0789147332,20698.485444163,20869.5471870371,1307540
2020-06-11,20869.5471870371,20869.5471870371,19672.1141306597,19672.1141306597,4278060
2020-06-12,19244.4597734746,20099.7693441039,19244.4597734746,20099.7693441039,3145450
2020-06-15,20527.423701289,20527.423701289,19629.3491230708,19672.1141306597,1207500
2020-06-16,19928.7076012299,20014.2384726669,19800.4108659448,19928.7076012299,1100730
2020-06-17,19971.4726088188,19992.8559688725,19779.0283621503,19821.7933697393,788630
2020-06-18,19800.4108659448,19971.4726088188,19736.2624983023,19928.7076012299,822980
2020-06-19,19928.7076012299,20099.7693441039,19928.7076012299,20099.7693441039,745470
2020-06-22,20099.7693441039,20099.7693441039,20035.6209764614,20099.7693441039,787180
2020-06-23,20078.3868403095,20698.485444163,19992.8559688725,20334.9794546205,1693730
2020-06-24,20484.6586937001,20506.0411974945,20121.1518478984,20185.300215541,607000
2020-06-25,19950.0901050244,20142.5343516929,19928.7076012299,20014.2384726669,730810
2020-06-26,20014.2384726669,20163.9177117465,19971.4726088188,20035.6209764614,602880
2020-06-29,19928.7076012299,19928.7076012299,19607.9666192763,19693.4974907133,1281220
2020-06-30,19736.2624983023,19843.1767297929,19415.5215163487,19522.4357478393,1594210
2020-07-01,19672.1141306597,19800.4108659448,19586.5832592227,19757.6458583559,866660
2020-07-02,19800.4108659448,19800.4108659448,19650.7316268652,19736.2624983023,539160
2020-07-03,19885.9417373818,19885.9417373818,19714.8799945078,19779.0283621503,529760
2020-07-06,19885.9417373818,20078.3868403095,19800.4108659448,20014.2384726669,1089910
2020-07-07,20099.7693441039,20484.6586937001,20099.7693441039,20292.2135907724,2739150
2020-07-08,20228.0652231299,20484.6586937001,20228.0652231299,20399.1278222631,1472610
2020-07-09,20484.6586937001,20698.485444163,20441.892829852,20677.1029403686,2298900
2020-07-10,20570.1895651371,20634.3379327796,20313.5969508261,20441.892829852,1164310
2020-07-13,20527.423701289,20933.6955546796,20420.5103260575,20805.3996756537,2662490
2020-07-14,20655.7204365741,20890.9305470907,20655.7204365741,20762.6338118056,1549540
2020-07-15,20826.7821794481,20933.6955546796,20698.485444163,20784.0163156,1516540
2020-07-16,20762.6338118056,20848.1646832426,20698.485444163,20784.0163156,1060530
2020-07-17,20741.2513080111,20741.2513080111,20570.1895651371,20570.1895651371,1313100
2020-07-20,20570.1895651371,20612.954572726,20249.4485831835,20270.831086978,2049680
2020-07-21,20313.5969508261,20506.0411974945,20206.6827193354,20441.892829852,940230
2020-07-22,20527.423701289,20527.423701289,20228.0652231299,20270.831086978,817890
2020-07-23,20270.831086978,20420.5103260575,20142.5343516929,20420.5103260575,918630
2020-07-24,20270.831086978,20334.9794546205,19415.5215163487,19629.3491230708,3170540
2020-07-27,19244.4597734746,19629.3491230708,18645.7436734155,18688.5086810045,3274350
2020-07-28,18987.8671591636,19586.5832592227,18880.9537839321,19543.8182516338,1953510
2020-07-29,18987.8671591636,19201.6947658857,18731.2745448526,19052.0155268062,1554200
2020-07-30,19073.3980306006,19308.6081411172,19073.3980306006,19308.6081411172,612240
2020-07-31,18816.8054162896,19329.9906449117,18816.8054162896,19030.6321667525,1106250
2020-08-03,19030.6321667525,19629.3491230708,19030.6321667525,19629.3491230708,1392200
2020-08-04,19885.9417373818,20014.2384726669,19757.6458583559,19907.3242411763,1051310
2020-08-05,19885.9417373818,20163.9177117465,19779.0283621503,20099.7693441039,1328520
2020-08-06,20099.7693441039,20206.6827193354,19971.4726088188,20014.2384726669,1153660
2020-08-07,20014.2384726669,20441.892829852,20014.2384726669,20142.5343516929,1283690
2020-08-10,20249.4485831835,20441.892829852,20142.5343516929,20185.300215541,1160370
2020-08-11,20292.2135907724,20292.2135907724,20099.7693441039,20099.7693441039,1209690
2020-08-12,20142.5343516929,20313.5969508261,20057.0034802559,20313.5969508261,1233230
2020-08-13,20399.1278222631,20506.0411974945,20313.5969508261,20506.0411974945,1709100
2020-08-14,20570.1895651371,20612.954572726,20292.2135907724,20441.892829852,1633770
2020-08-17,20485.1433363858,20528.8219725006,20310.4296481857,20528.8219725006,1048820
2020-08-18,20528.8219725006,20594.3394985433,20441.464700271,20463.304446458,625200
2020-08-19,20485.1433363858,20550.6608624285,20375.9471742283,20463.304446458,877190
2020-08-20,20485.1433363858,20725.3745506286,20463.304446458,20550.6608624285,1824430
2020-08-21,20638.0172783989,20747.2134405564,20616.1783884711,20703.5348044416,1260210
2020-08-24,20943.7660186844,21227.6750127828,20900.0873825695,21162.1574867402,3540210
2020-08-25,21227.6750127828,21380.5489547959,21205.836122855,21336.8711749403,3304670
2020-08-26,21315.0314287533,21336.8711749403,21052.9613245827,21140.3185968123,1328990
2020-08-27,21074.8010707697,21882.8502732093,21074.8010707697,21773.6541110519,3724990
2020-08-28,21926.5289093242,22319.6340655801,21795.4938572389,21795.4938572389,4009380
2020-08-31,21795.4938572389,21970.2066891798,21555.2626429961,21620.7801690387,1940640
2020-09-01,21620.7801690387,22057.5639614095,21555.2626429961,21795.4938572389,1757410
2020-09-03,22013.8853252946,22057.5639614095,21795.4938572389,22013.8853252946,2281510
2020-09-04,21620.7801690387,21839.1716370945,21620.7801690387,21839.1716370945,1538510
2020-09-07,21817.3327471667,21839.1716370945,21183.996376668,21183.996376668,2270970
2020-09-08,21293.1925388255,21620.7801690387,21183.996376668,21620.7801690387,1628870
2020-09-09,21249.5139027106,21620.7801690387,21227.6750127828,21489.7451169534,1490820
2020-09-10,21620.7801690387,21751.815221124,21446.0664808386,21489.7451169534,1005950
2020-09-11,21402.3887009829,21489.7451169534,21336.8711749403,21467.9062270256,872160
2020-09-14,21511.5840068812,21620.7801690387,21446.0664808386,21533.4237530682,1127400
2020-09-15,21620.7801690387,21839.1716370945,21533.4237530682,21839.1716370945,1906730
2020-09-16,21839.1716370945,22188.5990134948,21839.1716370945,22057.5639614095,1918130
2020-09-17,21970.2066891798,22057.5639614095,21795.4938572389,21839.1716370945,1563010
2020-09-18,21882.8502732093,22450.6691176654,21839.1716370945,22363.3118454357,3306720
2020-09-21,22406.9904815506,22581.7041697507,22363.3118454357,22363.3118454357,1530250
2020-09-22,22188.5990134948,22406.9904815506,22101.2417412651,22406.9904815506,1630570
2020-09-23,22406.9904815506,22494.346897521,22188.5990134948,22319.6340655801,1797680
2020-09-24,22144.9203773799,22275.9554294652,21926.5289093242,22057.5639614095,1728380
2020-09-25,22144.9203773799,22188.5990134948,21839.1716370945,22188.5990134948,1205550
2020-09-28,22232.2767933504,22406.9904815506,22101.2417412651,22319.6340655801,1312300
2020-09-29,22450.6691176654,22450.6691176654,21926.5289093242,21926.5289093242,1900490
2020-09-30,21926.5289093242,22013.8853252946,21729.9763311962,21839.1716370945,2500310
2020-10-01,21926.5289093242,22188.5990134948,21926.5289093242,22188.5990134948,905510
2020-10-02,22188.5990134948,22319.6340655801,21402.3887009829,21970.2066891798,1947940
2020-10-05,22013.8853252946,22188.5990134948,21795.4938572389,22057.5639614095,1498360
2020-10-06,22188.5990134948,22232.2767933504,21970.2066891798,22057.5639614095,1520290
2020-10-07,21926.5289093242,22144.9203773799,21926.5289093242,22013.8853252946,1493710
2020-10-08,22057.5639614095,22494.346897521,21970.2066891798,22319.6340655801,3062690
2020-10-09,22275.9554294652,22363.3118454357,22188.5990134948,22188.5990134948,1173500
2020-10-12,22232.2767933504,22450.6691176654,22101.2417412651,22232.2767933504,1550680
2020-10-13,22232.2767933504,22275.9554294652,22057.5639614095,22144.9203773799,1222200
2020-10-14,22188.5990134948,22450.6691176654,22013.8853252946,22275.9554294652,2409760
2020-10-15,22363.3118454357,22450.6691176654,22144.9203773799,22363.3118454357,1925370
2020-10-16,22363.3118454357,23542.6273142035,22232.2767933504,23236.878573918,5769540
2020-10-19,23411.5922621182,23498.9486780887,23149.5221579476,23280.5572100329,2333670
2020-10-20,23193.2007940624,23280.5572100329,22931.1306898918,23236.878573918,1886160
2020-10-21,23236.878573918,23804.6974183741,23062.1657419771,23062.1657419771,3305010
2020-10-22,23062.1657419771,23586.3059503183,22974.8084697474,23586.3059503183,2346540
2020-10-23,23673.6623662888,23804.6974183741,23367.9136260034,23542.6273142035,2646310
2020-10-26,23542.6273142035,23804.6974183741,23062.1657419771,23062.1657419771,3852510
2020-10-27,23105.8435218327,23236.878573918,22756.4170016916,22756.4170016916,3188810
2020-10-28,22712.7383655768,22887.452053777,22144.9203773799,22144.9203773799,3596230
2020-10-29,22013.8853252946,22406.9904815506,21926.5289093242,22232.2767933504,2719690
2020-10-30,22450.6691176654,22494.346897521,22057.5639614095,22494.346897521,1469970
2020-11-02,22494.346897521,22581.7041697507,22363.3118454357,22581.7041697507,866110
2020-11-03,22669.0605857212,23105.8435218327,22581.7041697507,23062.1657419771,2562890
2020-11-04,23149.5221579476,23280.5572100329,22931.1306898918,23149.5221579476,1369690
2020-11-05,23018.4871058623,23324.2358461477,22712.7383655768,22712.7383655768,1305860
2020-11-06,22887.452053777,23062.1657419771,22756.4170016916,22887.452053777,987260
2020-11-09,23062.1657419771,23324.2358461477,23018.4871058623,23324.2358461477,2011650
2020-11-10,23586.3059503183,23586.3059503183,23149.5221579476,23149.5221579476,1739340
2020-11-11,23324.2358461477,23324.2358461477,23018.4871058623,23149.5221579476,1668230
2020-11-12,23149.5221579476,23367.9136260034,23105.8435218327,23367.9136260034,1234540
2020-11-13,23498.9486780887,23498.9486780887,23367.9136260034,23498.9486780887,1318170
2020-11-16,23586.3059503183,23761.0187822593,23149.5221579476,23280.5572100329,3713690
2020-11-17,23411.5922621182,23629.983730174,23149.5221579476,23586.3059503183,2515530
2020-11-18,23717.3410024036,23717.3410024036,23455.270898233,23586.3059503183,1757160
2020-11-19,23717.3410024036,24459.8726788006,23586.3059503183,24066.7675225447,4980430
2020-11-20,24066.7675225447,24416.1940426858,24023.0888864299,24110.4461586595,1837360
2020-11-23,24110.4461586595,24547.2290947711,23848.3760544889,24416.1940426858,2824640
2020-11-24,24416.1940426858,24678.2641468564,24023.0888864299,24285.1589906005,3003940
2020-11-25,24590.9077308859,24590.9077308859,24110.4461586595,24110.4461586595,1835630
2020-11-26,24241.4812107448,24459.8726788006,23935.7324704594,24328.8376267153,1635130
2020-11-27,24416.1940426858,24547.2290947711,24285.1589906005,24547.2290947711,1986420
2020-11-30,24765.6205628269,24765.6205628269,24197.80257463,24197.80257463,2761700
2020-12-01,24023.0888864299,24197.80257463,23935.7324704594,24110.4461586595,3427370
2020-12-02,24023.0888864299,24328.8376267153,24023.0888864299,24285.1589906005,2108200
2020-12-03,24241.4812107448,24328.8376267153,24066.7675225447,24285.1589906005,1627980
2020-12-04,24197.80257463,24416.1940426858,24197.80257463,24328.8376267153,1380920
2020-12-07,24416.1940426858,24459.8726788006,24241.4812107448,24328.8376267153,1455180
2020-12-08,24328.8376267153,24721.9427829712,24241.4812107448,24547.2290947711,2297110
2020-12-09,24590.9077308859,25246.0829913124,24547.2290947711,25115.0479392271,3001820
2020-12-10,24896.6556149122,25202.4043551976,24678.2641468564,24678.2641468564,2112490
2020-12-11,24721.9427829712,24896.6556149122,24590.9077308859,24896.6556149122,1750270
2020-12-14,24896.6556149122,25333.4394072829,24852.9778350565,24984.0128871418,1443760
2020-12-15,25115.0479392271,25158.7257190828,24721.9427829712,24765.6205628269,2666900
2020-12-16,24984.0128871418,25115.0479392271,24896.6556149122,24940.334251027,1995530
2020-12-17,24852.9778350565,24940.334251027,24459.8726788006,24678.2641468564,3594500
