date,open,high,low,close,volume
2020-01-02,4003.8560975,4038.3721525,3969.3400425,3986.59807,7730
2020-01-03,4038.3721525,4038.3721525,3986.59807,4021.114125,18090
2020-01-06,4055.63018,4072.8882075,3952.082015,4055.63018,20860
2020-01-07,4003.8560975,4003.8560975,3952.082015,4003.8560975,2000
2020-01-08,3986.59807,3986.59807,3796.7597675,3883.049905,47420
2020-01-09,3883.049905,3900.3079325,3865.7918775,3865.7918775,13670
2020-01-10,3969.3400425,3969.3400425,3796.7597675,3900.3079325,26040
2020-01-13,3900.3079325,3900.3079325,3848.53385,3848.53385,6290
2020-01-14,3865.7918775,3883.049905,3814.017795,3814.017795,39670
2020-01-15,3831.2758225,3831.2758225,3796.7597675,3814.017795,42120
2020-01-16,3831.2758225,3831.2758225,3779.50174,3796.7597675,22880
2020-01-17,3831.2758225,3831.2758225,3796.7597675,3796.7597675,3600
2020-01-20,3796.7597675,3969.3400425,3796.7597675,3865.7918775,156160
2020-01-21,3865.7918775,4124.6613925,3865.7918775,4124.6613925,347860
2020-01-22,4366.2737775,4400.7898325,4193.6935025,4279.98364,296140
2020-01-30,4279.98364,4573.3701075,4279.98364,4452.563915,265130
2020-01-31,4452.563915,4487.07997,4176.435475,4176.435475,69610
2020-02-03,4107.403365,4314.499695,3900.3079325,4262.7256125,81560
2020-02-04,4055.63018,4279.98364,4055.63018,4055.63018,99350
2020-02-05,4141.91942,4176.435475,4107.403365,4176.435475,69680
2020-02-06,4262.7256125,4262.7256125,4107.403365,4176.435475,46000
2020-02-07,4176.435475,4176.435475,4072.8882075,4176.435475,78760
2020-02-10,4176.435475,4297.2416675,4124.6613925,4245.467585,170620
2020-02-11,4279.98364,4435.3058875,4279.98364,4314.499695,189020
2020-02-12,4383.531805,4538.8540525,4349.01575,4452.563915,141240
2020-02-13,4452.563915,4625.14419,4452.563915,4625.14419,158500
2020-02-14,4590.628135,4763.2075125,4590.628135,4659.6593475,144900
2020-02-17,4763.2075125,4763.2075125,4590.628135,4590.628135,64410
2020-02-18,4556.11208,4590.628135,4331.7577225,4331.7577225,111600
2020-02-19,4331.7577225,4521.596025,4331.7577225,4452.563915,47740
2020-02-20,4487.07997,4556.11208,4383.531805,4469.8219425,48150
2020-02-21,4400.7898325,4521.596025,4400.7898325,4435.3058875,46690
2020-02-24,4349.01575,4366.2737775,4262.7256125,4314.499695,52020
2020-02-25,4314.499695,4418.04786,4279.98364,4400.7898325,22670
