date,open,high,low,close,volume
2020-01-02,58069.9304,58999.5448,58069.9304,58627.6987,141260
2020-01-03,58627.6987,59743.2362,58627.6987,58751.6472,218980
2020-01-06,59929.1593,60734.8253,59619.2878,60610.8768,431090
2020-01-07,60548.9022,60548.9022,59681.2624,60177.0569,142800
2020-01-08,61106.6714,61354.569,60115.0823,60115.0823,439260
2020-01-09,59495.3394,59991.1339,58751.6472,58999.5448,320980
2020-01-10,59185.4679,59495.3394,58875.5964,59433.3647,160820
2020-01-13,59433.3647,59433.3647,58689.6734,59061.5195,355190
2020-01-14,58999.5448,59495.3394,58813.6218,58813.6218,166850
2020-01-15,58875.5964,58875.5964,57698.0843,58255.8535,201400
2020-01-16,58255.8535,58441.7757,57636.1097,57822.0327,508390
2020-01-17,57822.0327,58379.8019,57450.1866,57760.059,281760
2020-01-20,57760.059,58007.9558,57574.1359,57884.0074,134180
2020-01-21,57884.0074,58813.6218,57884.0074,58813.6218,180960
2020-01-22,58813.6218,59123.4933,58441.7757,58813.6218,162790
2020-01-30,56396.6238,58131.9042,56396.6238,57016.3668,379940
2020-01-31,56458.5985,56830.4437,53297.9083,53607.7797,551680
2020-02-03,52678.1653,53235.9336,49951.295,51562.627,565980
2020-02-04,52616.1907,52678.1653,50818.9356,50818.9356,376400
2020-02-05,51438.6786,52058.4215,49951.295,50571.0388,290230
2020-02-06,50571.0388,53235.9336,50571.0388,53235.9336,253870
2020-02-07,53235.9336,53917.6512,52678.1653,53297.9083,299430
2020-02-10,52678.1653,53855.6766,52058.4215,53855.6766,278230
2020-02-11,53359.882,53793.7028,52926.0622,53050.0106,235700
2020-02-12,53669.7544,53669.7544,53050.0106,53297.9083,175490
2020-02-13,53173.9598,54599.3688,53173.9598,54227.5227,272240
2020-02-14,54227.5227,55095.1633,53917.6512,54847.2656,162870
2020-02-17,54847.2656,55343.0601,54103.5743,54103.5743,180040
2020-02-18,53917.6512,54165.5489,53173.9598,53297.9083,215600
2020-02-19,53297.9083,53359.882,52864.0884,52864.0884,166790
2020-02-20,54537.3941,54537.3941,52802.1137,52864.0884,198200
2020-02-21,53297.9083,53421.8567,52926.0622,52926.0622,171440
2020-02-24,52678.1653,52678.1653,51748.5501,51996.4477,348150
2020-02-25,51128.8071,51996.4477,51128.8071,51438.6786,331330
2020-02-26,51128.8071,51128.8071,49331.5521,49517.4751,478410
2020-02-27,49455.5005,49517.4751,48401.9377,48959.706,359090
2020-02-28,46542.708,48277.9892,46542.708,46976.5287,449640
2020-03-02,46852.5795,49269.5783,46728.631,48959.706,255710
2020-03-03,51376.7048,51376.7048,49579.4498,49579.4498,270460
2020-03-04,49269.5783,49269.5783,48216.0146,48401.9377,307460
2020-03-05,48401.9377,49579.4498,48401.9377,48401.9377,262610
2020-03-06,48339.963,48401.9377,47782.1947,48030.0916,208460
2020-03-09,44683.4792,44683.4792,44683.4792,44683.4792,226330
2020-03-10,41584.7636,43939.787,41584.7636,42452.4034,1377350
2020-03-11,43382.0186,44063.7354,39539.6109,39539.6109,1022830
2020-03-12,36812.7414,37742.3558,36812.7414,36812.7414,832050
2020-03-13,34271.7942,36254.9723,34271.7942,35325.3579,975880
2020-03-16,35201.4094,37308.536,34705.6149,36750.7668,664400
2020-03-17,34829.5633,37122.6129,34829.5633,37060.6383,531530
2020-03-18,37184.5867,37184.5867,35821.1524,35945.1008,1111270
2020-03-19,34705.6149,35015.4864,34023.8973,34271.7942,897780
2020-03-20,35325.3579,36007.0754,34705.6149,35883.1262,563530
2020-03-23,34209.8204,34705.6149,33404.1544,33404.1544,779860
2020-03-24,34705.6149,34953.5118,33775.9997,34829.5633,769350
2020-03-25,36750.7668,37246.5613,36069.0492,37246.5613,1074610
2020-03-26,37184.5867,37432.4844,36254.9723,36378.9207,564130
2020-03-27,36378.9207,36626.8184,35387.3316,36069.0492,484150
2020-03-30,34023.8973,34333.7688,33775.9997,33837.9743,556090
2020-03-31,35759.1777,35759.1777,33466.1282,33961.9227,414540
2020-04-01,33899.9489,35697.204,33899.9489,34767.5887,577930
2020-04-03,37184.5867,37184.5867,35635.2293,36688.7922,1147360
2020-04-06,38424.0734,39043.8164,37804.3305,39043.8164,1513290
2020-04-07,39601.5855,39601.5855,38300.125,38981.8417,945030
2020-04-08,37990.2535,38919.8679,37680.3812,38857.8933,869540
2020-04-09,39291.714,41522.789,39105.791,41522.789,1506780
2020-04-10,40903.046,41832.6604,40283.3022,41584.7636,944260
2020-04-13,42266.4803,43072.1463,41832.6604,42142.5319,1048800
2020-04-14,41522.789,41708.712,40531.1999,41522.789,1273310
2020-04-15,40779.0968,41708.712,40593.1746,41274.8913,645240
2020-04-16,41274.8913,42142.5319,40779.0968,41770.6858,717400
2020-04-17,41832.6604,42762.2749,41832.6604,41956.6089,811680
2020-04-20,42142.5319,42762.2749,41584.7636,42638.3264,1227520
2020-04-21,40903.046,41646.7374,39973.4308,39973.4308,1557070
2020-04-22,37804.3305,40035.4054,37804.3305,39353.6878,760590
2020-04-23,40283.3022,40903.046,40159.3538,40345.2769,620260
2020-04-24,40779.0968,40903.046,40097.38,40345.2769,583010
2020-04-27,40345.2769,40841.0714,39663.5593,39787.5086,460370
2020-04-28,38795.9195,39663.5593,38671.9702,38919.8679,775610
2020-04-29,39043.8164,39787.5086,39043.8164,39291.714,623860
2020-05-04,40283.3022,40655.1483,39415.6625,39539.6109,410240
2020-05-05,40283.3022,40593.1746,39663.5593,40593.1746,652830
2020-05-06,41336.8659,42638.3264,41336.8659,42514.378,1540630
2020-05-07,42514.378,43072.1463,41956.6089,42576.3518,705710
2020-05-08,42576.3518,43877.8132,42576.3518,43134.121,1700680
2020-05-11,43382.0186,45241.2475,43382.0186,45241.2475,1084850
2020-05-12,45179.2737,45860.9904,44001.7616,45365.1959,1145720
2020-05-13,45241.2475,45799.0166,44621.5045,44869.4014,991060
2020-05-14,44373.6068,44869.4014,44125.71,44311.6331,688000
2020-05-15,45179.2737,45241.2475,43939.787,43939.787,904360
2020-05-18,44373.6068,45551.1189,44373.6068,45551.1189,1071380
2020-05-19,46728.631,46728.631,45922.965,46356.7849,1144660
2020-05-20,45241.2475,46356.7849,45241.2475,45984.9397,548540
2020-05-21,46170.8619,46852.5795,45860.9904,46480.7342,952810
2020-05-22,46418.7596,46418.7596,45613.0936,45799.0166,982700
2020-05-25,45799.0166,45922.965,45489.1452,45675.0682,554990
2020-05-26,46170.8619,46418.7596,45737.042,46418.7596,615970
2020-05-27,46790.6057,47286.4002,46356.7849,46480.7342,1141480
2020-05-28,46480.7342,46728.631,46170.8619,46170.8619,456570
2020-05-29,46170.8619,46170.8619,45675.0682,46108.8881,372610
2020-06-01,46418.7596,47100.4771,46232.8365,46666.6564,596060
