date,open,high,low,close,volume
2022-03-08,22160.1678627002,22160.1678627002,22160.1678627002,22160.1678627002,10100
2022-03-09,25452.5354522273,25452.5354522273,25452.5354522273,25452.5354522273,830100
2022-03-10,29251.4215479021,29251.4215479021,29251.4215479021,29251.4215479021,5009100
2022-03-11,33556.8253781725,33620.1404807729,30074.5132523959,30391.0872222941,2999500
2022-03-14,30707.6611921924,31530.7528966862,29188.1064453017,30960.9200594902,547200
2022-03-15,30074.5132523959,30074.5132523959,26338.9422593216,26465.5716929705,957000
2022-03-16,27351.9785000647,31530.7528966862,25389.2211211789,28301.6996382074,1587800
2022-03-17,27225.3490664158,28871.5332469555,27225.3490664158,27795.1819036119,357300
2022-03-18,28365.0147408079,28365.0147408079,27162.0339638154,27478.6079337136,298500
2022-03-21,27225.3490664158,27225.3490664158,25959.0539583749,26528.8867955709,305100
2022-03-22,26592.2011266194,26972.0901991181,26085.6833920238,26592.2011266194,1923700
2022-03-23,26592.2011266194,26908.7750965176,26465.5716929705,26655.5162292198,358400
2022-03-24,26275.6271567211,27668.552469963,26275.6271567211,27668.552469963,1453664
2022-03-25,26845.4607654692,27858.4970062123,23173.2041034433,27415.2936026652,4361236
2022-03-28,27225.3490664158,27731.8668010114,26908.7750965176,27605.2373673625,2518523
2022-03-29,27351.9785000647,27731.8668010114,27225.3490664158,27668.552469963,1258514
2022-03-30,27541.9230363141,28238.385307159,27415.2936026652,27541.9230363141,382200
2022-03-31,27858.4970062123,28175.0702045585,27415.2936026652,27858.4970062123,393200
2022-04-01,27985.1264398612,28175.0702045585,27541.9230363141,27858.4970062123,268650
2022-04-04,27858.4970062123,27921.8113372607,27415.2936026652,27668.552469963,301800
2022-04-05,27605.2373673625,27605.2373673625,27225.3490664158,27288.6633974643,289800
2022-04-06,26592.2011266194,27098.719632767,24059.6109105375,25832.424524726,547953
2022-04-07,25959.0539583749,26528.8867955709,25325.9060185785,25959.0539583749,322400
2022-04-08,26402.2573619221,26402.2573619221,24249.5546752349,24249.5546752349,188000
2022-04-12,24249.5546752349,25199.2765849296,24249.5546752349,24629.4437477336,119201
2022-04-13,24692.758078782,24692.758078782,23743.0369406393,24502.8143140847,371700
2022-04-14,24819.3882839829,24882.7026150313,23996.2958079371,24692.758078782,327600
2022-04-15,25009.3320486802,25009.3320486802,23743.0369406393,23996.2958079371,163800
2022-04-18,23996.2958079371,24502.8143140847,23173.2041034433,23363.1486396926,67802
2022-04-19,23743.0369406393,23743.0369406393,20703.9282184099,22223.4821937486,271000
2022-04-20,22033.5384290513,22160.1678627002,20957.1870857077,21527.0199229037,48500
2022-04-21,19627.5768750663,24059.6109105375,19627.5768750663,24059.6109105375,541100
2022-04-22,23363.1486396926,23363.1486396926,21970.2233264508,23109.8890008428,111800
2022-04-25,23426.4629707411,23426.4629707411,19311.0036767201,20260.7248148628,190000
2022-04-26,20260.7248148628,21210.4459530054,18994.4297068219,20957.1870857077,35700
2022-04-27,21210.4459530054,23426.4629707411,21210.4459530054,22350.1123989495,142500
2022-04-28,23109.8890008428,25389.2211211789,22919.9452361455,24566.1286451331,274400
2022-04-29,25262.590915978,25262.590915978,24186.2403441864,24186.2403441864,32300
2022-05-04,24701.8593065156,25286.9032919625,24246.8249241564,24246.8249241564,116800
2022-05-05,25156.8936888748,25546.9224981381,24376.8345272442,25481.9176965942,136600
