date,open,high,low,close,volume
2020-01-02,12724.6956698482,12724.6956698482,12494.5335011752,12691.815754368,246750
2020-01-03,12691.815754368,12691.815754368,12330.1311634625,12626.0550033037,495710
2020-01-06,12494.5335011752,13480.9438470355,12363.0119990466,12626.0550033037,206400
2020-01-07,13480.9438470355,13480.9438470355,12954.8578385212,13119.2601762339,564170
2020-01-08,12987.7386741053,12987.7386741053,12823.3363363926,12921.9779230411,200170
2020-01-09,12889.0970874569,12987.7386741053,12889.0970874569,12921.9779230411,200070
2020-01-10,12921.9779230411,12954.8578385212,12856.2171719768,12954.8578385212,200830
2020-01-13,13020.6185895855,13020.6185895855,12790.4564209125,12954.8578385212,176450
2020-01-14,12954.8578385212,12954.8578385212,12757.5765054323,12856.2171719768,114800
2020-01-15,12823.3363363926,12954.8578385212,12757.5765054323,12921.9779230411,683420
2020-01-16,12921.9779230411,12954.8578385212,12790.4564209125,12954.8578385212,817390
2020-01-17,12954.8578385212,13185.0209272982,12921.9779230411,13086.3793406498,1160880
2020-01-20,13086.3793406498,13086.3793406498,12856.2171719768,12987.7386741053,276790
2020-01-21,13020.6185895855,13020.6185895855,12363.0119990466,12823.3363363926,1555970
2020-01-22,12954.8578385212,13020.6185895855,12626.0550033037,13020.6185895855,467980
2020-01-30,12823.3363363926,12954.8578385212,12428.7727501109,12954.8578385212,749070
2020-01-31,12691.815754368,12691.815754368,12461.652665591,12691.815754368,841230
2020-02-03,12428.7727501109,12626.0550033037,11804.0460750521,12626.0550033037,816860
2020-02-04,12494.5335011752,12494.5335011752,12165.7297458537,12494.5335011752,917370
2020-02-05,12297.2512479823,12560.2942522395,12297.2512479823,12560.2942522395,233060
2020-02-06,12494.5335011752,12560.2942522395,12363.0119990466,12527.4134166553,330530
2020-02-07,12527.4134166553,12823.3363363926,12494.5335011752,12494.5335011752,127750
2020-02-10,12494.5335011752,12494.5335011752,12363.0119990466,12395.8919145267,59480
2020-02-11,12264.3704123982,12461.652665591,12132.8498303736,12461.652665591,749300
2020-02-12,12461.652665591,12494.5335011752,12132.8498303736,12428.7727501109,872340
