date,open,high,low,close,volume
2020-01-02,9427.7483412,10228.2176428,9427.7483412,10050.3363464,762500
2020-01-03,10050.3363464,10850.8046572,10050.3363464,10406.09993,1116400
2020-01-06,10850.8046572,10850.8046572,10139.2764992,10228.2176428,408100
2020-01-07,10317.1587864,10317.1587864,9783.5129156,9961.3952028,537200
2020-01-08,9961.3952028,9961.3952028,9516.6894848,9605.6306284,503400
2020-01-09,9783.5129156,9872.4540592,9694.571772,9783.5129156,200000
2020-01-10,9783.5129156,10317.1587864,9783.5129156,9961.3952028,409700
2020-01-13,10050.3363464,10050.3363464,9872.4540592,10050.3363464,185800
2020-01-14,10050.3363464,10228.2176428,9872.4540592,9961.3952028,290900
2020-01-15,9961.3952028,10050.3363464,9872.4540592,9872.4540592,188600
2020-01-16,9961.3952028,9961.3952028,9605.6306284,9961.3952028,463400
2020-01-17,9961.3952028,10406.09993,9872.4540592,10139.2764992,355700
2020-01-20,10228.2176428,10406.09993,10139.2764992,10228.2176428,309100
2020-01-21,10317.1587864,10495.0410736,10228.2176428,10495.0410736,435300
2020-01-22,10495.0410736,10850.8046572,10228.2176428,10761.8645044,540200
2020-01-30,10495.0410736,10583.9822172,10050.3363464,10228.2176428,372600
2020-01-31,10139.2764992,10139.2764992,9605.6306284,9605.6306284,655300
2020-02-03,9338.8081884,9516.6894848,8449.3977432,9249.8670448,965600
2020-02-04,9071.9847576,9338.8081884,9071.9847576,9249.8670448,353800
2020-02-05,9338.8081884,9605.6306284,9071.9847576,9338.8081884,470500
2020-02-06,9249.8670448,9872.4540592,9249.8670448,9694.571772,307900
2020-02-07,9783.5129156,9783.5129156,9516.6894848,9694.571772,268100
2020-02-10,9694.571772,9694.571772,9338.8081884,9605.6306284,201100
2020-02-11,9605.6306284,9783.5129156,9516.6894848,9694.571772,399300
2020-02-12,9783.5129156,9783.5129156,9605.6306284,9605.6306284,283400
2020-02-13,9605.6306284,9783.5129156,9427.7483412,9605.6306284,727200
2020-02-14,9694.571772,10139.2764992,9516.6894848,10050.3363464,678800
2020-02-17,9961.3952028,10228.2176428,9872.4540592,9872.4540592,314400
2020-02-18,9872.4540592,10050.3363464,9872.4540592,10050.3363464,472400
2020-02-19,10050.3363464,10495.0410736,9961.3952028,10495.0410736,1159200
2020-02-20,10583.9822172,10672.9233608,10317.1587864,10495.0410736,496200
2020-02-21,10495.0410736,10495.0410736,10139.2764992,10228.2176428,514000
2020-02-24,10139.2764992,10228.2176428,9605.6306284,9783.5129156,1084500
