date,open,high,low,close,volume
2020-01-02,7425.0517346712,7511.5911836532,7390.4365467911,7442.3600682521,654880
2020-01-03,7476.9752561323,7528.8987775933,7338.5130253301,7338.5130253301,630820
2020-01-06,7303.8970978092,7321.2046917492,7182.7424609471,7217.358388468,1065060
2020-01-07,7234.6659824081,7303.8970978092,7182.7424609471,7269.281909929,470270
2020-01-08,7217.358388468,7217.358388468,6992.3567086839,7113.511345546,1126900
2020-01-09,7182.7424609471,7217.358388468,7096.2037516059,7182.7424609471,569210
2020-01-10,7182.7424609471,7338.5130253301,7130.8189394861,7269.281909929,1298430
2020-01-13,7286.5895038691,7442.3600682521,7269.281909929,7425.0517346712,1409220
2020-01-14,7390.4365467911,7459.6676621922,7373.1282132102,7425.0517346712,539270
2020-01-15,7425.0517346712,7442.3600682521,7321.2046917492,7321.2046917492,566550
2020-01-16,7390.4365467911,7563.5147051142,7321.2046917492,7563.5147051142,1613670
2020-01-17,7563.5147051142,7650.0534144553,7476.9752561323,7476.9752561323,693850
2020-01-20,7425.0517346712,7494.2828500723,7425.0517346712,7476.9752561323,369830
2020-01-21,7459.6676621922,7684.6693419763,7442.3600682521,7598.1298929943,899530
2020-01-22,7615.4382265752,7684.6693419763,7563.5147051142,7684.6693419763,809310
2020-01-30,7511.5911836532,7511.5911836532,7148.1272730669,7148.1272730669,3212570
2020-01-31,7026.9718965641,7200.0500548872,6663.5079859778,6663.5079859778,2066250
2020-02-03,6230.8129599905,6646.2003920377,6213.5053660504,6455.8146397746,1599650
2020-02-04,6576.9692766366,6576.9692766366,6230.8129599905,6248.1205539305,1047760
2020-02-05,6403.8911183136,6473.1222337146,6265.4281478706,6334.6600029125,1540270
2020-02-06,6421.1987122536,6628.8927980976,6386.5827847327,6542.3533491157,1827860
2020-02-07,6542.3533491157,6698.1239134987,6455.8146397746,6507.7381612356,1583730
2020-02-10,6369.2751907926,6473.1222337146,6300.0440753915,6351.9675968526,1016710
2020-02-11,6403.8911183136,6421.1987122536,6334.6600029125,6386.5827847327,1244840
2020-02-12,6438.5063061937,6646.2003920377,6421.1987122536,6559.6609430558,1461010
2020-02-13,6542.3533491157,6559.6609430558,6438.5063061937,6490.4298276547,847930
2020-02-14,6490.4298276547,6646.2003920377,6455.8146397746,6646.2003920377,1669180
2020-02-17,6646.2003920377,6871.2020718218,6576.9692766366,6576.9692766366,1457530
2020-02-18,6663.5079859778,6715.4315074388,6525.0457551756,6559.6609430558,1220280
2020-02-19,6542.3533491157,6594.2768705767,6507.7381612356,6525.0457551756,869070
2020-02-20,6646.2003920377,6680.8163195587,6507.7381612356,6542.3533491157,1521590
2020-02-21,6542.3533491157,6663.5079859778,6507.7381612356,6525.0457551756,888380
2020-02-24,6334.6600029125,6369.2751907926,6075.0423956075,6075.0423956075,2619500
2020-02-25,5798.1171943624,6126.9659170685,5798.1171943624,6092.3499895475,1288010
2020-02-26,5850.0407158234,6075.0423956075,5850.0407158234,5919.2718312244,891910
2020-02-27,5919.2718312244,6161.5818445894,5919.2718312244,6161.5818445894,886890
2020-02-28,5953.8877587454,6057.7348016674,5884.6566433443,5936.5801648053,990930
2020-03-02,6023.1188741464,6092.3499895475,5953.8877587454,5953.8877587454,1198060
2020-03-03,6092.3499895475,6092.3499895475,5988.5036862663,5988.5036862663,1035920
2020-03-04,5919.2718312244,6178.8894385295,5919.2718312244,6109.6583231284,1404620
2020-03-05,6161.5818445894,6438.5063061937,6161.5818445894,6282.7364814515,1648110
2020-03-06,6230.8129599905,6351.9675968526,6126.9659170685,6282.7364814515,764600
2020-03-09,5850.0407158234,5919.2718312244,5850.0407158234,5850.0407158234,1248740
2020-03-10,5607.7314420992,5832.7331218833,5451.9608777162,5642.3473696201,1576420
2020-03-11,5728.8860789613,5746.1936729014,5261.575125453,5261.575125453,1583400
2020-03-12,4932.7271423877,4950.0347363278,4898.1112148667,4898.1112148667,1792810
2020-03-13,4569.2624921606,4898.1112148667,4569.2624921606,4846.1876934057,1921230
2020-03-16,4707.7254626036,4880.8036209267,4517.3389706996,4551.9548982206,1060990
2020-03-17,4361.5691459574,4863.4952873458,4344.2608123766,4863.4952873458,1381030
2020-03-18,4950.0347363278,5019.2658517288,4759.6489840646,4776.9565780047,1195960
2020-03-19,4603.8784196816,5019.2658517288,4603.8784196816,4828.8800994657,1586780
2020-03-20,4950.0347363278,4967.3423302678,4811.5717658848,4828.8800994657,1791480
2020-03-23,4603.8784196816,4673.1095350827,4500.0313767596,4500.0313767596,1029330
2020-03-24,4569.2624921606,4638.4943472025,4326.9532184365,4344.2608123766,1872520
2020-03-25,4534.6473042805,4638.4943472025,4378.8767398975,4621.1860136217,1778260
2020-03-26,4500.0313767596,4621.1860136217,4396.1843338376,4396.1843338376,1642900
2020-03-27,4430.8002613585,4430.8002613585,4257.7221030354,4275.0296969755,1477790
2020-03-30,4015.4128293112,4119.2598722332,3980.7969017903,3980.7969017903,1729030
2020-03-31,4101.9515386524,4153.8750601134,3738.4876280661,3859.6422649282,1326110
2020-04-01,3911.5657863892,4119.2598722332,3876.9498588683,4119.2598722332,1466530
2020-04-03,4396.1843338376,4396.1843338376,4292.3380305563,4396.1843338376,1646440
2020-04-06,4638.4943472025,4690.4171290227,4586.5708257415,4690.4171290227,1861080
2020-04-07,4984.6499242079,5001.9582577888,4742.3406504837,4984.6499242079,5721480
