date,open,high,low,close,volume
2020-01-02,7043.2032326845,7120.0385583152,6953.5625530384,7120.0385583152,2142970
2020-01-03,7107.2324039152,7107.2324039152,7017.5917242691,7056.0093870845,1305640
2020-01-06,7043.2032326845,7043.2032326845,6863.9218733924,6915.1448902231,1309500
2020-01-07,6915.1448902231,6915.1448902231,6812.6988565617,6838.310364977,865630
2020-01-08,6812.6988565617,6889.5333818077,6697.4458681156,6838.310364977,1954710
2020-01-09,6838.310364977,7068.8147410998,6825.504210577,7043.2032326845,2024450
2020-01-10,7056.0093870845,7273.7084091919,7056.0093870845,7196.8730835612,1917360
2020-01-13,7196.8730835612,7209.6792379612,7081.6208954998,7145.6500667305,866380
2020-01-14,7094.4262495152,7209.6792379612,7068.8147410998,7171.2615751459,813000
2020-01-15,7171.2615751459,7184.0677295459,7081.6208954998,7107.2324039152,712440
2020-01-16,7107.2324039152,7350.542934438,7094.4262495152,7337.7375804226,2717120
2020-01-17,7350.542934438,7414.5721056687,7312.1252716226,7312.1252716226,2061530
2020-01-20,7312.1252716226,7312.1252716226,7196.8730835612,7235.2907463766,939700
2020-01-21,7235.2907463766,7452.989768484,7222.4845919766,7388.9605972533,1656380
2020-01-22,7414.5721056687,7440.183614084,7299.3199176073,7427.3782600687,2241630
2020-01-30,7350.542934438,7350.542934438,7158.4554207459,7158.4554207459,1695770
2020-01-31,7132.8439123305,7145.6500667305,6659.0290056849,6915.1448902231,1891250
2020-02-03,6825.504210577,7030.3978786691,6543.7760172389,6927.9510446231,1793750
2020-02-04,6927.9510446231,7094.4262495152,6876.7272274077,7056.0093870845,1620490
2020-02-05,7056.0093870845,7299.3199176073,6979.1740614538,7273.7084091919,1330510
2020-02-06,7286.5137632073,7683.4949449915,7260.9022547919,7657.8826361915,3301040
2020-02-07,7657.8826361915,7709.1064534068,7581.0481109454,7670.6887905915,1757480
2020-02-10,7645.0772821761,7657.8826361915,7465.795922884,7555.4366025301,1230340
2020-02-11,7529.8242937301,7581.0481109454,7388.9605972533,7427.3782600687,2634890
2020-02-12,7440.183614084,7657.8826361915,7440.183614084,7478.6012768994,1790130
2020-02-13,7491.4074312994,7555.4366025301,7452.989768484,7478.6012768994,1237040
2020-02-14,7491.4074312994,7568.2419565454,7324.9314260226,7324.9314260226,2113640
2020-02-17,7324.9314260226,7363.349088838,7312.1252716226,7363.349088838,2070830
2020-02-18,7350.542934438,7427.3782600687,7337.7375804226,7337.7375804226,1079920
2020-02-19,7337.7375804226,7337.7375804226,7196.8730835612,7299.3199176073,1704650
2020-02-20,7312.1252716226,7337.7375804226,7248.0969007766,7273.7084091919,1144200
