date,open,high,low,close,volume
2020-01-02,8570.483,8877.864,8570.483,8859.782,467470
2020-01-03,8859.782,8877.864,8697.052,8859.782,529730
2020-01-06,8859.782,9149.081,8498.159,8498.159,967330
2020-01-07,8570.483,8787.458,8534.322,8697.052,562870
2020-01-08,8678.971,8678.971,8100.372,8172.697,951370
2020-01-09,8281.185,8371.59,8245.022,8335.428,457660
2020-01-10,8353.509,8425.834,7991.886,7991.886,771780
2020-01-13,7883.398,8046.129,7774.911,7955.723,597710
2020-01-14,7955.723,8208.86,7955.723,8136.535,325390
2020-01-15,8136.535,8299.266,8118.454,8136.535,146430
2020-01-16,8172.697,8190.779,8118.454,8136.535,240250
2020-01-17,7991.886,8136.535,7901.48,7991.886,297060
2020-01-20,7991.886,7991.886,7774.911,7811.073,392600
2020-01-21,7811.073,8046.129,7811.073,8046.129,173540
2020-01-22,7973.805,8190.779,7973.805,8154.616,196100
2020-01-30,7991.886,8136.535,7847.236,7865.317,231350
2020-01-31,7666.424,7847.236,7521.774,7594.099,778990
2020-02-03,7087.826,7196.314,7069.745,7069.745,1139950
2020-02-04,6943.177,7160.151,6943.177,7142.07,250170
2020-02-05,7160.151,7503.693,7142.07,7286.719,360280
2020-02-06,7286.719,7467.531,7160.151,7467.531,219320
2020-02-07,7503.693,7521.774,7340.963,7449.45,102010
2020-02-10,7449.45,7576.018,7340.963,7449.45,100320
2020-02-11,7449.45,7720.668,7449.45,7720.668,306620
2020-02-12,7720.668,7991.886,7720.668,7865.317,191280
2020-02-13,7955.723,8082.291,7847.236,7865.317,347490
2020-02-14,7865.317,7883.398,7811.073,7829.155,183280
2020-02-17,7865.317,8046.129,7847.236,7883.398,284010
2020-02-18,7883.398,7955.723,7792.992,7883.398,200900
2020-02-19,7901.48,8028.048,7883.398,8009.967,216950
2020-02-20,8009.967,8172.697,7973.805,8118.454,424110
2020-02-21,8172.697,8172.697,7955.723,7955.723,323640
2020-02-24,7756.83,7756.83,7413.288,7413.288,683600
2020-02-25,7160.151,7594.099,7160.151,7594.099,412710
2020-02-26,7340.963,7576.018,7340.963,7413.288,215870
2020-02-27,7304.8,7449.45,7304.8,7449.45,227180
2020-02-28,7359.044,7359.044,6979.339,7178.232,573610
2020-03-02,7196.314,7196.314,7015.501,7015.501,420280
2020-03-03,7123.989,7232.476,7051.663,7069.745,386660
2020-03-04,7015.501,7377.125,7015.501,7286.719,500720
2020-03-05,7304.8,7521.774,7268.638,7268.638,361060
2020-03-06,7196.314,7304.8,7123.989,7268.638,245200
2020-03-09,6762.364,6834.689,6762.364,6762.364,535360
2020-03-10,6292.254,6708.121,6292.254,6364.579,852860
2020-03-11,6491.147,6509.228,5966.792,5966.792,1025390
2020-03-12,5550.925,5569.006,5550.925,5550.925,321140
2020-03-13,5171.22,5550.925,5171.22,5532.844,2517810
2020-03-16,5424.356,5587.088,5243.545,5279.707,1183860
2020-03-17,5279.707,5659.412,4990.408,5641.331,1606640
2020-03-18,5641.331,5749.818,5569.006,5641.331,695070
2020-03-19,5641.331,5641.331,5315.87,5532.844,521350
2020-03-20,5460.519,5623.25,5424.356,5605.169,553730
2020-03-23,5424.356,5496.681,5225.463,5225.463,2202570
2020-03-24,5352.032,5532.844,5225.463,5532.844,462940
2020-03-25,5605.169,5894.468,5532.844,5822.143,916650
2020-03-26,5822.143,5822.143,5569.006,5677.493,533240
2020-03-27,5677.493,5749.818,5532.844,5677.493,328100
2020-03-30,5333.951,5514.763,5315.87,5496.681,458240
2020-03-31,5677.493,5677.493,5243.545,5478.6,290060
2020-04-01,5496.681,5623.25,5496.681,5605.169,195140
2020-04-03,5695.574,5695.574,5605.169,5659.412,323390
2020-04-06,5785.98,5912.549,5677.493,5894.468,508260
2020-04-07,5894.468,5912.549,5749.818,5894.468,366990
2020-04-08,5731.737,5858.305,5731.737,5785.98,261300
2020-04-09,5785.98,6093.361,5731.737,5930.63,498750
2020-04-10,5894.468,6021.036,5804.062,5912.549,405740
2020-04-13,5804.062,5984.873,5804.062,5966.792,470180
2020-04-14,5966.792,6021.036,5804.062,5966.792,518130
2020-04-15,5930.63,6111.442,5876.387,6111.442,650420
2020-04-16,6039.117,6436.904,6039.117,6274.172,820820
2020-04-17,6364.579,6473.065,6219.929,6219.929,795300
2020-04-20,6165.686,6292.254,6057.198,6093.361,737280
2020-04-21,5912.549,5966.792,5641.331,5749.818,1030210
2020-04-22,5623.25,6002.955,5623.25,6002.955,264740
2020-04-23,6057.198,6057.198,5840.224,5876.387,320990
2020-04-24,5876.387,5948.711,5822.143,5894.468,185030
2020-04-27,6111.442,6238.01,6021.036,6075.28,860680
2020-04-28,6129.523,6129.523,5984.873,6093.361,202710
2020-04-29,6129.523,6165.686,6021.036,6111.442,553730
2020-05-04,6039.117,6111.442,5966.792,6002.955,363050
2020-05-05,6002.955,6093.361,5966.792,6057.198,163940
2020-05-06,6075.28,6382.66,6075.28,6328.416,1118770
2020-05-07,6400.741,6400.741,6256.091,6328.416,593830
2020-05-08,6328.416,6382.66,6147.605,6219.929,760200
2020-05-11,6219.929,6274.172,6183.767,6238.01,574810
2020-05-12,6256.091,6473.065,6238.01,6382.66,1095810
2020-05-13,6364.579,6581.553,6292.254,6436.904,1222930
2020-05-14,6418.822,6473.065,6346.497,6364.579,656830
2020-05-15,6418.822,6563.472,6346.497,6436.904,1014430
2020-05-18,6509.228,6671.959,6473.065,6635.797,1510960
2020-05-19,6870.852,7069.745,6671.959,6816.608,2114950
2020-05-20,6762.364,6852.771,6653.878,6780.446,879440
2020-05-21,6834.689,6852.771,6744.283,6744.283,996060
2020-05-22,6744.283,6744.283,6364.579,6382.66,2061170
2020-05-25,6400.741,6653.878,6382.66,6653.878,794210
2020-05-26,6798.527,6798.527,6581.553,6653.878,562180
2020-05-27,6708.121,6708.121,6563.472,6599.634,786880
2020-05-28,6736.781,6861.537,6612.026,6715.989,895150
2020-05-29,6799.159,6840.744,6653.612,6653.612,735010
2020-06-01,6653.612,6778.367,6653.612,6653.612,534410
2020-06-02,6695.196,6778.367,6591.234,6591.234,1051760
2020-06-03,6591.234,6612.026,6508.064,6591.234,771810
2020-06-04,6653.612,6653.612,6549.649,6591.234,421560
2020-06-05,6591.234,6819.952,6508.064,6819.952,1105080
2020-06-08,6944.707,7152.632,6923.915,6986.292,1284730
2020-06-09,7069.462,7069.462,6923.915,6903.122,687350
2020-06-10,6861.537,7152.632,6757.574,7048.67,1358930
2020-06-11,7111.047,7235.802,6695.196,6695.196,2160210
2020-06-12,6445.686,6819.952,6445.686,6757.574,759510
2020-06-15,6757.574,6965.499,6570.441,6695.196,879270
2020-06-16,6819.952,6819.952,6695.196,6778.367,454390
2020-06-17,6757.574,6799.159,6653.612,6695.196,240130
2020-06-18,6653.612,6736.781,6612.026,6736.781,271290
2020-06-19,6757.574,7069.462,6736.781,6986.292,1272320
2020-06-22,7069.462,7069.462,6903.122,6903.122,709720
2020-06-23,6903.122,6944.707,6819.952,6903.122,392850
2020-06-24,6861.537,6986.292,6736.781,6736.781,660610
2020-06-25,6653.612,6778.367,6632.819,6757.574,724890
2020-06-26,6778.367,6778.367,6674.404,6695.196,313240
2020-06-29,6612.026,6653.612,6404.101,6508.064,1023970
2020-06-30,6508.064,6570.441,6196.175,6320.931,676350
2020-07-01,6362.516,6528.856,6320.931,6528.856,207510
2020-07-02,6528.856,6632.819,6404.101,6487.271,164800
2020-07-03,6445.686,6508.064,6445.686,6487.271,212240
2020-07-06,6528.856,6549.649,6487.271,6508.064,236230
2020-07-07,6528.856,6695.196,6487.271,6612.026,476760
2020-07-08,6612.026,6653.612,6549.649,6612.026,185190
2020-07-09,6612.026,6903.122,6591.234,6819.952,1271790
2020-07-10,6778.367,6819.952,6612.026,6674.404,412110
2020-07-13,6674.404,6778.367,6653.612,6695.196,320770
2020-07-14,6695.196,6715.989,6632.819,6695.196,327770
2020-07-15,6695.196,6903.122,6695.196,6819.952,1285950
2020-07-16,6861.537,6903.122,6757.574,6799.159,360530
2020-07-17,6819.952,6903.122,6778.367,6861.537,802570
2020-07-20,6861.537,6903.122,6799.159,6819.952,907430
2020-07-21,6819.952,6903.122,6736.781,6903.122,675280
2020-07-22,6903.122,6965.499,6840.744,6840.744,546920
2020-07-23,6799.159,6861.537,6695.196,6840.744,557430
2020-07-24,6819.952,6819.952,6445.686,6508.064,1724450
2020-07-27,6237.761,6466.478,6113.006,6113.006,1591960
2020-07-28,6362.516,6424.894,6133.798,6404.101,640710
2020-07-29,6237.761,6300.139,6154.591,6279.346,800190
2020-07-30,6279.346,6404.101,6279.346,6362.516,193120
2020-07-31,6196.175,6362.516,6196.175,6320.931,380470
2020-08-03,6320.931,6466.478,6300.139,6424.894,678970
2020-08-04,6528.856,6570.441,6445.686,6487.271,609390
2020-08-05,6570.441,6632.819,6487.271,6612.026,1042580
2020-08-06,6591.234,6653.612,6570.441,6612.026,585320
2020-08-07,6612.026,6840.744,6570.441,6840.744,1222420
2020-08-10,6861.537,6923.915,6757.574,6757.574,830610
2020-08-11,6819.952,6840.744,6653.612,6840.744,430570
2020-08-12,6882.329,6903.122,6778.367,6903.122,911050
2020-08-13,6903.122,7298.18,6903.122,7256.595,3561500
2020-08-14,7256.595,7443.728,7152.632,7152.632,1666790
2020-08-17,7235.802,7610.068,7235.802,7568.483,2325430
2020-08-18,7568.483,7651.653,7402.143,7443.728,898670
2020-08-19,7443.728,7693.238,7381.35,7568.483,1241150
2020-08-20,7526.898,7610.068,7381.35,7485.312,960200
2020-08-21,7485.312,7610.068,7422.935,7485.312,1088460
2020-08-24,7568.483,7568.483,7485.312,7568.483,1102010
2020-08-25,7651.653,7880.371,7568.483,7693.238,1550320
2020-08-26,7693.238,7776.408,7630.86,7714.031,825910
2020-08-27,7734.823,7838.786,7672.446,7797.201,836610
