date,open,high,low,close,volume
2020-01-02,17096.5305424,17228.3806337,16964.6814394,17228.3806337,60080
2020-01-03,17228.3806337,17448.130127,16964.6814394,17404.180426,65670
2020-01-06,17404.180426,17404.180426,16788.8816471,16832.8313481,75080
2020-01-07,16832.8313481,17492.0808163,16832.8313481,17404.180426,62040
2020-01-08,17404.180426,17404.180426,16788.8816471,17228.3806337,112720
2020-01-09,17228.3806337,17228.3806337,16700.9812568,16700.9812568,159090
2020-01-10,16700.9812568,16964.6814394,16657.0315558,16964.6814394,57670
2020-01-13,17096.5305424,17096.5305424,16700.9812568,17008.6311404,49390
2020-01-14,16964.6814394,16964.6814394,16700.9812568,16964.6814394,55380
2020-01-15,16964.6814394,16964.6814394,16700.9812568,16788.8816471,51970
2020-01-16,16700.9812568,16964.6814394,16613.0818548,16876.7810491,48230
2020-01-17,16876.7810491,16876.7810491,16525.1814645,16788.8816471,63340
2020-01-20,16832.8313481,16832.8313481,16525.1814645,16788.8816471,54720
2020-01-21,16085.6824779,16788.8816471,16085.6824779,16788.8816471,41390
2020-01-22,16788.8816471,16876.7810491,16437.2820625,16876.7810491,40940
2020-01-30,16788.8816471,16832.8313481,16173.5818799,16832.8313481,40880
2020-01-31,16217.5315809,16788.8816471,16173.5818799,16613.0818548,39210
2020-02-03,15690.132204,16349.3816722,15470.3827107,16349.3816722,359830
2020-02-04,16349.3816722,16349.3816722,15734.0828933,15997.7820876,122860
2020-02-05,15997.7820876,15997.7820876,15646.182503,15821.9822953,120840
2020-02-06,15821.9822953,16085.6824779,15821.9822953,16041.7317886,119290
2020-02-07,16041.7317886,16261.4822702,15953.8323866,16261.4822702,37640
2020-02-10,16173.5818799,16173.5818799,15734.0828933,15734.0828933,15910
2020-02-11,15821.9822953,16173.5818799,15821.9822953,15953.8323866,28550
2020-02-12,16129.6321789,16173.5818799,15734.0828933,15953.8323866,39820
2020-02-13,15997.7820876,15997.7820876,15734.0828933,15821.9822953,45240
2020-02-14,15953.8323866,15953.8323866,15778.0325943,15821.9822953,36040
2020-02-17,15821.9822953,15953.8323866,15646.182503,15821.9822953,22360
