date,open,high,low,close,volume
2020-01-02,20055.75,20347.47,19982.82,20347.47,190950
2020-01-03,20347.47,20639.19,20201.61,20493.33,212740
2020-01-06,20493.33,20712.12,20201.61,20201.61,167510
2020-01-07,20347.47,20566.26,20201.61,20420.4,130620
2020-01-08,20493.33,20493.33,20201.61,20347.47,175410
2020-01-09,20201.61,20566.26,20201.61,20420.4,212840
2020-01-10,20347.47,21295.56,20274.54,21149.7,129480
2020-01-13,21368.49,21514.35,20493.33,20785.05,179150
2020-01-14,20639.19,21003.84,20639.19,20930.91,138810
2020-01-15,20857.98,21003.84,20566.26,20712.12,165710
2020-01-16,20493.33,20930.91,20420.4,20639.19,187730
2020-01-17,20785.05,20857.98,20347.47,20493.33,138070
2020-01-20,20566.26,20857.98,20420.4,20857.98,387030
2020-01-21,20712.12,21076.77,20712.12,20930.91,190150
2020-01-22,20857.98,21368.49,20785.05,21295.56,70340
2020-01-30,21149.7,21514.35,20566.26,21441.42,201680
2020-01-31,21441.42,21806.07,21295.56,21660.21,155120
2020-02-03,21514.35,22243.65,21514.35,22243.65,174790
2020-02-04,22681.23,22900.02,22389.51,22608.3,208100
2020-02-05,22900.02,22900.02,21660.21,21806.07,267240
2020-02-06,21879.0,22024.86,21003.84,21222.63,301840
2020-02-07,21003.84,21003.84,20347.47,20493.33,239900
2020-02-10,20128.68,20821.515,19691.1,20785.05,336210
2020-02-11,20712.12,21149.7,20639.19,20930.91,305750
2020-02-12,20930.91,21076.77,20420.4,20785.05,221950
2020-02-13,20857.98,21149.7,20274.54,20493.33,199890
2020-02-14,20420.4,20785.05,19764.03,20566.26,281300
2020-02-17,20639.19,20857.98,20566.26,20785.05,216630
2020-02-18,20712.12,21076.77,20639.19,21003.84,196440
2020-02-19,21368.49,21514.35,20785.05,20857.98,232460
2020-02-20,20785.05,21149.7,20347.47,20420.4,155740
2020-02-21,20566.26,20602.725,19909.89,19982.82,139130
2020-02-24,19909.89,19982.82,19618.17,19836.96,178270
2020-02-25,19764.03,20201.61,19618.17,19836.96,127990
2020-02-26,19836.96,19836.96,19545.24,19618.17,171580
2020-02-27,19399.38,19982.82,18961.8,19909.89,158240
2020-02-28,19764.03,20055.75,19545.24,19836.96,192630
2020-03-02,19764.03,20128.68,19764.03,20055.75,171200
2020-03-03,20274.54,20785.05,19691.1,20493.33,243900
2020-03-04,20639.19,20857.98,20128.68,20347.47,202580
2020-03-05,20493.33,20785.05,20420.4,20712.12,261000
2020-03-06,20857.98,21149.7,19691.1,20420.4,187610
