date,open,high,low,close,volume
2020-01-02,2732.0651787213,2803.9619456154,2660.1684118272,2732.0651787213,416100
2020-01-03,2732.0651787213,2732.0651787213,2696.1171940494,2732.0651787213,79200
2020-01-06,2696.1171940494,2696.1171940494,2660.1684118272,2660.1684118272,118500
2020-01-07,2660.1684118272,2696.1171940494,2624.2204271553,2660.1684118272,144800
2020-01-08,2624.2204271553,2660.1684118272,2624.2204271553,2660.1684118272,196900
2020-01-09,2624.2204271553,2696.1171940494,2624.2204271553,2660.1684118272,310400
2020-01-10,2660.1684118272,2768.0131633932,2660.1684118272,2768.0131633932,495200
2020-01-13,2732.0651787213,2768.0131633932,2732.0651787213,2732.0651787213,198100
2020-01-14,2732.0651787213,2768.0131633932,2696.1171940494,2732.0651787213,487200
2020-01-15,2732.0651787213,2732.0651787213,2696.1171940494,2732.0651787213,566600
2020-01-16,2732.0651787213,2768.0131633932,2696.1171940494,2768.0131633932,493100
2020-01-17,2732.0651787213,2803.9619456154,2732.0651787213,2768.0131633932,636100
2020-01-20,2768.0131633932,2839.9099302873,2732.0651787213,2803.9619456154,743900
2020-01-21,2803.9619456154,2839.9099302873,2803.9619456154,2803.9619456154,549100
2020-01-22,2875.8579149592,2875.8579149592,2803.9619456154,2875.8579149592,410200
2020-01-30,2839.9099302873,2875.8579149592,2732.0651787213,2732.0651787213,1096700
2020-01-31,2732.0651787213,2768.0131633932,2624.2204271553,2660.1684118272,1697500
2020-02-03,2660.1684118272,2660.1684118272,2480.4276909174,2588.2724424834,2169100
2020-02-04,2588.2724424834,2696.1171940494,2588.2724424834,2696.1171940494,783100
2020-02-05,2965.698766053,2965.698766053,2728.443502809,2767.986046683,2219500
2020-02-06,2767.986046683,2886.613678305,2728.443502809,2807.528590557,1525300
2020-02-07,2807.528590557,2847.071134431,2728.443502809,2847.071134431,1486300
2020-02-10,2847.071134431,2847.071134431,2767.986046683,2767.986046683,522500
2020-02-11,2807.528590557,2847.071134431,2767.986046683,2807.528590557,778500
2020-02-12,2767.986046683,2807.528590557,2767.986046683,2767.986046683,1231700
2020-02-13,2728.443502809,2807.528590557,2728.443502809,2767.986046683,1410100
2020-02-14,2767.986046683,2965.698766053,2728.443502809,2926.156222179,2780400
2020-02-17,2926.156222179,2965.698766053,2847.071134431,2926.156222179,1339900
2020-02-18,2886.613678305,2926.156222179,2807.528590557,2847.071134431,1317400
2020-02-19,2807.528590557,2847.071134431,2807.528590557,2807.528590557,372000
2020-02-20,2807.528590557,2847.071134431,2767.986046683,2807.528590557,1820700
2020-02-21,2807.528590557,2807.528590557,2688.9001613847,2767.986046683,1203500
2020-02-24,2728.443502809,2767.986046683,2609.8150736367,2649.3576175107,1904400
2020-02-25,2609.8150736367,2688.9001613847,2609.8150736367,2649.3576175107,1763600
2020-02-26,2649.3576175107,2728.443502809,2649.3576175107,2728.443502809,542200
2020-02-27,2688.9001613847,2807.528590557,2688.9001613847,2807.528590557,985700
2020-02-28,2767.986046683,2807.528590557,2688.9001613847,2807.528590557,3306600
2020-03-02,2807.528590557,3123.8697390993,2728.443502809,3123.8697390993,8207900
2020-03-03,3163.4122829733,3440.2108876416,3123.8697390993,3440.2108876416,3682300
2020-03-04,3914.7230092302,3914.7230092302,3479.7534315156,3558.8385192636,7173300
2020-03-05,3558.8385192636,3598.3818606879,3361.1257998936,3440.2108876416,5782600
2020-03-06,3440.2108876416,3479.7534315156,3202.9548268473,3361.1257998936,3135300
2020-03-09,3242.4973707213,3242.4973707213,2847.071134431,2847.071134431,6012800
2020-03-10,2570.2725297627,3084.3271952253,2570.2725297627,3005.241309927,4246400
2020-03-11,3044.7846513513,3123.8697390993,2847.071134431,2965.698766053,3314800
2020-03-12,2926.156222179,2926.156222179,2767.986046683,2847.071134431,3954600
2020-03-13,2767.986046683,2847.071134431,2609.8150736367,2807.528590557,4100000
2020-03-16,2847.071134431,2847.071134431,2688.9001613847,2728.443502809,2630200
2020-03-17,2728.443502809,2807.528590557,2609.8150736367,2767.986046683,1784200
2020-03-18,2807.528590557,2807.528590557,2688.9001613847,2728.443502809,3207700
2020-03-19,2728.443502809,2767.986046683,2649.3576175107,2688.9001613847,1521700
2020-03-20,2728.443502809,2728.443502809,2609.8150736367,2688.9001613847,1230000
2020-03-23,2570.2725297627,2649.3576175107,2253.9313812204,2333.0164689684,8129400
2020-03-24,2293.4739250944,2451.6448981407,2253.9313812204,2412.1015567164,2589700
2020-03-25,2451.6448981407,2570.2725297627,2451.6448981407,2530.7299858887,3115200
2020-03-26,2491.1874420147,2530.7299858887,2333.0164689684,2372.5590128424,2563800
2020-03-27,2372.5590128424,2451.6448981407,2372.5590128424,2372.5590128424,2121400
2020-03-30,2372.5590128424,2372.5590128424,2095.7604081741,2214.3888373464,2333700
2020-03-31,2214.3888373464,2333.0164689684,2135.3029520481,2214.3888373464,2240500
2020-04-01,2174.8462934724,2451.6448981407,2174.8462934724,2412.1015567164,3813300
2020-04-03,2412.1015567164,2451.6448981407,2333.0164689684,2372.5590128424,3154100
2020-04-06,2412.1015567164,2609.8150736367,2412.1015567164,2570.2725297627,4068700
2020-04-07,2609.8150736367,2649.3576175107,2491.1874420147,2530.7299858887,1604200
2020-04-08,2491.1874420147,2530.7299858887,2412.1015567164,2491.1874420147,2262000
2020-04-09,2491.1874420147,2649.3576175107,2491.1874420147,2570.2725297627,4537900
2020-04-10,2570.2725297627,2609.8150736367,2530.7299858887,2570.2725297627,1625800
2020-04-13,2491.1874420147,2649.3576175107,2491.1874420147,2609.8150736367,2774800
2020-04-14,2570.2725297627,2609.8150736367,2491.1874420147,2570.2725297627,1755000
2020-04-15,2570.2725297627,2886.613678305,2530.7299858887,2807.528590557,5282500
2020-04-16,2807.528590557,2926.156222179,2767.986046683,2847.071134431,4384900
2020-04-17,2886.613678305,2926.156222179,2807.528590557,2886.613678305,2623500
2020-04-20,2886.613678305,2886.613678305,2728.443502809,2807.528590557,3595700
2020-04-21,2767.986046683,2807.528590557,2570.2725297627,2649.3576175107,4377800
2020-04-22,2609.8150736367,2807.528590557,2609.8150736367,2728.443502809,2898700
2020-04-23,2767.986046683,2847.071134431,2728.443502809,2767.986046683,2010800
2020-04-24,2767.986046683,2767.986046683,2688.9001613847,2728.443502809,1877900
2020-04-27,2728.443502809,2767.986046683,2649.3576175107,2688.9001613847,2877500
2020-04-28,2688.9001613847,2807.528590557,2649.3576175107,2767.986046683,1848100
2020-04-29,2767.986046683,2807.528590557,2728.443502809,2767.986046683,1749200
2020-05-04,2767.986046683,2847.071134431,2728.443502809,2807.528590557,2501400
2020-05-05,2807.528590557,2847.071134431,2728.443502809,2807.528590557,677800
2020-05-06,2767.986046683,2807.528590557,2728.443502809,2807.528590557,1347300
2020-05-07,2807.528590557,2847.071134431,2767.986046683,2807.528590557,2082500
2020-05-08,2847.071134431,2965.698766053,2807.528590557,2926.156222179,8444000
2020-05-11,2965.698766053,3123.8697390993,2886.613678305,3084.3271952253,4331400
2020-05-12,3084.3271952253,3084.3271952253,2965.698766053,3084.3271952253,2065200
2020-05-13,3044.7846513513,3084.3271952253,2965.698766053,3044.7846513513,4238700
2020-05-14,3005.241309927,3044.7846513513,2965.698766053,2965.698766053,2560500
2020-05-15,2965.698766053,3005.241309927,2886.613678305,2926.156222179,2310000
2020-05-18,2926.156222179,2926.156222179,2847.071134431,2926.156222179,1760400
2020-05-19,2926.156222179,3044.7846513513,2886.613678305,3044.7846513513,3788400
2020-05-20,3044.7846513513,3044.7846513513,2926.156222179,3005.241309927,2564200
2020-05-21,3005.241309927,3005.241309927,2926.156222179,3005.241309927,1887400
2020-05-22,3005.241309927,3084.3271952253,2926.156222179,3005.241309927,3825700
2020-05-25,3005.241309927,3044.7846513513,2965.698766053,3044.7846513513,2055700
2020-05-26,3005.241309927,3044.7846513513,3005.241309927,3044.7846513513,1557400
2020-05-27,3044.7846513513,3242.4973707213,3044.7846513513,3084.3271952253,8079300
2020-05-28,3084.3271952253,3163.4122829733,3044.7846513513,3123.8697390993,1469700
2020-05-29,3123.8697390993,3123.8697390993,3044.7846513513,3123.8697390993,983700
2020-06-01,3123.8697390993,3202.9548268473,3044.7846513513,3163.4122829733,6374300
2020-06-02,3163.4122829733,3558.8385192636,3163.4122829733,3440.2108876416,18032300
2020-06-03,3440.2108876416,3519.2959753896,3361.1257998936,3440.2108876416,2627400
2020-06-04,3440.2108876416,3519.2959753896,3400.6683437676,3440.2108876416,4786600
2020-06-05,3440.2108876416,3479.7534315156,3361.1257998936,3479.7534315156,4412900
2020-06-08,3479.7534315156,3796.0945800579,3479.7534315156,3756.5520361839,10909000
2020-06-09,3756.5520361839,3835.6371239319,3637.9244045619,3717.0094923099,5777500
2020-06-10,3717.0094923099,3756.5520361839,3558.8385192636,3717.0094923099,7689300
2020-06-11,3717.0094923099,3756.5520361839,3361.1257998936,3361.1257998936,12944900
2020-06-12,3361.1257998936,3440.2108876416,3202.9548268473,3440.2108876416,5396300
2020-06-15,3440.2108876416,3717.0094923099,3440.2108876416,3558.8385192636,14296000
2020-06-16,3598.3818606879,3756.5520361839,3519.2959753896,3558.8385192636,6167500
2020-06-17,3558.8385192636,3598.3818606879,3440.2108876416,3519.2959753896,4599100
2020-06-18,3479.7534315156,3519.2959753896,3400.6683437676,3440.2108876416,2876300
2020-06-19,3440.2108876416,3558.8385192636,3440.2108876416,3519.2959753896,4115200
2020-06-22,3519.2959753896,3637.9244045619,3479.7534315156,3558.8385192636,6713800
2020-06-23,3598.3818606879,3598.3818606879,3479.7534315156,3558.8385192636,3642200
2020-06-24,3519.2959753896,3558.8385192636,3440.2108876416,3479.7534315156,3217800
2020-06-25,3440.2108876416,3479.7534315156,3361.1257998936,3479.7534315156,3198000
2020-06-26,3440.2108876416,3558.8385192636,3400.6683437676,3479.7534315156,3707300
2020-06-29,3479.7534315156,3479.7534315156,3163.4122829733,3321.5832560196,5607800
2020-06-30,3282.0399145953,3361.1257998936,3123.8697390993,3242.4973707213,5391300
2020-07-01,3242.4973707213,3321.5832560196,3163.4122829733,3321.5832560196,2437900
2020-07-02,3282.0399145953,3321.5832560196,3202.9548268473,3242.4973707213,1957300
2020-07-03,3242.4973707213,3282.0399145953,3202.9548268473,3242.4973707213,886400
2020-07-06,3242.4973707213,3400.6683437676,3242.4973707213,3400.6683437676,4031800
2020-07-07,3400.6683437676,3440.2108876416,3321.5832560196,3361.1257998936,2854300
2020-07-08,3321.5832560196,3361.1257998936,3282.0399145953,3361.1257998936,1792500
2020-07-09,3361.1257998936,3479.7534315156,3361.1257998936,3479.7534315156,5804300
2020-07-10,3440.2108876416,3479.7534315156,3361.1257998936,3440.2108876416,2966300
2020-07-13,3440.2108876416,3479.7534315156,3361.1257998936,3400.6683437676,2287800
2020-07-14,3400.6683437676,3400.6683437676,3321.5832560196,3361.1257998936,2089700
2020-07-15,3400.6683437676,3440.2108876416,3361.1257998936,3400.6683437676,1659000
