date,open,high,low,close,volume
2020-01-02,6076.5399863122,6178.2999614179,6047.4658009565,6163.763195101,2849190
2020-01-03,6236.448984851,6250.9864038898,6163.763195101,6178.2999614179,3476230
2020-01-06,6149.2257760622,6163.763195101,6091.0774053509,6091.0774053509,2609270
2020-01-07,6105.6141716678,6149.2257760622,6062.0025672734,6105.6141716678,2684180
2020-01-08,6047.4658009565,6105.6141716678,6018.3916156008,6018.3916156008,4163950
2020-01-09,6091.0774053509,6149.2257760622,6032.9283819178,6120.1515907066,3298470
2020-01-10,6149.2257760622,6294.5973555624,6149.2257760622,6221.9115658123,8593950
2020-01-13,6236.448984851,6280.0605892454,6178.2999614179,6192.8373804566,2921820
2020-01-14,6192.8373804566,6294.5973555624,6178.2999614179,6250.9864038898,4557920
2020-01-15,6250.9864038898,6280.0605892454,6236.448984851,6236.448984851,3625930
2020-01-16,6265.5231702067,6439.9695877843,6250.9864038898,6396.3579833899,8169550
2020-01-17,6410.8947497069,6469.04377314,6367.2837980342,6396.3579833899,4776330
2020-01-20,6396.3579833899,6425.4321687456,6352.7463789955,6396.3579833899,4308990
2020-01-21,6425.4321687456,6570.8037482458,6410.8947497069,6556.2669819288,5239140
2020-01-22,6556.2669819288,6570.8037482458,6498.1179584957,6512.6553775344,4991520
2020-01-30,6367.2837980342,6425.4321687456,6163.763195101,6178.2999614179,8995010
2020-01-31,6120.1515907066,6265.5231702067,6047.4658009565,6047.4658009565,8065490
2020-02-03,5858.4826170619,6047.4658009565,5669.4987804456,5916.6309877733,14421110
2020-02-04,6003.8541965621,6265.5231702067,5858.4826170619,6149.2257760622,9461800
2020-02-05,6221.9115658123,6280.0605892454,6120.1515907066,6149.2257760622,7177000
2020-02-06,6149.2257760622,6396.3579833899,6076.5399863122,6338.2089599568,12119010
2020-02-07,6323.6721936398,6338.2089599568,6221.9115658123,6221.9115658123,8050600
2020-02-10,6134.6890097453,6192.8373804566,6091.0774053509,6105.6141716678,6111600
2020-02-11,6134.6890097453,6192.8373804566,6120.1515907066,6163.763195101,4331600
2020-02-12,6236.448984851,6367.2837980342,6192.8373804566,6294.5973555624,10980490
2020-02-13,6265.5231702067,6323.6721936398,6207.3747994954,6221.9115658123,6581630
2020-02-14,6280.0605892454,6367.2837980342,6265.5231702067,6323.6721936398,9083550
2020-02-17,6396.3579833899,6454.5063541013,6338.2089599568,6381.8205643512,9693630
2020-02-18,6410.8947497069,6425.4321687456,6309.1347746011,6323.6721936398,5400900
2020-02-19,6323.6721936398,6338.2089599568,6250.9864038898,6280.0605892454,4586120
2020-02-20,6338.2089599568,6367.2837980342,6280.0605892454,6294.5973555624,6104470
2020-02-21,6309.1347746011,6309.1347746011,6149.2257760622,6163.763195101,8795360
2020-02-24,6018.3916156008,6047.4658009565,5843.9451980232,5843.9451980232,12138250
2020-02-25,5814.8710126675,6047.4658009565,5771.2594082731,6062.0025672734,11926410
2020-02-26,5916.6309877733,6076.5399863122,5916.6309877733,5960.2425921677,5079630
