date,open,high,low,close,volume
2020-12-23,6826.400009077,6826.400009077,6428.1927650039,6447.1553504701,30431340
2020-12-24,6636.7773592864,6636.7773592864,6409.230820512,6560.9282993701,7683250
2020-12-25,6560.9282993701,7016.0220178932,6560.9282993701,7016.0220178932,9311200
2020-12-28,7205.6440267094,7205.6440267094,7016.0220178932,7110.8330223013,8600300
2020-12-29,7148.7575522594,7205.6440267094,7016.0220178932,7205.6440267094,9680050
2020-12-30,7205.6440267094,7205.6440267094,7053.9465478513,7167.7194967513,6435250
2020-12-31,7129.7949667932,7167.7194967513,7034.9839623851,7129.7949667932,8721150
2021-01-04,7129.7949667932,7167.7194967513,6978.0974879351,7129.7949667932,10019300
2021-01-05,7129.7949667932,7129.7949667932,6997.059432427,7129.7949667932,6425700
2021-01-06,7148.7575522594,7376.3040910338,7129.7949667932,7357.3421465419,13781900
2021-01-07,7357.3421465419,7584.8886853163,7319.4176165838,7584.8886853163,10025000
2021-01-08,7584.8886853163,7850.3597540488,7584.8886853163,7812.4352240906,9146300
2021-01-11,7812.4352240906,7869.3216985406,7774.5106941325,7850.3597540488,8229200
2021-01-12,7850.3597540488,7850.3597540488,7736.5861641744,7774.5106941325,5232000
2021-01-13,7717.6242196825,7717.6242196825,7490.0776809082,7546.9641553582,6368000
2021-01-14,7546.9641553582,7546.9641553582,7205.6440267094,7546.9641553582,5747400
2021-01-15,7546.9641553582,7603.8506298082,7452.15315095,7603.8506298082,6096800
2021-01-18,7603.8506298082,7603.8506298082,7433.1905654838,7433.1905654838,3836200
2021-01-19,7452.15315095,7471.1150954419,6921.2110134851,7016.0220178932,2760800
2021-01-20,7016.0220178932,7053.9465478513,6617.8154147945,7016.0220178932,2122300
2021-01-21,7034.9839623851,7053.9465478513,6921.2110134851,7016.0220178932,5980900
2021-01-22,7034.9839623851,7110.8330223013,6959.1355434432,7053.9465478513,6146500
2021-01-25,7053.9465478513,7053.9465478513,6940.172957977,6978.0974879351,2317700
2021-01-26,6978.0974879351,6978.0974879351,6636.7773592864,6902.2484280188,2076500
2021-01-27,6788.4754791188,6807.4374236107,6447.1553504701,6598.8528293282,2240000
2021-01-28,6143.7597517795,6409.230820512,6143.7597517795,6143.7597517795,1906300
2021-01-29,5726.5905632146,6447.1553504701,5726.5905632146,6409.230820512,3033900
2021-02-01,6371.3062905539,6371.3062905539,6029.9861619052,6295.4572306376,1864400
2021-02-02,6067.9106918633,6371.3062905539,6067.9106918633,6276.4952861458,1491900
2021-02-03,6219.6088116958,6636.7773592864,6219.6088116958,6636.7773592864,3625100
2021-02-04,6636.7773592864,6636.7773592864,6485.0798804282,6560.9282993701,1112200
2021-02-05,6560.9282993701,6598.8528293282,6409.230820512,6598.8528293282,2465500
2021-02-08,6560.9282993701,6579.8908848364,6352.344346062,6447.1553504701,1467300
2021-02-09,6447.1553504701,6617.8154147945,6409.230820512,6598.8528293282,1715400
2021-02-17,6636.7773592864,6826.400009077,6598.8528293282,6826.400009077,2077100
2021-02-18,6788.4754791188,6826.400009077,6693.6638337364,6750.5509491607,1880300
2021-02-19,6731.5883636945,7016.0220178932,6655.7399447526,7016.0220178932,4718300
2021-02-22,6997.059432427,7148.7575522594,6997.059432427,7129.7949667932,5623500
2021-02-23,7129.7949667932,7205.6440267094,6997.059432427,7205.6440267094,5946800
2021-02-24,7224.6066121757,7243.5685566676,6978.0974879351,7186.6820822176,2317700
2021-02-25,7167.7194967513,7167.7194967513,6997.059432427,7091.8710778094,1531300
2021-02-26,6978.0974879351,7110.8330223013,6864.3238980607,7110.8330223013,2349300
2021-03-01,7110.8330223013,7186.6820822176,7072.9084923432,7186.6820822176,3239900
2021-03-02,7205.6440267094,7224.6066121757,7072.9084923432,7186.6820822176,2391700
2021-03-03,7186.6820822176,7660.7377452325,7072.9084923432,7660.7377452325,5598100
2021-03-04,7698.6616342163,7698.6616342163,7338.3795610757,7433.1905654838,3571700
2021-03-05,7452.15315095,7509.0396254,7300.4550311176,7509.0396254,1846600
2021-03-08,7528.0022108663,7546.9641553582,7395.2660355257,7509.0396254,2667300
2021-03-09,7433.1905654838,7509.0396254,7395.2660355257,7509.0396254,2822800
2021-03-10,7509.0396254,7565.92609985,7433.1905654838,7565.92609985,2986000
2021-03-11,7584.8886853163,7964.1327029488,7546.9641553582,7964.1327029488,8762500
2021-03-12,7964.1327029488,7983.095288415,7812.4352240906,7888.2842840069,4610100
2021-03-15,7945.1707584569,8153.7553527394,7907.2462284988,8153.7553527394,11402000
2021-03-16,8153.7553527394,8305.4528315975,7964.1327029488,8305.4528315975,6608200
2021-03-17,8267.5283016394,8570.92390033,8229.6037716812,8419.2264214718,11731200
2021-03-18,8419.2264214718,8532.9993703718,7964.1327029488,8532.9993703718,11309900
2021-03-19,8457.15095143,8514.03742588,8267.5283016394,8514.03742588,6436100
2021-03-22,8476.1128959218,8476.1128959218,8191.6798826975,8343.3773615556,5063200
2021-03-23,8305.4528315975,8305.4528315975,8058.9443483312,8153.7553527394,6249400
2021-03-24,8153.7553527394,8532.9993703718,8039.981762865,8343.3773615556,6169500
2021-03-25,8134.7927672731,8343.3773615556,8134.7927672731,8248.5663571475,5718400
2021-03-26,8248.5663571475,8267.5283016394,7926.208813965,8248.5663571475,4614500
2021-03-29,8191.6798826975,8229.6037716812,8077.9062928231,8210.6418271894,6127400
2021-03-30,8210.6418271894,8229.6037716812,8077.9062928231,8210.6418271894,3757300
2021-03-31,8210.6418271894,8362.3399470218,8077.9062928231,8286.4908871056,6208800
2021-04-01,8286.4908871056,8400.2638360056,8286.4908871056,8400.2638360056,5410400
2021-04-02,8457.15095143,8570.92390033,8267.5283016394,8570.92390033,8235700
2021-04-05,8589.8864857962,8646.7729602462,8532.9993703718,8646.7729602462,6408700
2021-04-06,8646.7729602462,8665.7349047381,8551.9619558381,8627.8110157543,6024100
2021-04-07,8608.8484302881,8608.8484302881,8495.0754813881,8608.8484302881,4460400
2021-04-08,8608.8484302881,8627.8110157543,8343.3773615556,8362.3399470218,4592700
2021-04-09,8362.3399470218,8362.3399470218,8248.5663571475,8362.3399470218,6552600
2021-04-12,8381.3018915137,8836.3949690624,8286.4908871056,8836.3949690624,10339600
2021-04-13,8836.3949690624,8836.3949690624,8532.9993703718,8627.8110157543,5651300
2021-04-14,8570.92390033,8684.6974902043,8457.15095143,8684.6974902043,4611600
2021-04-15,8684.6974902043,8684.6974902043,8400.2638360056,8570.92390033,4711500
2021-04-16,8684.6974902043,8551.9619558381,8229.6037716812,8400.2638360056,4800500
2021-04-19,8400.2638360056,8476.1128959218,8267.5283016394,8476.1128959218,4472300
2021-04-20,8627.8110157543,8722.6220201624,8324.4154170637,8495.0754813881,8192700
2021-04-22,8514.03742588,8514.03742588,8153.7553527394,8153.7553527394,3962500
2021-04-23,8002.0572329069,8343.3773615556,7964.1327029488,8305.4528315975,3599100
2021-04-26,8324.4154170637,8343.3773615556,8115.8308227812,8229.6037716812,2819900
2021-04-27,8153.7553527394,8248.5663571475,8058.9443483312,8058.9443483312,6336300
2021-04-28,8077.9062928231,8229.6037716812,8058.9443483312,8191.6798826975,3178800
2021-04-29,8210.6418271894,8248.5663571475,8096.868237315,8229.6037716812,3835500
2021-05-04,8039.981762865,8229.6037716812,7964.1327029488,8191.6798826975,2921400
2021-05-05,8229.6037716812,8457.15095143,8229.6037716812,8457.15095143,16356000
2021-05-06,8532.9993703718,8627.8110157543,8438.1883659637,8495.0754813881,10988100
2021-05-07,8495.0754813881,8514.03742588,8343.3773615556,8419.2264214718,4094300
2021-05-10,8495.0754813881,8627.8110157543,8305.4528315975,8570.92390033,8456800
2021-05-11,8608.8484302881,8855.3575545287,8608.8484302881,8703.6594346962,13380100
2021-05-12,8703.6594346962,8798.4704391043,8608.8484302881,8798.4704391043,7042000
2021-05-13,8760.5465501206,8874.3194990206,8646.7729602462,8817.4330245706,10390700
2021-05-14,8836.3949690624,8969.1305034287,8760.5465501206,8874.3194990206,11371400
2021-05-17,8912.2440289787,8969.1305034287,8665.7349047381,8798.4704391043,7568400
2021-05-18,8798.4704391043,8855.3575545287,8570.92390033,8722.6220201624,6124600
2021-05-19,8722.6220201624,8836.3949690624,8665.7349047381,8817.4330245706,8526600
2021-05-20,8817.4330245706,9424.2242219518,8817.4330245706,9424.2242219518,22779300
2021-05-21,9424.2242219518,9670.732705218,9386.2996919936,9462.1487519099,10045500
2021-05-24,9500.0726408936,9613.846230768,9405.2616364855,9481.1106964018,9504400
2021-05-25,9386.2996919936,9481.1106964018,9348.3751620355,9443.1861664436,10987400
2021-05-26,9481.1106964018,9613.846230768,9481.1106964018,9575.9217008099,10557800
2021-05-27,9594.8842862761,10049.9773638248,9594.8842862761,9746.5817651342,11178900
2021-05-28,9803.4682395842,10163.7509536992,9670.732705218,10125.8264237411,9092700
2021-05-31,10144.788368233,10429.2220224317,9936.2037739505,10410.2594369654,11145300
2021-06-01,10505.0704413736,10751.5795656142,10239.5993726411,10618.8440312479,13815600
2021-06-02,10410.2594369654,10618.8440312479,10239.5993726411,10505.0704413736,9966900
2021-06-03,10618.8440312479,11149.7861687129,10429.2220224317,10960.1641598966,17838400
2021-06-04,10960.1641598966,11680.7283061778,10713.655035656,11529.0308273197,14704200
2021-06-07,11377.3327074872,11377.3327074872,10732.6176211223,10960.1641598966,10186200
2021-06-08,10732.6176211223,10998.0886898548,10201.674842683,10201.674842683,9546900
2021-06-09,10239.5993726411,10732.6176211223,9784.5062950924,10618.8440312479,13619700
2021-06-10,10618.8440312479,10732.6176211223,10239.5993726411,10277.5239025992,4809300
2021-06-11,10315.4484325573,10656.768561206,10201.674842683,10618.8440312479,7618800
2021-06-14,10618.8440312479,10656.768561206,10429.2220224317,10580.9195012898,7562400
2021-06-15,10580.9195012898,10618.8440312479,10353.3729625154,10542.9949713317,4771600
2021-06-16,10561.9575567979,10561.9575567979,10239.5993726411,10353.3729625154,5584100
2021-06-17,10049.9773638248,10429.2220224317,10049.9773638248,10429.2220224317,4754100
2021-06-18,10467.1459114154,10599.8814457817,10391.2974924736,10599.8814457817,6309400
2021-06-21,10599.8814457817,10599.8814457817,10410.2594369654,10542.9949713317,4210500
2021-06-22,10618.8440312479,10884.3150999804,10524.0330268398,10770.541510106,11162500
2021-06-23,10884.3150999804,10922.2396299385,10618.8440312479,10770.541510106,5455500
2021-06-24,10808.4660400642,10827.4286255304,10542.9949713317,10751.5795656142,3799500
2021-06-25,10751.5795656142,10770.541510106,10580.9195012898,10751.5795656142,5347400
2021-06-28,10846.3905700223,11491.1062973616,10846.3905700223,11491.1062973616,26626300
2021-06-29,11491.1062973616,11756.5773660941,11434.2191819372,11491.1062973616,15280600
2021-06-30,11585.9173017697,11604.8792462616,11339.4081775291,11453.1817674035,8707900
2021-07-01,11453.1817674035,11775.539310586,11415.2572374454,11756.5773660941,19224500
2021-07-02,11813.4638405441,11984.1239048684,11737.6147806278,11813.4638405441,10115300
2021-07-05,11870.3503149941,11927.2374304184,11566.9553572778,11908.2748449522,10529900
2021-07-06,11965.1619603766,12097.8974947428,11092.8996942629,11092.8996942629,16651200
2021-07-07,11415.2572374454,11661.766361686,10846.3905700223,11661.766361686,14672400
2021-07-08,11718.652836136,11756.5773660941,11263.5597585872,11415.2572374454,8075400
2021-07-09,11415.2572374454,11453.1817674035,10770.541510106,11187.710698671,12047800
2021-07-12,11149.7861687129,11149.7861687129,10410.2594369654,10618.8440312479,13397100
2021-07-13,10618.8440312479,10770.541510106,10353.3729625154,10618.8440312479,7645900
2021-07-14,10618.8440312479,10656.768561206,10201.674842683,10505.0704413736,7539400
2021-07-15,10448.1839669236,10789.5040955723,10372.3349070073,10789.5040955723,6092400
2021-07-16,10789.5040955723,10998.0886898548,10580.9195012898,10941.2015744304,19445200
