date,open,high,low,close,volume
2020-01-02,35955.6221813008,36901.8225591219,35861.0014589101,36901.8225591219,716290
2020-01-03,36901.8225591219,37122.6029406838,36334.1021368268,36365.6420516196,791020
2020-01-06,36207.9424776555,36397.1819664124,35955.6221813008,36176.4025628627,389250
2020-01-07,36176.4025628627,36460.2617959981,35734.8417997388,36460.2617959981,648230
2020-01-08,35955.6221813008,36271.0223072411,35577.1412477626,35577.1412477626,742390
2020-01-09,35924.0822665079,36271.0223072411,35766.3817145317,36113.3217552649,318070
2020-01-10,36144.8616700577,36460.2617959981,36050.2419256792,36302.562222034,412180
2020-01-13,36113.3217552649,36365.6420516196,35987.1620960936,36113.3217552649,288240
2020-01-14,36207.9424776555,36207.9424776555,35892.5423517151,35924.0822665079,320810
2020-01-15,35924.0822665079,36018.7020108864,35861.0014589101,35955.6221813008,293160
2020-01-16,35955.6221813008,36586.4224331815,35924.0822665079,36397.1819664124,521080
2020-01-17,36397.1819664124,36649.5022627672,36397.1819664124,36617.9623479743,435030
2020-01-20,36428.7218812052,37406.4631518314,36428.7218812052,37406.4631518314,1463940
2020-01-21,37406.4631518314,38005.7234889193,37343.3823442336,37848.022936943,692200
2020-01-22,37721.8632777718,37879.5628517359,37374.9232370386,37595.7026405883,460240
2020-01-30,36586.4224331815,36933.3624739147,35640.2220553604,35955.6221813008,1315710
2020-01-31,35640.2220553604,36144.8616700577,34851.7212515033,34946.3409958818,1434750
2020-02-03,34126.3012552441,34662.4807847342,32801.6199438848,34315.540744001,1949930
2020-02-04,34378.6205735867,34851.7212515033,33558.580832949,34031.6805328535,905300
2020-02-05,34063.2204476463,34599.4009551486,34063.2204476463,34063.2204476463,805800
2020-02-06,34063.2204476463,34788.6414219177,34063.2204476463,34536.321125563,785620
2020-02-07,34473.2412959773,34473.2412959773,34000.1406180607,34284.0008292082,628350
2020-02-10,33590.1207477418,33905.5208736822,33369.3403661799,33369.3403661799,702790
2020-02-11,33432.4201957655,33684.7404921203,33432.4201957655,33590.1207477418,396130
2020-02-12,33653.2005773275,34504.7812107701,33653.2005773275,34378.6205735867,569230
2020-02-13,34031.6805328535,34378.6205735867,34031.6805328535,34063.2204476463,412040
2020-02-14,33747.8203217059,33968.6007032678,33400.8802809727,33779.3602364987,415290
2020-02-17,33810.9011293037,33905.5208736822,33495.5000253512,33905.5208736822,384490
2020-02-18,33905.5208736822,34410.1614663917,33747.8203217059,34347.0806587939,568750
2020-02-19,34504.7812107701,34851.7212515033,34347.0806587939,34851.7212515033,672440
2020-02-20,35009.4218034796,35135.5814626509,34757.1015071249,34883.2611662962,451760
2020-02-21,34883.2611662962,35324.82192942,34630.9408699414,34883.2611662962,901890
2020-02-24,34063.2204476463,34347.0806587939,33337.8004513871,33495.5000253512,1556120
2020-02-25,33180.0998994108,33747.8203217059,33180.0998994108,33747.8203217059,692650
2020-02-26,33432.4201957655,34031.6805328535,33274.7206218014,33495.5000253512,1083030
2020-02-27,33495.5000253512,34189.3810848298,33495.5000253512,34189.3810848298,2144240
2020-02-28,33432.4201957655,33810.9011293037,32959.3204958611,33590.1207477418,1295250
2020-03-02,33590.1207477418,33810.9011293037,33400.8802809727,33590.1207477418,474160
2020-03-03,34000.1406180607,34000.1406180607,33527.0409181562,33558.580832949,679500
2020-03-04,33400.8802809727,33432.4201957655,32990.8604106539,33432.4201957655,680740
2020-03-05,33432.4201957655,33621.6606625346,32959.3204958611,33306.2605365943,673150
2020-03-06,32927.7805810682,33053.9402402395,31981.5792252349,32517.7597327372,827890
2020-03-09,30246.8780435567,31066.9187622066,30246.8780435567,30246.8780435567,1051190
2020-03-10,28669.8774138548,29963.0178324092,28449.0970322929,29426.8383029191,1429660
2020-03-11,29647.6177064688,29805.3182584451,27565.9764840574,27565.9764840574,1584730
2020-03-12,25642.0358136223,25642.0358136223,25642.0358136223,25642.0358136223,527930
2020-03-13,23875.7947171513,27124.4166989458,23875.7947171513,24916.6148393509,3610700
2020-03-16,24285.8145874702,24979.6956469487,23339.614209649,24001.9543763226,1526810
2020-03-17,22866.5135317324,24601.2147134105,22582.6533205848,24380.4353098608,1252010
2020-03-18,24538.1348838249,25389.7155172676,24285.8145874702,24853.5350097653,1406630
2020-03-19,24285.8145874702,24506.5949690321,23528.8546764181,23844.2548023585,1132320
2020-03-20,23907.3346319441,24348.8944170558,23623.4744207966,24348.8944170558,1095330
2020-03-23,23087.2939132943,23655.0143355894,22645.7341281826,22645.7341281826,1361560
2020-03-24,22645.7341281826,22645.7341281826,21068.7325204685,21699.5327723493,1567590
2020-03-25,22078.0137058875,23024.2140837086,21762.6135799471,23024.2140837086,1417730
2020-03-26,22803.4337021467,22803.4337021467,21447.2134540067,21447.2134540067,2123850
2020-03-27,20595.6328205641,20816.413202126,19964.8325686833,19964.8325686833,2498890
2020-03-30,18577.0714277383,20501.0120981734,18577.0714277383,18766.3118945074,1861200
2020-03-31,19239.4115944119,19775.5921019142,17757.0307090885,18577.0714277383,1868280
2020-04-01,18513.9915981527,19617.8915499379,18419.370875762,19302.4914239975,1604700
2020-04-03,19838.6719314998,20627.1727353569,19649.4324427429,20627.1727353569,1653030
2020-04-06,22046.4737910947,22046.4737910947,22046.4737910947,22046.4737910947,486160
2020-04-07,23560.3945912109,23560.3945912109,22361.8739170351,23528.8546764181,5818790
2020-04-08,22961.134254123,23528.8546764181,22551.113405792,23339.614209649,2044140
2020-04-09,23655.0143355894,23749.6340799679,23024.2140837086,23024.2140837086,1610080
2020-04-10,22582.6533205848,22992.6741689158,22267.2531946444,22614.1942133898,1235340
2020-04-13,22708.8139577683,24191.1948430917,22708.8139577683,23655.0143355894,2206590
2020-04-14,23718.094165175,23907.3346319441,23150.3737428799,23591.9345060038,1035610
2020-04-15,23970.4144615298,24664.2955210084,23844.2548023585,24222.7347578845,1555700
2020-04-16,23970.4144615298,24285.8145874702,23781.1749727729,24254.2746726773,1460130
2020-04-17,24569.6747986177,25862.8161951842,24443.5151394464,25862.8161951842,2474360
2020-04-20,26493.616447065,26840.5564877982,25957.4359395627,26588.2361914435,2181870
2020-04-21,25894.3561099771,26304.3759802959,24790.4551801796,25042.7754765344,2583970
2020-04-22,24317.354502263,26178.2163211246,24317.354502263,25862.8161951842,1796100
2020-04-23,26809.0165730054,26809.0165730054,25862.8161951842,26335.9158950887,1345230
2020-04-24,26335.9158950887,26335.9158950887,25610.4958988295,26178.2163211246,1028080
2020-04-27,26462.0765322722,26462.0765322722,25610.4958988295,25925.8960247699,1016880
2020-04-28,25705.115643208,25831.2753023792,25358.1756024748,25515.8751764389,899940
2020-04-29,25515.8751764389,25957.4359395627,24916.6148393509,25768.1954727936,1175430
2020-05-04,25705.115643208,25705.115643208,25042.7754765344,25042.7754765344,917320
2020-05-05,25168.9351357057,25421.2554320604,24853.5350097653,25011.2355617416,522280
2020-05-06,25232.0149652913,25610.4958988295,24916.6148393509,25610.4958988295,846520
2020-05-07,25799.7353875864,26052.0556839412,25705.115643208,26052.0556839412,1207270
2020-05-08,26178.2163211246,27092.8767841529,26178.2163211246,26430.5366174794,2361840
2020-05-11,26493.616447065,26998.2560617623,26430.5366174794,26809.0165730054,1257030
2020-05-12,26745.9367434197,26745.9367434197,26020.5157691483,26272.8360655031,1938080
2020-05-13,25862.8161951842,26525.1563618578,25578.9559840367,26462.0765322722,1673920
2020-05-14,25862.8161951842,26430.5366174794,25862.8161951842,26178.2163211246,1040460
2020-05-15,26241.2961507103,26430.5366174794,25862.8161951842,25894.3561099771,1106330
2020-05-18,25862.8161951842,26998.2560617623,25862.8161951842,26966.7161469695,2183740
2020-05-19,27597.5163988502,27660.5972064481,27282.1162729099,27502.8966544718,1674810
2020-05-20,27155.9566137386,27345.1970805077,27029.7969545673,27282.1162729099,1101050
2020-05-21,27313.6571657149,27849.836695205,27187.4965285314,27439.8168248861,1354540
2020-05-22,27439.8168248861,27471.356739679,26809.0165730054,26809.0165730054,1475820
2020-05-25,26809.0165730054,27439.8168248861,26556.6962766506,27155.9566137386,1135520
2020-05-26,27187.4965285314,27376.7369953005,26998.2560617623,27282.1162729099,1175440
2020-05-27,27408.2769100933,27565.9764840574,26745.9367434197,26745.9367434197,1320900
2020-05-28,26809.0165730054,27029.7969545673,26651.3160210291,26714.3958506147,950520
2020-05-29,26682.8559358219,26809.0165730054,26525.1563618578,26651.3160210291,849500
2020-06-01,26682.8559358219,27155.9566137386,26682.8559358219,27124.4166989458,819630
2020-06-02,27155.9566137386,27376.7369953005,26903.6363173838,26903.6363173838,1110350
2020-06-03,26966.7161469695,27061.3368693601,26872.096402591,26935.1762321767,861720
2020-06-04,26998.2560617623,27439.8168248861,26903.6363173838,26966.7161469695,1014100
2020-06-05,26966.7161469695,27187.4965285314,26840.5564877982,27155.9566137386,744280
2020-06-08,27597.5163988502,28796.0380510383,27376.7369953005,28417.5571175001,3691120
2020-06-09,28638.337499062,28638.337499062,27944.4574175956,27912.9175028028,1115180
2020-06-10,27912.9175028028,28386.0172027073,27471.356739679,28196.7767359382,1009890
2020-06-11,28228.3176287432,28228.3176287432,26241.2961507103,26241.2961507103,2775660
2020-06-12,25925.8960247699,27124.4166989458,25547.4160692439,27124.4166989458,2515300
2020-06-15,27061.3368693601,27061.3368693601,25831.2753023792,26020.5157691483,1132400
2020-06-16,26493.616447065,26682.8559358219,26241.2961507103,26619.7761062363,704020
2020-06-17,26777.4766582126,26777.4766582126,26178.2163211246,26430.5366174794,770150
2020-06-18,26178.2163211246,26430.5366174794,26146.6764063318,26430.5366174794,360010
2020-06-19,26493.616447065,26966.7161469695,26398.9957246744,26651.3160210291,859830
2020-06-22,26872.096402591,27376.7369953005,26682.8559358219,27092.8767841529,941430
2020-06-23,27092.8767841529,27250.576358117,26903.6363173838,26903.6363173838,801600
2020-06-24,26966.7161469695,27219.0364433242,26493.616447065,26809.0165730054,715470
2020-06-25,26493.616447065,26651.3160210291,26335.9158950887,26367.4558098815,783410
2020-06-26,26493.616447065,26714.3958506147,26304.3759802959,26556.6962766506,449460
2020-06-29,26209.7562359174,26335.9158950887,25515.8751764389,25705.115643208,1096590
2020-06-30,25957.4359395627,26020.5157691483,25232.0149652913,25515.8751764389,744080
2020-07-01,25484.335261646,25862.8161951842,25484.335261646,25862.8161951842,311490
2020-07-02,25736.6555580008,25957.4359395627,25547.4160692439,25799.7353875864,327720
2020-07-03,25799.7353875864,25831.2753023792,25673.5757284151,25768.1954727936,356420
