date,open,high,low,close,volume
2020-01-02,3480.442686,3777.304006,3480.442686,3777.304006,1041740
2020-01-03,3864.31519,3946.208344,3864.31519,3884.788089,853560
2020-01-06,3884.788089,3987.154142,3792.658875,3961.563213,480230
2020-01-07,3956.444404,3982.036112,3915.498606,3956.444404,1282040
2020-01-08,3956.444404,4058.810457,3818.250583,4053.692427,1105340
2020-01-09,4094.639004,4324.962039,4094.639004,4324.962039,1746260
2020-01-10,4529.694145,4606.46849,4406.855193,4580.876782,1194520
2020-01-13,4606.46849,4632.060198,4401.736384,4478.510729,1106160
2020-01-14,4452.9198,4606.46849,4411.973223,4580.876782,1210630
2020-01-15,4580.876782,4862.383233,4580.876782,4862.383233,1023240
2020-01-16,4862.383233,5118.298755,4862.383233,5067.115339,553840
2020-01-17,5067.115339,5118.298755,4954.512447,5067.115339,719550
2020-01-20,5000.577833,5061.997309,4713.952573,4713.952573,2003870
2020-01-21,4386.381515,4713.952573,4386.381515,4708.834543,702530
2020-01-22,4606.46849,4862.383233,4606.46849,4862.383233,433340
2020-01-30,4760.01718,5015.932702,4524.576115,4524.576115,814540
2020-01-31,4355.671777,4488.747568,4268.660593,4268.660593,903540
2020-02-03,3971.799273,4248.187694,3971.799273,4197.004278,762170
2020-02-04,4191.886248,4191.886248,3982.036112,4043.455588,531330
2020-02-05,4094.639004,4197.004278,3992.272951,3992.272951,307880
2020-02-06,4043.455588,4222.595986,4012.74585,4181.649409,398370
2020-02-07,4181.649409,4237.950855,4079.284135,4109.993873,224010
2020-02-10,4094.639004,4207.241117,4043.455588,4171.413349,608010
2020-02-11,4171.413349,4299.370331,4109.993873,4109.993873,204380
2020-02-12,4109.993873,4227.714795,4109.993873,4166.29454,228950
2020-02-13,4222.595986,4222.595986,4109.993873,4181.649409,166210
2020-02-14,4130.466772,4212.359926,4130.466772,4176.531379,115390
2020-02-17,4176.531379,4248.187694,4120.229933,4161.17651,335680
2020-02-18,4115.111903,4191.886248,4115.111903,4161.17651,823150
2020-02-19,4156.05848,4248.187694,4156.05848,4156.05848,321650
2020-02-20,4197.004278,4442.682961,4156.05848,4442.682961,1861430
2020-02-21,4606.46849,4616.705329,4447.800991,4504.102437,407130
2020-02-24,4278.897432,4498.984407,4278.897432,4386.381515,541490
2020-02-25,4278.897432,4417.091253,4278.897432,4386.381515,652980
2020-02-26,4386.381515,4386.381515,4278.897432,4294.252301,382700
2020-02-27,4258.424533,4371.026646,4227.714795,4355.671777,1207420
2020-02-28,4355.671777,4355.671777,4227.714795,4243.069664,520540
2020-03-02,4227.714795,4273.779402,4186.768218,4243.069664,731490
2020-03-03,4243.069664,4324.962039,4237.950855,4243.069664,732870
2020-03-04,4222.595986,4248.187694,4207.241117,4207.241117,881410
2020-03-05,4222.595986,4273.779402,4222.595986,4222.595986,658190
2020-03-06,4222.595986,4222.595986,4145.821641,4145.821641,520560
2020-03-09,3859.19716,3915.498606,3859.19716,3859.19716,643140
2020-03-10,3593.045578,3838.723482,3593.045578,3777.304006,499100
2020-03-11,3777.304006,3813.132553,3531.626102,3562.33584,621580
2020-03-12,3332.012026,3398.550311,3316.657157,3332.012026,758250
2020-03-13,3086.334122,3311.539127,3086.334122,3163.108467,2303650
2020-03-16,3070.979253,3168.226497,3070.979253,3086.334122,654660
2020-03-17,2891.838855,3147.753598,2891.838855,3122.16189,156870
2020-03-18,3332.012026,3332.012026,3070.979253,3070.979253,1867210
2020-03-19,3070.979253,3070.979253,3035.150706,3070.979253,441830
2020-03-20,3019.795837,3065.860444,2856.010308,2856.010308,2327870
2020-03-23,2671.75188,2815.063731,2656.397011,2671.75188,1150030
2020-03-24,2472.137804,2507.966351,2472.137804,2472.137804,1900300
2020-03-25,2472.137804,2507.966351,2328.825953,2364.653721,2140210
2020-03-26,2426.073197,2528.43925,2400.482268,2507.966351,1251510
2020-03-27,2436.310036,2661.515041,2436.310036,2507.966351,418220
2020-03-30,2364.653721,2507.966351,2354.416882,2405.600298,608850
2020-03-31,2364.653721,2492.611482,2252.051608,2252.051608,554980
2020-04-01,2241.814769,2405.600298,2241.814769,2364.653721,922390
2020-04-03,2405.600298,2507.966351,2374.89056,2492.611482,583700
2020-04-06,2507.966351,2646.160172,2507.966351,2646.160172,2229770
2020-04-07,2661.515041,2763.881094,2625.687273,2630.805303,539150
2020-04-08,2625.687273,2651.278202,2533.558059,2635.923333,956830
2020-04-09,2615.450434,2763.881094,2615.450434,2697.343588,545170
2020-04-10,2743.408195,2743.408195,2559.148988,2661.515041,498550
2020-04-13,2574.503857,2712.698457,2574.503857,2661.515041,444510
2020-04-14,2687.106749,2845.774248,2630.805303,2815.063731,1152790
2020-04-15,2943.021492,2943.021492,2866.247147,2876.483986,939290
2020-04-16,2840.655439,2994.204908,2815.063731,2927.666623,650390
2020-04-17,2989.086099,2989.086099,2907.193724,2937.903462,934470
2020-04-20,2963.494391,2983.968069,2733.171356,2902.074915,767020
2020-04-21,2815.063731,2840.655439,2717.816487,2722.934517,969690
2020-04-22,2666.633071,2912.311754,2666.633071,2891.838855,1320090
2020-04-23,3086.334122,3086.334122,2963.494391,2983.968069,769020
2020-04-24,3065.860444,3188.700175,2994.204908,3188.700175,3029250
2020-04-27,3378.076633,3408.786371,3326.893996,3408.786371,2883180
2020-04-28,3480.442686,3480.442686,3275.71058,3378.076633,1263790
2020-04-29,3275.71058,3326.893996,3234.764782,3311.539127,1757340
2020-05-04,3306.421097,3398.550311,3275.71058,3352.485704,2342780
2020-05-05,3352.485704,3531.626102,3342.248865,3352.485704,1226550
2020-05-06,3352.485704,3413.90518,3342.248865,3398.550311,1643470
2020-05-07,3429.260049,3495.797555,3408.786371,3465.087817,2035010
2020-05-08,3480.442686,3495.797555,3408.786371,3408.786371,2009290
2020-05-11,3408.786371,3531.626102,3352.485704,3403.668341,1376790
2020-05-12,3403.668341,3521.389263,3342.248865,3506.034394,3064490
2020-05-13,3506.034394,3746.594268,3506.034394,3721.00256,4270730
2020-05-14,3721.00256,3843.842291,3659.583084,3710.7665,1526070
2020-05-15,3700.529661,3721.00256,3531.626102,3608.400447,2352440
2020-05-18,3603.282417,3777.304006,3506.034394,3715.88453,2880380
2020-05-19,3787.540845,3843.842291,3726.121369,3731.239399,2703600
2020-05-20,3731.239399,3736.357429,3582.808739,3669.819923,1152930
2020-05-21,3685.174792,3705.647691,3633.992155,3654.465054,1636920
2020-05-22,3761.949137,3818.250583,3710.7665,3808.013744,5508610
2020-05-25,3889.906898,4048.574397,3874.552029,3941.089535,4025600
2020-05-26,4043.455588,4043.455588,3920.616636,3956.444404,2691160
2020-05-27,3961.563213,4002.509011,3930.853475,3951.326374,4445620
2020-05-28,3941.089535,4002.509011,3941.089535,3946.208344,2488300
2020-05-29,3946.208344,3992.272951,3930.853475,3930.853475,2704170
2020-06-01,3941.089535,4084.402165,3941.089535,4069.047296,3767720
2020-06-02,4084.402165,4084.402165,3987.154142,4022.982689,2787190
2020-06-03,4022.982689,4028.100719,3951.326374,4007.62782,2343030
2020-06-04,4038.337558,4038.337558,3951.326374,3951.326374,3221320
2020-06-05,3941.089535,4166.29454,3920.616636,4109.993873,4588170
2020-06-08,4197.004278,4284.015462,4191.886248,4253.305724,4261420
2020-06-09,4299.370331,4350.553747,4191.886248,4309.60717,3712540
2020-06-10,4268.660593,4304.48914,4222.595986,4289.134271,3624910
2020-06-11,4278.897432,4406.855193,4145.821641,4145.821641,4256720
2020-06-12,3915.498606,4150.939671,3900.143737,4150.939671,4074260
2020-06-15,4197.004278,4197.004278,3941.089535,3941.089535,2586870
2020-06-16,4022.982689,4022.982689,3930.853475,3976.918082,1624120
2020-06-17,3941.089535,4094.639004,3941.089535,3976.918082,1815950
2020-06-18,3976.918082,4022.982689,3951.326374,4007.62782,1236530
2020-06-19,4130.466772,4130.466772,4043.455588,4089.520195,1233770
2020-06-22,4089.520195,4156.05848,4043.455588,4074.165326,1850610
2020-06-23,4094.639004,4094.639004,3982.036112,3992.272951,2539350
2020-06-24,4069.047296,4069.047296,3976.918082,3976.918082,1441060
2020-06-25,3941.089535,4094.639004,3879.670059,4053.692427,2407590
2020-06-26,4058.810457,4089.520195,4012.74585,4022.982689,2072560
2020-06-29,3946.208344,3966.681243,3787.540845,3879.670059,1967940
2020-06-30,3976.918082,3976.918082,3633.992155,3654.465054,1677110
2020-07-01,3608.400447,3741.476238,3608.400447,3710.7665,1301810
2020-07-02,3710.7665,3761.949137,3685.174792,3695.411631,873690
2020-07-03,3710.7665,3710.7665,3680.056762,3695.411631,706740
2020-07-06,3761.949137,3777.304006,3710.7665,3746.594268,885210
2020-07-07,3787.540845,3848.960321,3787.540845,3813.132553,1840100
2020-07-08,3813.132553,3818.250583,3761.949137,3761.949137,839650
