date,open,high,low,close,volume
2020-01-02,18606.609742979,18674.2701091608,18268.3079120696,18572.7800120363,469670
2020-01-03,18572.7800120363,18606.609742979,18234.4772768304,18268.3079120696,461720
2020-01-06,18471.2890106152,18471.2890106152,17997.6664473421,17930.0060811603,183360
2020-01-07,18065.326813524,18268.3079120696,17930.0060811603,17930.0060811603,247700
2020-01-08,17930.0060811603,17997.6664473421,17794.6853487965,17828.5150797392,194830
2020-01-09,17896.1754459211,17997.6664473421,17693.1943473755,17794.6853487965,331280
2020-01-10,17794.6853487965,17896.1754459211,17321.061881227,17794.6853487965,545400
2020-01-13,17828.5150797392,18302.1376430123,17828.5150797392,18302.1376430123,703210
2020-01-14,18302.1376430123,18403.6286444333,18200.6475458877,18369.7980091942,162990
2020-01-15,18268.3079120696,18335.9682782515,18200.6475458877,18268.3079120696,120260
2020-01-16,18268.3079120696,18335.9682782515,18099.1565444667,18302.1376430123,190870
2020-01-17,18302.1376430123,18335.9682782515,18200.6475458877,18268.3079120696,140900
2020-01-20,18268.3079120696,18741.9304753427,18234.4772768304,18674.2701091608,589750
2020-01-21,18809.5908415246,19114.0629414912,18572.7800120363,18944.9115738883,1177760
2020-01-22,18944.9115738883,19114.0629414912,18809.5908415246,19012.5719400702,1231370
2020-01-30,18741.9304753427,18877.2512077064,18369.7980091942,18538.9493767971,303480
2020-01-31,18572.7800120363,18572.7800120363,17693.1943473755,17930.0060811603,394740
2020-02-03,17727.0249826146,17727.0249826146,16915.0996841357,17490.2132488299,324580
2020-02-04,17219.5717841024,17727.0249826146,17219.5717841024,17456.3826135907,200300
2020-02-05,17490.2132488299,17659.3646164328,17321.061881227,17456.3826135907,140720
2020-02-06,17456.3826135907,17794.6853487965,17321.061881227,17794.6853487965,405010
2020-02-07,17727.0249826146,17828.5150797392,17591.7033459544,17794.6853487965,274290
2020-02-10,17760.8547135573,17794.6853487965,17524.0429797726,17727.0249826146,197640
2020-02-11,17659.3646164328,17727.0249826146,17591.7033459544,17659.3646164328,140730
2020-02-12,17625.5339811936,18335.9682782515,17591.7033459544,18132.9871797059,1235900
2020-02-13,17997.6664473421,18234.4772768304,17997.6664473421,18166.8169106486,326730
2020-02-14,18200.6475458877,18234.4772768304,17997.6664473421,18200.6475458877,234580
2020-02-17,18268.3079120696,18268.3079120696,17930.0060811603,18132.9871797059,307950
2020-02-18,18065.326813524,18166.8169106486,17456.3826135907,17727.0249826146,684280
2020-02-19,17557.8736150117,17862.3457149784,17287.2321502843,17794.6853487965,995040
2020-02-20,18031.4961782848,18031.4961782848,17456.3826135907,17591.7033459544,514830
2020-02-21,17591.7033459544,17591.7033459544,17287.2321502843,17591.7033459544,690540
2020-02-24,17219.5717841024,17490.2132488299,16644.4582194083,16644.4582194083,512860
2020-02-25,16306.1563884989,16881.269953193,16204.6653870779,16881.269953193,718300
2020-02-26,16576.7978532264,17084.2510517386,16373.8167546808,16712.1185855901,356250
2020-02-27,16542.9672179872,17151.9114179205,16542.9672179872,17118.0807826813,466180
2020-02-28,16847.4393179539,17050.4204164995,16779.778951772,16915.0996841357,278550
2020-03-02,16982.7600503176,17321.061881227,16712.1185855901,17321.061881227,571760
2020-03-03,17422.552882648,17557.8736150117,17354.8925164661,17456.3826135907,500350
2020-03-04,17321.061881227,17490.2132488299,17118.0807826813,17388.7222474088,321710
2020-03-05,17490.2132488299,17930.0060811603,17422.552882648,17760.8547135573,790700
2020-03-06,17659.3646164328,17760.8547135573,17524.0429797726,17727.0249826146,532640
2020-03-09,16779.778951772,17185.7411488632,16509.1374870445,16509.1374870445,437290
2020-03-10,16238.496022317,16847.4393179539,16238.496022317,16407.6464856235,470750
2020-03-11,16644.4582194083,16712.1185855901,15358.9103576563,15900.1941914077,520290
2020-03-12,15358.9103576563,15561.8914562019,14817.6274282013,14952.948160565,758880
2020-03-13,13938.042667837,15967.8545575896,13938.042667837,15967.8545575896,882880
2020-03-16,15764.8725547475,15764.8725547475,14851.4580634405,14885.2877943832,867980
2020-03-17,13870.3813973586,14952.948160565,13870.3813973586,14952.948160565,585440
2020-03-18,14885.2877943832,15155.9292591106,14005.7030340189,14479.3255972919,703020
2020-03-19,14479.3255972919,14479.3255972919,13498.2498355066,14208.6841325645,851900
2020-03-20,14107.1931311434,14107.1931311434,13633.5705678703,13802.7210311768,363190
2020-03-23,13802.7210311768,13802.7210311768,12855.4759046306,12855.4759046306,369450
2020-03-24,12314.1929751756,12517.1740737212,11975.8902399698,12517.1740737212,1176690
2020-03-25,12821.6452693914,13362.9291031429,12584.8344399031,13362.9291031429,1986010
2020-03-26,13362.9291031429,14276.3444987463,13126.1173693581,13870.3813973586,1425820
2020-03-27,13870.3813973586,14005.7030340189,13295.268736961,13735.0606649949,650050
2020-03-30,13193.7777355399,13532.0795664493,12787.8155384487,13329.0984679037,609550
2020-03-31,13126.1173693581,13802.7210311768,12483.3434384821,13532.0795664493,986130
2020-04-01,13532.0795664493,14073.3634002007,13058.4570031762,14073.3634002007,704420
2020-04-03,14073.3634002007,14073.3634002007,13464.4192002674,13532.0795664493,1355190
2020-04-06,13836.5516664159,13870.3813973586,13396.7588340856,13532.0795664493,1193250
2020-04-07,13532.0795664493,13870.3813973586,13362.9291031429,13870.3813973586,2042330
2020-04-08,13870.3813973586,14344.0048649282,13633.5705678703,14344.0048649282,1408560
2020-04-09,14479.3255972919,14749.9670620194,14479.3255972919,14614.6463296557,1011720
2020-04-10,14648.4760605984,14749.9670620194,14344.0048649282,14648.4760605984,1578520
2020-04-13,14648.4760605984,14682.3066958376,14479.3255972919,14479.3255972919,918960
2020-04-14,14411.6652311101,14614.6463296557,13599.7399326312,14005.7030340189,1599930
2020-04-15,14073.3634002007,14479.3255972919,14039.5327649616,14445.4949620528,629440
2020-04-16,14445.4949620528,14445.4949620528,14073.3634002007,14208.6841325645,631360
2020-04-17,14208.6841325645,14445.4949620528,14141.0237663826,14411.6652311101,701750
2020-04-20,14276.3444987463,14885.2877943832,14276.3444987463,14749.9670620194,1182210
2020-04-21,14546.9859634738,14614.6463296557,14073.3634002007,14546.9859634738,1464630
2020-04-22,14310.174229689,14614.6463296557,14276.3444987463,14580.8156944165,629620
2020-04-23,14749.9670620194,14749.9670620194,14479.3255972919,14648.4760605984,901490
2020-04-24,14546.9859634738,14682.3066958376,14445.4949620528,14479.3255972919,707590
2020-04-27,14648.4760605984,14682.3066958376,14344.0048649282,14546.9859634738,352690
2020-04-28,14546.9859634738,14614.6463296557,14276.3444987463,14614.6463296557,374620
2020-04-29,14614.6463296557,15223.5896252925,14445.4949620528,15223.5896252925,981800
2020-05-04,15223.5896252925,15257.4202605317,14885.2877943832,15223.5896252925,1723340
2020-05-05,15088.2688929288,15426.5707238381,14885.2877943832,15155.9292591106,384290
2020-05-06,15223.5896252925,15223.5896252925,14986.7787958042,15189.7598943498,337450
2020-05-07,15189.7598943498,15189.7598943498,14885.2877943832,15088.2688929288,770090
2020-05-08,15122.0995281679,15663.3824576229,14885.2877943832,15561.8914562019,1481880
2020-05-11,15900.1941914077,16035.5149237714,15426.5707238381,15967.8545575896,1055830
2020-05-12,16103.1752899533,16441.4771208626,15561.8914562019,16441.4771208626,1508710
2020-05-13,16441.4771208626,16982.7600503176,16001.6842885323,16678.287950351,1640120
2020-05-14,16441.4771208626,16712.1185855901,16441.4771208626,16712.1185855901,852830
2020-05-15,16712.1185855901,16712.1185855901,15561.8914562019,16035.5149237714,2123470
2020-05-18,16373.8167546808,16373.8167546808,15494.23109002,15900.1941914077,1193610
2020-05-19,16103.1752899533,16238.496022317,15697.2121885656,16170.8356561352,1145470
2020-05-20,16170.8356561352,16170.8356561352,15764.8725547475,16035.5149237714,835660
2020-05-21,15697.2121885656,16137.005020896,15697.2121885656,15967.8545575896,1141640
2020-05-22,15967.8545575896,16035.5149237714,15528.0617252592,15561.8914562019,813420
2020-05-25,15832.5338252258,15832.5338252258,15561.8914562019,15595.722091441,410850
2020-05-26,15832.5338252258,16137.005020896,15595.722091441,15967.8545575896,1053500
2020-05-27,15967.8545575896,16238.496022317,15663.3824576229,15663.3824576229,990530
2020-05-28,15697.2121885656,15866.3635561685,15629.5518223837,15798.7031899866,805560
2020-05-29,15798.7031899866,15798.7031899866,15528.0617252592,15697.2121885656,955580
2020-06-01,15697.2121885656,16035.5149237714,15697.2121885656,15934.0239223504,767560
2020-06-02,16035.5149237714,16103.1752899533,15358.9103576563,15934.0239223504,1095790
2020-06-03,15934.0239223504,16035.5149237714,15832.5338252258,15967.8545575896,652800
2020-06-04,15967.8545575896,16576.7978532264,15764.8725547475,16441.4771208626,1536300
2020-06-05,16564.8231593706,16737.3728731078,16219.7219233034,16737.3728731078,818430
2020-06-08,16737.3728731078,16909.9234911415,16495.8027312979,16737.3728731078,1379870
2020-06-09,16771.8835392924,17013.4536811023,16461.2929694098,16737.3728731078,1663490
2020-06-10,16771.8835392924,17738.1641065321,16599.3329212588,17669.1445827558,3523820
2020-06-11,17669.1445827558,17945.2244864539,16909.9234911415,16978.9430149177,2345990
2020-06-12,16909.9234911415,17255.0238229123,16357.7627794489,17255.0238229123,1338480
2020-06-15,17255.0238229123,17393.0637747613,16564.8231593706,17082.4732048786,1621460
2020-06-16,17186.0033948395,17186.0033948395,16702.8631112197,17186.0033948395,656970
2020-06-17,17255.0238229123,17255.0238229123,16944.4332530296,17186.0033948395,734070
2020-06-18,17186.0033948395,17186.0033948395,16944.4332530296,17186.0033948395,529920
2020-06-19,17047.9634429905,17600.1241546831,16978.9430149177,17531.1037266103,2309140
2020-06-22,17531.1037266103,17565.6143927949,17220.5140610241,17496.5939647222,854190
2020-06-23,17496.5939647222,17496.5939647222,17116.9838710632,17255.0238229123,2360900
2020-06-24,17255.0238229123,17255.0238229123,16978.9430149177,16978.9430149177,1246790
2020-06-25,16909.9234911415,17116.9838710632,16564.8231593706,17116.9838710632,1979060
2020-06-26,17186.0033948395,17358.5540128732,17013.4536811023,17324.044250985,908690
2020-06-29,17324.044250985,17324.044250985,16840.9030630687,17047.9634429905,717540
2020-06-30,17220.5140610241,17220.5140610241,16702.8631112197,16909.9234911415,566050
2020-07-01,16909.9234911415,17255.0238229123,16806.3933011806,17186.0033948395,1063210
2020-07-02,17324.044250985,17531.1037266103,17047.9634429905,17393.0637747613,1039100
2020-07-03,17531.1037266103,17600.1241546831,17255.0238229123,17496.5939647222,1941940
2020-07-06,17600.1241546831,17634.6339165712,17393.0637747613,17565.6143927949,893910
2020-07-07,17669.1445827558,17669.1445827558,17255.0238229123,17531.1037266103,781250
2020-07-08,17393.0637747613,17565.6143927949,17186.0033948395,17393.0637747613,861650
2020-07-09,17393.0637747613,17876.2049626776,17255.0238229123,17841.694296493,2041610
2020-07-10,17876.2049626776,17876.2049626776,17462.084202834,17841.694296493,1355590
2020-07-13,17841.694296493,17876.2049626776,17427.5744409459,17531.1037266103,1066520
2020-07-14,17462.084202834,17600.1241546831,17255.0238229123,17600.1241546831,1222700
2020-07-15,17772.6747727167,17772.6747727167,17393.0637747613,17565.6143927949,342400
2020-07-16,17531.1037266103,17600.1241546831,17289.5335848004,17358.5540128732,415710
2020-07-17,17289.5335848004,17496.5939647222,17186.0033948395,17496.5939647222,328420
2020-07-20,17496.5939647222,17496.5939647222,17220.5140610241,17393.0637747613,498990
2020-07-21,17393.0637747613,17462.084202834,17186.0033948395,17462.084202834,749500
2020-07-22,17255.0238229123,17600.1241546831,17255.0238229123,17462.084202834,510260
2020-07-23,17531.1037266103,17600.1241546831,17324.044250985,17565.6143927949,901520
2020-07-24,17565.6143927949,17841.694296493,17047.9634429905,17738.1641065321,2479900
2020-07-27,17255.0238229123,17772.6747727167,17186.0033948395,17531.1037266103,1171180
2020-07-28,17531.1037266103,17703.654344644,17047.9634429905,17669.1445827558,845820
2020-07-29,17669.1445827558,17807.1845346049,17116.9838710632,17393.0637747613,899150
2020-07-30,17393.0637747613,17531.1037266103,17186.0033948395,17462.084202834,934340
2020-07-31,17393.0637747613,17600.1241546831,17116.9838710632,17255.0238229123,1215660
2020-08-03,17255.0238229123,17531.1037266103,17047.9634429905,17462.084202834,390430
2020-08-04,17565.6143927949,17600.1241546831,17393.0637747613,17462.084202834,284970
2020-08-05,17531.1037266103,17772.6747727167,17324.044250985,17669.1445827558,1445660
2020-08-06,17669.1445827558,17703.654344644,17496.5939647222,17703.654344644,1491340
2020-08-07,17703.654344644,17841.694296493,17565.6143927949,17841.694296493,896380
2020-08-10,17841.694296493,18393.8550081856,17807.1845346049,18324.8354844093,3250140
