date,open,high,low,close,volume
2020-01-02,14129.5285164,14194.6412542,14064.4157786,14162.085366,210040
2020-01-03,14096.9716668,14129.5285164,13966.7461912,13966.7461912,436480
2020-01-06,13966.7461912,13966.7461912,13869.0766038,13934.1893416,93880
2020-01-07,13966.7461912,13999.3020794,13836.5197542,13934.1893416,167360
2020-01-08,13869.0766038,13869.0766038,13348.1718172,13348.1718172,547580
2020-01-09,13553.8066246,13622.2602274,13416.899419,13553.8066246,185180
2020-01-10,13553.8066246,13553.8066246,13006.1778022,13006.1778022,226740
2020-01-13,13006.1778022,13040.4046036,12527.0025826,12595.4561854,272090
2020-01-14,12595.4561854,12869.2705966,12527.0025826,12663.9097882,102600
2020-01-15,12663.9097882,12937.7241994,12663.9097882,12766.5901924,137510
2020-01-16,12869.2705966,12869.2705966,12663.9097882,12766.5901924,138410
2020-01-17,12732.363391,12766.5901924,12527.0025826,12527.0025826,223890
2020-01-20,12527.0025826,12663.9097882,12527.0025826,12629.6829868,123860
2020-01-21,12732.363391,12835.0437952,12595.4561854,12835.0437952,107650
2020-01-22,12835.0437952,13143.0850078,12800.8169938,13040.4046036,126800
2020-01-30,13006.1778022,13553.8066246,13006.1778022,13553.8066246,486140
2020-01-31,13553.8066246,13656.4870288,13108.8582064,13177.3118092,174620
2020-02-03,13006.1778022,13006.1778022,12321.6427356,12800.8169938,388800
2020-02-04,13314.2190148,13314.2190148,12800.8169938,13006.1778022,183600
2020-02-05,13006.1778022,13245.765412,13006.1778022,13177.3118092,213610
2020-02-06,13279.9922134,13759.167433,13245.765412,13759.167433,355150
2020-02-07,13690.7138302,14169.8890498,13690.7138302,14067.2086456,289610
2020-02-10,14067.2086456,14067.2086456,13724.9406316,13964.5282414,147400
2020-02-11,14067.2086456,14375.2488968,13964.5282414,14306.795294,131460
2020-02-12,14375.2488968,14649.063308,14272.569454,14512.1561024,467170
2020-02-13,14512.1561024,14546.3829038,14306.795294,14409.4756982,157210
2020-02-14,14409.4756982,14409.4756982,14032.9818442,14375.2488968,225660
2020-02-17,14375.2488968,14375.2488968,14101.435447,14101.435447,174670
2020-02-18,14101.435447,14169.8890498,13827.6210358,13930.30144,273990
2020-02-19,13793.3942344,13998.7550428,13793.3942344,13793.3942344,146890
2020-02-20,13827.6210358,13998.7550428,13793.3942344,13964.5282414,144240
2020-02-21,14032.9818442,14032.9818442,13896.0746386,13896.0746386,196030
2020-02-24,13588.033426,13622.2602274,13143.0850078,13279.9922134,456290
2020-02-25,13211.5386106,13348.4458162,13006.1778022,13314.2190148,613970
2020-02-26,13314.2190148,13553.8066246,13279.9922134,13519.5798232,148650
2020-02-27,13519.5798232,13793.3942344,13485.3530218,13656.4870288,104660
