date,open,high,low,close,volume
2020-01-02,7990.9683216,8150.7877576,7945.3056256,8150.7877576,114650
2020-01-03,8150.7877576,8150.7877576,7990.9683216,8036.6310176,141110
2020-01-06,8013.7996696,8036.6310176,7899.6429296,7899.6429296,109560
2020-01-07,7899.6429296,7990.9683216,7853.9802336,7945.3056256,76170
2020-01-08,7899.6429296,7899.6429296,7694.1607976,7762.6548416,201300
2020-01-09,7762.6548416,7899.6429296,7762.6548416,7853.9802336,108180
2020-01-10,7853.9802336,8082.2937136,7853.9802336,8082.2937136,96210
2020-01-13,8127.9564096,8150.7877576,8082.2937136,8150.7877576,115370
2020-01-14,8219.2818016,8356.2698896,8059.4623656,8173.6191056,77660
2020-01-15,8173.6191056,8173.6191056,7968.1369736,7968.1369736,215660
2020-01-16,7990.9683216,8082.2937136,7922.4742776,7990.9683216,118800
2020-01-17,8036.6310176,8036.6310176,7853.9802336,8036.6310176,94810
2020-01-20,8036.6310176,8150.7877576,7990.9683216,8150.7877576,69820
2020-01-21,8173.6191056,8470.4266296,8127.9564096,8356.2698896,305210
2020-01-22,8538.9206736,8538.9206736,8333.4385416,8379.1012376,145670
2020-01-30,8333.4385416,8333.4385416,8036.6310176,8127.9564096,86440
2020-01-31,8196.4504536,8196.4504536,7671.3294496,7671.3294496,207960
2020-02-03,7625.6667536,7625.6667536,7146.2084456,7146.2084456,530100
2020-02-04,7146.2084456,7306.0278816,6712.4137032,6758.0763992,518670
2020-02-05,6758.0763992,7077.7144016,6575.4256152,6575.4256152,615330
2020-02-06,6621.0883112,6872.2322696,6621.0883112,6780.9077472,836030
2020-02-07,6780.9077472,7032.0517056,6780.9077472,6917.8949656,375830
2020-02-10,6849.4017912,6895.0636176,6758.0763992,6849.4017912,245560
2020-02-11,6849.4017912,6849.4017912,6689.5823552,6689.5823552,557840
2020-02-12,6712.4137032,7146.2084456,6712.4137032,7146.2084456,1169930
2020-02-13,7146.2084456,7306.0278816,7032.0517056,7146.2084456,443430
2020-02-14,7214.7024896,7214.7024896,7077.7144016,7100.5457496,434680
2020-02-17,7077.7144016,7328.8592296,7032.0517056,7123.3770976,478240
