date,open,high,low,close,volume
2020-01-02,10825.8329793,10867.1531186,10660.553348,10784.5137659,639390
2020-01-03,10763.8532333,10763.8532333,10453.9535774,10495.2737167,421590
2020-01-06,10536.593856,10619.2332087,10474.61411,10598.573602,1049590
2020-01-07,10577.9139953,10619.2332087,9875.4744049,9875.4744049,2226990
2020-01-08,10082.0741755,10557.2534627,9730.8543803,10557.2534627,1247880
2020-01-09,10557.2534627,10825.8329793,10453.9535774,10743.1936266,575890
2020-01-10,10743.1936266,10784.5137659,10329.9940854,10474.61411,732690
2020-01-13,10371.3132988,10391.9738314,10185.3740608,10185.3740608,480660
2020-01-14,10206.0336675,10619.2332087,10164.7135282,10619.2332087,588350
2020-01-15,10619.2332087,10660.553348,10453.9535774,10577.9139953,566830
2020-01-16,10619.2332087,10619.2332087,10412.6334381,10577.9139953,871140
2020-01-17,10577.9139953,10619.2332087,10495.2737167,10577.9139953,731700
2020-01-20,10577.9139953,10619.2332087,10495.2737167,10577.9139953,667980
2020-01-21,10577.9139953,10743.1936266,10495.2737167,10743.1936266,773380
2020-01-22,10743.1936266,10949.7933972,10577.9139953,10949.7933972,699090
2020-01-30,10949.7933972,10949.7933972,10701.8734873,10846.4935119,687530
2020-01-31,10743.1936266,10825.8329793,10577.9139953,10763.8532333,585650
2020-02-03,10763.8532333,10763.8532333,10495.2737167,10763.8532333,498280
2020-02-04,10784.5137659,10784.5137659,10660.553348,10784.5137659,507600
2020-02-05,10784.5137659,10825.8329793,10082.0741755,10784.5137659,735810
2020-02-06,10743.1936266,10825.8329793,10681.2138806,10805.1733726,570160
2020-02-07,10805.1733726,10825.8329793,10681.2138806,10825.8329793,449400
2020-02-10,10784.5137659,10784.5137659,10639.8937413,10722.533094,542130
2020-02-11,10722.533094,10805.1733726,10681.2138806,10701.8734873,672120
2020-02-12,10701.8734873,10743.1936266,10639.8937413,10701.8734873,556440
2020-02-13,10701.8734873,10784.5137659,10660.553348,10784.5137659,699500
2020-02-14,10784.5137659,10805.1733726,10681.2138806,10784.5137659,519970
2020-02-17,10784.5137659,10805.1733726,10660.553348,10743.1936266,719100
2020-02-18,10743.1936266,10805.1733726,10660.553348,10805.1733726,735080
2020-02-19,10784.5137659,10784.5137659,10681.2138806,10743.1936266,545510
2020-02-20,10763.8532333,10784.5137659,10681.2138806,10763.8532333,758990
2020-02-21,10784.5137659,10784.5137659,10660.553348,10763.8532333,903160
2020-02-24,10743.1936266,10825.8329793,10639.8937413,10639.8937413,1024780
2020-02-25,10619.2332087,10743.1936266,10619.2332087,10743.1936266,597740
2020-02-26,10743.1936266,10743.1936266,10660.553348,10701.8734873,493440
2020-02-27,10701.8734873,10743.1936266,10639.8937413,10701.8734873,353850
2020-02-28,10701.8734873,10743.1936266,10639.8937413,10743.1936266,599270
2020-03-02,10743.1936266,10743.1936266,10660.553348,10743.1936266,758580
2020-03-03,10743.1936266,10784.5137659,10660.553348,10784.5137659,1173520
2020-03-04,10743.1936266,10784.5137659,10701.8734873,10743.1936266,1062030
2020-03-05,10743.1936266,10784.5137659,10743.1936266,10763.8532333,741160
2020-03-06,10763.8532333,10784.5137659,10660.553348,10784.5137659,747620
2020-03-09,10660.553348,10743.1936266,10164.7135282,10577.9139953,655510
2020-03-10,10288.6739461,10577.9139953,10123.3943148,10577.9139953,367390
