date,open,high,low,close,volume
2020-01-02,28060.7210383422,28868.7530509092,27840.3494292534,28464.7375078326,381360
2020-01-03,28464.7375078326,29897.1557461512,28464.7375078326,29603.3269340328,591930
2020-01-06,29676.7841370624,29676.7841370624,28538.1947108622,28721.8377184362,403240
2020-01-07,29015.6674569684,29015.6674569684,28428.007979904,28648.3805154066,294820
2020-01-08,28501.4661093474,28501.4661093474,27289.4185537038,27546.5196907212,599230
2020-01-09,28207.6363708152,28942.2102539388,28134.1791677856,28648.3805154066,341570
2020-01-10,28978.9388554536,29382.9543985302,28281.0935738448,28574.923312377,445810
2020-01-13,28464.7375078326,28464.7375078326,28023.9924368274,28170.9077693004,227930
2020-01-14,28170.9077693004,28428.007979904,27840.3494292534,28391.2793783892,299190
2020-01-15,28391.2793783892,28428.007979904,28134.1791677856,28391.2793783892,115650
2020-01-16,28574.923312377,29823.6985431216,28428.007979904,29456.4116015598,381300
2020-01-17,29529.8688045894,30411.358020186,29382.9543985302,29493.1402030746,176820
2020-01-20,29676.7841370624,29823.6985431216,28868.7530509092,28868.7530509092,240610
2020-01-21,29015.6674569684,29015.6674569684,28538.1947108622,28611.6519138918,232700
2020-01-22,28501.4661093474,29382.9543985302,28501.4661093474,29382.9543985302,222560
2020-01-30,29015.6674569684,29015.6674569684,28428.007979904,28648.3805154066,136110
2020-01-31,28428.007979904,28648.3805154066,26701.7600030532,26701.7600030532,412930
2020-02-03,25710.0849829122,26077.371924474,24865.3252952442,25048.9683028182,1337560
2020-02-04,25048.9683028182,26040.6433229592,24387.852549138,24387.852549138,495830
2020-02-05,24387.852549138,24975.5110997886,24387.852549138,24718.4099627712,696600
2020-02-06,24718.4099627712,26444.6588660358,24718.4099627712,26444.6588660358,526270
2020-02-07,27105.7755461298,28281.0935738448,26444.6588660358,28281.0935738448,553880
2020-02-10,27913.806632283,28207.6363708152,27546.5196907212,27987.2638353126,271640
2020-02-11,27987.2638353126,28942.2102539388,27803.6208277386,28574.923312377,243290
2020-02-12,28648.3805154066,29199.3104645424,28648.3805154066,29015.6674569684,408190
2020-02-13,29089.124659998,30044.0710786242,28942.2102539388,29529.8688045894,321740
2020-02-14,29529.8688045894,29970.6138755946,29382.9543985302,29529.8688045894,195540
2020-02-17,29529.8688045894,29823.6985431216,28942.2102539388,29015.6674569684,245050
2020-02-18,28721.8377184362,31035.7451723514,28721.8377184362,31035.7451723514,687970
2020-02-19,31586.676047901,32908.9084816752,31035.7451723514,32247.792727995,778880
2020-02-20,32688.5368725864,34488.2429788806,31807.0476569898,34488.2429788806,1162040
2020-02-21,34488.2429788806,35259.545463519,34451.5143773658,34671.8859864546,695560
2020-02-24,33790.3976972718,36287.9490851748,32835.4512786456,35259.545463519,1145220
2020-02-25,34965.7157249868,35626.8324050808,33276.195423237,33276.195423237,759120
2020-02-26,32541.6215401134,34378.0562479224,32321.2499310246,32945.6380096038,580610
2020-02-27,33055.8238141482,33533.2965602544,32798.7226771308,33276.195423237,406130
2020-02-28,32798.7226771308,35259.545463519,32027.4201924924,34671.8859864546,1151440
2020-03-02,34745.3431894842,34892.2585219572,34157.6846388336,34378.0562479224,587390
2020-03-03,34524.9715803954,34892.2585219572,34231.1418418632,34524.9715803954,762450
2020-03-04,34157.6846388336,34524.9715803954,34157.6846388336,34231.1418418632,327040
2020-03-05,34304.5990448928,35553.3752020512,34304.5990448928,35039.1729280164,886400
2020-03-06,35112.630131046,35406.4598695782,34671.8859864546,35149.3587325608,274480
2020-03-09,33055.8238141482,34157.6846388336,32725.2654741012,32725.2654741012,959210
2020-03-10,31586.676047901,33790.3976972718,31256.117707854,32761.994075616,772370
2020-03-11,33349.6535526804,33459.8393572248,31219.3891063392,32688.5368725864,683620
2020-03-12,30852.1021647774,31513.2188448714,30411.358020186,30411.358020186,1129440
2020-03-13,28354.5507768744,30815.3735632626,28354.5507768744,30117.5282816538,606470
2020-03-16,30117.5282816538,30484.8152232156,29382.9543985302,30484.8152232156,429260
2020-03-17,29456.4116015598,31145.9319033096,29382.9543985302,31072.47470028,311860
2020-03-18,31072.47470028,31660.1332509306,30631.7296292748,30631.7296292748,419050
2020-03-19,29750.241340092,30374.6294186712,29750.241340092,30117.5282816538,265330
2020-03-20,29897.1557461512,30337.9008171564,29529.8688045894,30337.9008171564,262160
2020-03-23,29382.9543985302,29382.9543985302,28244.36497233,28244.36497233,511120
2020-03-24,27105.7755461298,28354.5507768744,26811.9458075976,27326.1471552186,386200
2020-03-25,28354.5507768744,28648.3805154066,27840.3494292534,28574.923312377,296130
2020-03-26,28354.5507768744,28354.5507768744,27619.9768937508,27656.7054952656,348010
2020-03-27,27473.0624876916,27619.9768937508,26077.371924474,27105.7755461298,262280
2020-03-30,25342.7980413504,25710.0849829122,25232.612236806,25232.612236806,416950
2020-03-31,25232.612236806,25673.3563813974,23506.3633335414,24240.937216665,512140
2020-04-01,23873.6502751032,25563.170576853,23873.6502751032,25342.7980413504,194510
2020-04-03,25342.7980413504,26811.9458075976,25342.7980413504,26701.7600030532,476740
2020-04-06,27179.2327491594,28538.1947108622,27179.2327491594,28538.1947108622,893590
2020-04-07,29382.9543985302,29382.9543985302,28281.0935738448,29309.4971955006,736370
2020-04-08,28648.3805154066,29750.241340092,28060.7210383422,29750.241340092,520820
2020-04-09,29603.3269340328,30448.0866217008,29603.3269340328,29897.1557461512,1030490
2020-04-10,29970.6138755946,31292.8463093688,29419.683000045,30778.6449617478,661330
2020-04-13,30558.2724262452,30999.0165708366,30154.2568831686,30154.2568831686,394240
2020-04-14,30154.2568831686,30301.1712892278,29309.4971955006,30044.0710786242,627900
2020-04-15,30484.8152232156,32027.4201924924,30484.8152232156,31366.3035123984,653720
2020-04-16,31219.3891063392,31660.1332509306,31072.47470028,31476.4902433566,488500
2020-04-17,31953.9629894628,32688.5368725864,31733.5904539602,32541.6215401134,1097400
2020-04-20,33019.0952126334,33055.8238141482,31586.676047901,32100.877395522,618920
2020-04-21,31256.117707854,31549.9474463862,29970.6138755946,30190.9854846834,1074660
2020-04-22,29456.4116015598,31660.1332509306,29456.4116015598,30852.1021647774,877050
2020-04-23,31549.9474463862,31586.676047901,30852.1021647774,30852.1021647774,406400
2020-04-24,30852.1021647774,31917.234387948,30778.6449617478,31660.1332509306,834020
2020-04-27,32027.4201924924,33863.8549003014,31807.0476569898,33643.4823647988,2876820
2020-04-28,33937.312103331,34084.227435804,32982.3666111186,33680.2118927274,733400
2020-04-29,33680.2118927274,33716.9404942422,33202.7382202074,33202.7382202074,479530
