date,open,high,low,close,volume
2020-01-02,44932.0957668,45733.0247316,44371.446072,45252.4671592,380760
2020-01-03,45332.5602492,46533.9536964,45332.5602492,45733.0247316,586600
2020-01-06,46453.8606064,46453.8606064,45733.0247316,45893.2109116,497990
2020-01-07,46053.396124,46053.396124,45172.3750368,45252.4671592,290780
2020-01-08,45652.9316416,45652.9316416,44531.632252,44611.7243744,237220
2020-01-09,44611.7243744,45092.2819468,44611.7243744,45012.1888568,128140
2020-01-10,45012.1888568,45252.4671592,44611.7243744,44611.7243744,135340
2020-01-13,44611.7243744,45012.1888568,44531.632252,44771.9105544,166780
2020-01-14,44691.8174644,44691.8174644,44211.259892,44451.539162,94530
2020-01-15,44451.539162,44451.539162,43810.7963772,44371.446072,176290
2020-01-16,44451.539162,44932.0957668,44211.259892,44611.7243744,176180
2020-01-17,44852.0036444,45492.7464292,44852.0036444,45012.1888568,128190
2020-01-20,45012.1888568,45172.3750368,44611.7243744,44852.0036444,265570
2020-01-21,45172.3750368,45652.9316416,45092.2819468,45572.8385516,605240
2020-01-22,45572.8385516,46213.582304,45572.8385516,45893.2109116,392620
2020-01-30,44852.0036444,45492.7464292,44371.446072,44371.446072,314560
2020-01-31,44611.7243744,44611.7243744,42449.2177176,42449.2177176,672920
2020-02-03,39686.0133696,41167.7311804,39485.7811284,40847.359788,534210
2020-02-04,41488.1025728,41648.2887528,40046.4317908,40607.0814856,578180
2020-02-05,40687.1745756,41648.2887528,40687.1745756,41247.8242704,186410
2020-02-06,41247.8242704,41888.5670552,41007.545968,41648.2887528,547380
2020-02-07,41888.5670552,42048.7532352,41408.0104504,41488.1025728,345610
2020-02-10,41087.639058,41488.1025728,40607.0814856,41327.9173604,357180
2020-02-11,41327.9173604,42289.0315376,41247.8242704,42289.0315376,427820
2020-02-12,42289.0315376,42529.30984,42289.0315376,42369.1246276,637550
2020-02-13,42289.0315376,43089.9605024,42289.0315376,42689.49602,506100
2020-02-14,42689.49602,43009.8674124,42609.40293,42689.49602,612290
2020-02-17,42689.49602,42769.58911,42208.9384476,42529.30984,371440
2020-02-18,42449.2177176,42449.2177176,42128.8463252,42289.0315376,254370
2020-02-19,42369.1246276,42689.49602,42289.0315376,42369.1246276,337410
2020-02-20,42689.49602,42849.6812324,42529.30984,42609.40293,292760
2020-02-21,42769.58911,42769.58911,42289.0315376,42289.0315376,288010
2020-02-24,41247.8242704,41648.2887528,40286.7100932,40526.9883956,441450
2020-02-25,40366.8031832,40847.359788,40126.5239132,40687.1745756,282590
2020-02-26,40607.0814856,40607.0814856,40126.5239132,40126.5239132,290260
2020-02-27,40126.5239132,41007.545968,40126.5239132,41007.545968,238530
2020-02-28,40206.6170032,41728.3818428,40206.6170032,41327.9173604,290640
2020-03-02,41327.9173604,41327.9173604,40687.1745756,40687.1745756,135280
2020-03-03,40847.359788,41247.8242704,40286.7100932,40286.7100932,241940
2020-03-04,40286.7100932,40526.9883956,40206.6170032,40286.7100932,149030
2020-03-05,40607.0814856,40687.1745756,40286.7100932,40286.7100932,165440
2020-03-06,40206.6170032,40206.6170032,39726.0603984,39806.1525208,167080
2020-03-09,37042.9491404,38444.5738612,37042.9491404,37042.9491404,262470
2020-03-10,34479.9770336,36041.7879344,34479.9770336,35080.6737572,518640
2020-03-11,35881.602722,35881.602722,32637.8417692,32757.9809204,385470
2020-03-12,32037.1450456,32037.1450456,30475.3341448,30475.3341448,462780
2020-03-13,28352.8735492,30435.2880836,28352.8735492,28953.5702728,845640
2020-03-16,29073.709424,30595.473296,29073.709424,29474.1739064,632180
2020-03-17,29634.3591188,31516.541412,29233.8946364,31516.541412,535980
2020-03-18,32757.9809204,33719.0950976,32037.1450456,33719.0950976,880510
2020-03-19,33398.7237052,33478.8167952,32117.2381356,32117.2381356,510280
2020-03-20,32838.0740104,33238.5384928,32117.2381356,32517.702618,381290
2020-03-23,31316.3091708,31716.7736532,30275.1019036,30275.1019036,585750
2020-03-24,30275.1019036,30355.1949936,28352.8735492,30034.8236012,1147220
2020-03-25,30835.752566,32117.2381356,30835.752566,32117.2381356,469810
2020-03-26,32037.1450456,32838.0740104,31236.2160808,31596.634502,418920
2020-03-27,31236.2160808,31716.7736532,30515.3811736,31636.6805632,713230
2020-03-30,29610.90643,31593.4036856,29610.90643,30201.437548,728950
2020-03-31,30370.1608628,31593.4036856,29948.3530596,30791.968666,383160
2020-04-01,30791.968666,32901.007682,30370.1608628,32816.6455408,595360
2020-04-03,33913.3466032,34082.0689504,33154.0921704,33660.2611472,851510
2020-04-06,34419.51558,34630.4194816,33660.2611472,33828.984462,1924660
2020-04-07,32985.3688556,33238.453344,32141.7532492,32774.464954,1194700
2020-04-08,32394.8377376,32732.2843672,32057.3920756,32394.8377376,941540
2020-04-09,32901.007682,34588.2388948,32901.007682,33702.4427016,1852940
2020-04-10,33828.984462,35010.046698,33407.1766588,34377.3349932,1638300
2020-04-13,34503.8767536,34925.6845568,34039.8883636,34039.8883636,1328310
2020-04-14,34039.8883636,34039.8883636,32901.007682,33407.1766588,1122090
2020-04-15,33407.1766588,34124.2505048,33027.5494424,33660.2611472,1210150
2020-04-16,33744.6232884,34925.6845568,33618.0805604,34588.2388948,1953570
2020-04-17,35094.4078716,35136.5884584,34546.058308,34925.6845568,1594470
2020-04-20,34925.6845568,37203.4468876,34925.6845568,37034.7235728,2466850
