date,open,high,low,close,volume
2020-01-02,56860.1713196792,57583.2485726155,56531.4997534433,57451.7803316868,651790
2020-01-03,57780.4518979227,57977.6552232299,56597.2348378217,57057.3746449865,659870
2020-01-06,56991.6405245221,57714.7177774584,56400.0315125145,56400.0315125145,692370
2020-01-07,56531.4997534433,57188.8428859152,55874.1566209714,57123.1087654508,576310
2020-01-08,57188.8428859152,57254.5770063796,55282.5485728779,55939.8917053498,948880
2020-01-09,56597.2348378217,57254.5770063796,56268.5632715858,56662.9689582861,563340
2020-01-10,56860.1713196792,58306.3258255518,56860.1713196792,58174.8575846231,1665860
2020-01-13,58109.1234641587,58766.4665966306,57911.9201388515,58503.529150859,711990
2020-01-14,58437.7950303946,58503.529150859,58109.1234641587,58437.7950303946,435560
2020-01-15,58240.5917050874,59555.2779700313,58174.8575846231,59160.8722833309,1175740
2020-01-16,59358.0746447241,59555.2779700313,58897.9348375593,59095.1381628666,629290
2020-01-17,59160.8722833309,59752.4812953385,58963.6689580237,59621.0120904956,738240
2020-01-20,59818.2154158028,60738.4950301322,59818.2154158028,60475.5585482747,818960
2020-01-21,60738.4950301322,60804.2301145107,59818.2154158028,59818.2154158028,622420
2020-01-22,59818.2154158028,60409.8244278104,59423.8097291025,60015.417777196,702790
2020-01-30,59555.2779700313,59686.74621096,56005.6258258142,57648.983656994,1298290
2020-01-31,57188.8428859152,58043.3893436943,55216.8144524136,55414.0168138067,2087700
2020-02-03,52587.4419225259,55216.8144524136,52324.5044767543,54428.0021150988,1406590
2020-02-04,54559.4713199416,55479.7509342711,54230.7997537057,55216.8144524136,812530
2020-02-05,55414.0168138067,55808.422500507,54296.5338741701,54362.2679946344,648860
2020-02-06,54362.2679946344,55216.8144524136,54296.5338741701,55151.0793680351,586840
2020-02-07,55216.8144524136,55216.8144524136,54099.3305488629,54296.5338741701,753340
2020-02-10,53902.1281874697,54165.0656332413,53244.7850549978,53573.4566212338,555450
2020-02-11,53902.1281874697,54033.5964283985,53573.4566212338,53573.4566212338,405250
2020-02-12,54033.5964283985,55151.0793680351,53704.9248621625,54230.7997537057,622610
2020-02-13,54230.7997537057,54559.4713199416,53836.3940670054,54230.7997537057,384700
2020-02-14,54230.7997537057,54428.0021150988,54033.5964283985,54362.2679946344,297190
2020-02-17,54230.7997537057,54559.4713199416,54033.5964283985,54165.0656332413,343220
2020-02-18,54296.5338741701,55414.0168138067,54165.0656332413,55019.6111271064,659890
2020-02-19,55019.6111271064,56202.8281872073,55019.6111271064,56202.8281872073,692450
2020-02-20,56794.4371992149,56794.4371992149,55676.9542595783,56071.3599462786,439930
2020-02-21,56005.6258258142,56202.8281872073,54888.1428861776,55085.3452475707,682030
2020-02-24,53967.8623079341,54362.2679946344,53376.2532959266,53376.2532959266,1114770
2020-02-25,53244.7850549978,54559.4713199416,53244.7850549978,54559.4713199416,775410
2020-02-26,53902.1281874697,55085.3452475707,53770.6589826269,54559.4713199416,602240
