date,open,high,low,close,volume
2020-01-02,10969.796,11351.354,10922.101,11351.354,1569270
2020-01-03,11351.354,11446.743,11112.88,11160.575,1245410
2020-01-06,11112.88,11160.575,10826.711,10826.711,2064670
2020-01-07,10874.406,10922.101,10683.627,10731.322,1893960
2020-01-08,10683.627,10683.627,10015.9,10254.374,5339280
2020-01-09,10349.764,10588.238,10302.069,10397.459,2226540
2020-01-10,10445.153,10635.932,10302.069,10588.238,1461150
2020-01-13,10588.238,10588.238,10492.848,10492.848,1298370
2020-01-14,10588.238,10588.238,10397.459,10397.459,1438620
2020-01-15,10397.459,10397.459,10302.069,10397.459,1119580
2020-01-16,10492.848,10540.543,10397.459,10492.848,1479520
2020-01-17,10540.543,10540.543,10302.069,10302.069,1629430
2020-01-20,10302.069,10397.459,10158.985,10206.679,1136080
2020-01-21,10397.459,10683.627,10397.459,10397.459,2980510
2020-01-22,10492.848,10635.932,10445.153,10588.238,1844340
2020-01-30,10492.848,10826.711,10492.848,10588.238,3263130
2020-01-31,10588.238,10683.627,10015.9,10015.9,2556250
2020-02-03,9443.563,9729.732,9319.557,9529.414,3735440
2020-02-04,9634.342,9729.732,9062.005,9062.005,3640180
2020-02-05,9157.395,9252.784,9033.388,9128.778,2301300
2020-02-06,9157.395,9586.648,9119.239,9586.648,2202420
2020-02-07,9586.648,9634.342,9434.024,9453.102,1520380
2020-02-10,9252.784,9348.174,9205.089,9233.706,1441160
2020-02-11,9271.862,9500.797,9252.784,9405.407,1775070
2020-02-12,9481.719,10063.595,9443.563,10063.595,3050250
2020-02-13,10206.679,10445.153,9872.816,10063.595,3076810
2020-02-14,10063.595,10063.595,9825.121,9920.511,1156570
2020-02-17,9872.816,9968.206,9777.427,9872.816,2084770
2020-02-18,9920.511,9968.206,9825.121,9872.816,1786200
2020-02-19,9920.511,10111.29,9872.816,9968.206,1982300
2020-02-20,10015.9,10445.153,10015.9,10397.459,4728350
2020-02-21,10397.459,10445.153,10158.985,10254.374,1762570
2020-02-24,9920.511,9968.206,9538.953,9538.953,3312940
2020-02-25,9176.473,9519.875,9176.473,9491.258,3369430
2020-02-26,9252.784,9920.511,9252.784,9729.732,2278130
2020-02-27,9729.732,9872.816,9538.953,9634.342,1045640
2020-02-28,9443.563,9519.875,9300.479,9395.869,2284820
2020-03-02,9395.869,9529.414,9329.096,9519.875,1786920
2020-03-03,9729.732,9777.427,9472.18,9472.18,2539230
2020-03-04,9491.258,9634.342,9443.563,9500.797,2680650
2020-03-05,9682.037,9920.511,9634.342,9729.732,3579000
