date,open,high,low,close,volume
2020-01-02,16371.7714718976,16432.4079044448,16280.8172896186,16280.8172896186,59250
2020-01-03,16280.8172896186,16311.1359724339,15492.547398839,15492.547398839,215970
2020-01-06,15492.547398839,15917.0005605024,15492.547398839,15583.5015811181,161620
2020-01-07,15765.4099456762,15765.4099456762,15340.9567840128,15522.8651485709,176140
2020-01-08,15644.1380136653,15735.0921959443,15159.0484194547,15250.0026017338,243200
2020-01-09,15462.2287160237,15522.8651485709,15340.9567840128,15462.2287160237,98120
2020-01-10,15462.2287160237,15765.4099456762,15462.2287160237,15492.547398839,158150
2020-01-13,15583.5015811181,15583.5015811181,15159.0484194547,15219.6839189184,94190
2020-01-14,15219.6839189184,15431.9109662918,15128.7297366394,15310.6381011974,116570
2020-01-15,15310.6381011974,15765.4099456762,15310.6381011974,15644.1380136653,129810
2020-01-16,15765.4099456762,16007.9547427814,15522.8651485709,15704.773513129,142100
2020-01-17,15704.773513129,15886.681877687,15492.547398839,15704.773513129,110390
2020-01-20,15704.773513129,16220.1817901549,15644.1380136653,16038.2724925133,150950
2020-01-21,16129.2266747923,16250.4995398867,15765.4099456762,15917.0005605024,273930
2020-01-22,16250.4995398867,16250.4995398867,15917.0005605024,15977.6369930496,134700
2020-01-30,15856.3641279552,16371.7714718976,15765.4099456762,16038.2724925133,209600
2020-01-31,15977.6369930496,15977.6369930496,15462.2287160237,15522.8651485709,294030
2020-02-03,14492.0495276026,15462.2287160237,14461.7317778707,14977.1391218131,210550
2020-02-04,15280.3203514656,15704.773513129,15159.0484194547,15340.9567840128,164790
2020-02-05,15765.4099456762,15765.4099456762,15371.2745337446,15583.5015811181,231860
2020-02-06,15583.5015811181,16250.4995398867,15583.5015811181,16250.4995398867,352030
2020-02-07,16371.7714718976,16371.7714718976,16068.5911753286,16341.4537221658,223780
2020-02-10,16250.4995398867,16341.4537221658,16038.2724925133,16220.1817901549,116350
2020-02-11,16311.1359724339,16311.1359724339,15947.3183102342,15947.3183102342,97600
2020-02-12,15886.681877687,16189.8631073395,15765.4099456762,16129.2266747923,171840
2020-02-13,16189.8631073395,16978.1339312026,16068.5911753286,16978.1339312026,303830
2020-02-14,16735.5891340973,17160.0422957606,16735.5891340973,16947.8152483872,294310
2020-02-17,16947.8152483872,17554.1777076922,16705.2704512819,17463.2235254131,566900
2020-02-18,17463.2235254131,17584.495457424,17190.3600454925,17220.6787283078,288880
2020-02-19,17220.6787283078,17463.2235254131,17160.0422957606,17281.315160855,291400
2020-02-20,17281.315160855,17523.8599579603,16796.2255666445,17523.8599579603,513700
2020-02-21,17523.8599579603,17523.8599579603,16978.1339312026,16978.1339312026,215620
