date,open,high,low,close,volume
2020-01-02,37301.885,37941.346,37301.885,37834.77,12670
2020-01-03,37834.77,38314.366,37621.616,37941.346,64100
2020-01-06,37941.346,37941.346,37248.598,37248.598,50840
2020-01-07,37248.598,37248.598,36502.559,36982.155,45440
2020-01-08,36502.559,36555.848,35703.234,35703.234,120830
2020-01-09,36395.983,36395.983,35703.234,36236.117,43680
2020-01-10,36449.271,36449.271,35436.791,36182.828,67680
2020-01-13,36182.828,36182.828,35543.368,36076.252,32130
2020-01-14,36076.252,36076.252,35490.08,35969.675,46430
2020-01-15,35969.675,36182.828,35436.791,36182.828,97680
2020-01-16,36236.117,36236.117,35969.675,35969.675,36830
2020-01-17,35969.675,35969.675,35596.656,35863.098,67380
2020-01-20,36502.559,36502.559,35703.234,36236.117,59620
2020-01-21,36342.694,36342.694,36022.963,36342.694,65750
2020-01-22,36342.694,36769.002,36342.694,36555.848,11690
2020-01-30,36342.694,36342.694,35703.234,35703.234,37640
2020-01-31,35543.368,36395.983,35170.349,35223.638,43470
2020-02-03,33571.697,37301.885,33465.12,37301.885,97420
2020-02-04,37301.885,37301.885,35649.945,36182.828,26870
2020-02-05,36236.117,36236.117,35436.791,36236.117,16180
2020-02-06,35703.234,36502.559,35703.234,36236.117,28550
2020-02-07,36236.117,36289.406,35756.521,35756.521,18710
2020-02-10,36236.117,36236.117,35596.656,35649.945,9480
2020-02-11,35649.945,36236.117,35649.945,36236.117,21860
2020-02-12,36182.828,36662.424,36182.828,36555.848,26530
2020-02-13,36236.117,36555.848,36236.117,36449.271,39690
2020-02-14,36395.983,36449.271,36236.117,36289.406,8200
2020-02-17,36236.117,36342.694,35756.521,35863.098,3340
2020-02-18,35596.656,35916.387,35596.656,35863.098,23220
2020-02-19,35863.098,35863.098,35383.503,35383.503,64790
2020-02-20,35809.81,35809.81,35223.638,35276.926,15090
2020-02-21,35276.926,35276.926,35010.484,35117.06,82380
2020-02-24,35063.773,35117.06,34104.581,34104.581,38850
2020-02-26,33038.813,35063.773,33038.813,34104.581,11540
2020-02-27,34637.465,34637.465,33838.139,34104.581,11420
2020-02-28,33571.697,34317.734,33571.697,33571.697,29630
2020-03-02,33571.697,34051.292,33305.255,34051.292,9610
2020-03-03,34211.158,34211.158,33571.697,33838.139,9360
2020-03-04,34104.581,34104.581,33678.274,33678.274,13310
2020-03-05,33678.274,33731.562,33358.544,33571.697,23440
2020-03-06,33571.697,33571.697,32825.659,32878.948,66570
2020-03-09,31333.584,31333.584,30587.545,30587.545,83930
2020-03-10,28509.299,30907.276,28509.299,30907.276,61610
2020-03-11,30907.276,31333.584,28775.741,28775.741,181730
2020-03-12,28242.856,28242.856,26804.07,26804.07,143110
2020-03-13,24938.976,26111.32,24938.976,25685.013,232950
2020-03-16,25685.013,25685.013,23899.851,23899.851,243650
2020-03-17,22274.555,23446.899,22274.555,23446.899,155940
2020-03-18,24246.226,24246.226,22807.438,23020.592,183370
2020-03-19,21901.536,21954.824,21421.94,21421.94,255180
2020-03-20,21315.363,21315.363,19929.865,19929.865,498250
2020-03-23,18544.366,18597.654,18544.366,18544.366,298470
2020-03-24,17345.377,18917.384,17265.444,18118.059,930990
2020-03-25,18650.943,19370.336,18650.943,19370.336,156120
2020-03-26,20249.595,20595.97,19290.404,19290.404,265800
2020-03-27,19343.692,19343.692,18277.924,18650.943,285270
2020-03-30,17345.377,17638.463,17345.377,17531.886,281750
2020-03-31,17531.886,18650.943,17531.886,18331.212,284100
2020-04-01,18118.059,19610.134,18118.059,19610.134,151300
2020-04-03,20622.614,20968.989,20249.595,20968.989,307780
2020-04-06,22381.131,22434.42,21848.248,22434.42,171270
2020-04-07,23979.784,23979.784,22381.131,23446.899,349090
2020-04-08,23180.458,23180.458,22274.555,22327.843,226530
2020-04-09,22274.555,23180.458,22008.113,22860.727,233240
2020-04-10,22914.016,23180.458,22114.69,22807.438,114180
2020-04-13,22807.438,23446.899,22381.131,23127.169,243910
2020-04-14,23127.169,23233.746,22381.131,22834.083,172560
2020-04-15,23351.529,24088.084,23133.29,23788.007,279040
2020-04-16,23788.007,23788.007,23296.969,23651.607,197970
2020-04-17,23651.607,24006.245,23651.607,23897.126,274710
2020-04-20,23897.126,25370.237,23897.126,24961.038,330070
2020-04-21,24551.841,24906.479,23242.41,24224.484,397890
2020-04-22,22915.051,23733.447,22915.051,23678.887,347560
2020-04-23,23733.447,24551.841,23078.731,23187.85,274780
2020-04-24,23733.447,23733.447,22369.456,23187.85,453090
2020-04-27,22915.051,23951.686,22915.051,23788.007,94850
2020-04-28,24006.245,24006.245,22915.051,23678.887,146400
2020-04-29,23678.887,23842.566,22969.611,23842.566,124990
2020-05-04,23842.566,23842.566,23296.969,23842.566,144050
2020-05-05,23842.566,24006.245,23187.85,24006.245,123090
2020-05-06,24006.245,25370.237,23842.566,25097.438,475870
2020-05-07,25206.558,25370.237,24879.199,25370.237,300970
2020-05-08,25370.237,25643.034,25097.438,25643.034,263920
2020-05-11,25479.355,25915.833,25370.237,25915.833,281960
2020-05-12,25915.833,26406.869,25479.355,26406.869,295060
2020-05-13,26134.071,26679.667,26024.952,26079.512,162920
2020-05-14,25806.713,25915.833,25097.438,25397.517,257890
2020-05-15,25424.795,25533.915,24388.163,24688.241,332140
2020-05-18,24551.841,25643.034,24551.841,25643.034,99580
2020-05-19,25915.833,25915.833,25179.277,25588.474,221910
2020-05-20,25124.717,25479.355,25124.717,25288.397,120250
2020-05-21,25288.397,25588.474,25261.117,25342.957,73210
2020-05-22,25179.277,25533.915,25179.277,25261.117,113660
2020-05-25,25370.237,25806.713,25042.879,25588.474,226010
2020-05-26,25697.594,26434.15,25643.034,26434.15,266740
2020-05-27,26897.906,26897.906,26079.512,26188.631,200100
2020-05-28,25097.438,26079.512,25097.438,25643.034,98380
