date,open,high,low,close,volume
2020-01-02,11149.2070767,11186.2479729,11075.1262622,11149.2070767,1184670
2020-01-03,11334.4096019,11556.6530233,11260.3287874,11260.3287874,4776940
2020-01-06,11667.774734,11852.9772592,11593.6939195,11741.8565264,6008080
2020-01-07,11630.7348157,11704.8156302,11519.613105,11593.6939195,1697580
2020-01-08,11852.9772592,12001.1398661,11556.6530233,11593.6939195,4315660
2020-01-09,11297.3696836,11408.4913943,11223.2878912,11260.3287874,3150280
2020-01-10,11297.3696836,11334.4096019,11075.1262622,11223.2878912,2240000
2020-01-13,11149.2070767,11149.2070767,11038.085366,11075.1262622,2762860
2020-01-14,11038.085366,11038.085366,10815.8419446,10889.923737,3108720
2020-01-15,11038.085366,11038.085366,10778.8020263,10815.8419446,1379250
2020-01-16,10778.8020263,11075.1262622,10667.6803156,10889.923737,3924160
2020-01-17,10964.0045515,11001.0444698,10852.8828408,10852.8828408,1366970
2020-01-20,10889.923737,10889.923737,10667.6803156,10741.7611301,1878050
2020-01-21,10815.8419446,11112.1661805,10667.6803156,10964.0045515,2648330
2020-01-22,10964.0045515,11186.2479729,10926.9636553,11075.1262622,2436380
2020-01-30,10778.8020263,10778.8020263,10445.4368942,10556.5586049,4054680
2020-01-31,10519.5177087,10593.5985232,9852.7874445,9852.7874445,3851300
2020-02-03,9186.0581582,9445.3414979,9186.0581582,9260.1389727,6494050
2020-02-04,9408.3006017,9445.3414979,9000.8546551,9037.8955513,3087330
2020-02-05,9149.017262,9519.4223124,9000.8546551,9260.1389727,4838490
2020-02-06,9371.2606834,9889.8283407,9371.2606834,9889.8283407,4844650
2020-02-07,9926.8692369,10037.9909476,9815.7475262,9815.7475262,3196760
2020-02-10,9556.4632086,9889.8283407,9482.3823941,9630.5440231,2609730
2020-02-11,9667.5849193,10000.9500514,9630.5440231,9889.8283407,3431520
2020-02-12,9889.8283407,10149.1126583,9889.8283407,10037.9909476,3214200
2020-02-13,10075.0308659,10149.1126583,9963.9091552,10000.9500514,2123630
2020-02-14,9926.8692369,10037.9909476,9815.7475262,9889.8283407,2601780
2020-02-17,9889.8283407,10075.0308659,9889.8283407,9963.9091552,2732630
2020-02-18,10000.9500514,10037.9909476,9889.8283407,9889.8283407,1791080
2020-02-19,9889.8283407,9963.9091552,9815.7475262,9852.7874445,1981480
2020-02-20,10075.0308659,10112.0717621,9852.7874445,9889.8283407,3491190
2020-02-21,9963.9091552,10000.9500514,9778.70663,9778.70663,2973540
2020-02-24,9334.2197872,9408.3006017,9111.9763658,9111.9763658,6759290
2020-02-25,8963.8147368,9371.2606834,8963.8147368,9297.1798689,2792780
2020-02-26,9037.8955513,9260.1389727,9000.8546551,9037.8955513,1986760
