date,open,high,low,close,volume
2020-01-02,9220.747,9220.747,9001.205,9165.862,312280
2020-01-03,9220.747,9220.747,8973.762,8973.762,251880
2020-01-06,9056.091,9138.419,9001.205,9110.976,250190
2020-01-07,9056.091,9083.533,8918.877,9001.205,269130
2020-01-08,9001.205,9028.648,8699.335,8809.106,425930
2020-01-09,8836.549,8836.549,8562.122,8726.778,293180
2020-01-10,8726.778,8726.778,8424.908,8589.564,703630
2020-01-13,8452.351,8534.679,8424.908,8507.236,205610
2020-01-14,8534.679,8534.679,8424.908,8507.236,98780
2020-01-15,8534.679,8534.679,8452.351,8534.679,166820
2020-01-16,8507.236,8589.564,8452.351,8507.236,117800
2020-01-17,8507.236,8507.236,8370.023,8397.465,202040
2020-01-20,8424.908,8424.908,8150.481,8232.809,428900
2020-01-21,8232.809,8232.809,8013.268,8177.924,551390
2020-01-22,8205.367,8205.367,8068.153,8123.039,513050
2020-01-30,8068.153,8068.153,7683.956,7848.612,665250
2020-01-31,7848.612,7848.612,7491.857,7574.185,354050
2020-02-03,7217.43,7244.873,7052.774,7217.43,974750
2020-02-04,7299.758,7354.643,6805.789,6970.445,1247750
2020-02-05,6970.445,7272.315,6860.674,7244.873,967080
2020-02-06,7244.873,7491.857,7135.102,7464.414,859160
2020-02-07,7464.414,7601.628,7436.972,7491.857,553200
2020-02-10,7382.086,7409.529,7135.102,7354.643,483230
2020-02-11,7354.643,7436.972,7299.758,7354.643,305320
2020-02-12,7327.201,7436.972,7327.201,7436.972,456280
2020-02-13,7436.972,7546.742,7436.972,7436.972,307530
2020-02-14,7436.972,7491.857,7409.529,7409.529,199030
2020-02-17,7436.972,7519.3,7436.972,7491.857,287320
2020-02-18,7491.857,7519.3,7464.414,7464.414,158290
2020-02-19,7519.3,7519.3,7354.643,7409.529,477010
2020-02-20,7519.3,7519.3,7354.643,7491.857,458970
2020-02-21,7464.414,7464.414,7244.873,7244.873,614960
2020-02-24,7107.659,7107.659,6888.117,7025.331,632910
2020-02-25,6888.117,6943.003,6668.575,6860.674,1326560
2020-02-26,6750.904,6778.346,6613.69,6750.904,828090
2020-02-27,6723.461,6805.789,6641.133,6805.789,457370
2020-02-28,6668.575,6805.789,6586.247,6805.789,1094340
2020-03-02,6750.904,6805.789,6668.575,6723.461,381570
2020-03-03,6833.232,6833.232,6641.133,6668.575,908470
2020-03-04,6668.575,6668.575,6531.362,6586.247,689760
2020-03-05,6586.247,6888.117,6586.247,6888.117,845310
2020-03-06,6778.346,6860.674,6668.575,6805.789,880560
2020-03-09,6366.706,6531.362,6339.263,6339.263,795780
2020-03-10,5955.066,6202.05,5927.623,6037.394,955600
2020-03-11,6174.607,6174.607,5625.753,5735.524,1624800
2020-03-12,5378.769,5483.051,5334.86,5334.86,3548290
2020-03-13,5054.945,5285.464,4967.128,5049.457,1494760
2020-03-16,4939.686,4994.571,4753.075,4994.571,838330
2020-03-17,4720.144,4879.312,4643.304,4879.312,1683950
2020-03-18,4857.357,4983.594,4857.357,4873.823,893740
2020-03-19,4775.029,4829.915,4654.282,4665.258,1359280
2020-03-20,4775.029,4796.984,4500.602,4637.816,1370200
2020-03-23,4500.602,4517.068,4313.992,4313.992,855890
2020-03-24,4099.939,4198.733,4017.611,4171.29,1719170
2020-03-25,4226.175,4462.183,4226.175,4462.183,1405940
2020-03-26,4462.183,4659.77,4346.924,4396.32,925460
2020-03-27,4396.32,4500.602,4363.389,4396.32,1489090
2020-03-30,4226.175,4226.175,4088.962,4209.71,927560
2020-03-31,4281.061,4335.946,4061.519,4308.503,723340
2020-04-01,4308.503,4582.93,4281.061,4440.228,566900
2020-04-03,4610.373,4725.632,4582.93,4725.632,1583200
2020-04-06,4912.243,5054.945,4829.915,5054.945,1736950
2020-04-07,5159.228,5159.228,4775.029,4994.571,1099570
2020-04-08,4720.144,4994.571,4720.144,4945.174,1056660
2020-04-09,4967.128,5049.457,4829.915,4939.686,3937020
2020-04-10,4939.686,5104.342,4939.686,5038.479,1111920
2020-04-13,5104.342,5186.67,5038.479,5038.479,1756360
2020-04-14,5049.457,5054.945,4802.472,4989.083,2095910
2020-04-15,4967.128,4989.083,4796.984,4950.663,2338090
2020-04-16,4884.8,5296.441,4846.381,5296.441,4075440
2020-04-17,5653.196,5653.196,5543.425,5653.196,2854200
2020-04-20,6037.394,6037.394,5762.967,6037.394,5240520
2020-04-21,5653.196,6009.951,5625.753,5625.753,5306990
2020-04-22,5236.067,5680.639,5236.067,5625.753,2594610
2020-04-23,5762.967,5872.738,5477.562,5543.425,2428720
2020-04-24,5598.311,5735.524,5428.166,5625.753,1654860
2020-04-27,5708.081,5708.081,5466.586,5488.54,1897500
2020-04-28,5433.655,5483.051,5285.464,5301.929,1693170
2020-04-29,5323.884,5395.234,5301.929,5395.234,1606990
2020-05-04,5433.655,5461.097,5290.952,5296.441,1580610
2020-05-05,5323.884,5378.769,5263.51,5334.86,982870
2020-05-06,5378.769,5472.074,5378.769,5472.074,1730360
2020-05-07,5444.631,5762.967,5444.631,5543.425,1499770
2020-05-08,5598.311,5708.081,5543.425,5570.868,2020850
2020-05-11,5653.196,5817.852,5570.868,5762.967,2568490
2020-05-12,5762.967,5872.738,5653.196,5845.295,1935580
2020-05-13,5872.738,6064.836,5762.967,6037.394,2315730
2020-05-14,5955.066,6147.164,5927.623,5982.508,2217400
2020-05-15,6064.836,6174.607,5872.738,5927.623,2053830
2020-05-18,6037.394,6037.394,5872.738,5955.066,1479810
2020-05-19,6092.279,6119.722,5955.066,5982.508,2303360
2020-05-20,5927.623,5982.508,5872.738,5900.18,1348880
2020-05-21,5955.066,5982.508,5900.18,5872.738,1526030
2020-05-22,5872.738,5927.623,5762.967,5762.967,2211380
2020-05-25,5817.852,5872.738,5762.967,5817.852,885940
2020-05-26,5927.623,6119.722,5845.295,6119.722,2624410
2020-05-27,6147.164,6284.378,6037.394,6037.394,2807430
2020-05-28,6037.394,6092.279,5982.508,6009.951,1088140
2020-05-29,5982.508,6009.951,5900.18,5955.066,1472560
2020-06-01,5982.508,6037.394,5955.066,6009.951,1139030
2020-06-02,6037.394,6339.263,5955.066,6147.164,2469950
2020-06-03,6202.05,6421.591,6147.164,6421.591,2860990
2020-06-04,6531.362,6586.247,6284.378,6284.378,2218980
2020-06-05,6256.935,6449.034,6256.935,6339.263,1410100
2020-06-08,6394.149,6531.362,6394.149,6449.034,2451190
2020-06-09,6449.034,6449.034,6366.706,6339.263,1635860
2020-06-10,6311.82,6503.919,6256.935,6449.034,1610280
2020-06-11,6421.591,6476.477,5982.508,5982.508,2413830
2020-06-12,5598.311,5927.623,5598.311,5900.18,1962440
2020-06-15,6037.394,6037.394,5625.753,5680.639,1285080
2020-06-16,5927.623,5927.623,5708.081,5872.738,795470
2020-06-17,5872.738,5900.18,5790.409,5900.18,618440
2020-06-18,5762.967,5900.18,5762.967,5845.295,405450
2020-06-19,5900.18,5927.623,5845.295,5900.18,647630
2020-06-22,5927.623,6119.722,5927.623,6119.722,842550
2020-06-23,6064.836,6202.05,5955.066,6009.951,893230
2020-06-24,6009.951,6119.722,5955.066,5982.508,620710
2020-06-25,5872.738,5982.508,5845.295,5955.066,1415960
2020-06-26,6009.951,6009.951,5872.738,5900.18,808040
2020-06-29,5872.738,5872.738,5598.311,5817.852,1103150
2020-06-30,5817.852,5872.738,5570.868,5817.852,1034720
2020-07-01,5817.852,5817.852,5680.639,5817.852,580760
2020-07-02,5817.852,5817.852,5680.639,5762.967,864080
2020-07-03,5790.409,5817.852,5625.753,5680.639,1765780
2020-07-06,5762.967,5762.967,5680.639,5762.967,619700
2020-07-07,5790.409,5817.852,5708.081,5735.524,1242910
2020-07-08,5680.639,5735.524,5653.196,5680.639,1019390
2020-07-09,5708.081,5845.295,5708.081,5735.524,1782800
2020-07-10,5735.524,5817.852,5680.639,5735.524,1118690
2020-07-13,5790.409,5817.852,5708.081,5708.081,941440
2020-07-14,5708.081,5790.409,5680.639,5762.967,1012660
