date,open,high,low,close,volume
2020-01-02,18710.8110501581,19226.2599768557,18607.7212648186,19045.8530669549,941730
2020-01-03,19045.8530669549,19097.3975307379,18813.9008354976,18813.9008354976,705830
2020-01-06,18710.8110501581,19071.6248699597,18607.7212648186,18788.1281747194,494170
2020-01-07,18813.9008354976,18994.3077453984,18762.3555139411,18891.2179600589,434670
2020-01-08,18762.3555139411,18865.4452992806,18349.996372583,18401.5408363661,1276850
2020-01-09,18556.1759432621,18659.2657286016,18401.5408363661,18401.5408363661,703580
2020-01-10,18401.5408363661,18581.9486040403,18375.7690333613,18401.5408363661,444310
2020-01-13,18401.5408363661,18556.1759432621,18375.7690333613,18427.3134971443,297520
2020-01-14,18427.3134971443,18556.1759432621,18427.3134971443,18453.0861579226,304650
2020-01-15,18453.0861579226,18530.4032824838,18272.6792480218,18324.2237118048,504130
2020-01-16,18427.3134971443,18813.9008354976,18375.7690333613,18762.3555139411,962640
2020-01-17,18685.0383893798,19045.8530669549,18685.0383893798,18813.9008354976,737100
2020-01-20,18736.5828531629,19045.8530669549,18736.5828531629,18942.7632816154,680270
2020-01-21,19071.6248699597,19329.3497621952,19020.0804061766,19226.2599768557,941950
2020-01-22,19329.3497621952,19329.3497621952,18865.4452992806,19071.6248699597,973340
2020-01-30,18710.8110501581,18916.9906208371,18453.0861579226,18453.0861579226,966270
2020-01-31,18298.4510510266,18427.3134971443,17473.7327683104,17473.7327683104,1571820
2020-02-03,17061.3727691789,17447.9601075322,16417.0613963635,17267.5523398579,1682120
2020-02-04,17370.6421251974,17628.367017433,17164.4625545184,17216.0078760749,797830
2020-02-05,17319.0976614144,17576.8225536499,17164.4625545184,17164.4625545184,784800
2020-02-06,17344.8703221926,17834.546588112,17216.0078760749,17525.2772320934,936170
2020-02-07,17525.2772320934,17576.8225536499,17396.4147859757,17473.7327683104,615350
2020-02-10,17267.5523398579,17473.7327683104,17267.5523398579,17293.3250006362,530950
2020-02-11,17422.1874467539,17731.4568027725,17422.1874467539,17654.1396782112,751090
2020-02-12,17783.002124329,18040.7270165645,17783.002124329,17911.8645704467,784950
2020-02-13,17783.002124329,17937.6363734515,17731.4568027725,17937.6363734515,653670
2020-02-14,17911.8645704467,18118.0441411258,17886.0919096685,18118.0441411258,419140
2020-02-17,18143.816801904,18375.7690333613,17937.6363734515,18040.7270165645,801580
2020-02-18,18040.7270165645,18246.9065872435,17989.181695008,18092.2714803475,555770
2020-02-19,18143.816801904,18143.816801904,18040.7270165645,18118.0441411258,321530
2020-02-20,18298.4510510266,18401.5408363661,18092.2714803475,18375.7690333613,821320
2020-02-21,18195.361265687,18401.5408363661,18040.7270165645,18040.7270165645,517740
2020-02-24,17654.1396782112,17834.546588112,17344.8703221926,17344.8703221926,1031360
2020-02-25,17061.3727691789,17731.4568027725,17061.3727691789,17628.367017433,641090
2020-02-26,17370.6421251974,17705.6841419942,17370.6421251974,17576.8225536499,583350
2020-02-27,17473.7327683104,17834.546588112,17422.1874467539,17834.546588112,619200
2020-02-28,17473.7327683104,17679.9123389894,17447.9601075322,17576.8225536499,648880
2020-03-02,17846.8453436947,17846.8453436947,17549.3978212262,17549.3978212262,633770
2020-03-03,17738.682686231,17765.7231361536,17522.3565135302,17522.3565135302,523910
2020-03-04,17549.3978212262,17711.641378535,17387.153406144,17522.3565135302,382980
2020-03-05,17765.7231361536,17765.7231361536,17414.1938560666,17414.1938560666,436970
2020-03-06,17360.1129562214,17522.3565135302,17116.7471913715,17306.0311986029,536990
2020-03-09,16494.811696512,16927.4623263667,16116.2419665024,16170.3228663475,2151310
2020-03-10,15981.0388591162,16467.770388816,15683.5913366477,16386.6481812749,601060
2020-03-11,16386.6481812749,16630.0148038982,15845.8348939565,16143.282416425,1195030
2020-03-12,15467.2660217203,15683.5913366477,15061.6558417882,15142.7771915558,963310
2020-03-13,14196.3537243053,15521.3469215654,14196.3537243053,15250.9398490195,1340020
2020-03-16,14980.533634247,15413.1842641018,14980.533634247,15169.8184992518,892480
2020-03-17,14980.533634247,16224.4046239661,14980.533634247,16170.3228663475,1234080
2020-03-18,16765.2179112845,16765.2179112845,16224.4046239661,16386.6481812749,567680
2020-03-19,16224.4046239661,16305.5268315072,15953.9975514202,16116.2419665024,568630
2020-03-20,16116.2419665024,16224.4046239661,15981.0388591162,16116.2419665024,409020
2020-03-23,15683.5913366477,15710.6317865702,15007.5740841696,15007.5740841696,1248330
2020-03-24,15359.1033642566,15467.2660217203,14980.533634247,15250.9398490195,463230
2020-03-25,15575.428679184,15953.9975514202,15386.1438141792,15791.7539941114,358100
2020-03-26,15467.2660217203,15737.6722364928,15332.0620565606,15332.0620565606,336770
2020-03-27,15305.0216066381,15332.0620565606,15115.7367416333,15142.7771915558,392970
2020-03-30,14710.1265617011,15115.7367416333,14331.557689465,14818.2892191648,597290
2020-03-31,14818.2892191648,15250.9398490195,14115.2323745376,14764.2083193197,509950
2020-04-01,15034.6145340922,15386.1438141792,14872.3709767834,15305.0216066381,365330
2020-04-03,15494.3064716429,15737.6722364928,15440.2247140243,15602.4691291066,397310
2020-04-06,15845.8348939565,16359.6077313523,15737.6722364928,16332.5672814298,572640
2020-04-07,16467.770388816,16467.770388816,15737.6722364928,16224.4046239661,467970
2020-04-08,15764.7126864154,16197.3641740435,15737.6722364928,16116.2419665024,326710
2020-04-09,16143.282416425,16440.7299388934,16089.2015165798,16116.2419665024,629400
2020-04-10,16143.282416425,16819.299668903,16116.2419665024,16413.6894889709,1022970
2020-04-13,16413.6894889709,16711.1370114394,16170.3228663475,16440.7299388934,586150
2020-04-14,16440.7299388934,16548.8925963571,16170.3228663475,16467.770388816,589070
2020-04-15,16494.811696512,16954.5027762893,16467.770388816,16765.2179112845,1219270
2020-04-16,16630.0148038982,16765.2179112845,16575.9330462797,16657.0552538208,406410
2020-04-17,16657.0552538208,16981.5432262118,16657.0552538208,16765.2179112845,617040
2020-04-20,16765.2179112845,16927.4623263667,16575.9330462797,16684.0957037434,384660
2020-04-21,16548.8925963571,16657.0552538208,15845.8348939565,15845.8348939565,1202790
2020-04-22,15683.5913366477,16197.3641740435,15629.5095790291,15926.9571014976,752290
2020-04-23,16224.4046239661,16224.4046239661,15953.9975514202,15953.9975514202,811490
2020-04-24,15899.916651575,16575.9330462797,15899.916651575,16548.8925963571,914120
2020-04-27,16684.0957037434,16819.299668903,16386.6481812749,16494.811696512,440480
2020-04-28,16494.811696512,16494.811696512,16197.3641740435,16413.6894889709,357440
2020-04-29,16413.6894889709,16467.770388816,16224.4046239661,16224.4046239661,547650
2020-05-04,15981.0388591162,16224.4046239661,15981.0388591162,16008.0793090387,643730
2020-05-05,16008.0793090387,16224.4046239661,16008.0793090387,16224.4046239661,226730
2020-05-06,16224.4046239661,16440.7299388934,16224.4046239661,16440.7299388934,190640
2020-05-07,16494.811696512,16602.9743539757,16386.6481812749,16548.8925963571,370940
2020-05-08,16684.0957037434,16981.5432262118,16467.770388816,16548.8925963571,853130
2020-05-11,16711.1370114394,16738.1774613619,16494.811696512,16602.9743539757,349490
2020-05-12,16602.9743539757,17008.5836761344,16467.770388816,16927.4623263667,924900
2020-05-13,16927.4623263667,17306.0311986029,16711.1370114394,17306.0311986029,1001410
2020-05-14,17089.7058836755,17360.1129562214,17089.7058836755,17278.9907486803,460710
2020-05-15,17278.9907486803,17278.9907486803,16711.1370114394,16981.5432262118,678800
2020-05-18,16792.258361207,16954.5027762893,16684.0957037434,16954.5027762893,495250
2020-05-19,17035.6249838304,17170.8280912166,16927.4623263667,17008.5836761344,1133970
2020-05-20,17008.5836761344,17035.6249838304,16900.4210186707,16900.4210186707,359850
2020-05-21,16981.5432262118,17089.7058836755,16873.3805687482,17197.8685411392,424310
2020-05-22,17089.7058836755,17089.7058836755,16873.3805687482,16900.4210186707,372670
2020-05-25,16873.3805687482,16927.4623263667,16738.1774613619,16873.3805687482,415190
2020-05-26,16873.3805687482,17576.4382711488,16873.3805687482,17576.4382711488,1489950
2020-05-27,17576.4382711488,17630.5200287674,17062.665433753,17062.665433753,959990
2020-05-28,17197.8685411392,17224.9098488352,16981.5432262118,17008.5836761344,486440
2020-05-29,17008.5836761344,17008.5836761344,16846.3401188256,16900.4210186707,477830
2020-06-01,16927.4623263667,17197.8685411392,16927.4623263667,17143.7876412941,454600
2020-06-02,17197.8685411392,17306.0311986029,17062.665433753,17116.7471913715,432350
2020-06-03,17116.7471913715,17197.8685411392,17089.7058836755,17143.7876412941,517360
2020-06-04,17143.7876412941,17360.1129562214,17143.7876412941,17306.0311986029,1061670
2020-06-05,17306.0311986029,17306.0311986029,17224.9098488352,17306.0311986029,578070
2020-06-08,17414.1938560666,17630.5200287674,17306.0311986029,17387.153406144,1386640
2020-06-09,17576.4382711488,17576.4382711488,17251.9502987578,17278.9907486803,585770
2020-06-10,17278.9907486803,17278.9907486803,17116.7471913715,17197.8685411392,437030
2020-06-11,17278.9907486803,17306.0311986029,16602.9743539757,16711.1370114394,1263200
2020-06-12,15953.9975514202,16711.1370114394,15953.9975514202,16657.0552538208,836600
2020-06-15,16657.0552538208,16684.0957037434,16359.6077313523,16359.6077313523,482990
2020-06-16,16494.811696512,16602.9743539757,16440.7299388934,16602.9743539757,340070
