date,open,high,low,close,volume
2020-01-02,89539.132,89539.132,87968.27,87968.27,28600
2020-01-03,87968.27,89146.417,87968.27,88203.9,17590
2020-01-06,87575.555,88164.628,87379.197,87889.727,35850
2020-01-07,87418.468,88321.714,87418.468,87968.27,15580
2020-01-08,88164.628,88164.628,87418.468,87654.098,30610
2020-01-09,87182.839,89499.861,86790.123,89146.417,54030
2020-01-10,89146.417,92091.783,89146.417,91699.068,55770
2020-01-13,91699.068,92405.955,91699.068,91856.153,22590
2020-01-14,91109.994,91856.153,91109.994,91502.709,9340
2020-01-15,91502.709,92091.783,91502.709,91895.425,22540
2020-01-16,91502.709,92248.869,91502.709,91620.524,9270
2020-01-17,91620.524,92091.783,91502.709,92091.783,12580
2020-01-20,91502.709,92680.856,91502.709,92680.856,17170
2020-01-21,92680.856,92680.856,91502.709,91502.709,52160
2020-01-22,91502.709,92680.856,90756.55,91306.351,11510
2020-01-30,90874.365,90874.365,85611.977,85611.977,38140
2020-01-31,83255.684,88596.615,80113.96,83255.684,24730
2020-02-03,77443.495,83255.684,77443.495,82038.266,16880
2020-02-04,82038.266,82038.266,78543.098,79721.245,167140
2020-02-05,79721.245,79721.245,76186.806,76186.806,43870
2020-02-06,76186.806,78150.383,74341.043,74615.944,165080
2020-02-07,75401.374,78150.383,75008.659,76579.521,47950
2020-02-10,78150.383,78150.383,76579.521,76579.521,69570
2020-02-11,76579.521,76579.521,76186.806,76186.806,26300
2020-02-12,76932.965,76932.965,75008.659,75008.659,57410
2020-02-13,76726.934,76726.934,75206.797,76406.905,76770
2020-02-14,77166.974,77206.978,75646.837,75926.862,38650
2020-02-17,75926.862,76006.869,74406.725,74406.725,31460
2020-02-18,73006.598,73206.616,71206.435,71206.435,86320
2020-02-19,70806.399,72006.508,70006.327,71206.435,105560
2020-02-20,72006.508,72206.525,71566.467,72006.508,280190
2020-02-21,72006.508,72646.565,72006.508,72246.529,45380
2020-02-24,72086.515,72086.515,70846.403,71206.435,43780
2020-02-25,72006.508,72006.508,70566.377,71206.435,16230
2020-02-26,71766.486,71766.486,70486.37,70806.399,79880
2020-02-27,70806.399,70886.406,69286.261,69286.261,46300
2020-02-28,68926.23,68926.23,64805.856,64805.856,76910
2020-03-02,64805.856,69206.255,64805.856,68006.146,179490
2020-03-03,69006.236,69006.236,67606.11,68006.146,129270
2020-03-04,68006.146,68166.161,67206.074,67606.11,30310
2020-03-05,67606.11,68006.146,67606.11,67606.11,65380
2020-03-06,67606.11,67606.11,64805.856,65045.879,38170
2020-03-09,61205.531,63605.748,60525.47,62125.615,107570
2020-03-10,62125.615,63965.781,60405.459,62125.615,39620
2020-03-11,62165.618,64005.785,60805.496,60805.496,73120
2020-03-12,59725.398,63965.781,56845.137,57845.228,36860
2020-03-13,55204.989,61205.531,55204.989,57605.206,54560
2020-03-16,56805.134,60005.423,55605.025,60005.423,46800
2020-03-17,56405.097,60005.423,56405.097,56445.101,25320
2020-03-18,56445.101,58365.274,54404.917,54404.917,49230
2020-03-19,52204.718,55204.989,50804.592,50804.592,40740
2020-03-20,50804.592,52404.736,48044.342,50404.555,51940
2020-03-23,48404.374,50204.537,46884.237,46884.237,38230
2020-03-24,44804.049,47924.332,44604.031,46204.176,24520
2020-03-25,46404.193,49204.447,46364.19,48004.338,137910
2020-03-26,48604.393,50644.577,48004.338,50004.519,188080
2020-03-27,50004.519,52924.783,50004.519,51844.685,145570
2020-03-30,51844.685,52004.7,48244.36,48444.378,24210
2020-03-31,48444.378,51564.66,48444.378,49204.447,19220
2020-04-01,48884.418,51164.624,48244.36,49244.451,33750
2020-04-03,51804.682,51964.696,50004.519,50004.519,67800
