date,open,high,low,close,volume
2020-01-02,45679.1369608728,45717.2029312958,43775.8393579466,44194.5650326001,10070
2020-01-03,45564.9390496037,45564.9390496037,44537.1578481816,45450.7411383346,1770
2020-01-06,45450.7411383346,46440.4554511078,45450.7411383346,46440.4554511078,3040
2020-01-07,46440.4554511078,46783.0491849151,44917.817552412,45679.1369608728,6530
2020-01-08,45679.1369608728,46592.7193327999,45679.1369608728,45869.466812988,16310
2020-01-09,45869.466812988,46744.9832144921,45869.466812988,46744.9832144921,3340
2020-01-10,46821.1151553382,47963.0933498035,46744.9832144921,47582.4336455731,25550
2020-01-13,47582.4336455731,49866.3909527297,47582.4336455731,49790.2590118836,31960
2020-01-14,50170.918716114,51693.5566148098,50170.918716114,51389.0288514254,92950
2020-01-15,52531.0070458908,52683.270927583,50627.7094429646,51389.0288514254,48400
2020-01-16,51389.0288514254,51389.0288514254,50627.7094429646,51008.369147195,9760
2020-01-17,51008.369147195,51008.369147195,50437.3805090753,50627.7094429646,16680
2020-01-20,50627.7094429646,50627.7094429646,50247.0506569601,50627.7094429646,8080
2020-01-21,50627.7094429646,50627.7094429646,49143.1375146919,49485.7312484993,38120
2020-01-22,49485.7312484993,49866.3909527297,49295.4013963841,49485.7312484993,2520
2020-01-30,49295.4013963841,49485.7312484993,47963.0933498035,49485.7312484993,27940
2020-01-31,48343.7530540339,48724.4127582643,48191.4891723418,48191.4891723418,15340
2020-02-03,44955.883522835,47925.0273793805,44841.6856115659,45260.4112862194,10620
2020-02-04,45260.4112862194,47544.3676751501,44537.1578481816,44917.817552412,11930
2020-02-05,44917.817552412,47163.7088891455,44917.817552412,45298.4772566424,3270
2020-02-06,45679.1369608728,45679.1369608728,44917.817552412,45108.1474045272,20660
2020-02-07,45983.6647242571,45983.6647242571,44917.817552412,44917.817552412,22390
2020-02-10,44917.817552412,45108.1474045272,44879.751581989,44917.817552412,3670
2020-02-11,44917.817552412,45641.0709904498,44879.751581989,44917.817552412,6780
2020-02-12,44765.5536707198,44917.817552412,44765.5536707198,44917.817552412,4750
2020-02-13,44917.817552412,45488.8071087576,44917.817552412,45298.4772566424,51120
2020-02-14,45108.1474045272,45108.1474045272,44879.751581989,44917.817552412,6910
2020-02-17,44917.817552412,44917.817552412,44537.1578481816,44537.1578481816,24150
2020-02-18,44537.1578481816,44537.1578481816,44461.0268255614,44461.0268255614,4820
2020-02-19,44346.8289142922,44346.8289142922,44118.433091754,44156.499062177,47620
2020-02-20,44156.499062177,44156.499062177,43966.1692100618,44156.499062177,33630
2020-02-21,44156.499062177,44156.499062177,44004.2351804849,44004.2351804849,5980
2020-02-24,44004.2351804849,44004.2351804849,43014.5199494858,43775.8393579466,6260
2020-02-25,40958.9593830934,43357.1136832932,40958.9593830934,43357.1136832932,9730
2020-02-26,43357.1136832932,43775.8393579466,42253.2014592509,43775.8393579466,23390
2020-02-27,43775.8393579466,43775.8393579466,42862.2569860195,43014.5199494858,1470
2020-02-28,42862.2569860195,42862.2569860195,41377.6850577468,41377.6850577468,6820
2020-03-02,40387.9698267478,41111.2232647855,38789.1999872059,39322.1235731285,20590
2020-03-03,39322.1235731285,40349.9038563247,39322.1235731285,39436.3214843976,37680
2020-03-04,39436.3214843976,40349.9038563247,39436.3214843976,39778.915218205,55020
2020-03-05,39969.2441520943,42557.7292226352,39969.2441520943,42557.7292226352,18110
2020-03-06,43395.1796537162,44917.817552412,42557.7292226352,44727.4877002968,59850
2020-03-09,42253.2014592509,42291.2674296739,41606.0799620592,41606.0799620592,24860
2020-03-10,39169.8596914363,44004.2351804849,39169.8596914363,43014.5199494858,23180
2020-03-11,43014.5199494858,43775.8393579466,42443.5313113661,43014.5199494858,32210
2020-03-12,40730.5635605551,41111.2232647855,39664.7173069358,40692.4975901321,192010
2020-03-13,40121.5080337865,40121.5080337865,37875.6176152788,38104.013437817,35040
2020-03-16,38104.013437817,39931.1790998971,37951.7495561249,38104.013437817,9460
2020-03-17,39550.5193956667,39550.5193956667,37875.6176152788,38065.947467394,15750
2020-03-18,38827.265957629,39588.5853660898,38446.6071716244,39398.2555139746,19500
2020-03-19,39398.2555139746,39398.2555139746,37875.6176152788,38065.947467394,59360
2020-03-20,38065.947467394,38104.013437817,37875.6176152788,37875.6176152788,47230
2020-03-23,37837.5516448558,37875.6176152788,35249.0674925407,35249.0674925407,26320
2020-03-24,35249.0674925407,35249.0674925407,32850.912274115,33155.4400374994,24590
2020-03-25,33307.7039191915,34716.1439066182,33307.7039191915,34640.0119657721,48260
2020-03-26,34830.3418178873,36543.3095686982,34259.3522615417,36543.3095686982,33930
2020-03-27,36162.6498644678,36543.3095686982,34640.0119657721,36352.979716583,33200
2020-03-30,36162.6498644678,36162.6498644678,33878.6934755371,34259.3522615417,13250
2020-03-31,36086.5179236218,36086.5179236218,34678.0779361951,35211.0015221177,10960
2020-04-01,35211.0015221177,36352.979716583,34297.4182319647,36352.979716583,7650
2020-04-03,36162.6498644678,36733.6394208134,35781.9901602374,36429.1116574291,10160
2020-04-06,38789.1999872059,38827.265957629,37799.4856744327,38446.6071716244,17450
2020-04-07,38827.265957629,40730.5635605551,38522.7381942446,39969.2441520943,39060
2020-04-08,40730.5635605551,40730.5635605551,39169.8596914363,39969.2441520943,29070
2020-04-09,39931.1790998971,40159.5740042095,39893.1131294741,40007.3101225174,26390
2020-04-10,40349.9038563247,40692.4975901321,39969.2441520943,40121.5080337865,25050
2020-04-13,40273.7719154786,41111.2232647855,40159.5740042095,40806.6955014012,61920
2020-04-14,40806.6955014012,40920.8934126703,39969.2441520943,40502.1677380169,39210
2020-04-15,40349.9038563247,41529.9480212131,40349.9038563247,41491.8820507901,39540
2020-04-16,41491.8820507901,41834.4757845974,40349.9038563247,41568.0139916362,32900
2020-04-17,41568.0139916362,42215.1354888278,40349.9038563247,41568.0139916362,63560
2020-04-20,41834.4757845974,41834.4757845974,40349.9038563247,41111.2232647855,105390
2020-04-21,40387.9698267478,41111.2232647855,39893.1131294741,39893.1131294741,51560
2020-04-22,38560.8041646677,40159.5740042095,38560.8041646677,40159.5740042095,27930
2020-04-23,40730.5635605551,42215.1354888278,40121.5080337865,40159.5740042095,52440
2020-04-24,40159.5740042095,40349.9038563247,39550.5193956667,39550.5193956667,58900
2020-04-27,39588.5853660898,40882.8274422473,39588.5853660898,40159.5740042095,18480
2020-04-28,40920.8934126703,40920.8934126703,39969.2441520943,40159.5740042095,33200
2020-04-29,40235.7059450556,40616.365649286,40159.5740042095,40349.9038563247,42110
2020-05-04,40349.9038563247,40349.9038563247,39893.1131294741,39893.1131294741,16210
2020-05-05,39893.1131294741,39893.1131294741,39207.9256618594,39588.5853660898,169520
2020-05-06,39588.5853660898,39969.2441520943,39436.3214843976,39931.1790998971,6020
2020-05-07,39931.1790998971,40349.9038563247,39893.1131294741,40083.4420633634,17400
2020-05-08,40311.8378859017,40311.8378859017,40083.4420633634,40197.6399746326,40010
2020-05-11,40159.5740042095,40426.0357971708,40159.5740042095,40311.8378859017,31310
2020-05-12,40349.9038563247,41758.3438437514,40349.9038563247,41491.8820507901,32210
2020-05-13,41149.2892352086,43661.6414466775,41149.2892352086,43014.5199494858,74940
