date,open,high,low,close,volume
2020-01-02,2143.2965859606,2209.2443090568,2143.2965859606,2209.2443090568,5265400
2020-01-03,2209.2443090568,2209.2443090568,2143.2965859606,2143.2965859606,2755900
2020-01-06,2143.2965859606,2176.2704475087,2110.3227244125,2110.3227244125,2224900
2020-01-07,2110.3227244125,2176.2704475087,2110.3227244125,2110.3227244125,1899900
2020-01-08,2110.3227244125,2176.2704475087,2077.3495986418,2110.3227244125,4951700
2020-01-09,2143.2965859606,2209.2443090568,2110.3227244125,2143.2965859606,4563700
2020-01-10,2176.2704475087,2341.139755249,2176.2704475087,2341.139755249,12072100
2020-01-13,2341.139755249,2407.0874783452,2308.165893701,2374.1136167971,6712300
2020-01-14,2374.1136167971,2407.0874783452,2341.139755249,2374.1136167971,4213600
2020-01-15,2374.1136167971,2440.0613398933,2341.139755249,2440.0613398933,5861000
2020-01-16,2440.0613398933,2538.9821887601,2440.0613398933,2473.034465664,5812600
2020-01-17,2473.034465664,2538.9821887601,2407.0874783452,2407.0874783452,5602800
2020-01-20,2407.0874783452,2440.0613398933,2374.1136167971,2374.1136167971,5685400
2020-01-21,2341.139755249,2506.0083272121,2341.139755249,2440.0613398933,3920500
2020-01-22,2440.0613398933,2538.9821887601,2440.0613398933,2538.9821887601,5595400
2020-01-30,2506.0083272121,2604.9299118563,2440.0613398933,2473.034465664,9104300
2020-01-31,2473.034465664,2604.9299118563,2440.0613398933,2473.034465664,18934500
2020-02-03,2407.0874783452,2604.9299118563,2407.0874783452,2604.9299118563,27396400
2020-02-04,2671.0726159478,2710.9399754061,2631.205992267,2710.9399754061,7888000
2020-02-05,2710.9399754061,2950.1404532688,2710.9399754061,2950.1404532688,13145900
2020-02-06,2950.1404532688,3109.6076837697,2950.1404532688,3029.8737006306,9102400
2020-02-07,3029.8737006306,3069.7403243115,2830.5398464488,2830.5398464488,10889300
2020-02-10,2830.5398464488,2870.4064701297,2710.9399754061,2710.9399754061,10746900
2020-02-11,2750.806599087,2870.4064701297,2710.9399754061,2870.4064701297,9392400
2020-02-12,2870.4064701297,2950.1404532688,2870.4064701297,2910.2738295879,8980800
2020-02-13,2910.2738295879,2910.2738295879,2790.6732227679,2870.4064701297,11587600
2020-02-14,2870.4064701297,2950.1404532688,2870.4064701297,2910.2738295879,5466900
2020-02-17,2910.2738295879,2990.0070769497,2870.4064701297,2950.1404532688,6809900
2020-02-18,2910.2738295879,2950.1404532688,2870.4064701297,2910.2738295879,4349200
2020-02-19,2910.2738295879,2910.2738295879,2790.6732227679,2790.6732227679,6806900
2020-02-20,2790.6732227679,2870.4064701297,2750.806599087,2750.806599087,9523500
2020-02-21,2790.6732227679,2830.5398464488,2710.9399754061,2750.806599087,4420400
2020-02-24,2750.806599087,2870.4064701297,2671.0726159478,2830.5398464488,20881800
2020-02-25,2790.6732227679,2950.1404532688,2750.806599087,2910.2738295879,14033800
2020-02-26,2910.2738295879,3189.3409311315,2870.4064701297,3189.3409311315,30508800
2020-02-27,3189.3409311315,3508.2746563559,3189.3409311315,3508.2746563559,18178900
