date,open,high,low,close,volume
2020-01-02,23838.8080718127,23838.8080718127,23538.3187980851,23788.7266494803,23500
2020-01-03,23538.3187980851,23738.6452271479,23488.2373757527,23663.5223539161,27600
2020-01-06,23563.3595092513,23563.3595092513,22586.7695545699,22611.8102657361,39500
2020-01-07,22987.4216729623,23012.4623841285,22661.8916880685,22661.8916880685,9100
2020-01-08,22586.7695545699,22787.0959836327,21334.7317770604,22010.8324580142,52200
2020-01-09,22286.2802808423,22286.2802808423,21535.0574663899,21810.5060289513,21600
2020-01-10,21910.6688736161,22286.2802808423,21785.4653177852,22186.1174361775,16400
2020-01-13,24539.9494639327,24539.9494639327,22010.8324580142,22035.8731691804,2400
2020-01-14,22035.8731691804,22536.6881322375,22010.8324580142,22411.4845764066,1400
2020-01-15,22035.8731691804,22035.8731691804,21434.8946217252,21785.4653177852,7900
2020-01-16,21785.4653177852,22035.8731691804,21785.4653177852,21960.7502959485,2400
2020-01-17,21960.7502959485,21960.7502959485,21710.3431842866,21960.7502959485,1800
2020-01-20,21785.4653177852,21785.4653177852,21284.650354728,21535.0574663899,10600
2020-01-21,22661.8916880685,22661.8916880685,21334.7317770604,21635.221050788,2400
2020-01-22,21359.7724882266,21459.9353328914,21109.3646368314,21459.9353328914,8900
2020-01-30,20608.5496737742,21284.650354728,20558.4675117085,21034.2425033328,3900
2020-01-31,21284.650354728,21284.650354728,18905.7776158066,19281.3890230328,101900
2020-02-03,19281.3890230328,19281.3890230328,17278.1276913376,18780.5733202424,84200
2020-02-04,18530.1662085805,18530.1662085805,17778.9426543948,17778.9426543948,11500
2020-02-05,18279.7583571852,18655.3697644114,18104.4726392886,18530.1662085805,33300
2020-02-06,18530.1662085805,19631.9597190928,18530.1662085805,19631.9597190928,15500
2020-02-07,18930.8183269728,19030.9811716376,18905.7776158066,18905.7776158066,4800
2020-02-10,18029.35050579,18780.5733202424,18029.35050579,18780.5733202424,500
2020-02-11,18029.35050579,18530.1662085805,18029.35050579,18530.1662085805,5200
2020-02-12,18530.1662085805,19531.7961346948,18530.1662085805,19531.7961346948,23500
2020-02-13,19331.4704453652,20283.0196888804,19331.4704453652,20032.6118374852,15100
2020-02-14,20032.6118374852,20132.77468215,20032.6118374852,20132.77468215,4000
2020-02-17,20032.6118374852,20157.8153933162,19531.7961346948,19782.20398609,9700
2020-02-18,19657.000430259,20157.8153933162,19657.000430259,19907.4082816542,2600
2020-02-19,19882.3668307548,21284.650354728,19882.3668307548,21209.5274814961,42000
2020-02-20,21209.5274814961,21284.650354728,20658.6310961066,20883.9974966023,25100
2020-02-21,20783.8346519376,20783.8346519376,20533.4268005423,20633.5903849404,9800
2020-02-24,20032.6118374852,20032.6118374852,19030.9811716376,19081.06259397,22600
2020-02-25,19256.3483118666,19782.20398609,19256.3483118666,19782.20398609,13300
2020-02-26,19431.63329003,19431.63329003,18905.7776158066,19156.1847274686,33200
2020-02-27,19156.1847274686,19406.5925788638,19156.1847274686,19406.5925788638,13100
2020-02-28,18805.6140314086,19156.1847274686,18530.1662085805,19156.1847274686,9200
2020-03-02,18780.5733202424,19131.1440163024,18780.5733202424,19030.9811716376,21800
2020-03-03,19030.9811716376,19506.7554235286,19030.9811716376,19281.3890230328,15800
2020-03-04,19231.3076007004,19406.5925788638,19106.1033051362,19406.5925788638,9600
2020-03-05,19331.4704453652,19657.000430259,19331.4704453652,19481.7147123624,10000
2020-03-06,19456.6740011962,19456.6740011962,19030.9811716376,19281.3890230328,9500
2020-03-09,17653.7390985638,17778.9426543948,16777.3119885472,16802.3534394467,88200
2020-03-10,16777.3119885472,17979.2690834576,16777.3119885472,17904.146949959,21300
2020-03-11,18279.7583571852,18279.7583571852,16802.3534394467,17778.9426543948,35800
2020-03-12,16276.4970254901,17002.6791287762,16151.2934696591,16501.8641657191,34600
2020-03-13,15124.6220926453,16526.9048768853,14648.8471010211,16401.700581321,67000
2020-03-16,15900.8856182639,16526.9048768853,15850.8041959315,15976.0077517625,29700
2020-03-17,16251.4563143239,17027.7198399424,16251.4563143239,16902.5162841115,17200
2020-03-18,17278.1276913376,17528.5355427329,17027.7198399424,17102.841973441,22600
2020-03-19,16526.9048768853,17152.9241355067,16526.9048768853,17152.9241355067,23000
2020-03-20,17027.7198399424,17127.8826846072,16827.3941506129,17127.8826846072,13700
2020-03-23,16902.5162841115,16902.5162841115,15299.9070708087,15600.3963445363,93400
2020-03-24,15475.1927887053,16276.4970254901,15475.1927887053,16276.4970254901,32900
2020-03-25,16526.9048768853,16827.3941506129,16526.9048768853,16777.3119885472,18500
2020-03-26,16702.1898550486,16777.3119885472,16401.700581321,16702.1898550486,38600
2020-03-27,16576.9862992177,16777.3119885472,16501.8641657191,16627.0677215501,17400
2020-03-30,15775.6820624329,16276.4970254901,15650.4777668687,16026.0891740948,16400
2020-03-31,16276.4970254901,16526.9048768853,15900.8856182639,16026.0891740948,17700
2020-04-01,16151.2934696591,16276.4970254901,16151.2934696591,16276.4970254901,5500
2020-04-03,16026.0891740948,16652.1084327162,15900.8856182639,16526.9048768853,10300
2020-04-06,16777.3119885472,17528.5355427329,16777.3119885472,17528.5355427329,15100
2020-04-07,17403.3312471686,17403.3312471686,17027.7198399424,17027.7198399424,11500
2020-04-08,17027.7198399424,18029.35050579,16777.3119885472,17528.5355427329,30200
2020-04-09,17778.9426543948,19406.5925788638,17778.9426543948,19381.5518676976,47600
2020-04-10,19556.8375855942,19657.000430259,19056.0218828038,19056.0218828038,17700
2020-04-13,19281.3890230328,19281.3890230328,18279.7583571852,18505.124757681,29200
2020-04-14,18279.7583571852,18279.7583571852,17778.9426543948,18254.717646019,18800
2020-04-15,18279.7583571852,19030.9811716376,18279.7583571852,19030.9811716376,6900
2020-04-16,18404.9619130162,18780.5733202424,18404.9619130162,18780.5733202424,13100
2020-04-17,18680.4104755776,19506.7554235286,18680.4104755776,18680.4104755776,55000
2020-04-20,18905.7776158066,20032.6118374852,18905.7776158066,20032.6118374852,45500
2020-04-21,19782.20398609,19782.20398609,18279.7583571852,19030.9811716376,26200
2020-04-22,18780.5733202424,18930.8183269728,18404.9619130162,18930.8183269728,9700
2020-04-23,19281.3890230328,19281.3890230328,18780.5733202424,18780.5733202424,10700
2020-04-24,18805.6140314086,18880.7369046404,17778.9426543948,18780.5733202424,9700
2020-04-27,18905.7776158066,21234.5681926623,18680.4104755776,20909.0382077685,71500
2020-04-28,21284.650354728,21409.853910559,20032.6118374852,20157.8153933162,61400
2020-04-29,20533.4268005423,20658.6310961066,19531.7961346948,19782.20398609,15100
2020-05-04,18304.7990683514,19957.4897039866,18304.7990683514,18780.5733202424,57400
2020-05-05,18655.3697644114,19281.3890230328,18555.2069197466,19281.3890230328,34700
2020-05-06,19030.9811716376,20032.6118374852,19030.9811716376,20032.6118374852,18000
2020-05-07,19657.000430259,20057.6525486514,19556.8375855942,19932.4489928204,20400
2020-05-08,17027.7198399424,20032.6118374852,17027.7198399424,19907.4082816542,24800
2020-05-11,18830.6547425748,19732.1225637576,18830.6547425748,19281.3890230328,7300
2020-05-12,19181.2254386348,19732.1225637576,19156.1847274686,19406.5925788638,16700
2020-05-13,19431.63329003,19782.20398609,19281.3890230328,19556.8375855942,15300
2020-05-14,19281.3890230328,19581.8782967604,19281.3890230328,19406.5925788638,14600
2020-05-15,19531.7961346948,19531.7961346948,19030.9811716376,19030.9811716376,20600
2020-05-18,19081.06259397,19531.7961346948,19081.06259397,19456.6740011962,14900
2020-05-19,19531.7961346948,20533.4268005423,19281.3890230328,20232.9375268147,52200
2020-05-20,20157.8153933162,21159.4460591637,20157.8153933162,20683.6718072728,77400
2020-05-21,20533.4268005423,20783.8346519376,20533.4268005423,20733.7532296052,52300
2020-05-22,20283.0196888804,20783.8346519376,20283.0196888804,20658.6310961066,45300
2020-05-25,20733.7532296052,22912.2995394637,20733.7532296052,22912.2995394637,155000
2020-05-26,22912.2995394637,23037.503835028,22035.8731691804,22411.4845764066,42100
2020-05-27,22536.6881322375,22661.8916880685,21560.0981775561,21810.5060289513,54800
2020-05-28,21910.6688736161,22236.1988585099,21535.0574663899,22161.0767250113,42400
2020-05-29,22236.1988585099,23187.7481020251,22236.1988585099,22962.3809617961,57000
2020-06-01,23037.503835028,24264.5009013713,23037.503835028,24039.1337611423,102700
2020-06-02,23913.9302053113,24264.5009013713,23137.6666796927,23788.7266494803,90900
2020-06-03,23738.6452271479,24865.4794488265,23438.1559534203,24765.3166041617,75600
2020-06-04,24289.5416125375,25291.1722783851,24289.5416125375,24790.3573153279,58700
2020-06-05,24790.3573153279,25541.5801297803,24790.3573153279,25291.1722783851,63100
2020-06-08,25541.5801297803,25741.9058191098,24239.4601902051,24990.6830046575,76600
2020-06-09,25291.1722783851,25416.375834216,24314.5823237037,25040.7644269899,54600
2020-06-10,25291.1722783851,25516.5394186141,24039.1337611423,24915.5608711589,35000
2020-06-11,24940.6015823251,25291.1722783851,22787.0959836327,22787.0959836327,86700
2020-06-12,23663.5223539161,23663.5223539161,22035.8731691804,22035.8731691804,116500
2020-06-15,22762.0552724665,23112.6259685265,21785.4653177852,22511.6474210713,45200
2020-06-16,22035.8731691804,23037.503835028,20533.4268005423,21159.4460591637,154100
2020-06-17,21159.4460591637,21159.4460591637,20458.3046670438,20458.3046670438,60800
2020-06-18,20308.0604000466,21034.2425033328,19907.4082816542,20783.8346519376,67600
2020-06-19,20783.8346519376,21209.5274814961,20157.8153933162,21184.4867703299,51100
2020-06-22,21359.7724882266,21359.7724882266,20984.1610810004,21034.2425033328,21100
2020-06-23,21034.2425033328,21284.650354728,20883.9974966023,20883.9974966023,29500
2020-06-24,20783.8346519376,21034.2425033328,20683.6718072728,20783.8346519376,27000
2020-06-25,20533.4268005423,21284.650354728,20483.34537821,21109.3646368314,31800
2020-06-26,21259.6089038285,22486.6067099051,20783.8346519376,21535.0574663899,64200
2020-06-29,21810.5060289513,21810.5060289513,20308.0604000466,20758.7939407714,37500
2020-06-30,21134.4053479976,21134.4053479976,20533.4268005423,20783.8346519376,12000
2020-07-01,20533.4268005423,21535.0574663899,20533.4268005423,21034.2425033328,10700
