date,open,high,low,close,volume
2020-01-02,6563.7,6563.7,6409.26,6409.26,167020
2020-01-03,6486.48,6525.09,6351.345,6409.26,110330
2020-01-06,6409.26,6428.565,6138.99,6177.6,524020
2020-01-07,6177.6,6370.65,6177.6,6312.735,301810
2020-01-08,6370.65,6370.65,6138.99,6293.43,450610
2020-01-09,6293.43,6370.65,6100.38,6332.04,236540
2020-01-10,16450.0,16750.0,16400.0,16650.0,143220
2020-01-13,16600.0,16800.0,16600.0,16700.0,88580
2020-01-14,16700.0,16700.0,16550.0,16550.0,104980
2020-01-15,6370.65,6409.26,6370.65,6409.26,62490
2020-01-16,6370.65,6640.92,6370.65,6602.31,224890
2020-01-17,6602.31,6602.31,6486.48,6525.09,83780
2020-01-20,6486.48,6602.31,6486.48,6525.09,37050
2020-01-21,6467.175,6679.53,6467.175,6621.615,133970
2020-01-22,6679.53,6776.055,6621.615,6718.14,132900
2020-01-30,6718.14,6718.14,6486.48,6563.7,90100
2020-01-31,6563.7,6563.7,6370.65,6370.65,188090
2020-02-03,6216.21,6235.515,5926.635,6177.6,404000
2020-02-04,6081.075,6293.43,5907.33,6274.125,326990
2020-02-05,6293.43,6409.26,6254.82,6370.65,153780
2020-02-06,6370.65,6525.09,6293.43,6525.09,68800
2020-02-07,6525.09,6640.92,6447.87,6563.7,226420
2020-02-10,6563.7,6718.14,6486.48,6698.835,127680
2020-02-11,6698.835,7065.63,6698.835,6911.19,173130
2020-02-12,6911.19,7258.68,6911.19,7104.24,73310
2020-02-13,7181.46,7181.46,6756.75,6872.58,114720
2020-02-14,6833.97,6969.105,6718.14,6833.97,150130
2020-02-17,6833.97,7027.02,6756.75,6988.41,166110
2020-02-18,6988.41,7335.9,6988.41,7239.375,294040
2020-02-19,7374.51,7413.12,7277.985,7335.9,189100
2020-02-20,7335.9,7490.34,7277.985,7490.34,245380
2020-02-21,7528.95,8011.575,7490.34,7915.05,787850
2020-02-24,7876.44,8030.88,7528.95,7915.05,441640
2020-02-25,7915.05,8108.1,7799.22,8069.49,243190
2020-02-26,8030.88,8088.795,7837.83,7915.05,230180
2020-02-27,7915.05,7992.27,7490.34,7644.78,362860
2020-02-28,7335.9,7528.95,7123.545,7490.34,590800
2020-03-02,7258.68,7606.17,7162.155,7316.595,201370
2020-03-03,7200.765,7722.0,7181.46,7471.035,267820
2020-03-04,7471.035,7722.0,7335.9,7722.0,64520
2020-03-05,7722.0,7992.27,7606.17,7644.78,222970
2020-03-06,7277.985,7644.78,7277.985,7644.78,126890
2020-03-09,7181.46,7451.73,7123.545,7123.545,356470
2020-03-10,6814.665,7123.545,6795.36,7123.545,203680
2020-03-11,7258.68,7335.9,6640.92,6891.885,372190
2020-03-12,6891.885,6891.885,6428.565,6428.565,386320
2020-03-13,6003.855,6563.7,6003.855,6447.87,185090
