date,open,high,low,close,volume
2021-03-24,9945.7658465,9945.7658465,9945.7658465,9945.7658465,6007500
2021-03-25,10636.7863814,10636.7863814,10636.7863814,10636.7863814,1464100
2021-03-26,11377.1662176,11377.1662176,11377.1662176,11377.1662176,1078500
2021-03-29,12166.9044748,12166.9044748,11846.0729777,12166.9044748,3992200
2021-03-30,13006.001153,13006.001153,12956.642732,13006.001153,1896300
2021-03-31,13894.4562522,13894.4562522,13425.5494921,13894.4562522,4138700
2021-04-01,13869.7770417,13919.1354627,13376.1910711,13919.1354627,3793500
2021-04-02,13672.3424774,13943.8155535,13672.3424774,13943.8155535,2990700
2021-04-05,13845.0978312,13894.4562522,13524.2663341,13869.7770417,1564100
2021-04-06,13820.4186207,13820.4186207,13474.9079131,13820.4186207,1881700
2021-04-07,13820.4186207,13820.4186207,13573.6256354,13820.4186207,1208100
2021-04-08,13721.7008984,13721.7008984,13573.6256354,13622.9840564,911300
2021-04-09,13326.8317698,13672.3424774,13326.8317698,13672.3424774,955900
2021-04-12,13474.9079131,13672.3424774,13326.8317698,13672.3424774,846900
2021-04-13,13376.1910711,13573.6256354,13376.1910711,13474.9079131,433600
2021-04-14,13326.8317698,13450.2287026,13228.1149278,13228.1149278,579800
2021-04-15,13030.6803635,13326.8317698,12586.4528139,13326.8317698,1409400
2021-04-16,13030.6803635,13474.9079131,13080.0387845,13474.9079131,574400
2021-04-19,13499.5871236,13573.6256354,13376.1910711,13573.6256354,886900
2021-04-20,13622.9840564,13622.9840564,13524.2663341,13573.6256354,1465400
2021-04-22,13474.9079131,13573.6256354,13228.1149278,13573.6256354,729000
2021-04-23,13573.6256354,13573.6256354,12882.6042202,12882.6042202,853900
2021-04-26,13326.8317698,13425.5494921,13006.001153,13228.1149278,578000
2021-04-27,12389.0182496,13277.4733488,12389.0182496,13277.4733488,705300
2021-04-28,13228.1149278,13302.1525593,12833.2457992,13228.1149278,846500
2021-04-29,12882.6042202,13302.1525593,12882.6042202,13252.7941383,1199900
2021-05-04,12857.9250097,13080.0387845,12857.9250097,13030.6803635,1055500
2021-05-05,13030.6803635,13080.0387845,12882.6042202,13055.359574,647500
2021-05-06,13055.359574,13968.494764,12981.3219425,13499.5871236,1078900
2021-05-07,13573.6256354,13672.3424774,13326.8317698,13573.6256354,1122000
2021-05-10,13573.6256354,13820.4186207,13326.8317698,13820.4186207,1638300
2021-05-11,13968.494764,13968.494764,13672.3424774,13820.4186207,942400
2021-05-12,13820.4186207,13820.4186207,13672.3424774,13820.4186207,1429600
2021-05-13,13820.4186207,14067.211606,13376.1910711,13968.494764,2069300
2021-05-14,14067.211606,14930.9874947,13573.6256354,14930.9874947,3100400
2021-05-17,14955.6675855,15794.7642637,14955.6675855,15523.2911876,3145000
2021-05-18,15844.1226847,15844.1226847,15498.6119771,15547.9712784,3096400
2021-05-19,15547.9712784,15770.0850532,14560.7984569,15671.3673309,3510600
2021-05-20,15770.0850532,15770.0850532,14610.1568779,15671.3673309,4030600
2021-05-21,15671.3673309,15794.7642637,14980.346796,15794.7642637,4272700
2021-05-24,15794.7642637,16090.91567,15054.3844275,16090.91567,2716700
2021-05-25,16263.6710238,17201.4854243,15054.3844275,17201.4854243,3725900
2021-05-26,17226.1646348,18361.4135996,16535.1432196,18361.4135996,2720400
2021-05-27,18410.7720206,18435.4512311,17300.2022663,18287.3750878,2077400
2021-05-28,18262.6958773,19249.8686988,17522.3160411,19249.8686988,2006200
2021-05-31,19249.8686988,20138.323798,18756.2827282,20138.323798,1832500
2021-06-01,20163.0038888,20681.2690699,19249.8686988,20187.6830993,1733600
2021-06-02,20088.965377,20483.8345056,19200.5102778,20483.8345056,1816900
2021-06-03,20533.1929266,21224.2143418,19274.5479093,21224.2143418,2794400
2021-06-04,21421.6489061,22458.1801486,19792.8139707,22458.1801486,4445100
2021-06-07,22458.1801486,22458.1801486,20928.0620552,21471.0073271,1594600
2021-06-08,20483.8345056,21224.2143418,20039.606956,21224.2143418,2450000
2021-06-09,19990.248535,21322.9311838,19817.4931812,19842.1723917,2641700
2021-06-10,20088.965377,21026.7797775,18509.4888626,20385.1176636,3337900
2021-06-11,20385.1176636,21174.8559208,19496.6616841,21174.8559208,2589300
2021-06-14,21174.8559208,21224.2143418,20237.0415203,21224.2143418,2782100
2021-06-15,21174.8559208,21199.5351313,19792.8139707,20385.1176636,2466800
2021-06-16,20385.1176636,20385.1176636,19052.4341345,19644.7378274,1489700
2021-06-17,19546.0201051,19644.7378274,18460.1304416,19595.3794064,1823600
2021-06-18,18756.2827282,19965.5693245,18262.6958773,19916.2100232,2734900
2021-06-21,19916.2100232,19916.2100232,19249.8686988,19743.4546694,2216300
2021-06-22,19743.4546694,19792.8139707,19200.5102778,19768.1347602,2389900
