date,open,high,low,close,volume
2020-01-02,6524.6272258202,6632.7700502618,6506.6032948569,6632.7700502618,991450
2020-01-03,6668.8179121885,6704.8650127766,6542.6511567836,6578.6982573717,703890
2020-01-06,6542.6511567836,6596.722188335,6506.6032948569,6560.6743264083,1348120
2020-01-07,6560.6743264083,6596.722188335,6542.6511567836,6578.6982573717,643090
2020-01-08,6506.6032948569,6524.6272258202,6326.3647465619,6398.4604704154,2622960
2020-01-09,6470.5554329302,6506.6032948569,6434.5075710034,6470.5554329302,1149130
2020-01-10,6488.5793638935,6614.7461192984,6452.5315019668,6596.722188335,2067400
2020-01-13,6560.6743264083,6668.8179121885,6560.6743264083,6596.722188335,1125380
2020-01-14,6596.722188335,6650.7939812251,6578.6982573717,6632.7700502618,1066740
2020-01-15,6650.7939812251,6650.7939812251,6596.722188335,6632.7700502618,830260
2020-01-16,6632.7700502618,6885.1035610715,6632.7700502618,6885.1035610715,2384770
2020-01-17,6921.1514229982,7029.2942474398,6849.0556991448,6939.1753539616,2832740
2020-01-20,6939.1753539616,6939.1753539616,6849.0556991448,6939.1753539616,1288010
2020-01-21,6885.1035610715,7011.2703164764,6867.0796301082,6939.1753539616,1541100
2020-01-22,6939.1753539616,6993.246385513,6903.1274920349,6957.199284925,1729500
2020-01-30,6831.0317681814,6831.0317681814,6524.6272258202,6668.8179121885,2412920
2020-01-31,6524.6272258202,6596.722188335,6218.2219221204,6380.436539452,4457280
2020-02-03,6056.0073047888,6164.1501292303,5947.8644803473,6146.126198267,3144570
2020-02-04,6164.1501292303,6218.2219221204,6056.0073047888,6128.1030286422,1782240
2020-02-05,6164.1501292303,6218.2219221204,6092.0551667155,6110.0790976789,2164080
2020-02-06,6128.1030286422,6380.436539452,6092.0551667155,6380.436539452,2870780
2020-02-07,6380.436539452,6470.5554329302,6308.3408155986,6380.436539452,2561750
2020-02-10,6200.197991157,6344.3886775253,6056.0073047888,6326.3647465619,775620
2020-02-11,6326.3647465619,6344.3886775253,6272.2937150105,6290.3168846352,1521880
2020-02-12,6308.3408155986,6416.4836400401,6308.3408155986,6416.4836400401,2789960
2020-02-13,6344.3886775253,6380.436539452,6326.3647465619,6344.3886775253,1264660
2020-02-14,6344.3886775253,6434.5075710034,6308.3408155986,6416.4836400401,1102790
2020-02-17,6416.4836400401,6470.5554329302,6362.4126084886,6362.4126084886,1955060
2020-02-18,6362.4126084886,6380.436539452,6272.2937150105,6326.3647465619,1478110
2020-02-19,6344.3886775253,6362.4126084886,6290.3168846352,6344.3886775253,1668460
2020-02-20,6380.436539452,6434.5075710034,6308.3408155986,6344.3886775253,1664520
2020-02-21,6344.3886775253,6362.4126084886,6290.3168846352,6290.3168846352,1197860
2020-02-24,6146.126198267,6182.1740601937,5857.7455868691,5857.7455868691,3482920
2020-02-25,5713.5549005009,5929.8405493839,5713.5549005009,5911.8166184206,1693240
2020-02-26,5767.6259320523,6019.9594428621,5731.5780701256,5803.673793979,1038320
2020-02-27,5767.6259320523,5947.8644803473,5749.602001089,5947.8644803473,1490420
2020-02-28,5821.6977249424,5839.7216559058,5695.5309695375,5731.5780701256,1987700
2020-03-02,5785.6498630157,5803.673793979,5677.5070385742,5695.5309695375,2114140
2020-03-03,5803.673793979,5857.7455868691,5749.602001089,5749.602001089,2088500
2020-03-04,5767.6259320523,5929.8405493839,5731.5780701256,5857.7455868691,2852970
2020-03-05,5965.8884113106,6110.0790976789,5929.8405493839,6056.0073047888,3298460
2020-03-06,6037.9833738254,6037.9833738254,5929.8405493839,6019.9594428621,1362870
2020-03-09,5605.4113147207,5695.5309695375,5605.4113147207,5605.4113147207,3576610
2020-03-10,5371.1017348743,5641.4591766474,5371.1017348743,5605.4113147207,3374030
2020-03-11,5713.5549005009,5713.5549005009,5226.9110485061,5226.9110485061,3614130
2020-03-12,4974.5775376963,5046.6725002111,4866.4347132548,4884.4586442182,4137530
2020-03-13,4578.0533405183,4956.553606733,4578.0533405183,4794.3389894014,4484960
2020-03-16,4866.4347132548,4902.4818138429,4758.2918888133,4794.3389894014,2897920
2020-03-17,4722.2440268866,5118.7682240646,4614.101202445,5118.7682240646,4834780
2020-03-18,5190.8631865794,5190.8631865794,4902.4818138429,4938.5296757696,3090960
2020-03-19,4830.3868513281,5010.625399623,4794.3389894014,4938.5296757696,2568540
2020-03-20,5046.6725002111,5064.6964311745,4902.4818138429,4992.6014686597,2868770
2020-03-23,4758.2918888133,4830.3868513281,4650.1483030331,4650.1483030331,3296350
2020-03-24,4668.1722339965,4686.1961649598,4397.8147922234,4505.9576166649,3009990
2020-03-25,4686.1961649598,4812.3629203647,4596.0772714817,4812.3629203647,2376040
2020-03-26,4758.2918888133,4776.315058438,4650.1483030331,4668.1722339965,1256940
2020-03-27,4686.1961649598,4704.2200959232,4451.8865851134,4451.8865851134,2469460
2020-03-30,4289.6719677818,4289.6719677818,4145.4812814136,4145.4812814136,2427550
2020-03-31,4199.5530743037,4307.6958987452,4001.2905950454,4181.5291433403,1680730
2020-04-01,4181.5291433403,4469.9105160768,4181.5291433403,4469.9105160768,3715270
2020-04-03,4650.1483030331,4776.315058438,4614.101202445,4776.315058438,4544530
2020-04-06,5028.6493305864,5100.7442931012,4974.5775376963,5100.7442931012,5473010
