date,open,high,low,close,volume
2020-01-02,17468.4908204,17870.9911686,17468.4908204,17870.9911686,1542690
2020-01-03,17870.9911686,18246.657184,17870.9911686,18085.657217,1290400
2020-01-06,18085.657217,18192.9911026,17978.3241928,18031.9911356,729770
2020-01-07,18085.657217,18434.4906224,18058.8237456,18300.3241268,1188090
2020-01-08,18327.1575982,18407.657151,18273.4906554,18353.9902082,783960
2020-01-09,18353.9902082,18541.8236466,18353.9902082,18434.4906224,1291880
2020-01-10,18434.4906224,18595.4905894,18434.4906224,18595.4905894,1032370
2020-01-13,18595.4905894,18729.657085,18595.4905894,18729.657085,1121720
2020-01-14,18729.657085,19668.8234156,18729.657085,19641.9899442,779660
2020-01-15,19641.9899442,21010.489233,19641.9899442,20929.9896802,534410
2020-01-16,20929.9896802,21359.3226384,20903.1562088,20903.1562088,655480
2020-01-17,20929.9896802,21251.9887528,20876.3227374,21251.9887528,1110320
2020-01-20,21251.9887528,21332.489167,21251.9887528,21305.6556956,809700
2020-01-21,21305.6556956,21466.6556626,21305.6556956,21466.6556626,751430
2020-01-22,21466.6556626,21761.8221252,21466.6556626,21761.8221252,1759120
2020-01-30,21734.9886538,21815.489068,21734.9886538,21815.489068,767580
2020-01-31,21815.489068,22030.1551164,21788.6555966,22030.1551164,865140
2020-02-03,22030.1551164,22056.9885878,21681.3225724,21949.6555636,549950
2020-02-04,21976.489035,22137.489002,21976.489035,22110.6555306,613880
2020-02-05,22110.6555306,22405.8219932,22110.6555306,22405.8219932,729910
2020-02-06,22405.8219932,22808.32148,22405.8219932,22808.32148,701640
2020-02-07,22808.32148,23103.4879426,22808.32148,23103.4879426,844690
2020-02-10,23130.321414,23640.1547864,23103.4879426,23640.1547864,660200
2020-02-11,23666.9882578,24069.4877446,23640.1547864,24042.6542732,673810
2020-02-12,24042.6542732,24230.4877116,24042.6542732,24203.6542402,660560
2020-02-13,24230.4877116,24364.6542072,24203.6542402,24364.6542072,626960
2020-02-14,24364.6542072,24445.1546214,23559.6543722,23747.4878106,1183840
2020-02-17,23720.6543392,23854.8208348,23666.9882578,23854.8208348,622810
2020-02-18,23854.8208348,23962.1547204,23666.9882578,23827.9882248,288440
2020-02-19,23827.9882248,23908.4877776,23747.4878106,23827.9882248,614030
2020-02-20,23827.9882248,23908.4877776,23747.4878106,23881.6543062,494490
2020-02-21,23613.321315,24069.4877446,23586.4878436,23962.1547204,538180
2020-02-24,23103.4879426,23130.321414,22298.488969,22298.488969,1132380
2020-02-25,20956.8222902,21171.4892,20742.1562418,20795.8223232,1060480
2020-02-26,19588.3230014,20768.9897132,19507.8234486,19615.1564728,1742640
2020-02-27,18783.3240278,18810.1574992,18327.1575982,18327.1575982,1214400
2020-02-28,18327.1575982,18353.9902082,17065.9913336,17065.9913336,1035070
