date,open,high,low,close,volume
2020-01-02,7077.8461771861,7077.8461771861,6980.2211563975,7077.8461771861,18320
2020-01-03,7077.8461771861,7077.8461771861,6955.8143334942,7077.8461771861,2450
2020-01-06,6833.7824898023,7151.0658889544,6833.7824898023,6980.2211563975,22760
2020-01-07,7175.4719549162,7175.4719549162,6980.2211563975,6980.2211563975,18320
2020-01-08,6833.7824898023,6980.2211563975,6833.7824898023,6980.2211563975,2640
2020-01-09,7077.8461771861,7077.8461771861,6980.2211563975,7053.4401112243,3720
2020-01-10,6980.2211563975,7053.4401112243,6858.1893127056,7029.0340452625,8570
2020-01-13,6882.5953786674,7175.4719549162,6882.5953786674,7077.8461771861,40860
2020-01-14,7077.8461771861,7077.8461771861,6955.8143334942,7077.8461771861,65730
2020-01-15,6955.8143334942,7285.3003871564,6955.8143334942,7077.8461771861,1050
2020-01-16,6845.985901254,7065.6435226759,6845.985901254,6955.8143334942,24120
2020-01-17,6955.8143334942,7187.6753663678,6955.8143334942,7029.0340452625,30490
2020-01-20,7077.8461771861,7077.8461771861,6968.0177449459,6968.0177449459,10870
2020-01-21,6955.8143334942,7077.8461771861,6955.8143334942,7053.4401112243,53940
2020-01-22,7187.6753663678,7187.6753663678,6980.2211563975,6980.2211563975,44180
2020-01-30,7321.9098645698,7321.9098645698,6589.7188024186,6589.7188024186,101240
2020-01-31,6833.7824898023,6833.7824898023,6492.0937816301,6540.9066704951,54030
2020-02-03,6125.9982505545,6540.9066704951,6101.5914276512,6540.9066704951,96440
2020-02-04,6345.6551150349,6589.7188024186,6345.6551150349,6540.9066704951,6550
2020-02-05,6394.4680039,6662.938514187,6223.6232713431,6504.2971930817,59100
2020-02-06,6321.2490490732,6589.7188024186,6321.2490490732,6540.9066704951,23930
2020-02-07,6492.0937816301,6772.7669464272,6101.5914276512,6467.6869587268,60730
2020-02-10,6589.7188024186,6589.7188024186,6382.2653493899,6443.280892765,9850
2020-02-11,6443.280892765,6540.9066704951,6345.6551150349,6467.6869587268,30890
2020-02-12,6467.6869587268,6687.3445801487,6455.4843042167,6675.1411686971,55830
2020-02-13,6589.7188024186,6748.3608804654,6589.7188024186,6748.3608804654,34100
2020-02-14,6784.9703578788,7053.4401112243,6784.9703578788,6870.3927241573,30240
2020-02-17,6821.5798352922,6955.8143334942,6736.1574690138,6833.7824898023,17570
2020-02-18,6845.985901254,6907.0022015707,6711.7506461105,6907.0022015707,14320
2020-02-19,6907.0022015707,6907.0022015707,6675.1411686971,6858.1893127056,2080
2020-02-20,6723.9540575621,6833.7824898023,6723.9540575621,6833.7824898023,4640
2020-02-21,6833.7824898023,6919.2048560808,6748.3608804654,6833.7824898023,128730
2020-02-24,6638.5316912837,6772.7669464272,6492.0937816301,6638.5316912837,8780
2020-02-25,6589.7188024186,6711.7506461105,6504.2971930817,6711.7506461105,13560
2020-02-26,6711.7506461105,6711.7506461105,6248.0300942464,6467.6869587268,30500
2020-02-27,6467.6869587268,6565.3127364569,6345.6551150349,6565.3127364569,78230
2020-02-28,6370.0619379382,6370.0619379382,6345.6551150349,6345.6551150349,7540
2020-03-02,6345.6551150349,6589.7188024186,6345.6551150349,6345.6551150349,53480
2020-03-03,6467.6869587268,6467.6869587268,6345.6551150349,6345.6551150349,29910
2020-03-04,6443.280892765,6443.280892765,6345.6551150349,6345.6551150349,6280
2020-03-05,6455.4843042167,6540.9066704951,6345.6551150349,6443.280892765,69690
2020-03-06,6443.280892765,6492.0937816301,6382.2653493899,6492.0937816301,11030
2020-03-09,6101.5914276512,6321.2490490732,6040.5758842761,6223.6232713431,95830
2020-03-10,5881.9345631708,6321.2490490732,5881.9345631708,6223.6232713431,171530
2020-03-11,5979.5595839594,5979.5595839594,5796.5121968923,5833.1216743058,101910
2020-03-12,5430.4166658168,5637.8708757871,5430.4166658168,5430.4166658168,20000
2020-03-13,5052.1177232896,5369.4011224416,5052.1177232896,5052.1177232896,14480
2020-03-16,4795.8513813958,4795.8513813958,4710.4290151173,4795.8513813958,70910
2020-03-17,4710.4290151173,4832.4608588092,4380.9429614551,4710.4290151173,112680
2020-03-18,4637.2100602905,4710.4290151173,4551.787694012,4612.8032373872,28810
2020-03-19,4319.9266611384,4563.9903485222,4319.9266611384,4563.9903485222,30150
2020-03-20,4368.7395500035,4551.787694012,4368.7395500035,4429.7558503202,64460
2020-03-23,4393.1463729068,4393.1463729068,4124.6758626198,4124.6758626198,137700
2020-03-24,4124.6758626198,4124.6758626198,3856.2061092743,3905.0189981394,62940
2020-03-25,3905.0189981394,3978.2379529662,3905.0189981394,3917.2216526495,101960
2020-03-26,3917.2216526495,3917.2216526495,3831.799286371,3880.6121752361,111750
2020-03-27,3905.0189981394,3905.0189981394,3758.5803315442,3880.6121752361,110100
2020-03-30,3782.9871544475,3795.1898089576,3612.1424218906,3612.1424218906,177850
2020-03-31,3612.1424218906,3660.9553107557,3465.7037552955,3465.7037552955,77020
2020-04-01,3465.7037552955,3636.5484878524,3465.7037552955,3538.9234670638,145180
2020-04-03,3599.939010439,3758.5803315442,3599.939010439,3660.9553107557,269230
2020-04-06,3782.9871544475,3868.409520726,3758.5803315442,3868.409520726,259240
2020-04-07,3868.409520726,3868.409520726,3660.9553107557,3831.799286371,230520
2020-04-08,3782.9871544475,3807.3932204093,3685.3613767174,3758.5803315442,199900
2020-04-09,3758.5803315442,4014.8474303796,3758.5803315442,4014.8474303796,514950
2020-04-10,4295.5205951767,4295.5205951767,4222.3016403499,4295.5205951767,1148030
2020-04-13,4405.3490274169,4563.9903485222,4344.3334840417,4393.1463729068,335150
2020-04-14,4393.1463729068,4393.1463729068,4161.2853400332,4271.1145292149,327760
2020-04-15,4344.3334840417,4563.9903485222,4344.3334840417,4466.3653277336,1117240
2020-04-16,4466.3653277336,4686.022192214,4417.5524388685,4563.9903485222,327780
2020-04-17,4600.5998259356,4832.4608588092,4563.9903485222,4832.4608588092,465210
2020-04-20,4832.4608588092,4856.8669247709,4539.5842825604,4661.6161262523,902790
2020-04-21,4515.1782165986,4588.3971714254,4344.3334840417,4344.3334840417,690330
2020-04-22,4149.0826855231,4539.5842825604,4149.0826855231,4466.3653277336,460820
2020-04-23,4588.3971714254,4661.6161262523,4466.3653277336,4588.3971714254,603730
2020-04-24,4515.1782165986,4527.3808711087,4466.3653277336,4490.7713936953,549750
2020-04-27,4490.7713936953,4515.1782165986,4271.1145292149,4307.7240066283,344740
2020-04-28,4295.5205951767,4319.9266611384,4234.5050518015,4319.9266611384,314120
2020-04-29,4307.7240066283,4319.9266611384,4246.7077063116,4295.5205951767,303380
2020-05-04,4271.1145292149,4539.5842825604,4246.7077063116,4332.1300725901,413270
2020-05-05,4441.9585048303,4515.1782165986,4344.3334840417,4515.1782165986,281980
2020-05-06,4515.1782165986,4539.5842825604,4466.3653277336,4490.7713936953,143670
2020-05-07,4490.7713936953,4637.2100602905,4478.5687391852,4637.2100602905,393280
2020-05-08,4649.4127148006,4954.492702501,4649.4127148006,4795.8513813958,1299710
2020-05-11,5088.727200703,5125.3374350579,4905.679813636,5125.3374350579,725760
2020-05-12,5479.2295546818,5479.2295546818,5344.9942995383,5479.2295546818,1468320
2020-05-13,5283.9787561632,5467.0261432302,5125.3374350579,5320.5882335766,952830
2020-05-14,5198.5563898847,5686.6837646521,5174.1495669814,5540.245098057,962520
2020-05-15,5540.245098057,5833.1216743058,5528.0424435469,5625.6674643354,791520
2020-05-18,5613.4648098253,5930.7474520359,5564.6519209603,5857.5277402675,600770
2020-05-19,6003.9664068627,6077.1853616895,5735.4966535172,5979.5595839594,677230
2020-05-20,5759.9027194789,5930.7474520359,5759.9027194789,5869.7311517192,374340
2020-05-21,5833.1216743058,5918.5440405842,5564.6519209603,5686.6837646521,1134540
2020-05-22,5711.0898306139,5820.9182628541,5564.6519209603,5662.2769417488,798190
2020-05-25,5662.2769417488,5784.3087854407,5589.057986922,5711.0898306139,744260
2020-05-26,5711.0898306139,5979.5595839594,5711.0898306139,5857.5277402675,920040
2020-05-27,5930.7474520359,5967.3569294493,5613.4648098253,5613.4648098253,747450
2020-05-28,5686.6837646521,5735.4966535172,5576.8545754704,5698.8864191623,846770
2020-05-29,5650.0742872387,5711.0898306139,5528.0424435469,5564.6519209603,1256510
2020-06-01,5613.4648098253,5759.9027194789,5589.057986922,5747.6993080273,272620
2020-06-02,5808.715608344,5991.762995411,5796.5121968923,5808.715608344,1116600
2020-06-03,5747.6993080273,5894.1379746224,5711.0898306139,5772.1061309306,387580
2020-06-04,5796.5121968923,6174.8111394196,5796.5121968923,6150.4043165163,2503400
2020-06-05,6199.2172053813,6199.2172053813,6052.7792957277,6150.4043165163,621890
2020-06-08,6296.8429831114,6370.0619379382,6150.4043165163,6248.0300942464,882280
2020-06-09,6223.6232713431,6248.0300942464,6028.3724728244,6028.3724728244,1394860
2020-06-10,6028.3724728244,6199.2172053813,5942.950106546,6162.6077279679,1060000
2020-06-11,6174.8111394196,6235.8266827947,5735.4966535172,5735.4966535172,1309250
2020-06-12,5357.19771099,5637.8708757871,5344.9942995383,5650.0742872387,1141200
2020-06-15,5637.8708757871,5637.8708757871,5247.3692787498,5247.3692787498,1023220
2020-06-16,5418.2132543651,5528.0424435469,5344.9942995383,5430.4166658168,865980
2020-06-17,5442.6200772684,5515.8390320952,5296.1814106733,5418.2132543651,574740
2020-06-18,5418.2132543651,5430.4166658168,5296.1814106733,5332.7908880867,397870
2020-06-19,5344.9942995383,5576.8545754704,5344.9942995383,5564.6519209603,801950
2020-06-22,5613.4648098253,5723.2932420655,5564.6519209603,5589.057986922,459520
2020-06-23,5686.6837646521,5918.5440405842,5613.4648098253,5820.9182628541,1347280
2020-06-24,5820.9182628541,5955.1535179976,5491.4329661335,5613.4648098253,722350
2020-06-25,5491.4329661335,5662.2769417488,5454.8227317785,5576.8545754704,509950
2020-06-26,5576.8545754704,5711.0898306139,5344.9942995383,5479.2295546818,768440
2020-06-29,5357.19771099,5479.2295546818,5113.1340236063,5125.3374350579,739540
2020-06-30,5296.1814106733,5320.5882335766,4966.6953570111,5003.3055913661,863550
2020-07-01,5003.3055913661,5344.9942995383,5003.3055913661,5344.9942995383,373730
2020-07-02,5479.2295546818,5564.6519209603,5393.8071884034,5418.2132543651,275590
2020-07-03,5491.4329661335,5491.4329661335,5381.6037769517,5454.8227317785,425360
2020-07-06,5589.057986922,5589.057986922,5467.0261432302,5576.8545754704,328790
2020-07-07,5711.0898306139,5759.9027194789,5589.057986922,5589.057986922,911110
2020-07-08,5589.057986922,5796.5121968923,5540.245098057,5784.3087854407,681070
2020-07-09,5833.1216743058,5979.5595839594,5820.9182628541,5894.1379746224,911920
2020-07-10,5894.1379746224,6199.2172053813,5894.1379746224,6052.7792957277,1770990
2020-07-13,6101.5914276512,6101.5914276512,6003.9664068627,6040.5758842761,647150
2020-07-14,6040.5758842761,6187.0137939297,5930.7474520359,6113.7948391029,780520
2020-07-15,6199.2172053813,6211.420616833,6052.7792957277,6077.1853616895,661280
2020-07-16,6206.7692110911,6206.7692110911,6011.996042682,6063.9358570344,497370
2020-07-17,6076.9204321517,6076.9204321517,5973.0415603885,6011.996042682,318800
2020-07-20,6024.9813747408,6128.8602465041,5973.0415603885,6063.9358570344,599990
2020-07-21,6102.8903393279,6102.8903393279,5895.1325958014,6024.9813747408,481600
2020-07-22,6102.8903393279,6102.8903393279,5843.192781449,5869.1626886252,604490
2020-07-23,5804.2382991555,5869.1626886252,5700.3594273923,5843.192781449,672430
2020-07-24,5843.192781449,5843.192781449,5440.6618695135,5583.4952235702,1533360
2020-07-27,5271.8586082805,5440.6618695135,5193.948886752,5193.948886752,1595680
2020-07-28,5193.948886752,5453.6464446308,5167.9797365173,5453.6464446308,713060
2020-07-29,5271.8586082805,5401.70738722,5129.0244972823,5310.8130905741,761760
