date,open,high,low,close,volume
2020-01-02,14432.0545368,14432.0545368,14273.4607656,14273.4607656,143280
2020-01-03,14273.4607656,14352.7576512,14273.4607656,14273.4607656,55480
2020-01-06,14273.4607656,14313.1092084,14233.8123228,14273.4607656,152580
2020-01-07,14114.8660236,14273.4607656,14114.8660236,14273.4607656,121120
2020-01-08,14273.4607656,14313.1092084,13440.8415252,14273.4607656,310830
2020-01-09,14273.4607656,14432.0545368,14273.4607656,14432.0545368,374150
2020-01-10,14313.1092084,14432.0545368,14273.4607656,14313.1092084,105900
2020-01-13,14313.1092084,14313.1092084,14273.4607656,14273.4607656,131260
2020-01-14,14114.8660236,14313.1092084,14114.8660236,14273.4607656,199490
2020-01-15,14273.4607656,14273.4607656,14194.1629092,14273.4607656,262570
2020-01-16,14273.4607656,14313.1092084,14273.4607656,14273.4607656,115470
2020-01-17,14273.4607656,14352.7576512,14273.4607656,14273.4607656,251850
2020-01-20,14273.4607656,14432.0545368,14273.4607656,14352.7576512,153910
2020-01-21,14352.7576512,14511.3514224,14273.4607656,14273.4607656,92950
2020-01-22,14273.4607656,14471.7029796,14273.4607656,14471.7029796,171450
2020-01-30,14075.2175808,14432.0545368,14075.2175808,14273.4607656,203710
2020-01-31,14432.0545368,14432.0545368,14273.4607656,14313.1092084,306970
2020-02-03,14114.8660236,14114.8660236,13639.08471,13718.3815956,254350
2020-02-04,13718.3815956,14273.4607656,13678.7331528,13678.7331528,211230
2020-02-05,14035.569138,14035.569138,13639.08471,13876.9753668,151750
2020-02-06,13718.3815956,13995.9206952,13718.3815956,13916.6238096,92070
2020-02-07,14114.8660236,14114.8660236,13916.6238096,14035.569138,110460
2020-02-10,14114.8660236,14114.8660236,13797.6784812,13797.6784812,209100
2020-02-11,13758.0300384,13956.2722524,13758.0300384,13876.9753668,106560
2020-02-12,13876.9753668,14075.2175808,13837.326924,13956.2722524,154960
2020-02-13,13956.2722524,14233.8123228,13916.6238096,14035.569138,213760
2020-02-14,14233.8123228,14233.8123228,13995.9206952,13995.9206952,177320
2020-02-17,13837.326924,14154.5144664,13837.326924,13956.2722524,96320
2020-02-18,14035.569138,14035.569138,13837.326924,13956.2722524,228380
2020-02-19,13956.2722524,14352.7576512,13956.2722524,14352.7576512,345140
2020-02-20,14352.7576512,14432.0545368,14273.4607656,14392.406094,52480
2020-02-21,14392.406094,14669.9451936,14392.406094,14669.9451936,301110
2020-02-24,14035.569138,14669.9451936,14035.569138,14273.4607656,459500
2020-02-25,14035.569138,14669.9451936,14035.569138,14669.9451936,454500
2020-02-26,14511.3514224,14669.9451936,14432.0545368,14511.3514224,62240
2020-02-27,14432.0545368,14669.9451936,14432.0545368,14590.648308,99090
2020-02-28,14313.1092084,14511.3514224,14273.4607656,14432.0545368,245970
2020-03-02,14352.7576512,14828.5389648,14352.7576512,14669.9451936,470570
2020-03-03,14749.2420792,14749.2420792,14511.3514224,14669.9451936,166640
2020-03-04,14669.9451936,14749.2420792,14511.3514224,14669.9451936,644960
2020-03-05,14669.9451936,14828.5389648,14511.3514224,14669.9451936,505220
2020-03-06,14749.2420792,14749.2420792,14590.648308,14669.9451936,466980
2020-03-09,14352.7576512,14352.7576512,13797.6784812,13876.9753668,632730
2020-03-10,13876.9753668,14154.5144664,13718.3815956,14154.5144664,220700
2020-03-11,14432.0545368,14432.0545368,14114.8660236,14075.2175808,289730
2020-03-12,13242.5993112,14154.5144664,13242.5993112,13440.8415252,1125890
2020-03-13,12687.5201412,13004.7086544,12528.92637,12925.4117688,571780
2020-03-16,12925.4117688,12925.4117688,12528.92637,12608.2232556,170270
2020-03-17,11973.8472,12925.4117688,11973.8472,12925.4117688,254490
2020-03-18,12965.0602116,12965.0602116,12528.92637,12766.8170268,168420
2020-03-19,12291.0357132,12687.5201412,12053.1440856,12053.1440856,408650
2020-03-20,12211.7378568,12211.7378568,11894.5503144,12211.7378568,332740
2020-03-23,11735.9565432,11894.5503144,11180.8773732,11735.9565432,132620
2020-03-24,10546.5013176,10863.68886,10427.5559892,10625.7982032,541680
2020-03-25,10625.7982032,11260.1742588,10625.7982032,11180.8773732,182820
2020-03-26,11180.8773732,11180.8773732,10942.9867164,11180.8773732,140200
2020-03-27,10942.9867164,11180.8773732,10942.9867164,11141.2289304,320910
