date,open,high,low,close,volume
2020-01-02,26479.0993192051,27165.0862994995,26479.0993192051,26684.8958832538,29770
2020-01-03,26684.8958832538,26890.6915073818,26239.0041110822,26273.3036950771,112260
2020-01-06,26410.501091136,26822.0932793126,26033.2075470336,26787.7936953178,128300
2020-01-07,26753.4941113229,27988.2706758528,26753.4941113229,27851.0732797939,238070
2020-01-08,27851.0732797939,28605.6594280781,27576.6784876762,27748.1754677299,268520
2020-01-09,28125.4680719117,28674.2576561472,27713.875883735,27782.4750517248,56580
2020-01-10,27782.4750517248,28125.4680719117,27508.080259607,27919.6724477837,82840
2020-01-13,28125.4680719117,28125.4680719117,27233.6854674893,27439.4810916173,82480
2020-01-14,27267.9841115635,27645.2776556659,26753.4941113229,27439.4810916173,155550
2020-01-15,27096.4880714304,27576.6784876762,26753.4941113229,27233.6854674893,79180
2020-01-16,27233.6854674893,27233.6854674893,26479.0993192051,26822.0932793126,81090
2020-01-17,27096.4880714304,27096.4880714304,26341.9019231462,26410.501091136,78530
2020-01-20,26684.8958832538,26684.8958832538,26341.9019231462,26684.8958832538,38430
2020-01-21,26684.8958832538,26684.8958832538,26170.4049430925,26410.501091136,321870
2020-01-22,26753.4941113229,27302.2836955584,26341.9019231462,27165.0862994995,96220
2020-01-30,26341.9019231462,27096.4880714304,25381.5201507341,25724.5141108416,177660
2020-01-31,25244.3227546752,25724.5141108416,23940.9470221555,23940.9470221555,187360
2020-02-03,23323.5592098509,23323.5592098509,22294.578269449,22294.578269449,253500
2020-02-04,22294.578269449,22294.578269449,21196.9991009779,21265.5982689677,165040
2020-02-05,21917.2856652672,22363.1774374387,21539.9930610854,22294.578269449,122720
2020-02-06,22431.7756655078,23460.7566059098,22294.578269449,23460.7566059098,136820
2020-02-07,23323.5592098509,24215.3418142733,23323.5592098509,23666.5522300378,93120
2020-02-10,22980.5652497434,23460.7566059098,22637.5722295565,23049.1644177331,53490
2020-02-11,22740.4700416205,23049.1644177331,22020.1834773312,22294.578269449,150120
2020-02-12,22294.578269449,23838.0492100915,22294.578269449,23838.0492100915,330090
2020-02-13,25381.5201507341,25415.819734729,24592.6353583757,24695.5331704397,174520
2020-02-14,24558.3357743808,24558.3357743808,24009.5461901453,24009.5461901453,104090
2020-02-17,24009.5461901453,24009.5461901453,23117.7626458022,23117.7626458022,102360
2020-02-18,23323.5592098509,24009.5461901453,23220.6613977869,23769.4509820224,138480
2020-02-19,23769.4509820224,24009.5461901453,23597.9540019686,23632.2535859635,98080
2020-02-20,23735.1513980275,23838.0492100915,23323.5592098509,23632.2535859635,204710
2020-02-21,23632.2535859635,24352.5392103322,23632.2535859635,24146.7435862042,270810
2020-02-24,22774.7696256154,23872.3487940864,22466.0752495027,22466.0752495027,402660
2020-02-25,21951.5852492621,22363.1774374387,21608.5912891546,22157.3808733901,262590
2020-02-26,22088.782645321,22157.3808733901,21608.5912891546,21951.5852492621,147940
2020-02-27,21882.9860812723,22020.1834773312,21471.3938930957,21574.2917051597,173870
2020-02-28,21265.5982689677,21574.2917051597,21128.4008729088,21265.5982689677,151160
2020-03-02,20922.6043088602,22500.3748334976,20922.6043088602,22260.2786854541,195560
2020-03-03,22260.2786854541,23117.7626458022,22260.2786854541,22980.5652497434,219190
2020-03-04,22980.5652497434,23049.1644177331,22088.782645321,22225.9800413798,155530
2020-03-05,22500.3748334976,22637.5722295565,21985.8838933363,21985.8838933363,163510
2020-03-06,21985.8838933363,22088.782645321,21848.6864972774,21985.8838933363,187990
