date,open,high,low,close,volume
2020-01-02,62264.792,63001.653,62264.792,62559.536,238600
2020-01-03,62559.536,62927.967,62338.478,62780.595,394470
2020-01-06,62338.478,62633.222,61012.127,61527.93,1025270
2020-01-07,61159.5,62485.85,61159.5,61748.989,590360
2020-01-08,61159.5,61527.93,59685.777,60791.069,553690
2020-01-09,61454.244,61675.303,61085.813,61380.558,421250
2020-01-10,61380.558,62559.536,60938.441,62264.792,699780
2020-01-13,62485.85,63959.573,62264.792,63591.142,882160
2020-01-14,63517.456,63959.573,63443.77,63591.142,361600
2020-01-15,63738.515,63738.515,63222.712,63591.142,420650
2020-01-16,63664.828,63664.828,63296.398,63443.77,441860
2020-01-17,63517.456,64770.121,63370.084,63370.084,552190
2020-01-20,63370.084,63664.828,63149.025,63370.084,711830
2020-01-21,63370.084,64475.376,63370.084,64475.376,653680
2020-01-22,64401.69,65949.099,64328.004,65875.413,673070
2020-01-30,64254.318,64696.434,63222.712,64401.69,1414000
2020-01-31,64475.376,65212.237,64180.631,64475.376,1284370
2020-02-03,61306.872,63296.398,60422.638,62780.595,755310
2020-02-04,62780.595,63738.515,62633.222,63149.025,829790
2020-02-05,63959.573,63959.573,62927.967,63370.084,2410370
2020-02-06,63591.142,64106.945,63370.084,63959.573,484420
2020-02-07,64033.259,64696.434,63959.573,64106.945,587610
2020-02-10,63443.77,63885.887,63222.712,63517.456,373600
2020-02-11,63370.084,63664.828,63001.653,63517.456,602090
2020-02-12,63885.887,63885.887,63517.456,63738.515,395320
2020-02-13,63517.456,63664.828,63001.653,63370.084,421050
2020-02-14,63001.653,65285.924,63001.653,64549.062,481520
2020-02-17,64843.807,64843.807,63738.515,63885.887,164600
2020-02-18,63812.201,64106.945,63075.339,63370.084,323870
2020-02-19,63075.339,63738.515,62780.595,63370.084,514110
2020-02-20,63738.515,64328.004,63296.398,64033.259,271380
2020-02-21,63738.515,64033.259,63370.084,63443.77,184170
2020-02-24,61380.558,62706.909,61380.558,61896.361,619380
2020-02-25,60643.697,61748.989,59685.777,61233.186,410300
2020-02-26,61159.5,61159.5,59169.974,59612.09,651880
2020-02-27,58875.229,59685.777,58212.054,59538.404,1280250
2020-02-28,57843.623,59243.66,57843.623,59243.66,860760
2020-03-02,58285.74,59391.032,58212.054,59317.346,447980
2020-03-03,59317.346,59759.463,59096.287,59317.346,742520
2020-03-04,58285.74,59317.346,58138.368,59243.66,901070
2020-03-05,59022.601,60054.207,59022.601,59685.777,361110
2020-03-06,58948.915,59612.09,58212.054,59612.09,339740
2020-03-09,57917.309,57917.309,55485.666,55485.666,973190
2020-03-10,52317.162,56369.9,52317.162,56369.9,1050110
2020-03-11,56369.9,56590.959,52464.535,56369.9,932900
2020-03-12,55633.039,55633.039,52464.535,53054.024,1161120
2020-03-13,49369.716,53054.024,49369.716,53054.024,1337180
2020-03-16,52317.162,52906.651,49738.147,52906.651,968810
2020-03-17,49738.147,52611.907,49738.147,51506.615,1095460
2020-03-18,51359.242,51801.359,49738.147,51211.87,1707750
2020-03-19,49590.775,51064.498,47895.994,50475.009,1482170
