date,open,high,low,close,volume
2020-01-02,102134.61,102223.5,101334.6,102223.5,440280
2020-01-03,102223.5,102490.17,101601.27,102490.17,248940
2020-01-06,102223.5,102223.5,101690.16,101956.83,301910
2020-01-07,101779.05,102223.5,101601.27,101956.83,183910
2020-01-08,101779.05,101956.83,100979.04,101601.27,468910
2020-01-09,101601.27,102312.39,101512.38,101956.83,273870
2020-01-10,102223.5,102223.5,101956.83,102045.72,159120
2020-01-13,101956.83,102312.39,101779.05,102134.61,146680
2020-01-14,102134.61,102312.39,101601.27,102223.5,101150
2020-01-15,102223.5,102223.5,101601.27,102223.5,205600
2020-01-16,102223.5,102312.39,101601.27,102223.5,186740
2020-01-17,102134.61,102312.39,101690.16,102134.61,169100
2020-01-20,102134.61,102134.61,101601.27,102134.61,370670
2020-01-21,101601.27,102223.5,101601.27,102134.61,181510
2020-01-22,102134.61,102134.61,101512.38,102134.61,371780
2020-01-30,101423.49,102134.61,99645.69,102134.61,682720
2020-01-31,102134.61,102134.61,100979.04,102045.72,831740
2020-02-03,101156.82,102045.72,99823.47,102045.72,760420
2020-02-04,100979.04,102045.72,99379.02,102045.72,1485500
2020-02-05,102045.72,102045.72,100445.7,101779.05,468420
2020-02-06,101779.05,101956.83,100267.92,101690.16,676290
2020-02-07,101334.6,101690.16,99556.8,101690.16,1295520
2020-02-10,100445.7,101423.49,100445.7,101067.93,192700
2020-02-11,100890.15,101512.38,100445.7,100890.15,216470
2020-02-12,100801.26,100801.26,99556.8,99556.8,452790
2020-02-13,99112.35,100179.03,99023.46,99912.36,285340
2020-02-14,99823.47,100090.14,97779.0,97779.0,252390
2020-02-17,97779.0,97779.0,93334.5,96001.2,742220
2020-02-18,95112.3,95112.3,92445.6,92890.05,791870
2020-02-19,92001.15,95112.3,92001.15,93334.5,875320
2020-02-20,94223.4,97779.0,93334.5,97779.0,353570
2020-02-21,96534.54,97779.0,95823.42,97690.11,309060
2020-02-24,95201.19,96001.2,93778.95,95378.97,1428650
2020-02-25,94845.63,95378.97,94134.51,95112.3,543820
2020-02-26,92445.6,94756.74,92445.6,94134.51,625410
2020-02-27,94045.62,94223.4,92534.49,93867.84,740420
2020-02-28,93334.5,93690.06,91556.7,93690.06,870840
2020-03-02,92445.6,93690.06,91290.03,93690.06,742130
