date,open,high,low,close,volume
2020-01-02,2731.3527614643,2809.1142580136,2731.3527614643,2809.1142580136,58580
2020-01-03,2809.1142580136,2809.1142580136,2750.7929012249,2799.3941881333,163940
2020-01-06,2760.5129711052,2799.3941881333,2741.0728313446,2779.9540483726,149130
2020-01-07,2779.9540483726,2779.9540483726,2741.0728313446,2779.9540483726,68060
2020-01-08,2741.0728313446,2750.7929012249,2682.7524120627,2741.0728313446,233880
2020-01-09,2741.0728313446,2770.2339784923,2741.0728313446,2770.2339784923,92680
2020-01-10,2770.2339784923,2779.9540483726,2760.5129711052,2779.9540483726,89810
2020-01-13,2779.9540483726,2789.6741182529,2760.5129711052,2779.9540483726,109370
2020-01-14,2731.3527614643,2789.6741182529,2731.3527614643,2770.2339784923,116130
2020-01-15,2770.2339784923,2789.6741182529,2750.7929012249,2760.5129711052,109910
2020-01-16,2789.6741182529,2799.3941881333,2741.0728313446,2799.3941881333,128120
2020-01-17,2809.1142580136,2809.1142580136,2721.632691584,2809.1142580136,198600
2020-01-20,2779.9540483726,2828.5543977742,2779.9540483726,2809.1142580136,52730
2020-01-21,2818.8343278939,2818.8343278939,2799.3941881333,2818.8343278939,151950
2020-01-22,2838.2744676545,2935.4751664577,2818.8343278939,2916.0350266971,441020
2020-01-30,2916.0350266971,2916.0350266971,2818.8343278939,2906.3149568168,217470
2020-01-31,2818.8343278939,2896.5948869365,2779.9540483726,2857.7146074152,271930
2020-02-03,2828.5543977742,2828.5543977742,2663.312272302,2721.632691584,854260
2020-02-04,2721.632691584,2721.632691584,2595.2717831398,2721.632691584,617580
2020-02-05,2702.1925518233,2741.0728313446,2663.312272302,2741.0728313446,104530
2020-02-06,2595.2717831398,2760.5129711052,2595.2717831398,2741.0728313446,210290
2020-02-07,2721.632691584,2760.5129711052,2682.7524120627,2731.3527614643,158540
2020-02-10,2692.472481943,2721.632691584,2682.7524120627,2692.472481943,31640
2020-02-11,2673.0323421824,2750.7929012249,2663.312272302,2750.7929012249,173340
2020-02-12,2721.632691584,2779.9540483726,2711.9126217036,2779.9540483726,313910
2020-02-13,2770.2339784923,2770.2339784923,2721.632691584,2750.7929012249,65030
2020-02-14,2750.7929012249,2760.5129711052,2702.1925518233,2760.5129711052,137900
2020-02-17,2760.5129711052,2789.6741182529,2721.632691584,2779.9540483726,231090
