date,open,high,low,close,volume
2020-01-02,22941.2514799,22941.2514799,22698.058708,22806.1443844,360630
2020-01-03,22806.1443844,22941.2514799,22752.1015462,22914.2300608,610910
2020-01-06,22914.2300608,22941.2514799,22779.1229653,22887.2086417,146320
2020-01-07,22887.2086417,22968.2737323,22698.058708,22806.1443844,430440
2020-01-08,22671.0372889,22887.2086417,22671.0372889,22806.1443844,64030
2020-01-09,22806.1443844,22887.2086417,22752.1015462,22860.1872226,167860
2020-01-10,22860.1872226,22941.2514799,22752.1015462,22860.1872226,93550
2020-01-13,22860.1872226,22968.2737323,22698.058708,22833.1658035,418780
2020-01-14,22833.1658035,22968.2737323,22833.1658035,22914.2300608,180700
2020-01-15,22914.2300608,22968.2737323,22698.058708,22914.2300608,171870
2020-01-16,22914.2300608,22914.2300608,22779.1229653,22887.2086417,117900
2020-01-17,22887.2086417,22995.2951514,22752.1015462,22887.2086417,138380
2020-01-20,22887.2086417,23076.3594087,22806.1443844,22941.2514799,260150
2020-01-21,22941.2514799,23022.3165705,22833.1658035,22995.2951514,190920
2020-01-22,22995.2951514,23022.3165705,22806.1443844,22995.2951514,799310
2020-01-30,22833.1658035,22860.1872226,22698.058708,22752.1015462,301650
2020-01-31,22752.1015462,22806.1443844,22400.8222646,22698.058708,277310
2020-02-03,22698.058708,22806.1443844,22589.9721983,22725.0801271,641050
2020-02-04,22725.0801271,22752.1015462,22535.9293601,22644.0150365,225220
2020-02-05,22644.0150365,22860.1872226,22644.0150365,22698.058708,344530
2020-02-06,22698.058708,22860.1872226,22481.8865219,22860.1872226,378980
2020-02-07,22860.1872226,22914.2300608,22752.1015462,22833.1658035,538120
2020-02-10,22833.1658035,22887.2086417,22752.1015462,22833.1658035,518680
2020-02-11,22833.1658035,22914.2300608,22779.1229653,22860.1872226,374420
2020-02-12,22860.1872226,22941.2514799,22806.1443844,22914.2300608,244300
2020-02-13,22914.2300608,22995.2951514,22833.1658035,22941.2514799,202990
2020-02-14,22941.2514799,23049.3379896,22860.1872226,22968.2737323,552900
2020-02-17,22968.2737323,23076.3594087,22806.1443844,22995.2951514,328430
2020-02-18,22995.2951514,23103.3808278,22914.2300608,22914.2300608,803730
2020-02-19,22914.2300608,22968.2737323,22806.1443844,22941.2514799,656270
2020-02-20,22941.2514799,23049.3379896,22589.9721983,22860.1872226,527890
2020-02-21,22860.1872226,22941.2514799,22508.907941,22671.0372889,986640
2020-02-24,22671.0372889,22671.0372889,22481.8865219,22589.9721983,623470
2020-02-25,22535.9293601,22752.1015462,22508.907941,22535.9293601,303630
2020-02-26,22698.058708,22887.2086417,22671.0372889,22671.0372889,545300
2020-02-27,22671.0372889,22698.058708,21887.4136351,22644.0150365,644920
2020-02-28,22644.0150365,22779.1229653,21860.392216,22535.9293601,428960
2020-03-02,22535.9293601,22616.9936174,22319.757174,22319.757174,682660
2020-03-03,22319.757174,22481.8865219,22292.7357549,22427.8436837,551920
2020-03-04,22481.8865219,22535.9293601,22373.8008455,22481.8865219,636860
2020-03-05,22508.907941,22644.0150365,22454.8651028,22454.8651028,542000
2020-03-06,22481.8865219,22752.1015462,22400.8222646,22589.9721983,590910
2020-03-09,22454.8651028,22454.8651028,22211.6714976,22211.6714976,492000
2020-03-10,22238.6929167,22400.8222646,22130.6072403,22238.6929167,445480
2020-03-11,22346.7785931,22427.8436837,21941.4564733,22157.6286594,260900
2020-03-12,22157.6286594,22157.6286594,21833.3707969,21941.4564733,357690
2020-03-13,22049.5421497,22589.9721983,21698.2628681,22103.5858212,376010
2020-03-16,22103.5858212,22103.5858212,21860.392216,21914.4350542,349160
2020-03-17,21914.4350542,22076.5635688,21914.4350542,21914.4350542,456780
2020-03-18,21914.4350542,22481.8865219,21914.4350542,22427.8436837,436960
2020-03-19,22427.8436837,22589.9721983,22427.8436837,22508.907941,381820
2020-03-20,22508.907941,22671.0372889,22454.8651028,22508.907941,449570
2020-03-23,22481.8865219,22481.8865219,22157.6286594,22238.6929167,424850
2020-03-24,22265.7143358,22427.8436837,22103.5858212,22346.7785931,398780
2020-03-25,22346.7785931,22589.9721983,22346.7785931,22346.7785931,379740
2020-03-26,22373.8008455,22535.9293601,22157.6286594,22184.6500785,336040
2020-03-27,22184.6500785,22589.9721983,22103.5858212,22130.6072403,312360
2020-03-30,22157.6286594,22292.7357549,22076.5635688,22157.6286594,223930
2020-03-31,22157.6286594,22400.8222646,22157.6286594,22157.6286594,436750
2020-04-01,22157.6286594,22292.7357549,22103.5858212,22211.6714976,535360
2020-04-03,22211.6714976,22346.7785931,22211.6714976,22319.757174,464970
2020-04-06,22319.757174,22616.9936174,22157.6286594,22319.757174,369720
2020-04-07,22319.757174,22725.0801271,22157.6286594,22589.9721983,518930
2020-04-08,22589.9721983,22698.058708,22535.9293601,22644.0150365,586040
2020-04-09,22589.9721983,22644.0150365,22157.6286594,22589.9721983,910800
2020-04-10,22589.9721983,22589.9721983,22346.7785931,22508.907941,617880
2020-04-13,22508.907941,22698.058708,22373.8008455,22698.058708,223620
2020-04-14,22535.9293601,22644.0150365,22157.6286594,22535.9293601,760090
2020-04-15,22535.9293601,22562.9507792,22454.8651028,22535.9293601,100640
2020-04-16,22508.907941,22508.907941,22373.8008455,22400.8222646,438970
2020-04-17,22400.8222646,22481.8865219,22346.7785931,22481.8865219,514650
2020-04-20,22481.8865219,22481.8865219,22373.8008455,22427.8436837,341680
2020-04-21,22427.8436837,22481.8865219,22157.6286594,22373.8008455,468100
2020-04-22,22427.8436837,22481.8865219,22346.7785931,22373.8008455,508860
2020-04-23,22400.8222646,22427.8436837,22373.8008455,22373.8008455,592230
2020-04-24,22373.8008455,22427.8436837,22157.6286594,22427.8436837,981740
2020-04-27,22400.8222646,22400.8222646,22319.757174,22049.5421497,967830
2020-04-28,22157.6286594,22589.9721983,22157.6286594,22589.9721983,1231430
2020-04-29,22589.9721983,23238.4887566,22562.9507792,22806.1443844,1000250
2020-05-04,22806.1443844,22833.1658035,22346.7785931,22698.058708,314480
2020-05-05,22698.058708,22914.2300608,22698.058708,22725.0801271,764400
2020-05-06,22725.0801271,22914.2300608,22698.058708,22752.1015462,252080
2020-05-07,22752.1015462,22887.2086417,22671.0372889,22806.1443844,678330
2020-05-08,22806.1443844,22968.2737323,22779.1229653,22887.2086417,1082240
2020-05-11,22860.1872226,23022.3165705,22779.1229653,22914.2300608,654130
2020-05-12,22806.1443844,22887.2086417,22671.0372889,22806.1443844,700230
2020-05-13,22806.1443844,22995.2951514,22644.0150365,22644.0150365,611680
2020-05-14,22725.0801271,22833.1658035,22319.757174,22535.9293601,473090
2020-05-15,22535.9293601,22671.0372889,22508.907941,22616.9936174,680660
2020-05-18,22616.9936174,22914.2300608,22562.9507792,22616.9936174,1100000
2020-05-19,22887.2086417,23130.4022469,22887.2086417,22968.2737323,734730
2020-05-20,22968.2737323,22995.2951514,22644.0150365,22914.2300608,908590
2020-05-21,22914.2300608,23049.3379896,22806.1443844,22914.2300608,504800
2020-05-22,22941.2514799,23076.3594087,22887.2086417,22887.2086417,537110
2020-05-25,22887.2086417,23049.3379896,22779.1229653,22806.1443844,729470
2020-05-26,22806.1443844,22968.2737323,22698.058708,22806.1443844,625150
2020-05-27,22644.0150365,22644.0150365,22481.8865219,22535.9293601,277870
2020-05-28,22157.6286594,23400.6172712,20968.6828858,22752.1015462,733110
2020-05-29,22752.1015462,23022.3165705,22752.1015462,22995.2951514,483780
2020-06-01,23022.3165705,23211.4665042,22941.2514799,23022.3165705,722260
2020-06-02,23022.3165705,23022.3165705,21617.1986108,22157.6286594,923930
2020-06-03,22157.6286594,22806.1443844,22157.6286594,22373.8008455,292910
2020-06-04,22373.8008455,22644.0150365,21617.1986108,22481.8865219,744170
2020-06-05,22427.8436837,22427.8436837,21941.4564733,22319.757174,597580
2020-06-08,22265.7143358,22400.8222646,22076.5635688,22319.757174,296130
2020-06-09,22319.757174,22481.8865219,21887.4136351,22319.757174,457560
2020-06-10,22346.7785931,22589.9721983,22157.6286594,22427.8436837,593660
2020-06-11,22427.8436837,22914.2300608,22427.8436837,22589.9721983,473370
2020-06-12,22589.9721983,22644.0150365,22103.5858212,22589.9721983,336690
2020-06-15,22211.6714976,22400.8222646,22022.5207306,22238.6929167,267230
2020-06-16,22238.6929167,22427.8436837,22130.6072403,22373.8008455,563520
2020-06-17,22373.8008455,22698.058708,22265.7143358,22400.8222646,689500
2020-06-18,22400.8222646,22427.8436837,22157.6286594,22400.8222646,366840
2020-06-19,22319.757174,22481.8865219,22238.6929167,22238.6929167,463470
2020-06-22,22238.6929167,22427.8436837,22238.6929167,22373.8008455,379220
2020-06-23,22644.0150365,22968.2737323,22644.0150365,22698.058708,1196350
2020-06-24,22698.058708,22725.0801271,22535.9293601,22698.058708,578840
2020-06-25,22644.0150365,22644.0150365,22508.907941,22589.9721983,620870
2020-06-26,22644.0150365,22914.2300608,22644.0150365,22806.1443844,818670
2020-06-29,22698.058708,22860.1872226,22671.0372889,22752.1015462,486010
2020-06-30,22752.1015462,22941.2514799,21184.8542386,22941.2514799,913190
2020-07-01,22941.2514799,23130.4022469,21887.4136351,22806.1443844,566810
2020-07-02,22806.1443844,22806.1443844,21887.4136351,22184.6500785,461980
2020-07-03,22184.6500785,22427.8436837,21779.3271254,22319.757174,399720
2020-07-06,22319.757174,22427.8436837,21968.4778924,22373.8008455,436370
2020-07-07,22373.8008455,22454.8651028,22157.6286594,22427.8436837,509310
2020-07-08,22427.8436837,22616.9936174,22238.6929167,22427.8436837,928290
2020-07-09,22238.6929167,22427.8436837,22238.6929167,22373.8008455,354340
2020-07-10,22373.8008455,22535.9293601,22292.7357549,22319.757174,321970
2020-07-13,22319.757174,22373.8008455,22184.6500785,22319.757174,599800
2020-07-14,22211.6714976,22265.7143358,22157.6286594,22211.6714976,376700
2020-07-15,22265.7143358,22481.8865219,22265.7143358,22454.8651028,351350
2020-07-16,22454.8651028,22508.907941,22346.7785931,22400.8222646,458780
2020-07-17,22400.8222646,22535.9293601,22346.7785931,22454.8651028,360330
2020-07-20,22454.8651028,22562.9507792,22346.7785931,22508.907941,537800
2020-07-21,22508.907941,22589.9721983,22400.8222646,22481.8865219,411860
2020-07-22,22481.8865219,22535.9293601,22292.7357549,22481.8865219,367360
2020-07-23,22481.8865219,22698.058708,22238.6929167,22589.9721983,586000
2020-07-24,22508.907941,22698.058708,22427.8436837,22562.9507792,459480
2020-07-27,22562.9507792,22562.9507792,22157.6286594,22346.7785931,1090540
2020-07-28,22346.7785931,22698.058708,22346.7785931,22346.7785931,663730
2020-07-29,22616.9936174,22616.9936174,22481.8865219,22535.9293601,934680
2020-07-30,22535.9293601,22589.9721983,22535.9293601,22589.9721983,962120
2020-07-31,22589.9721983,22671.0372889,22508.907941,22589.9721983,227870
2020-08-03,22589.9721983,22671.0372889,22535.9293601,22616.9936174,478440
2020-08-04,22616.9936174,22698.058708,22535.9293601,22698.058708,637160
2020-08-05,22725.0801271,22833.1658035,22589.9721983,22806.1443844,656560
2020-08-06,22806.1443844,22887.2086417,22562.9507792,22833.1658035,572210
2020-08-07,22833.1658035,22995.2951514,22644.0150365,22698.058708,688530
2020-08-10,22698.058708,22914.2300608,22589.9721983,22616.9936174,430280
2020-08-11,22616.9936174,22616.9936174,22346.7785931,22373.8008455,695540
2020-08-12,22373.8008455,22481.8865219,22238.6929167,22427.8436837,546000
2020-08-13,22454.8651028,22535.9293601,22157.6286594,22157.6286594,1311480
2020-08-14,22157.6286594,22346.7785931,21860.392216,21887.4136351,1121010
2020-08-17,21887.4136351,22157.6286594,21887.4136351,22157.6286594,810420
2020-08-18,22157.6286594,22562.9507792,22049.5421497,22562.9507792,1012830
2020-08-19,22535.9293601,22698.058708,22427.8436837,22616.9936174,564860
2020-08-20,22616.9936174,22698.058708,22589.9721983,22644.0150365,281810
2020-08-21,22616.9936174,22671.0372889,22562.9507792,22644.0150365,367030
2020-08-24,22644.0150365,22644.0150365,22535.9293601,22644.0150365,438090
2020-08-25,22589.9721983,22589.9721983,22454.8651028,22535.9293601,628220
2020-08-26,22535.9293601,22562.9507792,22508.907941,22562.9507792,399200
2020-08-27,22562.9507792,22698.058708,22319.757174,22562.9507792,869290
2020-08-28,22589.9721983,22644.0150365,22481.8865219,22589.9721983,399610
2020-08-31,22589.9721983,22779.1229653,22157.6286594,22157.6286594,795890
2020-09-01,22157.6286594,22698.058708,22076.5635688,22157.6286594,427090
2020-09-03,22184.6500785,22373.8008455,22157.6286594,22211.6714976,646670
2020-09-04,22157.6286594,22265.7143358,22103.5858212,22238.6929167,819870
2020-09-07,22238.6929167,22319.757174,22103.5858212,22265.7143358,454900
2020-09-08,22265.7143358,22427.8436837,22211.6714976,22265.7143358,653580
2020-09-09,22265.7143358,22292.7357549,22157.6286594,22211.6714976,945110
2020-09-10,21995.4993115,22211.6714976,21914.4350542,22130.6072403,844300
2020-09-11,21887.4136351,22211.6714976,21887.4136351,22049.5421497,472710
2020-09-14,22049.5421497,22103.5858212,21833.3707969,21887.4136351,410940
2020-09-15,21887.4136351,22130.6072403,21887.4136351,21887.4136351,516530
2020-09-16,22022.5207306,22157.6286594,22022.5207306,22103.5858212,397250
2020-09-17,22103.5858212,22238.6929167,22103.5858212,22184.6500785,1130860
2020-09-18,22184.6500785,22319.757174,22103.5858212,22238.6929167,623770
2020-09-21,22265.7143358,22373.8008455,22157.6286594,22265.7143358,417470
2020-09-22,22265.7143358,22400.8222646,22157.6286594,22319.757174,1510560
2020-09-23,22319.757174,22427.8436837,22238.6929167,22346.7785931,561470
2020-09-24,22346.7785931,22373.8008455,22211.6714976,22265.7143358,772210
2020-09-25,22265.7143358,22725.0801271,22211.6714976,22589.9721983,331110
2020-09-28,22589.9721983,22698.058708,22400.8222646,22454.8651028,514390
2020-09-29,22454.8651028,22481.8865219,22130.6072403,22265.7143358,433490
2020-09-30,22238.6929167,22373.8008455,22130.6072403,22265.7143358,548500
2020-10-01,22265.7143358,22319.757174,22130.6072403,22265.7143358,590540
2020-10-02,22157.6286594,22265.7143358,22076.5635688,22157.6286594,435450
2020-10-05,22157.6286594,22265.7143358,21644.2200299,22157.6286594,1186990
2020-10-06,22157.6286594,22427.8436837,22157.6286594,22346.7785931,711350
2020-10-07,22346.7785931,22481.8865219,22211.6714976,22346.7785931,1152330
2020-10-08,22346.7785931,22346.7785931,22157.6286594,22184.6500785,534960
2020-10-09,22184.6500785,22427.8436837,21887.4136351,22346.7785931,662550
2020-10-12,22346.7785931,22400.8222646,22238.6929167,22346.7785931,1743100
2020-10-13,22346.7785931,22427.8436837,22238.6929167,22346.7785931,1122680
2020-10-14,22346.7785931,22373.8008455,22238.6929167,22319.757174,1646700
2020-10-15,22319.757174,22698.058708,22265.7143358,22427.8436837,1605180
2020-10-16,22427.8436837,22616.9936174,22427.8436837,22481.8865219,1439330
2020-10-19,22481.8865219,22671.0372889,22427.8436837,22562.9507792,1676360
2020-10-20,22562.9507792,22562.9507792,22130.6072403,22400.8222646,1091780
2020-10-21,22400.8222646,22562.9507792,22373.8008455,22454.8651028,1188420
2020-10-22,22400.8222646,22562.9507792,22157.6286594,22427.8436837,2417980
2020-10-23,22427.8436837,22454.8651028,22265.7143358,22292.7357549,1102010
2020-10-26,22292.7357549,22562.9507792,22292.7357549,22529.173797,555170
2020-10-27,22495.3968148,22596.7277614,22495.3968148,22529.173797,422100
2020-10-28,22529.173797,22529.173797,22394.0667015,22427.8436837,410050
2020-10-29,22427.8436837,22630.5047436,22090.074695,22461.6206659,623920
2020-10-30,22461.6206659,22596.7277614,22461.6206659,22495.3968148,621730
2020-11-02,22495.3968148,22596.7277614,22427.8436837,22495.3968148,371970
2020-11-03,22529.173797,22562.9507792,22495.3968148,22495.3968148,533200
2020-11-04,22495.3968148,22596.7277614,22360.2897193,22394.0667015,1095660
2020-11-05,22427.8436837,22529.173797,22292.7357549,22427.8436837,636030
2020-11-06,22461.6206659,22562.9507792,22427.8436837,22461.6206659,680500
2020-11-09,22461.6206659,22562.9507792,22394.0667015,22461.6206659,876820
2020-11-10,22461.6206659,22698.058708,22461.6206659,22495.3968148,1214550
2020-11-11,22495.3968148,22664.2817258,22461.6206659,22529.173797,1102460
2020-11-12,22529.173797,22698.058708,22461.6206659,22562.9507792,1071870
2020-11-13,22562.9507792,22596.7277614,22394.0667015,22562.9507792,1042670
2020-11-16,22562.9507792,22664.2817258,22360.2897193,22495.3968148,949210
2020-11-17,22495.3968148,22495.3968148,22427.8436837,22427.8436837,971050
2020-11-18,22427.8436837,22529.173797,22326.5127371,22360.2897193,1240560
2020-11-19,22360.2897193,22427.8436837,22292.7357549,22427.8436837,1033450
2020-11-20,22427.8436837,22630.5047436,22090.074695,22461.6206659,1850460
2020-11-23,22461.6206659,22529.173797,22292.7357549,22427.8436837,1542790
2020-11-24,22427.8436837,22596.7277614,22326.5127371,22427.8436837,1681510
2020-11-25,22427.8436837,22562.9507792,22360.2897193,22394.0667015,1982980
2020-11-26,22394.0667015,22461.6206659,22258.9587727,22461.6206659,1787120
2020-11-27,22461.6206659,22562.9507792,22326.5127371,22461.6206659,1334620
2020-11-30,22461.6206659,22562.9507792,22360.2897193,22360.2897193,1507050
2020-12-01,22360.2897193,22360.2897193,22225.1817905,22326.5127371,1549970
2020-12-02,22326.5127371,22394.0667015,22157.6286594,22394.0667015,1037100
2020-12-03,22394.0667015,22596.7277614,22258.9587727,22394.0667015,1601170
2020-12-04,22394.0667015,22529.173797,22292.7357549,22360.2897193,1974940
2020-12-07,22360.2897193,22495.3968148,22258.9587727,22394.0667015,1543430
2020-12-08,22394.0667015,22461.6206659,22225.1817905,22461.6206659,1652700
2020-12-09,22461.6206659,22461.6206659,22360.2897193,22461.6206659,468670
2020-12-10,22461.6206659,22461.6206659,22394.0667015,22394.0667015,429920
2020-12-11,22394.0667015,22427.8436837,22360.2897193,22394.0667015,707240
2020-12-14,22360.2897193,22461.6206659,22360.2897193,22394.0667015,484530
2020-12-15,22394.0667015,22427.8436837,22292.7357549,22394.0667015,880760
2020-12-16,22394.0667015,22461.6206659,22258.9587727,22360.2897193,1213170
2020-12-17,22360.2897193,22461.6206659,22225.1817905,22360.2897193,879370
2020-12-18,22360.2897193,22427.8436837,22225.1817905,22394.0667015,1010170
2020-12-21,22394.0667015,22394.0667015,22258.9587727,22394.0667015,688900
2020-12-22,22394.0667015,22461.6206659,22191.4056416,22360.2897193,1538690
2020-12-23,22360.2897193,22461.6206659,22292.7357549,22292.7357549,1605630
2020-12-24,22292.7357549,22562.9507792,22157.6286594,22258.9587727,811150
2020-12-25,22258.9587727,22394.0667015,22258.9587727,22360.2897193,1364470
2020-12-28,22360.2897193,22529.173797,22292.7357549,22360.2897193,2783190
2020-12-29,22292.7357549,22427.8436837,22292.7357549,22394.0667015,858510
2020-12-30,22394.0667015,22394.0667015,22292.7357549,22360.2897193,2817080
2020-12-31,22360.2897193,22630.5047436,22360.2897193,22529.173797,782430
2021-01-04,22529.173797,22698.058708,22495.3968148,22698.058708,1160500
2021-01-05,22630.5047436,22833.1658035,22630.5047436,22698.058708,1425000
2021-01-06,22698.058708,22833.1658035,22596.7277614,22765.6118391,757100
2021-01-07,22765.6118391,22866.9427857,22596.7277614,22731.8356902,1547500
2021-01-08,22731.8356902,22731.8356902,22529.173797,22596.7277614,851000
2021-01-11,22596.7277614,22664.2817258,22529.173797,22596.7277614,1596200
2021-01-12,22596.7277614,22765.6118391,22596.7277614,22765.6118391,1200800
2021-01-13,22664.2817258,22799.3888213,22562.9507792,22765.6118391,1394400
2021-01-14,22765.6118391,24353.1250027,22630.5047436,24353.1250027,3666700
2021-01-15,24994.8859979,26041.9691129,23643.8108764,25197.5470578,3052900
2021-01-18,25163.7700756,25332.6541533,24927.3320335,25163.7700756,2162000
2021-01-19,24994.8859979,24994.8859979,23846.4719363,24522.0099137,1572800
2021-01-20,24488.2329315,24522.0099137,22934.4967501,23643.8108764,2935500
2021-01-21,23643.8108764,25298.8780044,23407.3728343,24859.7780691,3790300
2021-01-22,24994.8859979,25129.9930934,24792.2241047,24994.8859979,1767000
2021-01-25,24994.8859979,26075.7452618,24994.8859979,25704.2001242,1791800
2021-01-26,25704.2001242,26278.407155,24792.2241047,25332.6541533,1476800
2021-01-27,25197.5470578,25670.423142,24251.7948894,24285.5710383,2021600
2021-01-28,23035.8268634,23711.3648408,22596.7277614,22596.7277614,1811500
2021-01-29,22394.0667015,23508.7029476,22394.0667015,23170.9347922,1405300
2021-02-01,23103.3808278,23407.3728343,22596.7277614,22799.3888213,1608800
2021-02-02,22765.6118391,23306.0418877,22765.6118391,23306.0418877,1721300
2021-02-03,23306.0418877,24386.9019849,23306.0418877,24049.1329962,995300
2021-02-04,24049.1329962,24150.4639428,23745.141823,24049.1329962,833700
2021-02-05,24049.1329962,24454.4559493,23677.5878586,23677.5878586,1608100
2021-02-08,23677.5878586,23778.9179719,22258.9587727,22630.5047436,964500
2021-02-09,22630.5047436,23170.9347922,22596.7277614,23035.8268634,1839900
2021-02-17,23339.8188699,23677.5878586,23103.3808278,23610.0338942,879700
2021-02-18,23778.9179719,23880.2489185,23441.1498165,23812.6949541,893100
2021-02-19,23778.9179719,23880.2489185,23373.5958521,23643.8108764,997900
2021-02-22,23643.8108764,23981.5798651,23441.1498165,23846.4719363,1441300
2021-02-23,23643.8108764,23880.2489185,23373.5958521,23441.1498165,1403400
2021-02-24,23474.9267987,23643.8108764,23137.15781,23306.0418877,1163800
2021-02-25,23474.9267987,23508.7029476,22968.2737323,23170.9347922,1253700
2021-02-26,23170.9347922,23238.4887566,22833.1658035,23103.3808278,967900
2021-03-01,23170.9347922,23711.3648408,23170.9347922,23677.5878586,716400
2021-03-02,24049.1329962,24116.6869606,23542.4799298,23711.3648408,836200
2021-03-03,23711.3648408,23846.4719363,23576.256912,23745.141823,874400
2021-03-04,23677.5878586,23981.5798651,23137.15781,23170.9347922,817300
2021-03-05,23035.8268634,23643.8108764,22833.1658035,23643.8108764,1047600
2021-03-08,23846.4719363,23846.4719363,23306.0418877,23643.8108764,1111700
2021-03-09,23035.8268634,25129.9930934,22968.2737323,24994.8859979,2142900
2021-03-10,24994.8859979,25332.6541533,24015.3568473,24859.7780691,2245800
2021-03-11,24927.3320335,24994.8859979,24319.3480205,24589.5630448,1940000
2021-03-12,24522.0099137,24522.0099137,23914.0259007,23947.8028829,1234100
2021-03-15,23914.0259007,23947.8028829,23306.0418877,23306.0418877,641400
2021-03-16,23170.9347922,23981.5798651,21752.3057063,23846.4719363,5219600
2021-03-17,23778.9179719,24724.6709736,22968.2737323,24657.1170092,2030800
2021-03-18,24826.0010869,24994.8859979,24420.6789671,24859.7780691,560300
2021-03-19,23981.5798651,24319.3480205,23576.256912,24251.7948894,868300
2021-03-22,24251.7948894,24319.3480205,23846.4719363,23981.5798651,620200
2021-03-23,23914.0259007,23914.0259007,23170.9347922,23576.256912,1521800
2021-03-24,23508.7029476,23643.8108764,22968.2737323,23441.1498165,1078800
2021-03-25,23441.1498165,23643.8108764,23306.0418877,23643.8108764,1175300
2021-03-26,23576.256912,23914.0259007,23204.7117744,23711.3648408,764800
2021-03-29,23745.141823,23914.0259007,23711.3648408,23914.0259007,1057200
2021-03-30,23914.0259007,24386.9019849,23880.2489185,24319.3480205,1118500
2021-03-31,24420.6789671,24724.6709736,24319.3480205,24454.4559493,567800
2021-04-01,24454.4559493,25129.9930934,24319.3480205,25129.9930934,1175300
2021-04-02,25231.32404,25265.1010222,24961.1090157,25028.6629801,465400
2021-04-05,25231.32404,25298.8780044,24285.5710383,24859.7780691,1106100
2021-04-06,24826.0010869,24826.0010869,24184.240925,24353.1250027,718100
2021-04-07,24319.3480205,24386.9019849,23981.5798651,24285.5710383,685600
2021-04-08,24285.5710383,24522.0099137,23947.8028829,24522.0099137,674500
2021-04-09,24522.0099137,24792.2241047,24420.6789671,24724.6709736,780500
2021-04-12,24724.6709736,24994.8859979,24724.6709736,24927.3320335,1093900
2021-04-13,25096.2161112,25129.9930934,24589.5630448,24994.8859979,1240000
2021-04-14,24994.8859979,24994.8859979,24522.0099137,24927.3320335,816700
2021-04-15,24859.7780691,25163.7700756,24319.3480205,24319.3480205,1175000
2021-04-16,24859.7780691,24657.1170092,24049.1329962,24251.7948894,1637700
2021-04-19,24251.7948894,24927.3320335,24251.7948894,24927.3320335,1864500
2021-04-20,24961.1090157,25129.9930934,24657.1170092,24859.7780691,1420600
2021-04-22,24724.6709736,24859.7780691,23778.9179719,23778.9179719,809300
2021-04-23,23981.5798651,24724.6709736,23778.9179719,24454.4559493,687500
2021-04-26,24454.4559493,24690.8939914,24218.0179072,24522.0099137,1484500
2021-04-27,24522.0099137,24589.5630448,24386.9019849,24555.7860626,1328900
2021-04-28,24555.7860626,24657.1170092,24386.9019849,24589.5630448,1851400
2021-04-29,24589.5630448,24690.8939914,24454.4559493,24555.7860626,975600
2021-05-04,24116.6869606,24386.9019849,22968.2737323,24319.3480205,2363900
2021-05-05,24420.6789671,24657.1170092,24184.240925,24319.3480205,1251600
2021-05-06,24319.3480205,24319.3480205,23474.9267987,23643.8108764,1889800
2021-05-07,23576.256912,23981.5798651,23170.9347922,23373.5958521,1638500
2021-05-10,23576.256912,23373.5958521,22968.2737323,23339.8188699,1499200
2021-05-11,23339.8188699,23542.4799298,23103.3808278,23103.3808278,922100
2021-05-12,23103.3808278,23846.4719363,22968.2737323,22968.2737323,1132200
2021-05-13,23002.0498812,23103.3808278,22866.9427857,22968.2737323,550000
2021-05-14,22968.2737323,23508.7029476,22866.9427857,22968.2737323,1086400
2021-05-17,22968.2737323,23137.15781,22495.3968148,22900.7197679,1305800
2021-05-18,22900.7197679,23373.5958521,22833.1658035,23238.4887566,949400
2021-05-19,23238.4887566,23576.256912,23204.7117744,23441.1498165,766500
2021-05-20,23441.1498165,23576.256912,22968.2737323,23373.5958521,1162800
2021-05-21,23373.5958521,23508.7029476,22968.2737323,23170.9347922,1780800
2021-05-24,23170.9347922,23306.0418877,22900.7197679,23204.7117744,1072900
2021-05-25,23035.8268634,23407.3728343,22968.2737323,22968.2737323,798400
2021-05-26,22968.2737323,23137.15781,22866.9427857,22968.2737323,839000
2021-05-27,22968.2737323,23103.3808278,22900.7197679,22968.2737323,1564200
2021-05-28,22968.2737323,23069.6038456,22833.1658035,23002.0498812,734600
2021-05-31,23002.0498812,23002.0498812,22765.6118391,22900.7197679,1247800
2021-06-01,22900.7197679,23069.6038456,22731.8356902,22731.8356902,598100
2021-06-02,22731.8356902,23002.0498812,22731.8356902,22968.2737323,1562400
2021-06-03,23069.6038456,23238.4887566,22833.1658035,23002.0498812,1071400
2021-06-04,23035.8268634,23035.8268634,22934.4967501,23002.0498812,1114100
2021-06-07,23002.0498812,23103.3808278,22900.7197679,22900.7197679,1017900
2021-06-08,22900.7197679,23002.0498812,22833.1658035,22934.4967501,1267800
2021-06-09,22900.7197679,22968.2737323,22833.1658035,22900.7197679,1346100
2021-06-10,22934.4967501,22968.2737323,22833.1658035,22934.4967501,2131600
2021-06-11,22934.4967501,22968.2737323,22900.7197679,22934.4967501,1346000
2021-06-14,23002.0498812,23238.4887566,22900.7197679,23204.7117744,1058900
2021-06-15,23238.4887566,23576.256912,23204.7117744,23508.7029476,347900
2021-06-16,23508.7029476,24251.7948894,23508.7029476,24116.6869606,450400
2021-06-17,24082.9099784,24184.240925,23947.8028829,24116.6869606,538200
