date,open,high,low,close,volume
2020-01-02,5518.6777645409,5723.0727560286,5477.7981887156,5600.4354723721,197200
2020-01-03,5600.4354723721,5723.0727560286,5600.4354723721,5723.0727560286,347650
2020-01-06,5763.9523318538,5763.9523318538,5620.8756212395,5620.8756212395,55180
2020-01-07,5702.6333290708,5702.6333290708,5559.5566184565,5559.5566184565,53900
2020-01-08,5569.7766928902,5569.7766928902,5334.7214781014,5436.9193348,80310
2020-01-09,5436.9193348,5539.1171914987,5436.9193348,5518.6777645409,43430
2020-01-10,5559.5566184565,5610.6555468058,5518.6777645409,5518.6777645409,62780
2020-01-13,5518.6777645409,5610.6555468058,5436.9193348,5590.216119848,34110
2020-01-14,5600.4354723721,5600.4354723721,5436.9193348,5488.0182631494,11840
2020-01-15,5518.6777645409,5518.6777645409,5375.6010539266,5406.2598334085,44510
2020-01-16,5375.6010539266,5477.7981887156,5375.6010539266,5416.4799078422,57770
2020-01-17,5375.6010539266,5539.1171914987,5375.6010539266,5457.3587617578,68150
2020-01-20,5477.7981887156,5498.2383375831,5457.3587617578,5457.3587617578,14250
2020-01-21,5396.0404808844,5508.4576901072,5396.0404808844,5488.0182631494,12870
2020-01-22,5498.2383375831,5498.2383375831,5396.0404808844,5477.7981887156,22900
2020-01-30,5477.7981887156,5477.7981887156,5334.7214781014,5396.0404808844,55180
2020-01-31,5355.1609050592,5375.6010539266,5222.3042688786,5212.0841944449,104520
2020-02-03,4854.3924179092,5181.425414963,4854.3924179092,5181.425414963,158860
2020-02-04,5171.2053405293,5304.0626986195,5109.8863377463,5191.6447674871,120870
2020-02-05,5191.6447674871,5273.403197228,5058.7881313065,5109.8863377463,60580
2020-02-06,5109.8863377463,5140.5458391378,5058.7881313065,5140.5458391378,30060
2020-02-07,5150.7659135715,5201.8648419208,5109.8863377463,5171.2053405293,118060
2020-02-10,5171.2053405293,5273.403197228,5109.8863377463,5171.2053405293,152640
2020-02-11,5212.0841944449,5212.0841944449,5140.5458391378,5191.6447674871,17230
2020-02-12,5191.6447674871,5283.622549752,5140.5458391378,5191.6447674871,190620
2020-02-13,5140.5458391378,5212.0841944449,5140.5458391378,5191.6447674871,37800
2020-02-14,5191.6447674871,5232.5236214027,5171.2053405293,5232.5236214027,48140
2020-02-17,5232.5236214027,5232.5236214027,5191.6447674871,5191.6447674871,56950
2020-02-18,5212.0841944449,5273.403197228,5171.2053405293,5232.5236214027,169080
2020-02-19,5222.3042688786,5222.3042688786,5171.2053405293,5171.2053405293,96330
2020-02-20,5273.403197228,5273.403197228,5150.7659135715,5150.7659135715,51250
2020-02-21,5150.7659135715,5212.0841944449,5140.5458391378,5171.2053405293,88750
2020-02-24,5109.8863377463,5109.8863377463,4987.2490540898,4997.4691285235,236250
2020-02-25,4905.4913462586,5007.6892029572,4905.4913462586,4956.5902746079,79510
2020-02-26,4905.4913462586,4987.2490540898,4885.0519193008,4987.2490540898,46620
2020-02-27,4987.2490540898,4987.2490540898,4895.2712718248,4966.809627132,16530
2020-02-28,4966.809627132,4966.809627132,4823.7329165177,4864.6117704333,200730
2020-03-02,4864.6117704333,4905.4913462586,4752.1945612106,4772.6339881684,167630
2020-03-03,4803.2934895599,4936.1508476501,4803.2934895599,4936.1508476501,99830
2020-03-04,4936.1508476501,4936.1508476501,4905.4913462586,4905.4913462586,14510
2020-03-05,4905.4913462586,5069.0074838306,4905.4913462586,5007.6892029572,84010
2020-03-06,5007.6892029572,5109.8863377463,5007.6892029572,5109.8863377463,116800
2020-03-09,4752.1945612106,4854.3924179092,4752.1945612106,4752.1945612106,179560
2020-03-10,4752.1945612106,4823.7329165177,4598.8977761626,4752.1945612106,65330
2020-03-11,4803.2934895599,4803.2934895599,4598.8977761626,4598.8977761626,117830
2020-03-12,4537.5794952892,4537.5794952892,4282.0848535425,4312.744354934,317590
2020-03-13,4016.3708592718,4190.1070712776,4016.3708592718,4169.6676443198,216470
2020-03-16,4241.2059996269,4292.3049279762,4169.6676443198,4241.2059996269,152200
2020-03-17,4169.6676443198,4261.6454265847,4087.9092145789,4230.9859251932,161090
2020-03-18,4190.1070712776,4333.1837818919,4190.1070712776,4230.9859251932,549820
2020-03-19,4190.1070712776,4230.9859251932,4169.6676443198,4210.5464982354,126830
2020-03-20,4190.1070712776,4261.6454265847,4169.6676443198,4261.6454265847,71450
2020-03-23,4169.6676443198,4169.6676443198,3985.7113578803,3985.7113578803,187560
2020-03-24,3985.7113578803,4128.7880684945,3985.7113578803,4006.1507848381,84670
2020-03-25,4006.1507848381,4210.5464982354,4006.1507848381,4190.1070712776,104600
2020-03-26,4292.3049279762,4292.3049279762,4190.1070712776,4190.1070712776,68960
2020-03-27,4190.1070712776,4271.8655010184,4169.6676443198,4190.1070712776,138880
2020-03-30,4169.6676443198,4169.6676443198,4108.3486415367,4149.228217362,179170
2020-03-31,4128.7880684945,4190.1070712776,4128.7880684945,4190.1070712776,69880
2020-04-01,4169.6676443198,4241.2059996269,4169.6676443198,4200.3271457113,48250
2020-04-03,4200.3271457113,4353.6232088497,4200.3271457113,4292.3049279762,169680
2020-04-06,4292.3049279762,4486.4805669398,4292.3049279762,4394.5027846749,132460
2020-04-07,4394.5027846749,4435.3816385905,4384.2827102412,4404.722137199,96820
2020-04-08,4404.722137199,4414.9422116327,4302.5242805003,4404.722137199,190140
2020-04-09,4404.722137199,4435.3816385905,4394.5027846749,4394.5027846749,154880
2020-04-10,4414.9422116327,4414.9422116327,4292.3049279762,4292.3049279762,178450
2020-04-13,4271.8655010184,4425.1615641568,4271.8655010184,4425.1615641568,159390
2020-04-14,4425.1615641568,4466.041139982,4384.2827102412,4445.6017130242,48020
2020-04-15,4445.6017130242,4598.8977761626,4425.1615641568,4568.2389966807,219580
2020-04-16,4578.4583492048,4844.1723434755,4527.3594208555,4782.8540626021,155730
2020-04-17,4782.8540626021,4946.3702001742,4741.9744867769,4885.0519193008,108000
2020-04-20,4885.0519193008,4885.0519193008,4721.5350598191,4803.2934895599,132050
2020-04-21,4711.315707295,4752.1945612106,4517.1400683314,4517.1400683314,151030
2020-04-22,4455.8210655483,4701.0956328612,4435.3816385905,4660.2167789456,187110
2020-04-23,4772.6339881684,4793.0734151262,4660.2167789456,4741.9744867769,54580
2020-04-24,4741.9744867769,4762.4146356443,4680.6562059034,4711.315707295,29220
2020-04-27,4670.4361314697,5028.128629915,4670.4361314697,5007.6892029572,267510
2020-04-28,5109.8863377463,5252.9637702701,4966.809627132,5212.0841944449,180830
2020-04-29,5457.3587617578,5467.5788361916,5212.0841944449,5293.8426241858,484840
2020-05-04,5212.0841944449,5273.403197228,5069.0074838306,5212.0841944449,235570
2020-05-05,5212.0841944449,5334.7214781014,5160.9852660956,5314.2820511436,109790
2020-05-06,5334.7214781014,5559.5566184565,5283.622549752,5549.3365440228,288600
2020-05-07,5549.3365440228,5763.9523318538,5498.2383375831,5498.2383375831,170590
2020-05-08,5518.6777645409,5579.9960454143,5436.9193348,5488.0182631494,188980
2020-05-11,5539.1171914987,5774.1716843779,5498.2383375831,5774.1716843779,190420
2020-05-12,5723.0727560286,5794.6111113357,5651.5344007214,5784.3917588116,93640
2020-05-13,5784.3917588116,5804.8311857694,5671.9738276792,5723.0727560286,125320
