date,open,high,low,close,volume
2020-01-02,50666.3950471642,50666.3950471642,50229.6159551578,50229.6159551578,12900
2020-01-03,50666.3950471642,51976.7332933939,50273.2938643584,51933.0553841933,53200
2020-01-06,51496.2762921869,51496.2762921869,50666.3950471642,51103.1741391706,7700
2020-01-07,51103.1741391706,51190.5299575718,50666.3950471642,51190.5299575718,7200
2020-01-08,50229.6159551578,50666.3950471642,49836.514772352,50666.3950471642,11600
2020-01-09,50229.6159551578,50666.3950471642,50185.9380459571,50185.9380459571,8900
2020-01-10,50535.3613195622,50535.3613195622,50011.2264091546,50229.6159551578,6100
2020-01-13,49880.1926815526,50142.2601367565,49880.1926815526,50011.2264091546,21900
2020-01-14,50229.6159551578,50448.005501161,50229.6159551578,50448.005501161,74600
2020-01-15,50273.2938643584,50360.6496827597,50229.6159551578,50360.6496827597,26900
2020-01-16,50316.971773559,50448.005501161,50142.2601367565,50142.2601367565,12600
2020-01-17,50229.6159551578,50448.005501161,50054.9043183552,50142.2601367565,27900
2020-01-20,49792.8368631514,50229.6159551578,49792.8368631514,50142.2601367565,21800
2020-01-21,50229.6159551578,50229.6159551578,50011.2264091546,50142.2601367565,51400
2020-01-22,50142.2601367565,50229.6159551578,50142.2601367565,50229.6159551578,65400
2020-01-30,50229.6159551578,51103.1741391706,50054.9043183552,50666.3950471642,47400
2020-01-31,50273.2938643584,50579.0392287629,50273.2938643584,50404.3275919603,67900
2020-02-03,49792.8368631514,50448.005501161,48089.3974341158,50448.005501161,46100
2020-02-04,50229.6159551578,50448.005501161,49574.4473171482,50142.2601367565,16800
2020-02-05,49792.8368631514,50448.005501161,49792.8368631514,50229.6159551578,26200
2020-02-06,50229.6159551578,51059.4962299699,50011.2264091546,51015.8183207693,86600
2020-02-07,50666.3950471642,53723.8496614195,50666.3950471642,53287.0705694131,39300
2020-02-10,53942.2401776333,57218.0843378918,53723.8496614195,54379.0192696397,50300
2020-02-11,53287.0705694131,56344.526153879,53287.0705694131,56169.8135468659,39300
2020-02-12,56126.1356376653,57174.4064286912,56126.1356376653,56781.3052458854,56800
2020-02-13,56999.6947918886,56999.6947918886,55470.9669996557,56388.2040630797,17500
2020-02-14,56781.3052458854,56781.3052458854,55907.7460916621,55907.7460916621,18500
2020-02-17,56344.526153879,56344.526153879,55252.5774536525,55776.7123640602,17900
2020-02-18,55864.0681824614,55864.0681824614,54597.4088156429,54597.4088156429,9800
2020-02-19,54597.4088156429,56344.526153879,54597.4088156429,56344.526153879,21300
2020-02-20,56344.526153879,56431.8819722803,55252.5774536525,55907.7460916621,21900
2020-02-21,55514.6449088563,55907.7460916621,54815.7983616461,54990.5099984486,26000
2020-02-24,54815.7983616461,54815.7983616461,53549.138024617,53723.8496614195,100100
2020-02-25,53723.8496614195,53811.2054798208,51976.7332933939,53112.3589326106,31800
2020-02-26,52850.2914774067,53199.7147510118,52457.190294601,52631.9019314035,21700
2020-02-27,52500.8682038016,52850.2914774067,52195.1228393971,52413.5123854003,20100
2020-02-28,51976.7332933939,52195.1228393971,51408.919503575,51933.0553841933,70600
2020-03-02,51933.0553841933,51933.0553841933,51103.1741391706,51365.2415943744,14400
2020-03-03,51321.5636851738,51802.0216565914,49574.4473171482,51321.5636851738,87000
2020-03-04,50229.6159551578,51321.5636851738,49792.8368631514,51103.1741391706,60700
2020-03-05,50622.7171379635,53942.2401776333,50622.7171379635,52020.4112025946,20900
2020-03-06,52631.9019314035,53068.6810234099,51976.7332933939,52413.5123854003,20100
2020-03-09,50666.3950471642,51103.1741391706,47390.5508869056,49530.7694079475,62100
2020-03-10,49487.0914987469,51496.2762921869,48962.9556181286,49792.8368631514,60300
2020-03-11,51539.9542013875,51539.9542013875,48962.9556181286,49356.057771145,17000
2020-03-12,48919.277708928,48919.277708928,44158.3836656371,47172.1613409024,43900
2020-03-13,45031.9428198605,47172.1613409024,41494.0302341875,46298.602186679,66300
2020-03-16,45861.8230946726,46080.2126406758,45206.654456663,45206.654456663,51300
2020-03-17,43677.9266644301,45861.8230946726,43459.5371184269,45861.8230946726,32900
2020-03-18,45861.8230946726,46298.602186679,45250.3323658637,45643.4335486694,16900
2020-03-19,45425.0440026662,45599.7556394688,44333.0962726502,45425.0440026662,18500
2020-03-20,44464.1300002522,44988.2649106598,43503.2150276275,44944.5870014592,58500
2020-03-23,43677.9266644301,43677.9266644301,37344.6278899162,37344.6278899162,91200
2020-03-24,37344.6278899162,43197.469663223,35815.9000976832,43197.469663223,145800
2020-03-25,43197.469663223,43808.960392032,41974.4882056051,43808.960392032,150800
2020-03-26,44333.0962726502,46298.602186679,43241.1475724237,44988.2649106598,106700
2020-03-27,44551.4858186534,44988.2649106598,44202.0615748378,44769.8753646566,54300
2020-03-30,44333.0962726502,44551.4858186534,42804.3684804173,44551.4858186534,51100
2020-03-31,44595.1637278541,46735.382248896,43590.5708460288,45861.8230946726,57300
2020-04-01,45861.8230946726,48002.0416157146,45774.4672762714,47084.8055225011,37500
2020-04-03,47608.9404329088,47608.9404329088,46648.0254602842,47346.872977705,29500
2020-04-06,48045.7195249152,48700.8881629248,47390.5508869056,48264.1090709184,80000
2020-04-07,48482.4986169216,48482.4986169216,46735.382248896,47914.6857973133,32800
2020-04-08,48045.7195249152,48264.1090709184,47172.1613409024,47696.2962513101,31700
2020-04-09,47827.329978912,50229.6159551578,47827.329978912,49705.4810447501,157900
2020-04-10,49618.1252263488,49618.1252263488,48482.4986169216,48700.8881629248,65100
2020-04-13,48875.5997997274,48919.277708928,47652.6183421094,48045.7195249152,79200
2020-04-14,48919.277708928,50229.6159551578,47608.9404329088,48395.1427985203,88500
2020-04-15,48919.277708928,48919.277708928,47958.3637065139,48264.1090709184,61200
2020-04-16,48264.1090709184,49487.0914987469,47608.9404329088,49137.6682251418,65900
2020-04-17,52413.5123854003,52413.5123854003,49574.4473171482,51496.2762921869,62000
2020-04-20,51539.9542013875,52413.5123854003,50491.6834103616,52413.5123854003,73400
2020-04-21,51539.9542013875,52195.1228393971,50229.6159551578,51321.5636851738,100400
2020-04-22,50666.3950471642,52369.8344761997,49487.0914987469,52064.0891117952,52400
2020-04-23,51539.9542013875,54597.4088156429,51539.9542013875,54116.9518144358,67100
2020-04-24,54160.6297236365,54597.4088156429,53112.3589326106,54466.375088041,70300
2020-04-27,54553.7309064422,54597.4088156429,53898.5622684326,54160.6297236365,32700
2020-04-28,54291.6634512384,54815.7983616461,53505.4601154163,54641.0867248435,64500
2020-04-29,54510.0529972416,54859.4762708467,54466.375088041,54597.4088156429,64900
2020-05-04,54597.4088156429,55034.1879076493,53723.8496614195,54116.9518144358,59800
2020-05-05,54597.4088156429,54597.4088156429,52631.9019314035,53723.8496614195,28600
2020-05-06,53723.8496614195,54553.7309064422,53723.8496614195,54335.341360439,22000
2020-05-07,54597.4088156429,55034.1879076493,54160.6297236365,54553.7309064422,65000
2020-05-08,54597.4088156429,54815.7983616461,53811.2054798208,54815.7983616461,68800
2020-05-11,54815.7983616461,55034.1879076493,54247.9855420378,55034.1879076493,120500
2020-05-12,49792.8368631514,55034.1879076493,49792.8368631514,54553.7309064422,73300
2020-05-13,54379.0192696397,55252.5774536525,53767.5275706202,55208.8995444518,70000
2020-05-14,54815.7983616461,55034.1879076493,54597.4088156429,54815.7983616461,29400
2020-05-15,54815.7983616461,55034.1879076493,54204.3076328371,54510.0529972416,20300
2020-05-18,54641.0867248435,54684.7646340442,54379.0192696397,54597.4088156429,21900
2020-05-19,54597.4088156429,56781.3052458854,54597.4088156429,55034.1879076493,61900
2020-05-20,55296.2553628531,55602.0007272576,55034.1879076493,55252.5774536525,49000
2020-05-21,55296.2553628531,56300.8482446784,55034.1879076493,55252.5774536525,28100
2020-05-22,55470.9669996557,55470.9669996557,54597.4088156429,54597.4088156429,39300
2020-05-25,54597.4088156429,55034.1879076493,54510.0529972416,55034.1879076493,61500
2020-05-26,55034.1879076493,55470.9669996557,54815.7983616461,55427.289090455,81900
2020-05-27,55427.289090455,59838.7598601408,55339.9332720538,58746.8121301248,101900
